Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,9430.50,9519.90,9386.50,9499.10,9456.308066083576287657,7203,1626,68113787.00,3150,43.73,133.40,68.60
27-June-2024,9525.05,9545.00,9365.80,9418.35,9426.061544991511035653,9424,2612,88831204.00,3304,35.06,179.20,-106.70
26-June-2024,9723.95,9723.95,9450.00,9477.45,9509.918777943368107302,9394,2087,89336177.00,3785,40.29,273.95,-246.50
25-June-2024,9741.80,9825.00,9641.30,9656.30,9729.570577014783023366,4194,1203,40805819.00,1202,28.66,183.70,-85.50
24-June-2024,9580.25,9758.00,9535.00,9745.15,9693.852446627621386737,5293,1500,51309561.00,2485,46.95,223.00,164.90
21-June-2024,9685.00,9725.00,9575.00,9599.55,9647.930878859857482185,4210,1355,40617789.00,2032,48.27,150.00,-85.45
20-June-2024,9699.75,9706.00,9564.85,9632.15,9627.481977932161830813,12235,2179,117792242.00,4066,33.23,141.15,-67.60
19-June-2024,9925.00,9944.55,9671.10,9687.75,9788.961194029850746268,5360,1803,52468832.00,1950,36.38,273.45,-237.25
18-June-2024,9943.00,10037.30,9906.60,9917.35,9959.597476340694006309,4755,1416,47357886.00,2278,47.91,130.70,-25.65
14-June-2024,9850.95,9990.50,9818.25,9959.10,9933.707687921695334030,10523,2589,104532406.00,6844,65.04,172.25,108.15
13-June-2024,9937.65,9941.75,9825.00,9921.75,9881.080021578852724330,5561,1742,54948686.00,2059,37.03,116.75,-15.90
12-June-2024,9889.45,9944.95,9798.85,9903.35,9867.661526104417670682,6225,1792,61426193.00,2202,35.37,146.10,13.90
11-June-2024,9749.95,9897.15,9701.05,9811.15,9807.033904229290457881,5722,1829,56115848.00,2280,39.85,196.10,61.20
10-June-2024,9750.25,9926.20,9685.30,9728.45,9775.358142137660884163,5361,1806,52405695.00,2007,37.44,240.90,-21.80
7-June-2024,9685.00,9738.30,9606.45,9723.20,9687.658809936452917388,8655,2442,83846687.00,4249,49.09,131.85,38.20
6-June-2024,9659.00,9739.00,9456.05,9701.90,9632.579609544468546637,6915,2071,66609288.00,2272,32.86,282.95,42.90
5-June-2024,9188.75,9675.05,9180.00,9600.40,9482.186683502501092710,20591,6642,195247706.00,10778,52.34,495.05,411.65
4-June-2024,9300.95,9370.35,8805.95,9265.65,9122.063517268757443429,17633,5367,160849346.00,4432,25.13,564.40,-35.30
3-June-2024,9175.00,9440.00,9135.05,9332.40,9335.146030175612169181,20215,4219,188709977.00,11317,55.98,304.95,157.40
31-May-2024,8981.65,9127.05,8925.00,9082.45,9015.766315189512681675,3509,1046,31636324.00,1213,34.57,202.05,100.80
30-May-2024,9072.00,9145.80,8935.05,8967.15,9040.350079744816586921,5016,1273,45346396.00,1594,31.78,210.75,-104.85
29-May-2024,8900.40,9135.00,8900.40,9066.70,9044.010000000000000000,6400,1055,57881664.00,2649,41.39,234.60,166.30
28-May-2024,9000.10,9015.00,8919.55,8986.10,8967.906166730110392082,5254,1334,47117379.00,2182,41.53,95.45,-14.00
27-May-2024,8981.40,9067.00,8888.00,9000.10,8991.269260499871167224,11643,2635,104685348.00,4682,40.21,179.00,18.70
24-May-2024,8970.15,9020.90,8870.65,8951.60,8964.218791884272311318,21637,3513,193958802.00,11008,50.88,150.25,-18.55
23-May-2024,8826.85,8984.85,8759.55,8967.40,8881.453165881737310308,5733,1549,50917371.00,1764,30.77,225.30,140.55
22-May-2024,8821.05,8843.45,8737.30,8804.80,8792.540735400144196106,2774,735,24390508.00,897,32.34,106.15,-16.25
21-May-2024,8810.00,8859.00,8780.00,8818.75,8816.535815002820078962,3546,1052,31263436.00,757,21.35,79.00,8.75
18-May-2024,8806.75,8955.95,8791.70,8812.90,8820.000000000000000000,713,144,6288660.00,359,50.35,164.25,6.15
