Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,1229.6,1259.3,1212.85,1244.25,11146,1904
27-June-2024,1283.0,1283.0,1217.8,1220.85,6505,1211
26-June-2024,1282.25,1286.65,1231.6,1239.55,9209,2005
25-June-2024,1202.4,1265.65,1202.4,1244.85,20730,3227
24-June-2024,1220.0,1245.0,1182.0,1199.2,14121,2773
21-June-2024,1225.0,1233.45,1193.05,1199.1,5844,1396
20-June-2024,1214.95,1234.7,1200.0,1218.85,14430,2300
19-June-2024,1195.05,1212.0,1180.0,1206.3,8436,1528
18-June-2024,1230.0,1237.7,1191.1,1198.1,13817,1492
14-June-2024,1193.65,1219.0,1179.95,1213.7,14333,2037
13-June-2024,1225.5,1231.65,1184.0,1193.65,9183,1277
12-June-2024,1175.0,1221.05,1175.0,1192.6,7300,1451
11-June-2024,1218.5,1218.5,1177.0,1181.0,12669,1773
10-June-2024,1192.85,1226.05,1189.9,1200.35,8532,1811
7-June-2024,1176.15,1201.95,1159.25,1169.45,5217,658
6-June-2024,1111.8,1173.85,1098.45,1157.45,9610,2259
5-June-2024,1129.95,1129.95,1050.0,1112.4,33188,5391
4-June-2024,1249.55,1249.55,1080.0,1118.0,16530,2087
3-June-2024,1280.05,1331.5,1205.65,1217.2,11358,1181
31-May-2024,1237.95,1239.0,1158.75,1169.45,16609,2455
30-May-2024,1325.0,1329.45,1176.55,1211.15,33961,3770
29-May-2024,1276.55,1384.4,1276.55,1357.8,13535,1467
28-May-2024,1286.0,1308.65,1272.0,1286.05,12948,1256
27-May-2024,1301.8,1307.0,1272.05,1282.95,3986,656
24-May-2024,1271.2,1300.0,1268.25,1276.25,9526,1595
23-May-2024,1275.0,1290.45,1247.7,1285.4,7991,1242
22-May-2024,1238.95,1275.0,1209.0,1265.4,4840,963
21-May-2024,1204.55,1239.95,1191.55,1226.9,9167,1338
18-May-2024,1227.95,1229.75,1194.0,1204.6,480,85
17-May-2024,1197.3,1228.95,1192.05,1203.35,6184,707
16-May-2024,1130.85,1196.8,1130.85,1191.1,4042,668
15-May-2024,1152.7,1170.0,1139.45,1146.4,2580,376
14-May-2024,1134.25,1159.75,1114.8,1145.9,3126,576
13-May-2024,1074.05,1127.45,1055.95,1110.65,4990,746
10-May-2024,1063.8,1081.3,1042.5,1080.0,1535,258
9-May-2024,1080.25,1080.25,1054.7,1065.8,1749,396
8-May-2024,1055.15,1095.45,1047.15,1075.95,2382,572
7-May-2024,1105.55,1105.55,1044.95,1054.35,4146,602
6-May-2024,1111.0,1120.0,1064.85,1096.6,9282,1153
3-May-2024,1138.45,1138.45,1085.2,1096.15,6492,619
2-May-2024,1126.15,1126.15,1107.65,1119.0,1690,268
30-April-2024,1147.75,1147.75,1100.0,1111.9,7000,796
29-April-2024,1130.55,1147.65,1126.3,1133.75,6648,742
26-April-2024,1147.95,1147.95,1107.1,1120.55,1970,282
25-April-2024,1162.25,1162.25,1128.2,1142.35,8866,857
24-April-2024,1133.5,1159.0,1131.0,1153.45,4674,504
23-April-2024,1150.85,1164.8,1127.3,1131.5,5482,644
22-April-2024,1060.05,1160.0,1060.05,1152.45,25711,2409
19-April-2024,1057.6,1081.5,1057.6,1074.25,3513,484
18-April-2024,1080.05,1084.85,1064.6,1077.85,7227,944
16-April-2024,1069.9,1091.35,1057.45,1073.1,8379,1060
15-April-2024,1011.05,1083.95,1011.05,1072.3,6991,1186
12-April-2024,1089.05,1094.35,1055.0,1066.3,9560,1189
10-April-2024,1088.35,1094.95,1074.25,1087.95,5585,745
9-April-2024,1097.15,1097.15,1070.45,1079.65,10400,1261
8-April-2024,1089.95,1109.35,1079.65,1091.25,7202,1036
5-April-2024,1065.1,1088.15,1065.1,1079.2,6211,724
4-April-2024,1084.2,1098.0,1070.4,1079.25,2996,579
3-April-2024,1268.95,1268.95,1075.3,1080.9,10363,1190
2-April-2024,1036.0,1100.0,1033.25,1090.25,55047,1571
1-April-2024,1029.0,1046.7,1029.0,1036.15,2859,324
28-March-2024,1027.95,1031.2,1012.5,1019.95,7289,1255
27-March-2024,1023.45,1031.2,1012.0,1018.55,1481,260
26-March-2024,1035.2,1035.2,991.25,1021.85,2716,482
