Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,2306.35,2317.25,2281.2,2286.3,2304,661
27-June-2024,2327.9,2348.65,2260.55,2278.55,6096,1439
26-June-2024,2302.0,2352.1,2302.0,2318.55,3392,713
25-June-2024,2326.0,2378.95,2303.5,2329.35,4286,1299
24-June-2024,2343.45,2349.9,2319.1,2332.4,3436,765
21-June-2024,2379.95,2385.55,2337.9,2343.45,3794,987
20-June-2024,2333.3,2361.0,2332.1,2343.65,7191,1768
19-June-2024,2410.9,2411.8,2343.7,2371.6,2661,851
18-June-2024,2351.05,2415.0,2345.0,2410.95,4726,1008
14-June-2024,2413.9,2417.75,2370.35,2379.65,1892,372
13-June-2024,2390.0,2426.55,2390.0,2417.3,3067,688
12-June-2024,2386.7,2406.0,2380.0,2400.95,1941,447
11-June-2024,2406.05,2435.1,2368.2,2383.05,7075,1384
10-June-2024,2440.0,2473.95,2408.0,2415.5,3984,672
7-June-2024,2319.0,2425.0,2314.55,2419.15,3442,788
6-June-2024,2347.0,2347.0,2289.0,2301.55,2441,620
5-June-2024,2298.0,2338.45,2269.25,2328.6,4037,910
4-June-2024,2300.0,2340.0,2116.8,2293.55,4807,1165
3-June-2024,2330.0,2358.0,2270.15,2319.45,4446,851
31-May-2024,2408.65,2408.65,2312.75,2332.9,5927,1267
30-May-2024,2356.65,2430.55,2236.7,2412.8,6996,1201
29-May-2024,2408.55,2417.7,2383.05,2393.9,8310,1971
28-May-2024,2441.35,2447.95,2410.0,2419.0,4849,969
27-May-2024,2443.1,2447.9,2391.9,2435.45,3566,895
24-May-2024,2409.4,2427.95,2396.0,2421.4,2315,715
23-May-2024,2384.0,2418.15,2375.15,2398.25,4640,1302
22-May-2024,2407.95,2407.95,2374.25,2379.1,1679,516
21-May-2024,2400.1,2402.95,2366.65,2396.65,4370,1179
18-May-2024,2399.65,2408.7,2390.0,2395.0,501,197
17-May-2024,2399.35,2404.0,2370.0,2379.75,4232,998
16-May-2024,2414.95,2414.95,2381.65,2398.0,31426,653
15-May-2024,2449.95,2449.95,2383.55,2394.75,2508,687
14-May-2024,2392.0,2446.7,2374.05,2437.55,8850,1485
13-May-2024,2390.0,2392.9,2351.7,2382.6,3268,593
10-May-2024,2452.55,2454.95,2369.75,2375.8,11315,1564
9-May-2024,2360.5,2424.0,2360.5,2410.05,5116,1003
8-May-2024,2401.65,2435.0,2354.25,2367.0,11304,1924
7-May-2024,2417.5,2440.0,2367.05,2398.6,17241,2609
6-May-2024,2399.7,2431.4,2327.85,2415.05,9833,2029
3-May-2024,2488.85,2531.95,2360.0,2377.0,73699,6672
2-May-2024,2227.35,2259.0,2210.05,2233.1,7252,1524
30-April-2024,2237.6,2244.4,2194.0,2217.95,2073,593
29-April-2024,2259.6,2259.6,2195.0,2209.7,8700,1531
26-April-2024,2159.95,2280.0,2120.85,2200.7,6466,1236
25-April-2024,2188.7,2188.7,2127.1,2140.2,398,105
24-April-2024,2145.0,2164.9,2126.05,2131.4,917,262
23-April-2024,2091.0,2185.2,2091.0,2135.8,2524,587
22-April-2024,2089.8,2123.8,2082.05,2090.4,1762,572
19-April-2024,2063.45,2103.5,2063.45,2081.75,1788,487
18-April-2024,2067.9,2095.0,2055.05,2079.7,2294,711
16-April-2024,2099.0,2114.8,2054.5,2065.45,1103,267
15-April-2024,2060.15,2130.0,2049.75,2105.5,6593,1334
12-April-2024,2132.05,2207.2,2108.0,2119.8,7919,1440
10-April-2024,2152.75,2154.0,2132.2,2140.4,648,215
9-April-2024,2148.85,2159.25,2122.35,2150.35,1874,597
8-April-2024,2249.95,2249.95,2130.0,2135.6,1587,298
5-April-2024,2171.8,2205.0,2160.0,2177.4,1685,370
4-April-2024,2254.15,2263.7,2154.05,2167.85,5649,1168
3-April-2024,2261.95,2288.4,2237.65,2261.4,1502,408
2-April-2024,2242.35,2309.0,2222.1,2268.4,1967,348
1-April-2024,2270.45,2270.45,2196.05,2236.95,4734,791
28-March-2024,2198.55,2240.0,2181.6,2238.1,1989,409
27-March-2024,2200.05,2307.05,2172.35,2183.3,4459,672
26-March-2024,2189.8,2229.0,2105.2,2219.3,3286,626
22-March-2024,2116.15,2160.2,2109.05,2148.7,1104,195
21-March-2024,2073.65,2146.7,2073.65,2121.6,1959,352
20-March-2024,2104.65,2104.65,2070.05,2079.25,586,145
19-March-2024,2110.65,2121.0,2084.2,2105.0,897,243
18-March-2024,2123.0,2127.0,2110.0,2124.3,1385,364
15-March-2024,2125.65,2126.85,2095.0,2122.65,1735,465
14-March-2024,2030.05,2129.0,2030.05,2123.15,4257,775
13-March-2024,2083.8,2168.65,2003.55,2131.25,2971,626
12-March-2024,2114.0,2159.0,2073.3,2087.6,2809,466
11-March-2024,2112.95,2120.0,2068.25,2103.35,1655,332
7-March-2024,2124.75,2124.75,2073.65,2082.45,2258,291
6-March-2024,2105.0,2135.0,2061.15,2083.05,2873,507
5-March-2024,2067.0,2125.0,2067.0,2093.0,4645,657
4-March-2024,2140.0,2162.65,2038.65,2067.05,6289,919
2-March-2024,2158.0,2159.9,2116.1,2135.8,349,91
1-March-2024,2248.6,2248.6,2110.55,2127.6,3417,639
29-February-2024,2070.0,2244.9,2015.3,2204.5,4344,913
28-February-2024,2120.0,2126.0,2070.55,2080.1,2836,537
