Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,60.18,60.75,59.77,60.47,355593,2573
27-June-2024,60.0,60.29,59.4,59.97,127635,1398
26-June-2024,60.31,60.94,59.9,59.96,452794,4769
25-June-2024,60.99,62.0,59.9,60.03,692350,5689
24-June-2024,61.98,62.3,59.86,60.03,357030,2946
21-June-2024,62.99,63.51,60.72,61.25,203704,1664
20-June-2024,63.84,64.29,62.0,62.33,559402,4233
19-June-2024,64.91,65.16,62.54,62.9,225139,2279
18-June-2024,65.5,66.6,64.11,64.46,572885,4163
14-June-2024,65.48,66.72,64.55,64.78,649799,4852
13-June-2024,65.43,66.6,64.2,65.07,489525,3625
12-June-2024,65.44,66.17,64.01,64.9,355080,3362
11-June-2024,65.67,66.8,64.85,65.05,315719,2475
10-June-2024,66.94,68.65,64.91,65.19,372554,3664
7-June-2024,67.13,67.42,65.0,65.89,176987,1636
6-June-2024,65.25,69.29,64.71,65.98,205141,1634
5-June-2024,65.0,65.14,62.01,64.92,90863,1056
4-June-2024,68.45,68.8,61.5,63.38,179317,6648
3-June-2024,68.8,70.05,68.2,68.94,75905,953
31-May-2024,68.99,68.99,66.5,67.06,167702,5189
30-May-2024,69.36,69.36,67.17,67.55,110779,2021
29-May-2024,69.89,69.89,68.51,68.73,76147,1850
28-May-2024,68.51,70.5,68.51,70.24,125294,1415
27-May-2024,69.44,69.98,68.1,68.58,265358,5295
24-May-2024,71.11,71.74,70.25,70.48,72162,1426
23-May-2024,70.56,71.95,70.56,71.2,86544,2889
22-May-2024,71.94,71.94,70.05,70.55,110439,3126
21-May-2024,71.0,72.34,70.8,71.06,137895,1708
18-May-2024,72.77,72.99,72.15,72.43,9709,179
17-May-2024,70.0,72.8,69.56,72.22,293569,2374
16-May-2024,70.7,70.75,69.4,70.05,150393,1280
15-May-2024,69.43,69.95,69.07,69.31,116434,1153
14-May-2024,69.0,69.15,68.0,68.86,33526,378
13-May-2024,67.5,69.44,66.7,67.96,224556,2227
10-May-2024,67.42,67.96,66.2,67.46,186781,2443
9-May-2024,69.98,69.98,66.95,67.21,183734,2940
8-May-2024,70.93,70.93,69.0,69.12,133675,2259
7-May-2024,70.38,70.84,68.59,70.41,200496,2753
6-May-2024,72.0,72.23,70.0,70.46,53303,1135
3-May-2024,73.0,73.0,70.71,71.79,224154,3509
2-May-2024,74.43,74.43,72.25,72.64,157137,2278
30-April-2024,74.06,74.24,73.17,73.41,50403,790
29-April-2024,74.23,74.74,73.5,73.79,136292,1827
26-April-2024,75.18,75.18,73.5,74.1,70962,878
25-April-2024,75.74,75.89,73.96,74.59,112974,1258
24-April-2024,74.94,75.88,73.66,75.47,213623,1703
23-April-2024,71.9,74.49,71.75,74.12,330525,2740
22-April-2024,71.22,72.62,71.22,71.85,62640,865
19-April-2024,70.72,71.89,70.13,70.99,210735,2246
18-April-2024,72.21,73.28,71.6,72.08,231586,2127
16-April-2024,71.22,72.15,70.06,71.6,89293,939
15-April-2024,68.21,72.02,68.21,71.08,339585,3355
12-April-2024,72.42,75.14,72.4,72.8,114613,1412
10-April-2024,77.59,77.59,71.55,72.88,315756,2608
9-April-2024,77.14,77.14,75.06,75.95,161207,1769
8-April-2024,78.49,78.49,75.05,75.76,184542,1691
5-April-2024,76.68,78.75,76.3,77.56,354524,2738
4-April-2024,77.76,77.79,75.44,76.82,124810,1138
3-April-2024,73.58,78.91,73.0,76.24,499786,3505
2-April-2024,74.86,74.86,73.3,73.8,250096,1931
1-April-2024,71.86,73.89,71.86,73.47,287662,2023
28-March-2024,73.27,75.93,70.9,71.62,809561,5156
27-March-2024,69.7,73.3,69.7,72.85,817016,4606
26-March-2024,72.05,72.05,69.5,69.72,465525,2747
22-March-2024,64.85,73.42,64.84,72.31,1854955,10020
21-March-2024,64.62,65.52,63.7,64.14,371252,2780
20-March-2024,66.34,66.34,63.03,63.48,165616,1393
19-March-2024,67.74,67.74,64.8,65.17,164835,1466
18-March-2024,68.79,68.93,66.15,67.15,511575,4881
15-March-2024,69.99,71.65,66.97,67.53,218673,1923
14-March-2024,62.01,70.61,62.01,69.33,627245,5098
13-March-2024,76.04,76.04,68.51,69.15,223984,2685
12-March-2024,77.51,78.79,74.61,75.74,400745,3885
11-March-2024,82.93,82.93,77.0,77.54,348410,4545
7-March-2024,83.89,83.89,81.45,82.25,113614,1227
6-March-2024,83.75,84.5,80.52,81.69,438775,4104
5-March-2024,87.78,88.34,82.25,82.61,140913,1912
4-March-2024,88.0,91.9,85.92,87.77,513524,5184
2-March-2024,85.34,89.0,85.34,87.77,61740,1476
1-March-2024,85.15,86.86,84.0,85.33,258562,2189
29-February-2024,82.7,87.85,81.7,85.1,1300141,8666
28-February-2024,82.86,84.39,79.52,80.02,297785,3632
27-February-2024,83.44,84.34,82.6,82.91,68919,970
26-February-2024,84.6,85.69,83.05,84.38,286205,2843
23-February-2024,82.54,87.31,81.76,84.21,478504,4299
22-February-2024,83.74,83.99,81.11,81.49,135474,1357
21-February-2024,84.89,85.45,82.74,83.22,583218,3921
20-February-2024,75.89,87.5,74.7,85.2,3283981,21550
19-February-2024,76.92,77.0,74.87,75.01,46671,793
16-February-2024,76.98,76.98,75.35,75.93,47426,643
15-February-2024,72.01,76.4,72.01,75.69,74569,1160
14-February-2024,73.08,73.31,71.6,72.11,66125,1058
13-February-2024,70.81,74.74,69.86,73.42,218093,2177
12-February-2024,79.24,79.24,75.21,75.64,226870,3603
9-February-2024,78.85,78.85,76.5,77.84,140774,2679
8-February-2024,79.01,79.9,78.0,78.33,61021,946
7-February-2024,78.78,79.85,78.25,78.44,96833,1177
6-February-2024,80.22,80.89,78.91,79.99,130274,2426
5-February-2024,79.75,81.43,79.05,79.7,98354,1135
2-February-2024,79.8,80.27,78.81,79.19,167968,2487
1-February-2024,81.99,81.99,78.8,79.34,68094,1066
31-January-2024,78.75,81.9,78.2,81.1,340142,3461
30-January-2024,79.15,79.8,77.45,77.6,78714,1070
29-January-2024,80.1,80.35,78.75,78.95,55062,1057
25-January-2024,79.85,80.85,79.4,79.8,292072,2111
24-January-2024,77.0,80.55,77.0,79.6,244138,2947
23-January-2024,79.7,79.7,76.75,77.4,82745,1266
20-January-2024,79.9,80.6,78.05,78.2,238034,3380
19-January-2024,80.6,80.7,79.25,79.55,51469,963
18-January-2024,79.75,80.75,77.5,79.95,244781,3198
17-January-2024,81.15,81.9,80.05,80.35,318080,3276
16-January-2024,81.8,82.8,81.25,81.7,268641,2955
15-January-2024,83.2,83.4,81.35,81.9,251692,2869
12-January-2024,82.0,83.9,81.75,82.15,480243,4232
11-January-2024,82.75,83.0,81.2,81.5,326133,3719
10-January-2024,82.9,84.5,81.45,81.95,662023,5497
9-January-2024,86.15,86.15,81.55,82.9,443858,4519
8-January-2024,92.0,92.0,89.65,89.75,66969,1162
5-January-2024,90.45,91.35,89.55,90.7,297490,2766
4-January-2024,88.75,91.3,86.65,89.9,576829,3769
3-January-2024,91.0,91.05,87.6,87.9,456335,4859
2-January-2024,86.0,97.7,85.9,90.2,2777735,22517
1-January-2024,329.0,346.7,326.1,330.0,314661,7583
29-December-2023,315.25,323.0,313.7,321.5,115748,3732
28-December-2023,321.9,323.95,312.05,313.8,54063,1971
27-December-2023,330.0,330.05,315.8,319.0,183508,5728
26-December-2023,319.55,331.15,316.95,324.0,305440,7050
22-December-2023,299.55,314.0,299.4,306.9,402498,9697
21-December-2023,272.3,286.9,272.25,284.9,48362,1716
20-December-2023,288.35,289.7,270.0,272.3,85810,3009
19-December-2023,286.85,292.0,285.3,287.05,69656,2304
18-December-2023,281.5,289.3,280.5,286.65,63837,1674
15-December-2023,269.0,283.9,268.25,281.2,65523,1834
14-December-2023,272.5,273.0,268.1,269.7,42358,1492
13-December-2023,269.2,273.0,267.0,271.35,31640,1291
12-December-2023,271.5,272.2,268.75,268.95,13934,740
11-December-2023,272.35,273.0,267.0,269.9,35851,1580
8-December-2023,270.85,272.35,267.55,269.4,23198,602
7-December-2023,268.05,271.5,267.05,269.7,27497,842
6-December-2023,272.95,272.95,268.0,269.25,24671,645
5-December-2023,267.6,272.9,265.9,271.7,21257,672
4-December-2023,266.45,268.85,265.05,265.9,32360,910
1-December-2023,263.05,266.65,263.05,265.15,18094,477
30-November-2023,270.95,270.95,260.55,261.95,14839,578
29-November-2023,268.5,271.95,266.6,269.0,30753,1066
28-November-2023,263.55,269.45,263.55,266.3,30377,1251
24-November-2023,266.3,267.5,262.2,263.5,34241,1238
23-November-2023,270.95,270.95,265.0,265.9,41856,1547
22-November-2023,274.15,276.95,269.6,270.75,38541,1601
21-November-2023,276.65,281.2,275.2,277.65,9690,459
20-November-2023,282.5,282.7,277.6,279.0,14702,610
17-November-2023,280.0,282.25,275.0,280.3,47596,1496
16-November-2023,285.8,285.8,278.35,279.9,30793,1057
15-November-2023,285.95,285.95,280.0,282.75,25566,900
13-November-2023,281.95,283.8,280.5,281.95,52419,1920
12-November-2023,278.55,281.35,276.05,278.3,71174,2364
10-November-2023,268.0,275.05,268.0,272.05,22879,777
9-November-2023,268.1,268.35,265.0,265.2,7850,472
8-November-2023,270.05,270.05,264.8,266.3,25713,995
7-November-2023,263.15,272.3,263.1,265.85,19710,908
6-November-2023,275.95,275.95,262.75,264.1,13620,473
3-November-2023,263.3,274.05,261.45,270.0,28594,1528
2-November-2023,253.4,262.0,252.3,260.5,4557,225
1-November-2023,256.0,257.8,250.0,251.6,13895,847
31-October-2023,259.9,259.9,254.45,256.0,10727,596
30-October-2023,255.0,256.25,251.15,251.9,7692,327
27-October-2023,255.25,260.2,247.55,253.7,29254,1097
26-October-2023,253.05,259.8,246.0,251.85,7846,620
25-October-2023,259.25,265.45,249.6,253.0,11573,603
23-October-2023,262.05,266.4,255.3,258.5,14554,683
20-October-2023,266.05,269.9,265.0,265.55,18920,768
19-October-2023,270.05,270.85,266.55,267.9,21701,946
18-October-2023,276.95,276.95,270.0,270.9,19037,942
17-October-2023,265.65,276.9,265.65,274.75,24022,953
16-October-2023,271.8,276.7,269.0,273.2,28214,1212
13-October-2023,265.65,273.75,264.0,271.9,11514,658
12-October-2023,270.0,270.0,265.4,266.35,5308,290
11-October-2023,269.95,269.95,265.2,266.05,11476,697
10-October-2023,266.0,267.9,264.0,266.0,7593,335
9-October-2023,263.5,268.85,263.5,264.8,27255,1337
6-October-2023,272.6,275.0,270.95,272.4,4623,222
5-October-2023,271.0,275.95,270.5,272.3,14519,515
4-October-2023,269.2,273.8,269.2,272.3,14086,439
3-October-2023,274.95,275.9,267.95,268.8,25891,1158
29-September-2023,279.95,279.95,271.0,273.15,13759,561
28-September-2023,273.5,281.2,273.5,276.8,73295,2232
27-September-2023,257.65,274.5,257.65,272.15,18139,763
26-September-2023,262.65,266.25,255.05,257.6,26188,1775
25-September-2023,265.2,267.15,262.2,263.0,9026,412
22-September-2023,264.85,269.4,264.3,264.95,9009,489
21-September-2023,269.1,269.5,266.3,267.5,21469,1003
20-September-2023,270.65,270.65,268.0,269.0,7488,388
18-September-2023,269.7,273.75,267.95,271.15,33551,1179
15-September-2023,274.0,274.65,268.1,269.1,37601,1328
14-September-2023,270.25,275.55,270.25,273.2,18637,670
13-September-2023,272.35,272.35,267.3,270.05,7533,297
12-September-2023,278.9,279.2,268.75,272.2,24391,725
11-September-2023,272.0,278.6,270.95,276.6,79951,2638
8-September-2023,272.0,272.85,270.1,270.75,41408,1688
7-September-2023,272.2,273.6,271.55,272.15,10136,387
6-September-2023,274.85,275.05,271.15,272.5,34280,1057
5-September-2023,279.0,279.15,271.35,272.5,10243,521
4-September-2023,275.0,276.95,273.35,275.45,11560,448
1-September-2023,275.2,275.25,272.35,273.35,7923,491
31-August-2023,273.55,277.75,270.05,272.9,21936,544
30-August-2023,273.0,273.7,270.0,273.05,19022,439
29-August-2023,274.6,274.6,268.0,272.1,31357,950
28-August-2023,273.75,275.45,268.25,269.75,9665,400
25-August-2023,277.9,277.9,269.2,271.75,8484,572
24-August-2023,276.55,276.55,270.5,273.0,33284,1309
23-August-2023,267.2,277.7,267.2,274.05,63023,2173
22-August-2023,270.0,274.0,265.0,266.85,44765,1898
21-August-2023,265.05,275.0,262.4,268.5,85421,3626
18-August-2023,273.05,277.0,264.55,265.45,101660,3823
17-August-2023,276.4,281.65,273.0,273.6,33358,1558
16-August-2023,279.0,283.95,276.35,277.25,66652,2710
14-August-2023,286.1,290.45,278.15,284.4,31585,1632
11-August-2023,293.0,297.35,290.55,293.25,30649,1297
10-August-2023,300.0,304.2,293.0,294.8,19014,725
9-August-2023,298.7,302.45,298.7,299.4,22783,956
8-August-2023,302.65,305.0,295.75,301.5,41843,2246
7-August-2023,297.0,305.95,297.0,305.0,16889,517
4-August-2023,304.45,308.65,300.55,302.5,19482,552
3-August-2023,305.0,307.5,300.7,304.45,47428,1698
2-August-2023,305.15,308.8,298.0,303.6,18246,691
1-August-2023,312.75,316.5,305.75,308.25,74841,2493
31-July-2023,306.15,313.55,306.15,312.2,29511,969
28-July-2023,300.0,308.95,300.0,305.7,52755,2207
27-July-2023,301.1,309.0,298.25,300.7,28562,919
26-July-2023,304.4,304.4,297.4,298.95,23567,998
25-July-2023,295.55,302.7,295.3,298.75,69609,2466
24-July-2023,299.75,304.45,295.5,296.8,24773,739
21-July-2023,297.05,303.0,296.85,299.7,64431,2233
20-July-2023,295.25,306.1,294.35,301.95,81448,2861
19-July-2023,305.95,308.0,296.0,297.05,27213,1100
18-July-2023,288.5,307.5,288.35,304.05,145373,5298
17-July-2023,287.15,294.35,284.9,288.35,38284,2108
14-July-2023,288.95,290.2,286.25,288.6,25709,1128
13-July-2023,290.5,293.8,287.75,289.4,21446,1059
12-July-2023,290.05,291.95,289.0,289.9,4787,237
11-July-2023,285.05,291.45,285.05,289.35,11546,582
10-July-2023,287.15,288.4,282.8,287.3,25006,1247
7-July-2023,285.95,293.65,283.15,286.95,41687,1954
6-July-2023,279.2,282.0,277.55,280.1,13174,541
5-July-2023,281.15,281.2,276.55,279.65,30184,1561
4-July-2023,284.0,284.0,280.2,281.15,18623,820
3-July-2023,285.3,287.6,279.8,280.95,8070,463
30-June-2023,282.4,287.6,282.4,283.95,16153,1050
28-June-2023,287.55,289.7,280.8,284.4,24577,1030
27-June-2023,283.85,288.25,283.3,286.7,4931,253
26-June-2023,280.05,283.0,278.1,280.15,23454,1121
23-June-2023,287.0,289.25,282.0,282.75,24625,1130
22-June-2023,287.85,292.0,285.2,286.25,27788,1100
21-June-2023,289.55,293.2,286.95,289.05,5892,276
20-June-2023,289.1,293.45,286.25,289.55,21386,602
19-June-2023,293.0,295.4,288.05,289.25,30867,1013
