Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,26.29,26.29,25.26,25.92,6139,96,Ambica Agarbathies & Aroma Ind. Ltd.
27-June-2024,26.77,26.97,25.55,26.27,6842,108,Ambica Agarbathies & Aroma Ind. Ltd.
26-June-2024,26.51,27.38,26.51,26.77,2713,38,Ambica Agarbathies & Aroma Ind. Ltd.
25-June-2024,27.44,27.85,26.58,26.73,16370,134,Ambica Agarbathies & Aroma Ind. Ltd.
24-June-2024,27.2,27.9,26.47,27.43,11419,114,Ambica Agarbathies & Aroma Ind. Ltd.
21-June-2024,26.8,27.2,25.72,27.01,13965,190,Ambica Agarbathies & Aroma Ind. Ltd.
20-June-2024,28.5,28.5,26.82,26.95,9331,116,Ambica Agarbathies & Aroma Ind. Ltd.
19-June-2024,28.43,28.43,26.87,27.3,8981,102,Ambica Agarbathies & Aroma Ind. Ltd.
18-June-2024,26.45,27.49,26.44,27.3,9383,136,Ambica Agarbathies & Aroma Ind. Ltd.
14-June-2024,27.6,27.6,26.07,26.45,3531,66,Ambica Agarbathies & Aroma Ind. Ltd.
13-June-2024,27.5,27.5,25.98,26.31,2783,56,Ambica Agarbathies & Aroma Ind. Ltd.
12-June-2024,26.43,27.0,25.76,26.2,2075,135,Ambica Agarbathies & Aroma Ind. Ltd.
11-June-2024,24.83,26.5,24.83,25.91,4548,107,Ambica Agarbathies & Aroma Ind. Ltd.
10-June-2024,25.14,25.45,25.12,25.34,1587,22,Ambica Agarbathies & Aroma Ind. Ltd.
7-June-2024,23.9,25.19,23.2,24.65,4970,165,Ambica Agarbathies & Aroma Ind. Ltd.
6-June-2024,25.4,25.4,23.7,24.03,14332,800,Ambica Agarbathies & Aroma Ind. Ltd.
5-June-2024,25.01,25.99,24.9,24.9,12100,154,Ambica Agarbathies & Aroma Ind. Ltd.
3-June-2024,26.5,28.2,25.67,26.21,47595,93,Ambica Agarbathies & Aroma Ind. Ltd.
27-May-2024,27.95,27.95,27.0,27.02,10931,22,Ambica Agarbathies & Aroma Ind. Ltd.
24-May-2024,27.55,28.0,27.0,27.44,2554,28,Ambica Agarbathies & Aroma Ind. Ltd.
23-May-2024,27.46,28.69,26.09,27.46,52532,357,Ambica Agarbathies & Aroma Ind. Ltd.
22-May-2024,28.69,28.69,27.46,28.02,2363,19,Ambica Agarbathies & Aroma Ind. Ltd.
21-May-2024,28.89,28.89,27.87,28.13,9023,147,Ambica Agarbathies & Aroma Ind. Ltd.
18-May-2024,28.38,29.43,28.18,28.43,453,11,Ambica Agarbathies & Aroma Ind. Ltd.
17-May-2024,30.5,30.5,27.05,28.03,1667,41,Ambica Agarbathies & Aroma Ind. Ltd.
16-May-2024,27.0,30.56,27.0,27.7,3781,53,Ambica Agarbathies & Aroma Ind. Ltd.
15-May-2024,30.56,30.56,27.74,27.94,1580,33,Ambica Agarbathies & Aroma Ind. Ltd.
14-May-2024,28.48,28.88,27.41,27.88,3622,90,Ambica Agarbathies & Aroma Ind. Ltd.
13-May-2024,27.34,28.29,27.34,28.23,6044,53,Ambica Agarbathies & Aroma Ind. Ltd.
10-May-2024,32.5,32.5,26.94,27.9,2322,50,Ambica Agarbathies & Aroma Ind. Ltd.
9-May-2024,28.18,28.18,27.26,27.3,2738,84,Ambica Agarbathies & Aroma Ind. Ltd.
8-May-2024,28.45,28.45,27.75,28.18,4898,65,Ambica Agarbathies & Aroma Ind. Ltd.
7-May-2024,28.71,28.71,28.0,28.03,3908,44,Ambica Agarbathies & Aroma Ind. Ltd.
6-May-2024,29.57,29.57,28.71,28.71,3060,63,Ambica Agarbathies & Aroma Ind. Ltd.
3-May-2024,29.15,32.0,29.15,29.5,810,24,Ambica Agarbathies & Aroma Ind. Ltd.
2-May-2024,32.0,32.0,29.25,29.74,5464,60,Ambica Agarbathies & Aroma Ind. Ltd.
30-April-2024,32.73,32.73,29.25,30.08,5836,111,Ambica Agarbathies & Aroma Ind. Ltd.
29-April-2024,29.59,30.15,28.8,29.32,2155,43,Ambica Agarbathies & Aroma Ind. Ltd.
26-April-2024,30.8,30.8,29.0,29.59,18603,165,Ambica Agarbathies & Aroma Ind. Ltd.
25-April-2024,29.0,30.0,28.75,29.81,5013,64,Ambica Agarbathies & Aroma Ind. Ltd.
24-April-2024,29.24,31.4,28.3,29.78,14863,176,Ambica Agarbathies & Aroma Ind. Ltd.
23-April-2024,31.0,31.0,29.15,29.23,5471,46,Ambica Agarbathies & Aroma Ind. Ltd.
22-April-2024,28.85,30.4,27.4,29.44,23099,212,Ambica Agarbathies & Aroma Ind. Ltd.
19-April-2024,26.15,30.85,26.15,29.11,2006,42,Ambica Agarbathies & Aroma Ind. Ltd.
18-April-2024,26.17,27.39,26.17,26.81,2261,59,Ambica Agarbathies & Aroma Ind. Ltd.
16-April-2024,26.7,27.29,26.7,27.25,3768,41,Ambica Agarbathies & Aroma Ind. Ltd.
15-April-2024,27.0,27.14,25.94,26.86,10669,102,Ambica Agarbathies & Aroma Ind. Ltd.
12-April-2024,28.1,32.0,26.95,27.71,7917,99,Ambica Agarbathies & Aroma Ind. Ltd.
10-April-2024,29.3,31.0,26.87,27.55,3844,49,Ambica Agarbathies & Aroma Ind. Ltd.
9-April-2024,27.5,28.56,27.17,27.39,5322,47,Ambica Agarbathies & Aroma Ind. Ltd.
8-April-2024,30.33,30.33,27.25,27.87,5120,111,Ambica Agarbathies & Aroma Ind. Ltd.
5-April-2024,27.99,29.0,27.99,28.92,6476,94,Ambica Agarbathies & Aroma Ind. Ltd.
4-April-2024,33.0,33.0,27.9,28.05,6660,107,Ambica Agarbathies & Aroma Ind. Ltd.
3-April-2024,27.0,28.13,27.0,27.68,7983,87,Ambica Agarbathies & Aroma Ind. Ltd.
2-April-2024,27.0,27.2,26.71,26.91,2601,50,Ambica Agarbathies & Aroma Ind. Ltd.
1-April-2024,29.5,29.5,26.45,26.69,12579,170,Ambica Agarbathies & Aroma Ind. Ltd.
