Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,216.5,221.65,216.4,218.2,5950,396,Aptech Ltd.
27-June-2024,222.0,223.35,216.5,218.65,10608,452,Aptech Ltd.
26-June-2024,226.9,226.9,222.0,222.8,16134,751,Aptech Ltd.
25-June-2024,225.6,229.5,223.65,224.45,16641,857,Aptech Ltd.
24-June-2024,229.0,229.0,225.4,226.85,11176,632,Aptech Ltd.
21-June-2024,229.35,234.05,228.0,228.8,26941,885,Aptech Ltd.
20-June-2024,227.15,234.0,227.0,229.25,23815,996,Aptech Ltd.
19-June-2024,234.9,234.9,227.0,227.15,16842,846,Aptech Ltd.
18-June-2024,231.0,236.0,230.05,230.7,22684,582,Aptech Ltd.
14-June-2024,237.95,237.95,230.35,232.3,30749,1155,Aptech Ltd.
13-June-2024,234.9,238.55,230.6,234.7,20497,564,Aptech Ltd.
12-June-2024,230.6,236.9,230.6,231.75,14622,525,Aptech Ltd.
11-June-2024,233.5,242.65,228.0,232.75,63413,2440,Aptech Ltd.
10-June-2024,220.2,237.2,220.2,232.4,28864,1169,Aptech Ltd.
7-June-2024,219.0,224.0,218.8,220.55,15970,528,Aptech Ltd.
6-June-2024,220.6,223.0,217.3,217.9,21134,1293,Aptech Ltd.
5-June-2024,213.0,221.55,206.25,216.45,13057,663,Aptech Ltd.
4-June-2024,221.3,222.3,200.65,205.2,14962,790,Aptech Ltd.
3-June-2024,227.0,231.4,220.65,221.25,35368,944,Aptech Ltd.
31-May-2024,222.85,225.9,222.8,224.75,4964,291,Aptech Ltd.
30-May-2024,222.0,225.3,222.0,224.1,4817,342,Aptech Ltd.
29-May-2024,224.5,226.0,221.15,224.9,11211,478,Aptech Ltd.
28-May-2024,227.7,227.7,223.3,225.5,10617,500,Aptech Ltd.
27-May-2024,229.0,229.0,223.3,226.45,17737,721,Aptech Ltd.
24-May-2024,223.3,230.0,223.15,224.1,30538,901,Aptech Ltd.
23-May-2024,222.05,229.0,222.05,225.4,7333,388,Aptech Ltd.
22-May-2024,223.95,228.0,222.05,223.2,28059,955,Aptech Ltd.
21-May-2024,223.0,225.2,221.0,223.85,4372,281,Aptech Ltd.
18-May-2024,223.3,225.25,222.35,223.25,2736,159,Aptech Ltd.
17-May-2024,220.1,224.35,220.1,223.05,18955,788,Aptech Ltd.
16-May-2024,225.6,225.6,219.0,220.05,7779,384,Aptech Ltd.
15-May-2024,227.9,227.9,218.25,219.0,10652,649,Aptech Ltd.
14-May-2024,220.15,225.0,220.15,222.05,15091,729,Aptech Ltd.
13-May-2024,222.05,223.5,216.0,219.05,8816,498,Aptech Ltd.
10-May-2024,228.75,229.3,222.0,222.75,14366,713,Aptech Ltd.
9-May-2024,236.0,237.35,228.45,229.7,6815,328,Aptech Ltd.
8-May-2024,230.05,237.35,230.05,234.0,7453,295,Aptech Ltd.
7-May-2024,235.0,239.7,228.9,232.1,14312,544,Aptech Ltd.
6-May-2024,240.0,242.2,231.85,233.3,17979,659,Aptech Ltd.
3-May-2024,242.3,246.95,236.3,239.0,99130,3155,Aptech Ltd.
2-May-2024,260.75,264.7,256.45,258.7,47355,1908,Aptech Ltd.
30-April-2024,255.95,262.5,249.9,258.95,38993,1413,Aptech Ltd.
29-April-2024,256.1,256.1,247.7,251.7,33261,1155,Aptech Ltd.
26-April-2024,257.1,260.95,251.6,252.7,33809,1565,Aptech Ltd.
25-April-2024,253.45,258.55,248.1,254.7,46246,1252,Aptech Ltd.
24-April-2024,252.65,263.05,251.8,253.55,34017,1082,Aptech Ltd.
23-April-2024,240.9,254.65,240.1,251.65,106766,3109,Aptech Ltd.
22-April-2024,235.35,239.45,232.0,237.45,21032,723,Aptech Ltd.
19-April-2024,233.0,235.85,231.35,234.35,4413,271,Aptech Ltd.
18-April-2024,242.0,242.0,235.7,236.3,20808,795,Aptech Ltd.
16-April-2024,228.2,241.75,228.2,239.75,45722,1146,Aptech Ltd.
15-April-2024,233.8,236.1,228.35,232.6,11246,424,Aptech Ltd.
12-April-2024,242.9,242.9,237.0,238.6,7226,326,Aptech Ltd.
10-April-2024,244.55,244.55,239.9,242.2,9142,328,Aptech Ltd.
9-April-2024,246.0,246.6,237.85,239.8,12486,439,Aptech Ltd.
8-April-2024,252.0,252.0,244.05,244.5,9367,259,Aptech Ltd.
5-April-2024,249.55,254.0,246.6,249.45,28236,630,Aptech Ltd.
4-April-2024,244.05,252.1,243.25,249.0,82812,2809,Aptech Ltd.
3-April-2024,242.25,247.35,242.25,243.1,20166,725,Aptech Ltd.
