Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,448.4,465.55,446.0,452.7,9778,1102
27-June-2024,412.0,462.0,412.0,443.0,38206,3084
26-June-2024,413.05,415.5,408.65,411.45,1152,120
25-June-2024,427.3,427.3,407.0,410.45,10723,1167
24-June-2024,427.9,432.85,416.7,423.3,12352,2711
21-June-2024,425.05,434.6,415.05,421.6,15661,1351
20-June-2024,413.95,424.0,408.2,421.1,7928,776
19-June-2024,393.25,425.0,387.5,399.35,7944,667
18-June-2024,422.9,422.9,392.0,393.5,1774,142
14-June-2024,417.35,417.35,395.0,396.15,4314,404
13-June-2024,411.45,424.05,406.45,408.6,9663,670
12-June-2024,378.85,411.65,373.95,407.15,12855,922
11-June-2024,374.95,380.25,366.75,378.85,5455,770
10-June-2024,382.55,382.55,370.95,374.6,1997,140
7-June-2024,381.45,382.75,378.3,382.0,279,22
6-June-2024,389.95,389.95,377.45,380.75,1024,173
5-June-2024,367.2,387.0,360.95,382.55,3606,412
4-June-2024,384.65,390.95,347.5,378.3,10896,818
3-June-2024,351.0,396.0,351.0,384.95,14302,1115
31-May-2024,391.3,391.3,364.9,367.55,924,151
30-May-2024,383.0,396.2,372.85,374.4,3241,644
29-May-2024,355.25,389.45,354.95,383.35,15889,1821
28-May-2024,372.0,378.4,355.95,363.0,1651,190
27-May-2024,369.0,384.75,363.95,372.95,4167,374
24-May-2024,367.95,378.0,358.95,372.45,759,129
23-May-2024,361.75,369.05,360.15,363.95,1661,123
22-May-2024,365.8,367.4,358.05,360.6,361,68
21-May-2024,361.3,365.95,360.85,363.05,1276,103
18-May-2024,366.4,366.4,360.45,361.6,76,27
17-May-2024,361.2,375.2,360.8,366.2,2150,317
16-May-2024,370.85,370.85,356.4,359.8,894,105
15-May-2024,373.65,373.65,363.05,367.05,3260,187
14-May-2024,363.6,369.4,360.35,366.3,5052,353
13-May-2024,357.25,362.5,352.25,354.35,270,72
10-May-2024,358.5,366.6,356.0,357.25,516,93
9-May-2024,363.65,372.7,354.5,358.5,7337,1139
8-May-2024,371.3,376.2,366.25,370.45,3727,581
7-May-2024,396.0,396.0,364.85,374.75,7691,1324
6-May-2024,369.75,401.05,369.75,382.2,7324,710
3-May-2024,363.3,392.25,361.65,367.65,4668,424
2-May-2024,369.95,370.55,356.05,362.95,856,211
30-April-2024,383.0,383.0,368.25,369.1,5064,334
29-April-2024,391.95,402.0,372.8,382.7,14784,1306
26-April-2024,344.5,396.6,344.5,384.3,29968,1974
25-April-2024,356.0,360.9,347.9,354.95,1208,126
24-April-2024,364.0,383.0,357.95,361.35,4338,483
23-April-2024,334.0,368.3,332.3,362.85,9533,846
22-April-2024,327.5,336.7,326.6,336.0,657,108
19-April-2024,324.6,335.0,323.0,327.55,167,19
18-April-2024,318.95,332.0,318.4,324.75,1668,249
16-April-2024,323.85,323.85,310.0,312.4,403,101
15-April-2024,316.2,319.85,309.75,318.1,350,41
12-April-2024,332.6,332.6,325.55,325.6,663,87
10-April-2024,334.9,335.05,332.0,332.6,498,160
9-April-2024,345.95,345.95,334.0,335.2,1793,234
8-April-2024,337.95,351.6,337.95,341.6,1425,101
5-April-2024,350.0,350.0,340.95,344.75,1643,94
4-April-2024,346.55,350.0,339.55,344.8,410,56
3-April-2024,317.95,367.35,317.0,339.75,3080,292
2-April-2024,322.2,325.0,316.55,316.55,632,60
1-April-2024,340.95,340.95,261.1,322.65,544,91
28-March-2024,315.3,334.0,312.45,323.65,1681,146
27-March-2024,313.45,317.25,309.5,315.3,1472,102
26-March-2024,332.55,332.55,302.55,312.8,1750,116
22-March-2024,319.5,329.9,319.3,326.2,1071,210
21-March-2024,315.1,320.45,311.05,319.7,564,65
20-March-2024,317.8,318.45,303.95,314.85,803,98
19-March-2024,319.25,319.25,312.15,314.8,628,66
18-March-2024,319.05,320.55,317.3,318.85,244,26
15-March-2024,268.0,330.0,268.0,319.05,347,44
14-March-2024,303.0,311.8,303.0,309.7,287,78
13-March-2024,319.3,319.9,299.0,303.3,736,163
12-March-2024,319.8,325.0,317.6,317.65,650,111
11-March-2024,344.95,345.0,321.0,323.65,2487,167
7-March-2024,331.7,338.9,323.75,336.15,3009,277
6-March-2024,331.95,331.95,319.15,331.45,927,120
5-March-2024,336.4,343.0,330.3,335.35,5975,449
4-March-2024,329.35,340.0,324.0,336.55,3296,290
2-March-2024,323.0,329.8,317.75,329.35,140,14
1-March-2024,323.75,330.0,320.15,329.8,1880,160
29-February-2024,315.05,328.0,315.05,324.4,390,38
28-February-2024,311.95,341.05,305.0,311.95,4111,436
27-February-2024,313.1,318.4,307.7,315.95,2214,143
26-February-2024,332.15,332.95,311.95,315.75,3515,323
23-February-2024,334.35,348.0,329.45,333.3,3743,235
22-February-2024,328.8,330.25,320.6,323.15,1426,92
21-February-2024,319.4,344.0,319.4,332.9,1880,151
20-February-2024,308.85,345.95,305.55,325.9,3143,382
19-February-2024,302.65,309.95,302.65,306.05,486,56
16-February-2024,310.0,310.0,306.05,308.8,386,50
15-February-2024,309.55,309.65,307.05,308.45,280,29
14-February-2024,307.15,309.7,307.15,309.7,659,20
13-February-2024,300.75,306.45,300.7,306.05,1761,113
12-February-2024,304.95,310.0,303.95,307.05,157,53
9-February-2024,308.95,309.95,306.45,308.2,328,22
8-February-2024,310.8,317.2,306.95,310.15,333,35
7-February-2024,309.0,310.0,306.25,308.7,850,56
6-February-2024,307.0,314.5,307.0,309.5,361,35
5-February-2024,320.0,320.0,305.85,306.4,1103,122
2-February-2024,319.0,319.4,307.6,309.65,1030,153
1-February-2024,325.4,325.4,317.85,317.85,65,17
31-January-2024,323.95,331.25,318.95,324.3,1427,147
30-January-2024,331.9,333.7,325.75,326.25,561,118
29-January-2024,325.0,326.0,317.9,324.75,464,136
25-January-2024,317.05,322.6,317.05,321.8,1426,161
24-January-2024,316.85,318.25,310.0,316.35,1501,288
23-January-2024,315.25,322.2,312.0,312.15,1386,75
20-January-2024,316.95,325.0,305.25,308.45,2024,220
19-January-2024,323.05,326.7,317.0,317.55,2398,380
18-January-2024,310.0,320.0,298.0,316.7,1096,93
17-January-2024,305.0,319.25,303.4,309.1,2034,148
16-January-2024,316.85,318.55,310.75,311.35,1451,200
15-January-2024,320.5,320.6,314.65,318.2,562,41
12-January-2024,325.0,325.0,318.6,319.5,1642,157
11-January-2024,319.1,325.0,316.95,319.7,797,86
10-January-2024,315.0,319.1,311.75,315.05,5099,222
9-January-2024,314.65,318.95,306.65,308.85,898,77
8-January-2024,315.75,316.35,307.0,310.35,509,64
5-January-2024,326.75,332.35,313.35,315.45,1762,217
4-January-2024,305.15,324.0,305.15,319.15,1810,162
3-January-2024,304.35,307.05,302.6,305.15,1502,167
2-January-2024,307.55,307.8,299.95,304.35,513,78
1-January-2024,310.0,310.0,300.3,302.15,859,131
29-December-2023,306.8,316.05,303.1,304.25,1157,167
28-December-2023,303.0,308.85,297.05,306.0,3766,237
27-December-2023,299.35,304.85,294.3,301.6,5688,445
26-December-2023,291.0,308.0,291.0,299.05,5455,452
22-December-2023,301.9,303.4,289.4,290.9,629,118
21-December-2023,269.0,299.0,269.0,293.75,4236,343
20-December-2023,302.0,303.25,283.85,286.55,7163,622
19-December-2023,289.85,313.0,289.5,300.5,4263,363
18-December-2023,288.4,288.4,281.7,283.55,403,55
15-December-2023,292.95,293.0,288.95,289.0,289,27
14-December-2023,292.75,292.75,289.2,290.5,724,48
13-December-2023,289.95,291.1,287.0,287.0,979,82
12-December-2023,289.25,292.4,286.1,288.65,286,76
11-December-2023,284.65,286.35,281.0,283.55,1100,138
8-December-2023,281.45,292.95,281.45,284.25,4072,241
7-December-2023,288.4,288.45,284.55,285.7,732,68
6-December-2023,283.55,290.05,279.4,284.8,974,75
5-December-2023,283.45,294.55,277.75,280.15,4222,342
4-December-2023,281.5,289.0,279.75,280.7,2363,224
1-December-2023,286.6,287.0,281.45,285.55,1097,147
30-November-2023,287.55,288.5,285.75,286.1,211,34
29-November-2023,312.0,312.0,282.6,285.95,2686,187
28-November-2023,288.95,289.15,284.5,286.5,1130,85
24-November-2023,291.8,292.85,288.0,289.55,1579,140
23-November-2023,286.75,296.0,286.75,288.05,1724,186
22-November-2023,291.0,297.05,286.15,291.0,2682,392
21-November-2023,290.2,295.0,289.7,291.5,1743,165
20-November-2023,297.25,299.35,289.75,289.95,1862,189
17-November-2023,295.85,298.4,290.65,293.95,1295,117
16-November-2023,299.0,300.05,292.7,294.3,5206,297
15-November-2023,303.0,307.0,297.8,298.45,4934,559
13-November-2023,305.05,306.2,300.0,303.05,8391,738
12-November-2023,302.95,307.7,296.4,305.15,22039,767
10-November-2023,291.4,299.0,289.5,298.4,1938,209
9-November-2023,288.05,297.05,283.5,289.95,1559,275
8-November-2023,280.95,287.95,280.1,283.5,3575,684
7-November-2023,288.8,289.0,280.7,281.6,5155,205
6-November-2023,285.95,300.0,281.65,283.1,11638,722
3-November-2023,275.0,289.75,267.5,284.55,2475,286
2-November-2023,258.0,272.2,257.05,269.2,1368,184
1-November-2023,257.0,257.0,251.85,252.15,680,80
31-October-2023,254.95,258.35,253.2,258.3,386,46
30-October-2023,260.05,261.25,250.05,252.05,646,70
27-October-2023,245.25,265.0,241.4,253.3,4768,429
26-October-2023,247.0,249.1,238.35,243.25,6762,469
25-October-2023,253.0,253.1,241.5,247.8,3502,166
23-October-2023,241.0,241.0,237.75,238.8,590,48
20-October-2023,244.4,245.0,240.8,241.65,786,123
19-October-2023,242.0,244.4,240.95,243.8,575,70
18-October-2023,247.1,248.1,242.85,243.3,204,63
17-October-2023,247.4,247.4,243.0,243.9,497,53
16-October-2023,248.8,252.05,243.2,244.65,865,170
13-October-2023,243.5,248.8,243.4,248.15,76,19
12-October-2023,246.5,246.65,241.65,241.65,773,70
11-October-2023,243.75,245.0,240.05,243.15,527,93
10-October-2023,242.25,246.75,237.5,240.3,2258,244
9-October-2023,243.3,245.2,240.85,243.2,433,50
6-October-2023,250.0,254.7,247.0,248.2,1322,124
5-October-2023,255.0,260.55,248.2,250.95,1943,112
4-October-2023,254.35,256.25,249.2,255.0,836,160
3-October-2023,245.8,253.65,242.25,250.0,629,155
29-September-2023,245.95,247.0,239.65,241.95,2351,379
28-September-2023,246.2,247.6,246.0,247.3,139,20
27-September-2023,248.5,251.65,245.75,245.75,739,160
26-September-2023,255.4,256.2,248.05,249.6,953,188
25-September-2023,258.0,258.0,248.8,251.65,1075,130
22-September-2023,256.0,264.1,251.15,253.4,6219,509
21-September-2023,260.95,264.5,255.25,259.0,551,287
20-September-2023,266.55,266.8,260.45,263.15,841,86
18-September-2023,254.95,289.0,251.0,268.9,12475,1099
15-September-2023,252.95,260.2,251.15,254.65,441,101
14-September-2023,251.95,257.05,247.5,251.65,1921,321
13-September-2023,248.55,254.0,242.0,253.9,421,64
12-September-2023,270.95,270.95,244.15,245.15,1242,118
11-September-2023,260.3,267.85,259.35,261.85,8376,460
8-September-2023,241.15,274.55,238.15,260.2,30451,2719
7-September-2023,223.0,243.65,223.0,237.6,14381,547
6-September-2023,228.0,230.8,224.3,225.0,781,92
5-September-2023,229.85,236.85,227.45,228.15,14672,367
4-September-2023,235.55,235.55,223.3,228.5,5065,279
1-September-2023,235.75,239.6,228.0,229.9,804,187
31-August-2023,237.75,240.4,231.9,231.95,3540,740
30-August-2023,243.15,244.9,234.65,235.3,1197,187
29-August-2023,244.0,248.0,240.0,240.35,3008,309
28-August-2023,246.65,246.7,239.5,243.9,800,115
25-August-2023,232.5,254.45,231.65,241.85,9896,622
24-August-2023,231.7,232.4,227.55,232.2,57,18
23-August-2023,228.75,232.8,227.3,228.75,112,44
22-August-2023,228.05,230.2,221.5,224.55,899,100
21-August-2023,228.15,234.35,225.0,225.0,235,39
18-August-2023,234.95,235.95,230.85,232.8,357,23
17-August-2023,230.55,239.45,230.55,234.15,1410,125
16-August-2023,238.6,238.65,230.05,230.9,334,79
14-August-2023,253.0,253.0,229.6,236.5,1200,85
11-August-2023,231.85,238.55,231.2,235.65,1435,133
10-August-2023,239.95,245.75,238.8,242.4,1356,178
9-August-2023,237.95,247.85,233.95,240.45,2553,159
8-August-2023,226.45,259.05,225.25,237.1,9914,961
7-August-2023,227.0,228.0,222.6,225.25,943,42
4-August-2023,227.5,230.05,224.15,227.45,193,16
3-August-2023,224.95,227.55,221.5,222.35,260,64
2-August-2023,227.95,230.05,223.15,224.9,92,37
1-August-2023,232.75,233.65,226.15,227.8,1699,117
31-July-2023,238.2,244.75,228.95,231.4,2509,259
28-July-2023,233.85,235.6,228.8,234.35,341,45
27-July-2023,234.95,238.3,228.25,230.25,1329,46
26-July-2023,231.95,235.1,229.8,233.25,382,38
25-July-2023,232.2,233.95,231.05,232.75,647,83
24-July-2023,235.95,236.6,223.9,231.15,756,91
21-July-2023,230.0,235.15,225.0,234.05,401,53
20-July-2023,264.6,264.6,225.0,229.95,470,92
19-July-2023,263.0,263.0,230.9,231.55,288,100
18-July-2023,234.5,236.65,230.65,235.95,1677,81
17-July-2023,230.95,235.9,229.2,233.5,737,85
14-July-2023,224.95,231.45,224.0,230.0,825,78
13-July-2023,224.9,228.25,223.3,224.8,513,60
12-July-2023,224.2,230.0,224.2,227.0,433,55
11-July-2023,228.65,230.3,226.65,227.5,116,24
10-July-2023,229.95,230.4,222.1,225.05,419,35
7-July-2023,212.0,235.0,212.0,228.0,132,41
6-July-2023,232.95,239.2,231.6,234.65,309,51
5-July-2023,238.15,239.7,232.1,232.15,727,77
4-July-2023,241.0,241.45,235.25,238.45,1108,91
3-July-2023,244.7,259.15,230.45,240.1,1404,142
30-June-2023,232.7,238.0,232.65,236.8,417,63
28-June-2023,232.0,234.7,229.0,230.9,623,87
27-June-2023,224.5,232.0,221.75,230.75,1311,189
26-June-2023,217.9,228.35,217.9,223.3,1155,88
23-June-2023,218.95,220.4,214.0,219.25,144,32
22-June-2023,224.95,224.95,216.8,217.6,212,109
21-June-2023,224.1,227.3,223.3,223.9,234,39
20-June-2023,214.05,224.6,211.8,224.0,736,101
19-June-2023,226.95,226.95,216.75,217.4,295,92
16-June-2023,226.25,227.1,224.8,226.5,272,35
15-June-2023,225.2,228.3,221.75,224.05,849,113
14-June-2023,227.95,232.3,225.0,225.65,307,39
13-June-2023,228.95,232.9,223.95,228.1,1998,210
12-June-2023,235.85,239.5,226.0,229.6,3981,324
9-June-2023,227.95,245.5,225.0,236.4,3322,440
