Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,168.0,175.0,168.0,172.55,919240,12607,Avantel Limited
27-June-2024,172.0,177.75,165.0,167.05,1251524,15313,Avantel Limited
26-June-2024,177.5,178.5,170.1,172.2,997384,14311,Avantel Limited
25-June-2024,180.0,182.0,176.0,177.0,877819,11799,Avantel Limited
24-June-2024,179.8,182.0,176.5,180.65,1297756,14332,Avantel Limited
21-June-2024,175.05,182.0,173.0,179.25,1872265,16818,Avantel Limited
20-June-2024,180.0,182.0,170.0,174.55,1876685,19532,Avantel Limited
19-June-2024,193.4,194.0,165.2,180.4,5403503,43000,Avantel Limited
18-June-2024,168.0,185.0,167.8,183.45,5923494,43516,Avantel Limited
14-June-2024,143.5,168.0,143.0,163.9,7061726,47670,Avantel Limited
13-June-2024,138.4,144.0,138.0,141.15,3049682,20471,Avantel Limited
12-June-2024,123.8,136.55,123.5,134.25,3762188,19161,Avantel Limited
11-June-2024,124.0,125.4,122.4,123.35,700478,5232,Avantel Limited
10-June-2024,123.75,125.8,123.0,123.45,502432,5061,Avantel Limited
7-June-2024,124.0,125.9,122.5,122.8,665980,6133,Avantel Limited
6-June-2024,121.95,124.75,120.95,123.85,1006832,7379,Avantel Limited
5-June-2024,116.0,120.0,110.0,119.8,914611,10530,Avantel Limited
4-June-2024,126.0,126.0,106.05,115.65,2218086,20081,Avantel Limited
3-June-2024,128.9,128.9,122.55,125.6,1780286,14827,Avantel Limited
31-May-2024,123.95,124.95,121.45,121.75,873713,7416,Avantel Limited
30-May-2024,125.0,126.5,121.0,121.5,2840931,17005,Avantel Limited
29-May-2024,115.0,115.9,112.1,114.6,440859,5036,Avantel Limited
28-May-2024,116.85,119.8,115.0,115.7,749111,6153,Avantel Limited
27-May-2024,117.4,118.35,115.8,116.25,602226,7036,Avantel Limited
24-May-2024,114.0,116.2,113.7,115.15,515737,5502,Avantel Limited
23-May-2024,116.45,116.45,111.6,113.5,680127,8197,Avantel Limited
22-May-2024,117.85,118.9,115.6,115.7,570657,5717,Avantel Limited
21-May-2024,120.15,121.0,115.8,116.85,922816,8658,Avantel Limited
