Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,893.3,918.0,887.15,896.75,33532,2497
27-June-2024,916.0,916.0,872.8,885.8,18916,1547
26-June-2024,928.0,928.0,900.4,904.6,22336,1525
25-June-2024,919.95,933.0,907.55,913.85,14201,1215
24-June-2024,914.95,959.05,895.0,911.2,65768,3923
21-June-2024,917.7,926.05,902.0,905.3,22573,2016
20-June-2024,915.65,942.0,905.0,907.35,37967,2673
19-June-2024,928.8,928.8,885.75,906.35,21412,1823
18-June-2024,929.95,954.55,915.0,923.3,30714,1286
14-June-2024,914.65,942.3,903.25,921.6,31804,3001
13-June-2024,911.0,927.35,900.15,906.3,17558,1730
12-June-2024,902.8,933.55,902.25,906.25,17413,2038
11-June-2024,872.45,914.9,869.6,896.15,31633,2508
10-June-2024,868.25,900.0,867.0,871.85,40215,2795
7-June-2024,858.65,888.95,850.0,864.95,38054,2600
6-June-2024,829.7,868.6,811.8,852.35,55456,3565
5-June-2024,772.15,823.85,738.35,804.25,56412,3237
4-June-2024,898.4,898.4,726.0,774.4,83148,3798
3-June-2024,940.0,947.95,901.4,907.45,55464,2945
31-May-2024,950.0,980.0,900.0,908.35,87681,4468
30-May-2024,921.5,1015.0,871.05,942.0,277774,11637
29-May-2024,892.05,933.8,892.05,921.5,31447,1717
28-May-2024,938.0,964.45,902.35,910.1,57782,2877
27-May-2024,959.95,965.85,933.7,948.3,54146,2621
24-May-2024,984.55,1003.5,943.3,953.75,95836,4317
23-May-2024,982.95,1015.0,972.6,987.1,131558,5480
22-May-2024,907.2,1002.85,882.2,977.0,225397,12717
21-May-2024,926.1,974.35,892.2,902.4,52643,3398
18-May-2024,939.95,939.95,923.05,926.1,3748,405
17-May-2024,921.35,944.0,905.0,917.15,34341,1907
16-May-2024,845.25,949.0,845.25,916.35,138292,5903
15-May-2024,869.45,879.0,839.95,848.8,39531,2272
14-May-2024,824.65,871.75,815.85,865.05,39898,2774
13-May-2024,833.95,833.95,790.5,812.35,30578,1907
10-May-2024,835.95,845.55,804.8,830.95,16903,1371
9-May-2024,850.0,884.5,822.55,828.15,47418,3085
8-May-2024,827.75,857.95,823.8,847.3,16844,1427
7-May-2024,841.75,869.0,825.0,839.25,38107,2328
6-May-2024,871.05,883.4,832.0,841.0,51936,3774
3-May-2024,893.7,901.5,865.0,876.85,56281,2972
2-May-2024,869.95,912.0,859.0,892.05,63833,3272
30-April-2024,783.15,884.0,780.0,862.05,122150,6123
29-April-2024,800.05,811.2,775.0,778.8,27148,1603
26-April-2024,810.05,826.75,796.35,799.3,9441,698
25-April-2024,810.45,832.9,805.65,810.0,30835,1801
24-April-2024,820.05,844.0,810.0,813.0,24863,1448
23-April-2024,825.9,834.5,812.65,820.95,25557,1306
22-April-2024,758.7,838.0,758.7,818.0,78932,3925
19-April-2024,754.2,760.35,740.0,749.3,27425,1602
18-April-2024,777.0,796.7,766.95,771.3,23415,1429
16-April-2024,780.0,805.0,774.75,778.35,8534,838
15-April-2024,790.65,801.0,766.6,788.5,47195,2169
12-April-2024,838.65,847.0,801.95,806.7,17867,1222
10-April-2024,824.95,844.9,806.85,833.95,26106,1698
9-April-2024,825.0,835.0,810.45,814.15,24897,1408
8-April-2024,859.6,859.6,814.65,821.95,18258,1430
5-April-2024,842.75,859.8,831.6,849.7,23172,1414
4-April-2024,868.85,897.65,836.0,846.9,20152,1422
3-April-2024,864.85,889.6,861.45,868.75,32648,1504
2-April-2024,823.15,867.0,815.25,851.45,50631,2492
1-April-2024,777.95,824.2,777.95,819.05,30316,1392
28-March-2024,757.85,787.1,756.65,770.7,49664,2130
27-March-2024,750.4,770.0,740.9,752.9,25343,1017
26-March-2024,753.9,766.75,742.0,744.95,17752,959
22-March-2024,713.25,771.0,713.25,757.85,54873,2493
21-March-2024,710.05,739.95,710.05,730.1,36962,1463
20-March-2024,700.2,714.05,686.15,702.65,34982,2065
19-March-2024,720.0,730.9,694.2,699.2,32854,1398
18-March-2024,717.4,738.8,706.5,725.15,23867,1451
15-March-2024,734.05,753.3,689.45,719.15,54635,2639
14-March-2024,700.05,755.05,683.2,734.75,59788,2884
13-March-2024,766.05,786.75,681.65,704.8,70736,4176
12-March-2024,796.0,826.55,756.4,765.15,68939,3740
11-March-2024,855.05,855.05,788.0,795.1,40808,2626
7-March-2024,843.5,868.0,839.8,856.6,19225,1302
6-March-2024,874.45,880.9,828.8,843.5,68486,3503
5-March-2024,915.0,935.0,867.75,872.55,27832,1834
4-March-2024,958.85,958.85,907.6,916.95,19450,1113
2-March-2024,936.2,966.95,936.2,953.95,22011,1557
1-March-2024,904.85,957.1,877.95,936.15,128073,6446
29-February-2024,854.0,890.0,830.5,884.7,37259,2561
28-February-2024,875.1,912.0,845.0,852.9,248801,5102
27-February-2024,939.1,939.1,857.55,878.8,289663,4464
26-February-2024,925.4,978.0,910.05,922.65,242989,7296
23-February-2024,869.85,948.2,857.85,915.9,218195,7784
22-February-2024,772.15,876.6,772.15,856.0,357531,15245
21-February-2024,799.9,806.35,760.0,767.8,66573,3750
20-February-2024,820.2,835.45,792.1,801.5,103095,5102
19-February-2024,736.7,840.9,732.3,818.2,177211,7944
16-February-2024,711.05,732.5,697.85,700.75,5674,459
15-February-2024,708.65,738.4,704.05,713.1,38785,1959
14-February-2024,660.95,717.6,651.0,702.65,17374,1260
13-February-2024,694.95,694.95,631.0,666.95,18939,1107
12-February-2024,733.6,734.0,654.3,663.25,41093,2306
9-February-2024,752.55,762.0,698.05,718.85,30852,1670
8-February-2024,824.95,824.95,751.0,755.1,113313,4855
7-February-2024,730.15,813.85,715.2,785.7,278854,14611
6-February-2024,682.85,710.05,670.5,710.05,74386,2828
5-February-2024,670.15,697.0,662.9,676.25,78053,3541
2-February-2024,638.1,665.15,633.05,665.0,99824,4418
1-February-2024,609.95,633.65,599.0,633.5,51935,3008
31-January-2024,598.8,614.1,596.0,603.5,16603,1315
30-January-2024,597.85,613.0,586.2,598.95,33848,2158
29-January-2024,581.25,598.0,581.25,588.45,11367,1061
25-January-2024,589.0,596.5,581.7,589.95,6888,585
24-January-2024,577.85,586.6,558.05,586.6,12049,829
23-January-2024,607.85,607.85,557.0,558.7,13505,842
20-January-2024,601.0,601.0,583.55,586.3,14942,633
19-January-2024,596.7,603.0,593.0,594.4,4262,316
18-January-2024,585.25,600.0,581.5,593.35,19322,1190
17-January-2024,589.65,607.1,585.0,587.1,9035,623
16-January-2024,606.15,611.15,586.0,592.5,15436,950
15-January-2024,619.0,623.0,604.0,605.2,18581,1159
12-January-2024,598.35,615.0,590.05,608.9,26956,1725
11-January-2024,577.2,602.95,577.2,589.65,16122,879
10-January-2024,597.35,597.35,575.0,578.0,5729,452
9-January-2024,598.85,599.45,583.75,585.45,6585,465
8-January-2024,599.6,599.6,578.95,583.2,7393,572
5-January-2024,610.85,621.0,595.0,597.9,15750,1245
4-January-2024,604.2,615.2,592.7,608.1,20084,1260
3-January-2024,591.7,595.8,585.0,585.95,3432,359
2-January-2024,595.0,608.9,583.45,588.35,11989,695
1-January-2024,591.0,608.0,591.0,593.1,14268,1208
29-December-2023,605.0,605.0,586.0,591.75,9911,999
28-December-2023,610.0,610.0,592.0,593.65,5367,452
27-December-2023,613.35,620.15,602.4,604.35,7374,668
26-December-2023,621.8,621.8,587.0,600.8,17400,1301
22-December-2023,612.5,625.9,606.45,609.6,22969,1482
21-December-2023,590.05,614.0,590.05,605.2,7937,787
20-December-2023,632.0,642.0,601.6,601.65,21750,1376
19-December-2023,642.0,647.5,630.0,633.25,10215,756
18-December-2023,618.8,651.85,617.65,642.0,18374,1129
15-December-2023,636.0,640.1,618.25,621.35,8451,782
14-December-2023,641.5,648.0,631.0,633.45,6461,443
13-December-2023,641.7,653.0,626.25,631.75,10979,812
12-December-2023,642.45,647.0,625.0,632.65,10584,1067
11-December-2023,635.0,651.4,620.4,637.75,8947,736
8-December-2023,654.35,659.0,618.5,626.15,27697,1848
7-December-2023,655.25,674.0,647.75,651.05,14246,1152
6-December-2023,666.25,676.0,648.95,652.6,15541,1024
5-December-2023,679.0,693.25,652.85,666.2,25999,2853
4-December-2023,663.05,688.75,663.0,679.5,35847,2870
1-December-2023,654.15,677.15,654.15,658.6,27345,2127
30-November-2023,659.0,666.75,644.85,651.7,12647,1034
29-November-2023,673.95,678.8,655.15,657.5,22708,1970
28-November-2023,673.75,689.6,661.0,667.0,6583,693
24-November-2023,680.95,699.85,675.05,677.3,28989,1080
23-November-2023,703.95,703.95,672.0,672.75,12133,936
22-November-2023,700.05,706.75,666.0,687.75,28504,1869
21-November-2023,687.95,705.95,663.3,695.95,29559,2258
20-November-2023,650.0,674.5,645.1,674.45,85474,3768
17-November-2023,624.7,654.7,623.25,642.4,34286,2798
16-November-2023,625.0,635.0,621.0,625.75,15610,1424
15-November-2023,616.3,641.5,616.3,619.05,19285,1778
13-November-2023,640.0,642.5,628.5,632.35,2195,295
12-November-2023,639.95,642.5,628.85,638.95,3171,241
10-November-2023,613.0,626.85,604.5,613.8,5752,725
9-November-2023,619.05,624.65,610.1,611.7,3158,374
8-November-2023,617.05,632.4,616.7,618.6,22117,1716
7-November-2023,619.75,645.0,616.35,624.7,11752,1018
6-November-2023,601.2,624.7,601.2,621.2,5756,488
3-November-2023,613.0,627.95,607.95,616.75,14084,1790
2-November-2023,615.35,622.05,609.0,611.3,15701,1084
1-November-2023,625.0,633.0,602.05,606.55,7759,806
31-October-2023,616.0,638.2,604.5,623.9,14605,1149
30-October-2023,593.75,611.2,577.0,607.85,13158,486
27-October-2023,575.15,587.0,570.0,582.1,19628,1706
26-October-2023,541.3,578.45,537.0,571.45,57441,4575
25-October-2023,580.05,591.55,561.7,561.8,33910,2856
23-October-2023,631.45,631.45,591.25,591.25,17374,984
20-October-2023,643.0,647.0,619.0,622.35,27864,2063
19-October-2023,619.5,648.65,617.0,647.6,34760,1852
18-October-2023,650.0,651.0,613.95,617.8,4218,603
17-October-2023,638.1,659.0,638.1,643.2,18972,2051
16-October-2023,636.0,667.45,636.0,645.5,17645,1303
13-October-2023,612.5,642.95,610.0,636.95,32739,1935
12-October-2023,622.0,626.5,607.1,612.35,1606,279
11-October-2023,621.0,636.0,616.9,620.2,12860,844
10-October-2023,602.3,632.3,602.3,619.3,8521,811
9-October-2023,610.05,626.45,600.4,602.2,20533,1956
6-October-2023,646.05,649.5,617.45,632.0,27314,3298
5-October-2023,612.3,634.6,606.4,634.6,16019,785
4-October-2023,618.75,629.25,602.4,604.4,29045,2149
3-October-2023,641.05,650.6,620.5,626.25,24257,2396
29-September-2023,655.0,666.6,647.5,653.15,15126,2565
28-September-2023,649.05,662.85,644.65,648.55,29118,3615
27-September-2023,655.0,657.5,641.7,645.05,11457,858
26-September-2023,652.0,676.9,652.0,653.5,40431,2756
25-September-2023,640.6,668.75,637.25,658.55,20306,1942
22-September-2023,652.6,661.35,641.25,646.45,14401,982
