Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,38.4,38.4,38.0,38.4,15242,75,BGR ENERGY SYSTEMS LIMITED
27-June-2024,38.5,38.5,38.5,38.5,19873,86,BGR ENERGY SYSTEMS LIMITED
26-June-2024,37.35,37.99,37.35,37.75,4776,35,BGR ENERGY SYSTEMS LIMITED
25-June-2024,37.5,37.5,37.25,37.25,9906,117,BGR ENERGY SYSTEMS LIMITED
24-June-2024,38.0,38.0,37.24,37.94,32746,155,BGR ENERGY SYSTEMS LIMITED
21-June-2024,37.6,38.0,37.6,38.0,15902,92,BGR ENERGY SYSTEMS LIMITED
20-June-2024,38.15,38.3,38.15,38.3,21521,122,BGR ENERGY SYSTEMS LIMITED
19-June-2024,38.63,38.63,38.63,38.63,18162,109,BGR ENERGY SYSTEMS LIMITED
18-June-2024,39.3,39.41,39.0,39.41,18127,63,BGR ENERGY SYSTEMS LIMITED
14-June-2024,38.63,38.65,38.63,38.64,96157,146,BGR ENERGY SYSTEMS LIMITED
13-June-2024,40.21,40.9,39.41,39.41,41076,92,BGR ENERGY SYSTEMS LIMITED
12-June-2024,41.85,41.85,40.21,40.21,33914,168,BGR ENERGY SYSTEMS LIMITED
11-June-2024,40.23,41.03,40.23,41.03,19926,79,BGR ENERGY SYSTEMS LIMITED
10-June-2024,39.9,40.23,39.9,40.23,10390,45,BGR ENERGY SYSTEMS LIMITED
7-June-2024,39.0,39.58,39.0,39.45,10760,41,BGR ENERGY SYSTEMS LIMITED
6-June-2024,38.77,38.81,38.77,38.81,12999,79,BGR ENERGY SYSTEMS LIMITED
5-June-2024,38.77,38.77,38.77,38.77,30607,105,BGR ENERGY SYSTEMS LIMITED
4-June-2024,39.56,39.56,39.56,39.56,65071,87,BGR ENERGY SYSTEMS LIMITED
3-June-2024,40.36,40.36,40.36,40.36,19627,89,BGR ENERGY SYSTEMS LIMITED
31-May-2024,39.57,39.57,39.57,39.57,20310,57,BGR ENERGY SYSTEMS LIMITED
30-May-2024,39.0,39.0,38.8,38.8,16883,123,BGR ENERGY SYSTEMS LIMITED
29-May-2024,39.65,39.65,39.59,39.59,15713,109,BGR ENERGY SYSTEMS LIMITED
28-May-2024,40.39,40.39,40.39,40.39,2031,47,BGR ENERGY SYSTEMS LIMITED
27-May-2024,41.21,41.21,41.21,41.21,5071,52,BGR ENERGY SYSTEMS LIMITED
24-May-2024,42.15,42.15,42.05,42.05,12012,66,BGR ENERGY SYSTEMS LIMITED
23-May-2024,42.9,43.0,42.9,42.9,27582,99,BGR ENERGY SYSTEMS LIMITED
