Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,13.5,13.5,13.03,13.12,22728,69,Baba Arts Ltd
27-June-2024,13.64,13.64,13.15,13.28,19245,84,Baba Arts Ltd
26-June-2024,13.02,13.48,13.02,13.28,13999,70,Baba Arts Ltd
25-June-2024,13.75,13.75,13.16,13.27,9385,75,Baba Arts Ltd
24-June-2024,13.04,13.5,12.8,13.37,8770,63,Baba Arts Ltd
21-June-2024,13.74,13.74,13.26,13.31,12814,84,Baba Arts Ltd
20-June-2024,13.91,13.91,13.16,13.42,12882,89,Baba Arts Ltd
19-June-2024,13.09,13.5,13.06,13.34,11534,82,Baba Arts Ltd
18-June-2024,13.31,13.83,13.0,13.35,69220,170,Baba Arts Ltd
14-June-2024,13.3,13.48,13.06,13.24,18470,87,Baba Arts Ltd
13-June-2024,13.2,13.39,12.92,13.32,11374,62,Baba Arts Ltd
12-June-2024,13.5,13.5,12.81,12.98,21871,102,Baba Arts Ltd
11-June-2024,13.86,13.86,12.76,13.31,3318,53,Baba Arts Ltd
10-June-2024,13.39,13.78,13.02,13.21,14283,101,Baba Arts Ltd
7-June-2024,13.19,13.49,12.84,13.39,8400,67,Baba Arts Ltd
6-June-2024,12.76,13.85,12.76,12.92,8444,86,Baba Arts Ltd
5-June-2024,13.16,13.16,12.1,12.94,18514,104,Baba Arts Ltd
4-June-2024,13.0,13.44,12.64,12.9,9381,98,Baba Arts Ltd
3-June-2024,13.36,14.0,12.66,13.02,14520,138,Baba Arts Ltd
31-May-2024,14.2,14.2,13.0,13.36,22954,93,Baba Arts Ltd
30-May-2024,13.2,13.5,13.1,13.22,4356,75,Baba Arts Ltd
29-May-2024,13.45,13.45,13.06,13.19,8842,66,Baba Arts Ltd
28-May-2024,13.6,13.76,13.45,13.5,2917,51,Baba Arts Ltd
27-May-2024,13.9,13.9,13.34,13.53,7633,61,Baba Arts Ltd
24-May-2024,13.55,14.42,13.0,13.57,29213,110,Baba Arts Ltd
23-May-2024,14.24,14.24,13.65,13.87,7269,76,Baba Arts Ltd
22-May-2024,14.25,14.39,13.8,13.99,6823,54,Baba Arts Ltd
21-May-2024,14.5,14.5,13.6,14.25,7749,76,Baba Arts Ltd
18-May-2024,14.4,14.4,13.76,14.34,1181,16,Baba Arts Ltd
17-May-2024,14.45,14.45,13.51,14.12,4943,65,Baba Arts Ltd
16-May-2024,14.47,14.47,13.72,14.19,3688,40,Baba Arts Ltd
15-May-2024,14.46,14.46,13.57,13.86,5395,48,Baba Arts Ltd
14-May-2024,13.77,14.17,13.76,13.82,2552,47,Baba Arts Ltd
13-May-2024,14.21,14.21,13.65,13.74,8909,70,Baba Arts Ltd
10-May-2024,14.38,14.42,13.11,14.21,10975,54,Baba Arts Ltd
9-May-2024,14.99,14.99,14.09,14.11,5187,47,Baba Arts Ltd
8-May-2024,14.43,14.5,14.04,14.09,7725,51,Baba Arts Ltd
7-May-2024,14.8,14.8,14.25,14.27,8210,51,Baba Arts Ltd
6-May-2024,14.35,14.64,14.07,14.31,5320,69,Baba Arts Ltd
3-May-2024,14.61,14.61,14.03,14.19,9015,74,Baba Arts Ltd
2-May-2024,14.99,14.99,14.16,14.29,6993,76,Baba Arts Ltd
30-April-2024,14.31,14.95,14.31,14.44,5916,51,Baba Arts Ltd
29-April-2024,15.13,15.13,14.2,14.51,10420,78,Baba Arts Ltd
26-April-2024,15.49,15.49,14.5,14.83,11140,80,Baba Arts Ltd
25-April-2024,15.0,15.0,14.6,14.87,16195,64,Baba Arts Ltd
24-April-2024,14.6,15.37,14.6,14.82,8923,67,Baba Arts Ltd
23-April-2024,15.2,15.2,14.53,14.94,7054,54,Baba Arts Ltd
22-April-2024,15.48,15.78,14.6,15.14,21218,112,Baba Arts Ltd
19-April-2024,14.8,15.48,14.44,15.26,10164,79,Baba Arts Ltd
18-April-2024,15.13,15.66,14.51,14.89,13694,90,Baba Arts Ltd
16-April-2024,15.2,15.5,14.76,15.08,13274,95,Baba Arts Ltd
15-April-2024,15.01,17.0,15.01,15.2,26717,130,Baba Arts Ltd
12-April-2024,15.29,17.0,15.0,15.8,84018,242,Baba Arts Ltd
