Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,66.13,72.1,66.13,70.19,64540,1130,Balaji Telefilms Ltd.
27-June-2024,67.01,68.62,66.1,66.67,19661,388,Balaji Telefilms Ltd.
26-June-2024,68.99,68.99,67.72,67.85,5965,118,Balaji Telefilms Ltd.
25-June-2024,70.0,70.43,66.01,67.63,13617,183,Balaji Telefilms Ltd.
24-June-2024,69.78,70.78,68.58,69.95,21060,353,Balaji Telefilms Ltd.
21-June-2024,71.99,72.95,69.65,69.98,9782,212,Balaji Telefilms Ltd.
20-June-2024,66.01,72.39,66.01,71.52,116978,1298,Balaji Telefilms Ltd.
19-June-2024,65.56,68.4,65.56,66.56,59238,521,Balaji Telefilms Ltd.
18-June-2024,68.4,68.9,65.0,66.59,53923,507,Balaji Telefilms Ltd.
14-June-2024,68.43,69.2,67.74,67.97,22466,435,Balaji Telefilms Ltd.
13-June-2024,67.99,69.3,67.99,68.43,28113,341,Balaji Telefilms Ltd.
12-June-2024,66.99,70.19,66.99,67.7,45768,698,Balaji Telefilms Ltd.
11-June-2024,71.0,71.0,66.0,66.47,45700,779,Balaji Telefilms Ltd.
10-June-2024,69.7,71.05,66.71,69.36,30659,388,Balaji Telefilms Ltd.
7-June-2024,63.5,68.37,63.4,68.37,32641,480,Balaji Telefilms Ltd.
6-June-2024,59.26,62.16,59.26,62.16,5880,83,Balaji Telefilms Ltd.
5-June-2024,58.31,61.2,58.31,59.2,49677,253,Balaji Telefilms Ltd.
4-June-2024,66.45,66.45,61.37,61.37,9840,142,Balaji Telefilms Ltd.
3-June-2024,64.62,65.98,63.35,64.59,53388,796,Balaji Telefilms Ltd.
31-May-2024,68.2,68.95,64.79,64.79,39996,760,Balaji Telefilms Ltd.
30-May-2024,69.89,69.89,67.3,68.2,24522,452,Balaji Telefilms Ltd.
29-May-2024,68.99,69.69,68.15,68.65,15197,278,Balaji Telefilms Ltd.
28-May-2024,69.0,69.95,68.01,68.43,30037,565,Balaji Telefilms Ltd.
