Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,47.06,48.4,46.83,47.5,89350,652
27-June-2024,48.75,49.9,47.46,48.02,22500,353
26-June-2024,49.49,49.99,48.47,49.04,3986,119
25-June-2024,50.0,52.0,48.85,49.01,51686,771
24-June-2024,48.45,49.95,48.45,48.79,29704,510
21-June-2024,49.61,51.3,48.1,49.21,25432,476
20-June-2024,49.32,51.8,47.45,50.35,62860,1354
19-June-2024,47.36,49.55,46.55,48.35,44764,468
18-June-2024,44.58,47.32,44.49,46.7,27213,270
14-June-2024,44.79,44.79,43.51,43.71,18994,260
13-June-2024,45.56,45.56,43.51,43.91,5034,137
12-June-2024,43.5,45.24,43.48,44.67,15124,315
11-June-2024,43.75,43.9,42.87,43.65,7865,117
10-June-2024,46.99,46.99,41.55,43.28,15382,329
7-June-2024,44.2,45.25,43.55,44.52,8769,170
6-June-2024,43.98,44.0,42.65,43.7,10336,138
5-June-2024,41.84,42.45,40.35,42.04,32800,274
4-June-2024,44.05,44.05,40.0,41.58,25853,320
3-June-2024,45.5,46.7,43.8,44.06,10323,151
31-May-2024,44.0,45.0,43.0,43.85,24935,476
30-May-2024,48.0,48.0,44.06,44.59,32090,295
29-May-2024,46.2,47.67,46.0,46.73,8401,140
28-May-2024,48.06,48.49,46.0,46.72,21154,273
27-May-2024,48.55,48.95,47.8,47.96,21062,265
24-May-2024,48.75,49.75,48.5,48.65,12215,220
23-May-2024,49.6,49.89,48.75,49.01,12441,272
22-May-2024,50.5,50.55,49.4,49.7,7851,172
21-May-2024,50.75,50.75,49.5,50.05,14084,227
18-May-2024,50.3,51.2,49.8,50.51,4924,692
17-May-2024,51.01,51.05,49.95,50.31,20368,179
16-May-2024,50.0,52.15,49.6,50.94,43485,365
15-May-2024,49.9,50.0,48.9,49.02,12960,834
14-May-2024,48.7,51.13,48.7,49.41,18750,306
13-May-2024,50.19,50.19,48.1,49.09,7466,101
10-May-2024,48.9,49.84,48.2,49.44,3372,136
9-May-2024,48.01,49.48,47.4,48.39,56977,216
8-May-2024,48.6,49.55,47.49,48.13,13562,547
7-May-2024,50.15,50.39,48.0,48.72,29078,496
6-May-2024,51.55,52.0,49.3,49.8,28019,522
3-May-2024,51.31,52.75,49.7,51.3,52022,1057
2-May-2024,52.5,52.95,51.25,51.56,33633,822
30-April-2024,50.3,53.55,48.6,52.46,58403,607
29-April-2024,49.6,50.25,48.35,48.66,43363,578
26-April-2024,46.7,49.85,46.05,49.17,133772,1876
25-April-2024,44.19,46.15,43.85,46.0,38171,376
