Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,19.95,19.95,19.95,19.95,5673,20,Bartronics India Ltd.
27-June-2024,19.35,19.56,19.35,19.56,8055,25,Bartronics India Ltd.
26-June-2024,19.18,19.18,19.18,19.18,1262,9,Bartronics India Ltd.
25-June-2024,18.81,18.81,18.7,18.81,10600,21,Bartronics India Ltd.
24-June-2024,18.43,18.45,18.09,18.45,77380,92,Bartronics India Ltd.
21-June-2024,18.09,18.09,18.09,18.09,1202,7,Bartronics India Ltd.
20-June-2024,17.37,17.74,17.37,17.74,29746,72,Bartronics India Ltd.
19-June-2024,17.79,17.8,17.2,17.4,85913,371,Bartronics India Ltd.
18-June-2024,17.55,17.7,17.55,17.55,35539,135,Bartronics India Ltd.
14-June-2024,18.1,18.38,17.9,17.9,38930,228,Bartronics India Ltd.
13-June-2024,18.26,18.56,18.26,18.26,38600,165,Bartronics India Ltd.
12-June-2024,19.23,19.23,18.49,18.63,46182,272,Bartronics India Ltd.
11-June-2024,18.58,18.96,18.22,18.86,89687,234,Bartronics India Ltd.
10-June-2024,19.05,19.26,18.59,18.59,43381,323,Bartronics India Ltd.
7-June-2024,18.6,19.32,18.6,18.96,108469,257,Bartronics India Ltd.
6-June-2024,18.94,19.7,18.94,18.95,125700,800,Bartronics India Ltd.
5-June-2024,19.32,19.32,19.32,19.32,2964,33,Bartronics India Ltd.
4-June-2024,19.71,19.71,19.71,19.71,2888,41,Bartronics India Ltd.
3-June-2024,20.11,20.68,20.11,20.11,15481,95,Bartronics India Ltd.
31-May-2024,20.52,20.92,20.52,20.52,9450,59,Bartronics India Ltd.
30-May-2024,20.93,20.93,20.93,20.93,3096,25,Bartronics India Ltd.
29-May-2024,21.35,21.35,21.35,21.35,1068,26,Bartronics India Ltd.
28-May-2024,21.78,21.78,21.78,21.78,4316,40,Bartronics India Ltd.
27-May-2024,22.22,23.09,22.22,22.22,17520,180,Bartronics India Ltd.
