Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,5.41,5.41,5.03,5.34,77993,243,Beeyu Overseas Ltd.
27-June-2024,5.3,5.42,4.94,5.29,45717,221,Beeyu Overseas Ltd.
26-June-2024,5.1,5.4,5.05,5.17,41746,225,Beeyu Overseas Ltd.
25-June-2024,5.2,5.36,5.2,5.31,61226,239,Beeyu Overseas Ltd.
24-June-2024,5.48,5.48,4.96,5.47,100860,401,Beeyu Overseas Ltd.
21-June-2024,5.24,5.26,4.97,5.22,58430,249,Beeyu Overseas Ltd.
20-June-2024,4.93,5.1,4.7,5.01,33831,227,Beeyu Overseas Ltd.
19-June-2024,4.55,4.94,4.55,4.86,43756,207,Beeyu Overseas Ltd.
18-June-2024,4.8,4.8,4.61,4.71,31549,205,Beeyu Overseas Ltd.
14-June-2024,4.88,4.88,4.74,4.85,69526,242,Beeyu Overseas Ltd.
13-June-2024,4.6,4.78,4.4,4.65,56531,220,Beeyu Overseas Ltd.
12-June-2024,4.55,4.84,4.42,4.56,40823,210,Beeyu Overseas Ltd.
11-June-2024,4.93,4.93,4.59,4.64,56835,235,Beeyu Overseas Ltd.
10-June-2024,4.86,4.86,4.4,4.83,60851,313,Beeyu Overseas Ltd.
7-June-2024,4.65,4.66,4.52,4.63,50622,263,Beeyu Overseas Ltd.
6-June-2024,4.28,4.49,4.07,4.44,46918,280,Beeyu Overseas Ltd.
5-June-2024,4.4,4.72,4.28,4.28,40710,235,Beeyu Overseas Ltd.
4-June-2024,4.93,4.93,4.5,4.5,92797,391,Beeyu Overseas Ltd.
3-June-2024,4.73,4.73,4.73,4.73,38816,119,Beeyu Overseas Ltd.
31-May-2024,4.39,4.51,4.09,4.51,66273,133,Beeyu Overseas Ltd.
30-May-2024,4.3,4.43,4.3,4.3,48258,206,Beeyu Overseas Ltd.
29-May-2024,4.52,4.52,4.52,4.52,12069,127,Beeyu Overseas Ltd.
