Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,9.89,10.06,9.64,10.06,998259,656,Burnpur Cement Limited
27-June-2024,8.18,9.15,8.02,9.15,1554787,1757,Burnpur Cement Limited
26-June-2024,6.24,7.63,6.24,7.63,812730,674,Burnpur Cement Limited
25-June-2024,6.35,6.54,6.35,6.36,61918,318,Burnpur Cement Limited
24-June-2024,6.6,6.6,6.3,6.35,51169,319,Burnpur Cement Limited
21-June-2024,6.61,6.71,6.4,6.45,94001,328,Burnpur Cement Limited
20-June-2024,6.71,6.71,6.41,6.48,49050,278,Burnpur Cement Limited
19-June-2024,6.7,6.74,6.25,6.58,108431,671,Burnpur Cement Limited
18-June-2024,6.49,6.75,6.49,6.56,145538,703,Burnpur Cement Limited
14-June-2024,6.27,6.64,6.27,6.42,164729,901,Burnpur Cement Limited
13-June-2024,6.2,6.54,6.16,6.41,142176,438,Burnpur Cement Limited
12-June-2024,6.07,6.2,6.07,6.13,280623,452,Burnpur Cement Limited
11-June-2024,6.24,6.24,6.01,6.07,42512,215,Burnpur Cement Limited
10-June-2024,6.4,6.4,6.0,6.13,96034,362,Burnpur Cement Limited
7-June-2024,6.38,6.38,6.06,6.11,81702,114,Burnpur Cement Limited
6-June-2024,5.89,6.2,5.89,6.04,78530,237,Burnpur Cement Limited
5-June-2024,5.6,5.87,5.49,5.77,61685,168,Burnpur Cement Limited
4-June-2024,6.07,6.07,5.47,5.69,134286,543,Burnpur Cement Limited
3-June-2024,6.1,6.35,5.98,6.07,216540,458,Burnpur Cement Limited
31-May-2024,5.91,5.94,5.81,5.88,39702,198,Burnpur Cement Limited
30-May-2024,5.72,6.01,5.71,5.91,80165,249,Burnpur Cement Limited
29-May-2024,5.4,5.8,5.35,5.72,373897,342,Burnpur Cement Limited
28-May-2024,6.0,6.17,5.91,5.94,47833,126,Burnpur Cement Limited
27-May-2024,6.0,6.16,5.86,6.01,42179,140,Burnpur Cement Limited
24-May-2024,6.0,6.15,6.0,6.01,54475,240,Burnpur Cement Limited
23-May-2024,6.0,6.2,5.9,6.07,66568,206,Burnpur Cement Limited
22-May-2024,6.05,6.27,6.05,6.08,56565,214,Burnpur Cement Limited
21-May-2024,6.4,6.4,6.01,6.18,108721,308,Burnpur Cement Limited
18-May-2024,6.3,6.4,6.17,6.22,23587,104,Burnpur Cement Limited
17-May-2024,6.24,6.3,6.0,6.22,335316,256,Burnpur Cement Limited
16-May-2024,6.11,6.32,6.11,6.22,23858,80,Burnpur Cement Limited
15-May-2024,6.33,6.35,6.11,6.24,17370,89,Burnpur Cement Limited
14-May-2024,6.16,6.42,6.1,6.21,57612,192,Burnpur Cement Limited
13-May-2024,6.01,6.25,5.97,6.17,335814,307,Burnpur Cement Limited
10-May-2024,6.38,6.38,6.05,6.17,55039,458,Burnpur Cement Limited
9-May-2024,6.49,6.62,6.25,6.26,7709,217,Burnpur Cement Limited
8-May-2024,6.3,6.57,6.19,6.38,47232,354,Burnpur Cement Limited
7-May-2024,6.45,6.5,6.16,6.25,63994,459,Burnpur Cement Limited
6-May-2024,6.73,6.73,6.36,6.41,93061,465,Burnpur Cement Limited
3-May-2024,6.74,6.75,6.36,6.6,58482,368,Burnpur Cement Limited
2-May-2024,6.75,6.75,6.4,6.56,95560,532,Burnpur Cement Limited
30-April-2024,6.79,6.79,6.56,6.57,84128,386,Burnpur Cement Limited
29-April-2024,6.75,6.88,6.62,6.71,78124,381,Burnpur Cement Limited
26-April-2024,6.88,6.9,6.72,6.76,58550,265,Burnpur Cement Limited
25-April-2024,6.9,6.9,6.71,6.74,27361,271,Burnpur Cement Limited
24-April-2024,7.0,7.09,6.78,6.86,77688,404,Burnpur Cement Limited
23-April-2024,7.05,7.1,6.8,6.89,174918,364,Burnpur Cement Limited
22-April-2024,6.97,7.07,6.78,6.83,54478,330,Burnpur Cement Limited
19-April-2024,6.69,6.91,6.5,6.83,143610,411,Burnpur Cement Limited
18-April-2024,6.75,6.9,6.55,6.69,103961,437,Burnpur Cement Limited
16-April-2024,6.85,7.0,6.68,6.74,97901,419,Burnpur Cement Limited
15-April-2024,6.96,7.06,6.53,6.85,331744,634,Burnpur Cement Limited
12-April-2024,7.38,7.38,6.88,7.2,921760,1004,Burnpur Cement Limited
10-April-2024,6.28,6.71,6.14,6.71,259406,191,Burnpur Cement Limited
9-April-2024,6.4,6.4,5.9,6.1,85564,327,Burnpur Cement Limited
8-April-2024,6.9,6.94,6.22,6.28,106711,447,Burnpur Cement Limited
5-April-2024,6.8,6.96,6.6,6.75,55619,206,Burnpur Cement Limited
4-April-2024,6.65,6.74,6.35,6.63,244945,417,Burnpur Cement Limited
3-April-2024,6.37,6.51,6.18,6.51,236798,258,Burnpur Cement Limited
2-April-2024,6.17,6.21,6.08,6.2,253492,245,Burnpur Cement Limited
1-April-2024,5.75,5.92,5.68,5.92,74705,112,Burnpur Cement Limited
28-March-2024,5.8,5.97,5.63,5.64,195325,1016,Burnpur Cement Limited
27-March-2024,6.43,6.43,5.92,5.92,176800,541,Burnpur Cement Limited
26-March-2024,6.55,6.64,6.23,6.23,74965,338,Burnpur Cement Limited
22-March-2024,6.25,6.55,6.01,6.55,258764,296,Burnpur Cement Limited
21-March-2024,6.1,6.29,5.9,6.24,102034,435,Burnpur Cement Limited
20-March-2024,6.2,6.3,6.08,6.08,94379,303,Burnpur Cement Limited
19-March-2024,6.71,6.83,6.19,6.39,506232,595,Burnpur Cement Limited
18-March-2024,6.28,6.51,6.2,6.51,250939,234,Burnpur Cement Limited
15-March-2024,6.1,6.21,6.05,6.2,189748,241,Burnpur Cement Limited
14-March-2024,5.53,5.92,5.4,5.92,107824,156,Burnpur Cement Limited
13-March-2024,6.05,6.18,5.64,5.64,134246,514,Burnpur Cement Limited
12-March-2024,5.9,6.05,5.84,5.93,76646,229,Burnpur Cement Limited
11-March-2024,6.23,6.23,5.89,5.98,142219,526,Burnpur Cement Limited
7-March-2024,6.01,6.31,6.01,6.1,156628,110,Burnpur Cement Limited
6-March-2024,6.69,6.72,6.24,6.24,273861,471,Burnpur Cement Limited
5-March-2024,6.74,6.74,6.49,6.56,112356,175,Burnpur Cement Limited
4-March-2024,7.33,7.33,6.66,6.74,530238,501,Burnpur Cement Limited
2-March-2024,6.99,6.99,6.99,6.99,48686,29,Burnpur Cement Limited
1-March-2024,6.3,6.66,6.3,6.66,31398,93,Burnpur Cement Limited
29-February-2024,6.8,6.8,6.32,6.35,242316,530,Burnpur Cement Limited
28-February-2024,6.82,6.9,6.64,6.65,86092,437,Burnpur Cement Limited
27-February-2024,6.95,7.0,6.78,6.82,212422,229,Burnpur Cement Limited
26-February-2024,7.0,7.2,6.9,6.93,189894,296,Burnpur Cement Limited
23-February-2024,7.14,7.14,6.85,6.87,61632,120,Burnpur Cement Limited
22-February-2024,7.0,7.0,6.9,6.95,29197,113,Burnpur Cement Limited
21-February-2024,6.91,7.15,6.91,6.98,39526,107,Burnpur Cement Limited
20-February-2024,7.08,7.1,6.9,6.98,82510,113,Burnpur Cement Limited
19-February-2024,7.0,7.1,6.9,7.0,67215,164,Burnpur Cement Limited
16-February-2024,7.02,7.14,6.89,7.0,47133,153,Burnpur Cement Limited
15-February-2024,7.17,7.17,7.01,7.03,40220,143,Burnpur Cement Limited
14-February-2024,7.07,7.25,6.75,7.17,58616,99,Burnpur Cement Limited
13-February-2024,7.46,7.52,7.02,7.07,54399,192,Burnpur Cement Limited
12-February-2024,7.55,7.64,7.15,7.31,226571,319,Burnpur Cement Limited
9-February-2024,7.11,7.31,6.85,7.31,268854,257,Burnpur Cement Limited
8-February-2024,7.13,7.13,6.9,6.97,70997,156,Burnpur Cement Limited
7-February-2024,7.65,7.65,7.15,7.19,176663,322,Burnpur Cement Limited
6-February-2024,7.76,7.76,7.4,7.5,140417,251,Burnpur Cement Limited
5-February-2024,7.7,7.89,7.45,7.64,197836,389,Burnpur Cement Limited
2-February-2024,7.56,7.7,7.21,7.55,177809,370,Burnpur Cement Limited
1-February-2024,7.15,7.44,6.86,7.41,245181,259,Burnpur Cement Limited
31-January-2024,6.85,7.1,6.6,7.09,81810,124,Burnpur Cement Limited
30-January-2024,7.0,7.0,6.7,6.82,125758,229,Burnpur Cement Limited
29-January-2024,7.1,7.24,6.85,6.95,94053,172,Burnpur Cement Limited
25-January-2024,7.04,7.04,6.8,6.99,126132,229,Burnpur Cement Limited
24-January-2024,7.2,7.2,6.85,7.03,75596,173,Burnpur Cement Limited
23-January-2024,7.66,7.89,7.2,7.2,118180,303,Burnpur Cement Limited
20-January-2024,7.5,7.59,6.9,7.57,201796,302,Burnpur Cement Limited
19-January-2024,7.04,7.7,7.03,7.24,270629,359,Burnpur Cement Limited
18-January-2024,7.75,7.75,7.4,7.4,103647,202,Burnpur Cement Limited
17-January-2024,7.55,7.78,7.41,7.78,849630,795,Burnpur Cement Limited
16-January-2024,7.41,7.41,7.41,7.41,105552,104,Burnpur Cement Limited
15-January-2024,7.05,7.06,7.05,7.06,64768,93,Burnpur Cement Limited
12-January-2024,6.66,6.73,6.66,6.73,102757,70,Burnpur Cement Limited
11-January-2024,6.6,6.6,6.5,6.6,193093,86,Burnpur Cement Limited
10-January-2024,6.6,6.6,6.6,6.6,46600,64,Burnpur Cement Limited
9-January-2024,6.33,6.57,6.33,6.57,117160,54,Burnpur Cement Limited
8-January-2024,6.5,6.5,6.45,6.45,44053,70,Burnpur Cement Limited
5-January-2024,6.6,6.6,6.47,6.47,143327,154,Burnpur Cement Limited
4-January-2024,6.6,6.6,6.6,6.6,28291,21,Burnpur Cement Limited
3-January-2024,6.48,6.48,6.48,6.48,12371,20,Burnpur Cement Limited
2-January-2024,6.36,6.36,6.36,6.36,3925,10,Burnpur Cement Limited
1-January-2024,6.12,6.24,6.12,6.24,53577,31,Burnpur Cement Limited
29-December-2023,6.12,6.12,6.12,6.12,78118,77,Burnpur Cement Limited
28-December-2023,6.24,6.24,6.24,6.24,84586,69,Burnpur Cement Limited
27-December-2023,6.48,6.48,6.36,6.36,65063,58,Burnpur Cement Limited
26-December-2023,6.49,6.49,6.48,6.48,19726,53,Burnpur Cement Limited
22-December-2023,6.7,6.7,6.61,6.61,58351,72,Burnpur Cement Limited
21-December-2023,6.74,6.74,6.74,6.74,16141,45,Burnpur Cement Limited
20-December-2023,6.87,6.87,6.87,6.87,23152,84,Burnpur Cement Limited
19-December-2023,7.01,7.01,7.01,7.01,13430,60,Burnpur Cement Limited
18-December-2023,7.15,7.15,7.15,7.15,29103,31,Burnpur Cement Limited
15-December-2023,7.29,7.29,7.29,7.29,34131,36,Burnpur Cement Limited
14-December-2023,7.43,7.43,7.43,7.43,44109,51,Burnpur Cement Limited
13-December-2023,7.58,7.58,7.58,7.58,20820,35,Burnpur Cement Limited
12-December-2023,7.73,7.73,7.73,7.73,26557,50,Burnpur Cement Limited
11-December-2023,7.88,7.88,7.88,7.88,20332,50,Burnpur Cement Limited
8-December-2023,8.04,8.04,8.04,8.04,77523,86,Burnpur Cement Limited
7-December-2023,8.2,8.2,8.2,8.2,163775,103,Burnpur Cement Limited
6-December-2023,8.52,8.52,8.36,8.36,588156,259,Burnpur Cement Limited
5-December-2023,8.53,8.53,8.53,8.53,499251,180,Burnpur Cement Limited
4-December-2023,8.13,8.13,8.13,8.13,126672,88,Burnpur Cement Limited
1-December-2023,7.75,7.75,7.75,7.75,49422,29,Burnpur Cement Limited
30-November-2023,7.39,7.39,7.39,7.39,16830,22,Burnpur Cement Limited
29-November-2023,7.02,7.04,6.8,7.04,38844,48,Burnpur Cement Limited
28-November-2023,6.88,6.88,6.67,6.71,227190,345,Burnpur Cement Limited
24-November-2023,7.3,7.3,7.02,7.02,126031,238,Burnpur Cement Limited
23-November-2023,7.01,7.52,7.01,7.38,389476,363,Burnpur Cement Limited
22-November-2023,7.37,7.37,7.37,7.37,66733,130,Burnpur Cement Limited
21-November-2023,7.75,7.75,7.75,7.75,54245,135,Burnpur Cement Limited
20-November-2023,8.69,8.69,8.15,8.15,443487,365,Burnpur Cement Limited
17-November-2023,8.78,8.87,8.03,8.57,847954,1057,Burnpur Cement Limited
16-November-2023,8.4,8.45,8.21,8.45,1593097,1175,Burnpur Cement Limited
15-November-2023,7.9,8.05,7.85,8.05,547899,408,Burnpur Cement Limited
13-November-2023,7.49,7.67,7.44,7.67,880369,648,Burnpur Cement Limited
12-November-2023,6.84,7.31,6.74,7.31,288776,563,Burnpur Cement Limited
10-November-2023,6.42,6.75,6.42,6.65,261267,673,Burnpur Cement Limited
9-November-2023,5.9,6.39,5.64,6.38,1212587,919,Burnpur Cement Limited
8-November-2023,6.07,6.25,5.75,5.81,204663,578,Burnpur Cement Limited
7-November-2023,6.17,6.6,5.9,6.12,630462,995,Burnpur Cement Limited
6-November-2023,6.5,6.57,5.89,6.19,1527074,1268,Burnpur Cement Limited
3-November-2023,5.45,5.98,5.45,5.98,1041043,631,Burnpur Cement Limited
2-November-2023,4.95,5.48,4.9,5.44,1040562,888,Burnpur Cement Limited
1-November-2023,4.92,5.0,4.84,4.99,58515,307,Burnpur Cement Limited
31-October-2023,5.02,5.02,4.75,4.9,49563,296,Burnpur Cement Limited
30-October-2023,4.85,5.04,4.85,4.92,48006,266,Burnpur Cement Limited
27-October-2023,4.89,5.03,4.86,4.93,136571,362,Burnpur Cement Limited
26-October-2023,4.85,4.85,4.59,4.79,136018,385,Burnpur Cement Limited
25-October-2023,5.05,5.09,4.51,4.85,314657,403,Burnpur Cement Limited
23-October-2023,5.1,5.25,4.9,4.95,217477,440,Burnpur Cement Limited
20-October-2023,5.2,5.34,5.01,5.12,140980,390,Burnpur Cement Limited
19-October-2023,4.99,5.16,4.99,5.02,134490,324,Burnpur Cement Limited
18-October-2023,5.15,5.3,5.0,5.06,211402,363,Burnpur Cement Limited
17-October-2023,4.9,5.16,4.9,5.05,19719,259,Burnpur Cement Limited
16-October-2023,5.0,5.1,4.95,4.98,66986,341,Burnpur Cement Limited
13-October-2023,5.0,5.15,5.0,5.04,30670,303,Burnpur Cement Limited
12-October-2023,5.31,5.4,5.1,5.16,181433,412,Burnpur Cement Limited
11-October-2023,4.82,5.3,4.82,5.23,502492,497,Burnpur Cement Limited
10-October-2023,4.81,4.86,4.81,4.82,55591,256,Burnpur Cement Limited
9-October-2023,4.9,4.9,4.69,4.81,52361,345,Burnpur Cement Limited
6-October-2023,5.15,5.15,4.9,4.93,230512,359,Burnpur Cement Limited
5-October-2023,4.93,5.05,4.91,4.93,155757,333,Burnpur Cement Limited
4-October-2023,5.01,5.1,4.86,4.96,225495,379,Burnpur Cement Limited
3-October-2023,4.84,5.14,4.84,5.02,292931,430,Burnpur Cement Limited
29-September-2023,4.9,5.04,4.86,4.91,69329,347,Burnpur Cement Limited
28-September-2023,4.92,5.0,4.89,4.93,168581,375,Burnpur Cement Limited
27-September-2023,4.93,5.03,4.85,4.98,99445,398,Burnpur Cement Limited
26-September-2023,4.75,4.94,4.75,4.88,66501,188,Burnpur Cement Limited
25-September-2023,4.89,4.94,4.8,4.81,91827,309,Burnpur Cement Limited
22-September-2023,4.83,4.9,4.81,4.89,37831,241,Burnpur Cement Limited
21-September-2023,4.9,4.96,4.86,4.89,48758,357,Burnpur Cement Limited
20-September-2023,4.96,5.15,4.85,4.9,37331,55,Burnpur Cement Limited
18-September-2023,5.34,5.34,4.9,4.94,296215,275,Burnpur Cement Limited
15-September-2023,5.2,5.29,5.09,5.1,224641,397,Burnpur Cement Limited
14-September-2023,4.86,5.09,4.85,5.09,190080,385,Burnpur Cement Limited
13-September-2023,4.94,4.94,4.79,4.85,37758,282,Burnpur Cement Limited
12-September-2023,5.13,5.26,4.94,4.94,268457,485,Burnpur Cement Limited
11-September-2023,5.24,5.45,5.16,5.2,176841,388,Burnpur Cement Limited
8-September-2023,5.04,5.29,5.04,5.24,134625,424,Burnpur Cement Limited
7-September-2023,4.94,5.09,4.94,5.04,85102,359,Burnpur Cement Limited
6-September-2023,4.92,5.18,4.92,5.01,171648,430,Burnpur Cement Limited
5-September-2023,4.87,5.01,4.71,4.95,116999,217,Burnpur Cement Limited
4-September-2023,4.94,5.01,4.92,4.92,37410,190,Burnpur Cement Limited
1-September-2023,5.05,5.05,4.83,4.94,82677,292,Burnpur Cement Limited
31-August-2023,4.93,5.0,4.93,4.96,77305,214,Burnpur Cement Limited
30-August-2023,5.1,5.1,4.91,5.0,97601,205,Burnpur Cement Limited
29-August-2023,5.06,5.15,4.96,4.98,192329,278,Burnpur Cement Limited
28-August-2023,4.82,5.06,4.79,5.03,135891,183,Burnpur Cement Limited
25-August-2023,4.85,4.94,4.79,4.82,71532,229,Burnpur Cement Limited
24-August-2023,4.9,4.9,4.77,4.85,69356,295,Burnpur Cement Limited
23-August-2023,4.96,4.96,4.8,4.82,328824,344,Burnpur Cement Limited
22-August-2023,5.0,5.08,4.94,5.05,305716,394,Burnpur Cement Limited
21-August-2023,4.54,4.86,4.54,4.86,152065,266,Burnpur Cement Limited
18-August-2023,4.56,4.75,4.56,4.63,45345,262,Burnpur Cement Limited
17-August-2023,4.72,4.9,4.69,4.74,194820,248,Burnpur Cement Limited
16-August-2023,4.75,4.9,4.7,4.82,31491,211,Burnpur Cement Limited
14-August-2023,4.86,4.91,4.63,4.8,89411,269,Burnpur Cement Limited
11-August-2023,5.03,5.16,4.84,4.86,187373,315,Burnpur Cement Limited
10-August-2023,4.52,4.92,4.52,4.92,136677,124,Burnpur Cement Limited
9-August-2023,4.85,4.85,4.65,4.69,101811,246,Burnpur Cement Limited
8-August-2023,5.03,5.03,4.86,4.89,173956,196,Burnpur Cement Limited
7-August-2023,5.5,5.54,5.11,5.11,127241,306,Burnpur Cement Limited
4-August-2023,5.2,5.54,5.16,5.37,362418,664,Burnpur Cement Limited
3-August-2023,4.8,5.04,4.8,5.04,164571,102,Burnpur Cement Limited
2-August-2023,4.17,4.59,4.14,4.59,171906,263,Burnpur Cement Limited
1-August-2023,4.29,4.29,4.16,4.18,17468,125,Burnpur Cement Limited
31-July-2023,4.2,4.24,4.19,4.24,49417,179,Burnpur Cement Limited
28-July-2023,4.25,4.29,4.15,4.24,87414,266,Burnpur Cement Limited
27-July-2023,4.25,4.31,4.2,4.25,42457,170,Burnpur Cement Limited
26-July-2023,4.19,4.3,4.19,4.26,38663,175,Burnpur Cement Limited
25-July-2023,4.29,4.36,4.17,4.22,106822,290,Burnpur Cement Limited
24-July-2023,4.36,4.36,4.21,4.3,38189,172,Burnpur Cement Limited
21-July-2023,4.34,4.41,4.24,4.34,45856,183,Burnpur Cement Limited
20-July-2023,4.39,4.46,4.36,4.39,21457,154,Burnpur Cement Limited
19-July-2023,4.3,4.39,4.26,4.34,23118,105,Burnpur Cement Limited
18-July-2023,4.34,4.36,4.27,4.27,61235,279,Burnpur Cement Limited
17-July-2023,4.11,4.37,4.11,4.34,23125,154,Burnpur Cement Limited
14-July-2023,4.23,4.49,4.23,4.36,48165,214,Burnpur Cement Limited
13-July-2023,4.3,4.36,4.24,4.28,7807,89,Burnpur Cement Limited
12-July-2023,4.58,4.58,4.29,4.33,50787,250,Burnpur Cement Limited
11-July-2023,4.4,4.45,4.36,4.38,35134,175,Burnpur Cement Limited
10-July-2023,4.36,4.49,4.36,4.4,9681,125,Burnpur Cement Limited
7-July-2023,4.35,4.44,4.35,4.44,25731,119,Burnpur Cement Limited
6-July-2023,4.32,4.41,4.32,4.38,13723,105,Burnpur Cement Limited
5-July-2023,4.45,4.55,4.31,4.39,105353,241,Burnpur Cement Limited
4-July-2023,4.45,4.5,4.41,4.45,5575,96,Burnpur Cement Limited
3-July-2023,4.35,4.45,4.34,4.4,19067,213,Burnpur Cement Limited
30-June-2023,4.39,4.46,4.35,4.41,30045,247,Burnpur Cement Limited
28-June-2023,4.47,4.65,4.36,4.4,116209,262,Burnpur Cement Limited
27-June-2023,4.34,4.66,4.34,4.56,185150,176,Burnpur Cement Limited
26-June-2023,4.31,4.4,4.31,4.32,45807,223,Burnpur Cement Limited
23-June-2023,4.35,4.46,4.35,4.4,47419,205,Burnpur Cement Limited
22-June-2023,4.38,4.5,4.38,4.45,59871,167,Burnpur Cement Limited
21-June-2023,4.49,4.49,4.4,4.44,33088,159,Burnpur Cement Limited
20-June-2023,4.41,4.5,4.39,4.46,75783,194,Burnpur Cement Limited
19-June-2023,4.49,4.5,4.44,4.5,21526,168,Burnpur Cement Limited
16-June-2023,4.45,4.49,4.45,4.48,19185,130,Burnpur Cement Limited
15-June-2023,4.36,4.48,4.36,4.44,37080,166,Burnpur Cement Limited
14-June-2023,4.43,4.52,4.4,4.44,61239,183,Burnpur Cement Limited
13-June-2023,4.41,4.56,4.41,4.52,25599,163,Burnpur Cement Limited
12-June-2023,4.52,4.56,4.4,4.46,65137,355,Burnpur Cement Limited
9-June-2023,4.4,4.65,4.4,4.52,76983,253,Burnpur Cement Limited
8-June-2023,4.46,4.55,4.4,4.45,60265,231,Burnpur Cement Limited
7-June-2023,4.46,4.55,4.41,4.48,58397,267,Burnpur Cement Limited
6-June-2023,4.53,4.55,4.49,4.51,28135,199,Burnpur Cement Limited
5-June-2023,4.58,4.58,4.49,4.53,17486,137,Burnpur Cement Limited
2-June-2023,4.67,4.67,4.46,4.5,64488,242,Burnpur Cement Limited
1-June-2023,4.57,4.57,4.45,4.52,55657,36,Burnpur Cement Limited
31-May-2023,4.56,4.61,4.5,4.54,19395,61,Burnpur Cement Limited
30-May-2023,4.7,4.7,4.5,4.57,40222,136,Burnpur Cement Limited
29-May-2023,4.68,4.68,4.5,4.6,42801,159,Burnpur Cement Limited
26-May-2023,4.74,4.74,4.5,4.6,46420,179,Burnpur Cement Limited
25-May-2023,4.51,4.65,4.5,4.58,31022,107,Burnpur Cement Limited
24-May-2023,4.5,4.61,4.5,4.56,14504,96,Burnpur Cement Limited
23-May-2023,4.5,4.61,4.49,4.54,100766,90,Burnpur Cement Limited
22-May-2023,4.51,4.61,4.51,4.58,70532,156,Burnpur Cement Limited
19-May-2023,4.76,4.76,4.56,4.56,13595,63,Burnpur Cement Limited
18-May-2023,4.66,4.8,4.64,4.74,25951,191,Burnpur Cement Limited
17-May-2023,4.65,4.66,4.59,4.66,31713,177,Burnpur Cement Limited
16-May-2023,4.61,4.64,4.54,4.61,38280,170,Burnpur Cement Limited
15-May-2023,4.6,4.76,4.56,4.56,69851,121,Burnpur Cement Limited
12-May-2023,4.84,4.84,4.61,4.63,11357,54,Burnpur Cement Limited
11-May-2023,4.55,4.71,4.54,4.64,19774,113,Burnpur Cement Limited
10-May-2023,4.71,4.71,4.54,4.58,26854,216,Burnpur Cement Limited
9-May-2023,4.74,4.74,4.62,4.65,72632,256,Burnpur Cement Limited
8-May-2023,4.8,4.86,4.71,4.77,49634,186,Burnpur Cement Limited
5-May-2023,5.04,5.04,4.75,4.77,15399,126,Burnpur Cement Limited
4-May-2023,4.74,4.81,4.66,4.81,116164,298,Burnpur Cement Limited
3-May-2023,4.95,4.95,4.7,4.75,48237,78,Burnpur Cement Limited
2-May-2023,4.85,4.95,4.55,4.75,189054,402,Burnpur Cement Limited
28-April-2023,4.85,4.96,4.85,4.91,73397,257,Burnpur Cement Limited
27-April-2023,5.0,5.0,4.89,4.9,86591,203,Burnpur Cement Limited
26-April-2023,4.94,5.01,4.89,4.96,7590,66,Burnpur Cement Limited
25-April-2023,4.99,5.01,4.63,4.99,25699,163,Burnpur Cement Limited
24-April-2023,5.22,5.22,4.8,4.94,54036,164,Burnpur Cement Limited
21-April-2023,5.0,5.21,4.94,4.98,44646,218,Burnpur Cement Limited
20-April-2023,5.1,5.11,4.9,5.01,34894,190,Burnpur Cement Limited
19-April-2023,5.01,5.25,4.89,5.0,17183,134,Burnpur Cement Limited
18-April-2023,5.14,5.26,4.96,5.01,95808,298,Burnpur Cement Limited
17-April-2023,5.22,5.3,5.1,5.21,63585,131,Burnpur Cement Limited
13-April-2023,5.14,5.26,5.14,5.22,9656,81,Burnpur Cement Limited
12-April-2023,5.31,5.41,5.19,5.23,66354,211,Burnpur Cement Limited
11-April-2023,5.49,5.49,5.25,5.34,88909,220,Burnpur Cement Limited
10-April-2023,5.6,5.7,5.07,5.25,79841,288,Burnpur Cement Limited
6-April-2023,5.9,6.09,5.49,5.56,476134,525,Burnpur Cement Limited
5-April-2023,5.1,5.58,5.1,5.58,350401,372,Burnpur Cement Limited
3-April-2023,4.27,5.08,4.27,5.08,443626,414,Burnpur Cement Limited
31-March-2023,4.89,4.89,4.56,4.62,501161,626,Burnpur Cement Limited
29-March-2023,5.2,5.35,5.06,5.06,206532,231,Burnpur Cement Limited
28-March-2023,6.25,6.75,5.62,5.62,660388,797,Burnpur Cement Limited
27-March-2023,5.95,6.28,5.22,6.24,2470130,1992,Burnpur Cement Limited
24-March-2023,5.33,5.71,5.2,5.71,2145490,1832,Burnpur Cement Limited
23-March-2023,4.15,4.76,4.15,4.76,343803,205,Burnpur Cement Limited
22-March-2023,4.05,4.15,3.94,3.97,37665,133,Burnpur Cement Limited
21-March-2023,4.48,4.48,4.01,4.11,18635,94,Burnpur Cement Limited
20-March-2023,3.95,4.5,3.55,4.01,90981,86,Burnpur Cement Limited
17-March-2023,4.2,4.3,3.9,3.99,97684,264,Burnpur Cement Limited
16-March-2023,4.24,4.24,4.16,4.21,26083,51,Burnpur Cement Limited
15-March-2023,4.3,4.36,4.25,4.28,17214,78,Burnpur Cement Limited
14-March-2023,4.46,4.46,4.25,4.3,27436,48,Burnpur Cement Limited
13-March-2023,4.11,4.9,4.11,4.42,6068,38,Burnpur Cement Limited
10-March-2023,4.5,4.65,4.35,4.42,63721,106,Burnpur Cement Limited
9-March-2023,4.46,4.85,4.46,4.56,14712,83,Burnpur Cement Limited
8-March-2023,4.65,4.66,4.49,4.56,6769,41,Burnpur Cement Limited
6-March-2023,4.42,4.8,4.42,4.54,64415,163,Burnpur Cement Limited
3-March-2023,4.99,4.99,4.11,4.4,15831,46,Burnpur Cement Limited
2-March-2023,4.35,4.45,4.34,4.39,3080,22,Burnpur Cement Limited
1-March-2023,4.31,4.5,4.24,4.35,21714,127,Burnpur Cement Limited
28-February-2023,4.41,4.56,4.29,4.3,14031,35,Burnpur Cement Limited
27-February-2023,4.61,4.61,4.4,4.41,9384,35,Burnpur Cement Limited
24-February-2023,4.61,4.66,4.46,4.61,11942,44,Burnpur Cement Limited
23-February-2023,4.56,4.66,4.5,4.52,16770,52,Burnpur Cement Limited
22-February-2023,4.35,4.99,4.35,4.53,53921,158,Burnpur Cement Limited
