Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,5435.0,5542.9,5389.5,5448.3,25177,6024
27-June-2024,5385.35,5450.8,5301.1,5439.3,14940,2900
26-June-2024,5395.0,5459.0,5304.5,5319.9,10261,2347
25-June-2024,5355.1,5395.2,5310.25,5349.55,5027,1638
24-June-2024,5383.9,5431.2,5330.35,5350.4,13959,3072
21-June-2024,5400.0,5520.0,5340.6,5383.9,34490,5966
20-June-2024,5449.45,5449.45,5310.45,5317.65,12975,2771
19-June-2024,5299.95,5450.0,5220.05,5393.5,20555,4509
18-June-2024,5202.05,5292.0,5160.45,5272.05,10561,2217
14-June-2024,5272.8,5285.65,5178.75,5197.0,9570,1883
13-June-2024,5239.2,5317.0,5200.0,5272.6,19847,2578
12-June-2024,5221.25,5262.8,5171.0,5178.6,13940,2650
11-June-2024,5278.55,5278.55,5159.0,5175.9,8179,2173
10-June-2024,5499.75,5499.75,5195.0,5218.5,28790,5190
7-June-2024,5321.85,5460.0,5321.85,5429.5,65158,8396
6-June-2024,5185.2,5273.9,5173.65,5217.45,17608,3602
5-June-2024,4983.9,5170.0,4936.1,5130.75,8414,2066
4-June-2024,5025.0,5100.0,4718.85,4953.25,46807,10062
3-June-2024,5051.1,5120.4,4950.05,5020.65,19708,4174
31-May-2024,4982.55,5013.35,4940.95,4973.15,2927,789
30-May-2024,5136.25,5141.0,4979.8,4994.6,10071,3738
29-May-2024,5145.0,5199.0,5110.0,5140.45,13334,3560
28-May-2024,5298.0,5309.05,5137.5,5146.95,33032,6869
27-May-2024,5171.95,5312.0,5111.3,5264.3,30954,7004
24-May-2024,5100.0,5129.0,5078.75,5104.8,22707,3803
23-May-2024,4950.0,5165.15,4933.9,5068.7,84740,15597
22-May-2024,4854.95,5008.0,4829.95,4912.7,46884,9753
21-May-2024,4747.35,4800.0,4726.65,4790.65,23610,5366
18-May-2024,4721.05,4749.0,4708.4,4731.35,4059,954
17-May-2024,4697.95,4746.95,4664.0,4714.0,23314,5361
16-May-2024,4674.95,4709.95,4590.0,4681.05,16275,3196
15-May-2024,4570.0,4625.0,4540.85,4614.8,23374,3344
14-May-2024,4533.2,4585.1,4510.0,4559.5,6989,1247
13-May-2024,4481.5,4550.0,4404.05,4532.05,8511,1528
10-May-2024,4324.55,4470.2,4301.3,4464.75,21686,2889
9-May-2024,4432.95,4432.95,4291.05,4301.75,8837,2054
8-May-2024,4430.1,4470.0,4392.95,4405.55,18221,4403
7-May-2024,4447.45,4484.05,4341.05,4417.2,60509,8592
6-May-2024,4525.05,4544.95,4409.0,4413.25,26786,4418
3-May-2024,4505.25,4720.7,4460.0,4481.75,178455,28917
2-May-2024,5114.1,5114.1,4971.1,4986.1,7518,1919
30-April-2024,5186.75,5234.05,5088.3,5100.1,4152,1019
29-April-2024,5332.4,5332.4,5170.0,5182.2,2582,716
26-April-2024,5215.0,5380.0,5182.0,5250.9,78895,1725
25-April-2024,5121.45,5217.95,5121.0,5208.1,6532,1593
24-April-2024,5247.85,5267.65,5187.1,5194.15,2692,666
23-April-2024,5193.1,5240.0,5113.0,5216.55,4385,1012
22-April-2024,5134.6,5181.4,5082.8,5098.3,3767,982
19-April-2024,5172.35,5175.0,5091.1,5117.75,11569,2995
18-April-2024,5224.7,5310.0,5174.95,5207.65,13890,2492
16-April-2024,5341.5,5350.1,5191.0,5212.15,14087,2687
15-April-2024,5465.05,5584.45,5372.35,5393.7,16903,4286
12-April-2024,5699.0,5718.9,5602.6,5616.95,4324,1020
10-April-2024,5737.35,5737.35,5670.2,5698.35,4300,1372
9-April-2024,5702.2,5775.0,5688.8,5711.8,3307,884
8-April-2024,5800.0,5820.0,5605.5,5679.95,9572,2303
5-April-2024,5830.2,5841.95,5745.05,5783.5,3764,740
4-April-2024,5850.0,5888.0,5754.0,5817.15,12116,2281
3-April-2024,5555.25,5703.4,5522.4,5662.2,8383,1393
2-April-2024,5508.1,5570.7,5492.0,5555.15,6107,1414
1-April-2024,5530.7,5563.55,5461.5,5490.8,3100,714
28-March-2024,5574.6,5579.95,5485.0,5498.9,10120,2340
27-March-2024,5594.85,5631.55,5531.0,5554.15,4232,831
26-March-2024,5500.3,5579.5,5500.3,5543.8,8343,1657
22-March-2024,5689.95,5689.95,5465.95,5544.15,18605,4114
21-March-2024,5633.4,5731.3,5602.45,5706.1,4967,994
20-March-2024,5639.4,5639.4,5475.9,5523.35,11531,1635
19-March-2024,5724.15,5745.0,5538.05,5549.35,10992,2108
18-March-2024,6058.2,6058.2,5666.05,5695.15,30752,6160
15-March-2024,6099.65,6137.95,6014.25,6116.95,2486,778
14-March-2024,6100.05,6126.85,5903.2,6084.8,6775,1855
13-March-2024,6263.75,6320.35,6124.15,6170.25,7894,1575
12-March-2024,6248.45,6346.15,6190.0,6263.35,5618,1086
11-March-2024,6255.55,6301.05,6167.5,6242.85,6802,1714
7-March-2024,6315.05,6377.95,6242.3,6254.45,2110,618
6-March-2024,6319.55,6358.9,6115.3,6311.25,17637,4293
5-March-2024,6420.05,6444.0,6288.0,6317.2,5839,1763
4-March-2024,6501.85,6527.8,6407.5,6441.9,8481,2646
2-March-2024,6500.0,6565.85,6444.75,6510.85,391,200
1-March-2024,6545.05,6621.55,6456.0,6504.5,164864,2916
29-February-2024,6460.05,6578.0,6388.25,6561.4,9771,1579
28-February-2024,6561.0,6588.6,6425.6,6465.15,5969,1489
27-February-2024,6311.15,6647.6,6311.15,6561.65,5515,976
26-February-2024,6677.55,6678.0,6489.0,6604.6,4371,1002
23-February-2024,6633.75,6721.2,6590.75,6605.3,5352,1059
22-February-2024,6560.65,6672.85,6534.15,6622.55,4546,663
21-February-2024,6660.05,6687.2,6500.9,6544.9,12754,2262
20-February-2024,6799.85,6800.0,6584.0,6659.4,5282,1136
19-February-2024,6661.1,6840.0,6571.0,6753.1,7126,1503
16-February-2024,6680.0,6683.5,6525.0,6661.9,4480,907
15-February-2024,6542.85,6663.7,6524.3,6636.75,10598,1538
14-February-2024,6580.0,6616.85,6398.65,6477.65,11682,3023
13-February-2024,6724.85,6741.35,6589.8,6664.5,4459,975
12-February-2024,6505.25,6730.0,6505.0,6665.25,12249,2493
9-February-2024,6635.05,6640.0,6472.05,6500.1,7393,1568
8-February-2024,6639.95,6659.1,6568.65,6610.25,4586,719
7-February-2024,6600.05,6630.2,6515.65,6581.95,5876,876
6-February-2024,6385.15,6570.0,6385.15,6559.4,7985,1247
5-February-2024,6427.7,6471.6,6347.3,6359.85,4697,1139
2-February-2024,6200.45,6468.3,6200.45,6423.95,16593,2805
1-February-2024,6250.1,6276.5,6103.95,6170.7,3443,877
31-January-2024,6248.7,6328.75,6241.85,6249.25,3885,1053
30-January-2024,6275.15,6420.0,6168.0,6248.55,14332,2879
29-January-2024,6239.55,6321.0,6203.1,6254.4,39613,2724
25-January-2024,6366.65,6430.0,6166.0,6206.05,4124,1084
24-January-2024,6220.0,6415.0,6167.0,6357.4,5570,1467
23-January-2024,6510.6,6510.6,6170.0,6200.1,10330,2412
20-January-2024,6417.0,6500.65,6264.95,6277.75,7223,1500
19-January-2024,6534.5,6550.0,6371.45,6425.65,8361,1483
18-January-2024,6535.15,6610.15,6268.0,6471.0,22090,4944
17-January-2024,6539.85,6660.0,6500.0,6632.6,5591,1183
16-January-2024,6625.1,6642.35,6517.4,6594.75,4106,922
15-January-2024,6683.35,6788.0,6584.15,6612.0,20488,3937
12-January-2024,6341.75,6615.15,6341.75,6596.1,20999,3510
11-January-2024,6250.0,6338.5,6225.4,6237.1,8997,1769
10-January-2024,6075.0,6171.7,6039.2,6142.15,8377,1654
9-January-2024,6241.7,6272.0,6054.6,6070.15,6932,1386
8-January-2024,6115.1,6132.4,6010.0,6059.85,4651,932
5-January-2024,5969.9,6145.0,5963.65,6075.15,9347,1713
4-January-2024,5974.85,6030.0,5917.85,5951.95,6227,1282
3-January-2024,6035.1,6048.6,5846.0,5925.9,8876,1555
2-January-2024,6171.05,6205.5,5999.05,6037.15,7223,1198
1-January-2024,6275.35,6280.8,6183.1,6190.0,5178,1223
29-December-2023,6270.0,6320.05,6227.15,6275.3,4018,737
28-December-2023,6310.05,6320.75,6238.15,6267.45,5932,1104
27-December-2023,6315.0,6398.25,6282.25,6302.8,7205,1358
