Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,17.29,17.4,16.63,16.66,1421,12
27-June-2024,16.85,17.57,16.51,16.96,2625,14
26-June-2024,16.84,17.28,16.84,16.85,3504,32
25-June-2024,16.93,17.46,16.9,16.91,4686,27
24-June-2024,17.75,17.75,17.12,17.28,9457,52
21-June-2024,16.57,17.63,16.37,17.4,2632,17
20-June-2024,17.77,17.77,16.89,16.91,7320,21
19-June-2024,17.51,17.55,16.98,17.07,9706,34
18-June-2024,17.98,17.98,17.32,17.87,2288,11
14-June-2024,17.62,17.75,17.07,17.23,10221,24
13-June-2024,18.0,18.0,17.0,17.04,5828,37
12-June-2024,18.26,18.26,17.1,17.74,13821,72
11-June-2024,18.01,19.04,17.51,17.9,16814,45
10-June-2024,18.69,18.78,17.8,18.14,1494,21
7-June-2024,19.34,19.44,17.66,18.34,47416,141
6-June-2024,18.53,18.53,18.0,18.53,61588,113
5-June-2024,17.65,17.65,17.16,17.65,89823,116
4-June-2024,16.81,16.81,16.5,16.81,181777,129
3-June-2024,16.0,16.01,16.0,16.01,23480,37
31-May-2024,15.34,16.16,14.81,15.25,10366,46
30-May-2024,15.54,15.77,14.9,15.58,16820,48
29-May-2024,15.72,15.72,15.13,15.54,2019,12
28-May-2024,15.21,15.85,15.2,15.35,4628,23
27-May-2024,15.97,16.17,15.52,15.8,10025,27
24-May-2024,16.5,16.83,15.71,16.3,7121,22
23-May-2024,16.75,16.75,15.47,16.5,14432,50
22-May-2024,15.83,16.22,15.83,16.22,832,9
21-May-2024,15.5,16.14,15.24,15.45,2243,19
18-May-2024,15.94,15.94,15.5,15.55,1398,13
17-May-2024,15.73,15.73,15.01,15.35,4172,35
16-May-2024,15.45,15.5,15.3,15.42,751,11
15-May-2024,14.95,15.55,14.6,15.42,7359,39
14-May-2024,14.9,15.0,14.9,14.95,3483,25
13-May-2024,15.0,15.2,14.53,15.2,1574,12
10-May-2024,15.3,15.4,14.76,14.95,5567,38
9-May-2024,14.55,15.61,14.54,15.38,2128,14
8-May-2024,15.59,15.59,15.04,15.25,4356,31
7-May-2024,15.96,16.14,15.35,15.7,4245,22
6-May-2024,16.02,16.34,15.96,15.96,16288,63
3-May-2024,16.48,17.4,15.98,16.8,30095,52
2-May-2024,16.94,16.94,16.38,16.82,1842,20
30-April-2024,16.7,17.15,16.35,16.78,1960,13
29-April-2024,16.6,16.8,16.05,16.37,5269,34
