Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,753.65,776.95,739.15,763.65,84056,6617
27-June-2024,726.0,752.85,721.1,748.25,58745,6845
26-June-2024,700.15,722.05,700.15,716.15,4318,507
25-June-2024,713.0,714.0,698.0,701.85,14258,1663
24-June-2024,688.65,705.95,688.65,701.5,8938,1074
21-June-2024,720.0,725.45,702.55,706.4,15335,1338
20-June-2024,715.65,732.4,715.65,723.6,6895,811
19-June-2024,740.0,740.0,720.25,722.05,6454,695
18-June-2024,703.95,739.9,703.45,724.1,23802,1517
14-June-2024,683.0,701.75,681.55,699.75,27184,3859
13-June-2024,684.5,687.6,674.0,681.35,3013,408
12-June-2024,692.0,693.0,677.55,681.2,10929,1083
11-June-2024,695.35,700.35,688.05,691.95,2322,301
10-June-2024,685.0,709.6,685.0,692.0,13302,1603
7-June-2024,675.0,697.0,669.15,689.65,7136,599
6-June-2024,660.0,677.05,653.95,670.5,4534,632
5-June-2024,625.65,654.95,625.65,647.15,5372,674
4-June-2024,661.0,664.8,625.0,649.35,20408,2650
3-June-2024,652.0,671.95,652.0,665.5,26799,2768
31-May-2024,650.65,654.95,647.0,650.0,3406,468
30-May-2024,655.0,664.0,647.1,651.2,2527,379
29-May-2024,656.2,671.75,653.0,658.8,10765,725
28-May-2024,652.95,660.0,644.2,656.15,10988,1138
27-May-2024,646.0,658.0,646.0,655.55,3851,406
24-May-2024,665.4,678.3,645.7,651.8,27828,2706
23-May-2024,670.55,676.0,669.8,672.35,12449,1034
22-May-2024,668.05,674.0,660.5,668.95,8869,1095
21-May-2024,677.85,679.0,663.0,667.85,3481,433
18-May-2024,660.05,684.15,660.05,677.2,2807,364
17-May-2024,678.3,692.5,673.05,679.7,8419,787
16-May-2024,667.0,675.0,664.85,670.2,15928,1038
15-May-2024,664.0,670.2,660.5,665.85,3638,381
14-May-2024,669.95,669.95,653.5,662.65,1525,207
13-May-2024,665.0,666.0,657.55,662.2,3352,344
10-May-2024,643.0,671.8,639.35,663.05,9214,667
9-May-2024,644.35,650.45,644.35,647.3,1372,170
8-May-2024,645.0,656.75,638.0,644.95,5355,469
7-May-2024,650.5,655.95,640.85,644.0,5477,402
6-May-2024,646.05,655.35,642.45,647.0,6800,959
