Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,6.95,7.17,6.95,7.17,3633,11,Creative Eye Ltd.
27-June-2024,7.37,7.37,7.09,7.09,21985,30,Creative Eye Ltd.
26-June-2024,7.23,7.23,7.23,7.23,2613,9,Creative Eye Ltd.
25-June-2024,7.4,7.4,7.37,7.37,3304,18,Creative Eye Ltd.
24-June-2024,7.47,7.47,7.47,7.47,1088,10,Creative Eye Ltd.
21-June-2024,7.62,7.62,7.62,7.62,6719,12,Creative Eye Ltd.
20-June-2024,7.79,7.79,7.77,7.77,1717,12,Creative Eye Ltd.
19-June-2024,7.67,7.67,7.65,7.65,7672,21,Creative Eye Ltd.
18-June-2024,7.78,7.86,7.78,7.8,15176,20,Creative Eye Ltd.
14-June-2024,7.71,7.93,7.5,7.93,25293,82,Creative Eye Ltd.
13-June-2024,7.53,7.56,7.4,7.56,35360,106,Creative Eye Ltd.
12-June-2024,7.2,7.2,7.19,7.2,24936,40,Creative Eye Ltd.
11-June-2024,6.85,6.86,6.26,6.86,20012,30,Creative Eye Ltd.
10-June-2024,5.92,6.54,5.92,6.54,53163,108,Creative Eye Ltd.
7-June-2024,6.23,6.23,6.23,6.23,18313,51,Creative Eye Ltd.
6-June-2024,6.55,6.55,6.55,6.55,9939,42,Creative Eye Ltd.
5-June-2024,6.89,6.89,6.89,6.89,14729,39,Creative Eye Ltd.
4-June-2024,8.01,8.01,7.25,7.25,63438,139,Creative Eye Ltd.
3-June-2024,7.63,7.63,7.63,7.63,1650,9,Creative Eye Ltd.
31-May-2024,7.27,7.27,7.27,7.27,3165,10,Creative Eye Ltd.
30-May-2024,6.93,6.93,6.93,6.93,5867,8,Creative Eye Ltd.
29-May-2024,6.58,6.6,6.4,6.6,12956,60,Creative Eye Ltd.
28-May-2024,5.9,6.51,5.9,6.29,31788,61,Creative Eye Ltd.
27-May-2024,6.2,6.37,6.19,6.2,19506,59,Creative Eye Ltd.
24-May-2024,5.85,6.1,5.85,6.07,12364,30,Creative Eye Ltd.
23-May-2024,5.96,6.15,5.75,6.15,39457,47,Creative Eye Ltd.
22-May-2024,6.3,6.3,5.85,5.96,20885,28,Creative Eye Ltd.
21-May-2024,6.1,6.1,6.0,6.05,6677,52,Creative Eye Ltd.
18-May-2024,6.1,6.27,5.9,6.0,9159,20,Creative Eye Ltd.
17-May-2024,6.2,6.2,5.78,5.98,9825,39,Creative Eye Ltd.
16-May-2024,6.25,6.25,5.7,6.08,1648,14,Creative Eye Ltd.
15-May-2024,5.93,6.1,5.9,5.98,4977,62,Creative Eye Ltd.
14-May-2024,6.08,6.1,5.75,5.81,1927,38,Creative Eye Ltd.
13-May-2024,6.15,6.45,5.89,5.96,11542,131,Creative Eye Ltd.
10-May-2024,6.18,6.2,6.03,6.2,21226,94,Creative Eye Ltd.
9-May-2024,5.69,5.92,5.45,5.92,15965,2123,Creative Eye Ltd.
8-May-2024,5.65,6.01,5.63,5.64,17657,560,Creative Eye Ltd.
7-May-2024,6.01,6.3,5.86,5.92,19618,52,Creative Eye Ltd.
6-May-2024,6.35,6.35,5.84,6.12,57921,188,Creative Eye Ltd.
3-May-2024,6.19,6.2,5.62,6.05,68995,638,Creative Eye Ltd.
2-May-2024,5.87,5.91,5.65,5.91,35671,99,Creative Eye Ltd.
30-April-2024,5.63,5.63,5.46,5.63,26831,60,Creative Eye Ltd.
29-April-2024,5.37,5.37,5.37,5.37,5283,17,Creative Eye Ltd.
26-April-2024,5.21,5.21,5.07,5.12,9083,40,Creative Eye Ltd.
25-April-2024,4.97,4.97,4.83,4.97,14308,31,Creative Eye Ltd.
24-April-2024,4.73,4.74,4.5,4.74,9399,28,Creative Eye Ltd.
