Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,137.9,140.9,137.25,137.95,149551,2399,DCB Bank Limited
27-June-2024,140.25,141.0,136.2,137.75,182068,2635,DCB Bank Limited
26-June-2024,142.35,143.9,140.05,140.15,121473,1323,DCB Bank Limited
25-June-2024,140.85,143.5,138.8,141.5,1028671,3394,DCB Bank Limited
24-June-2024,142.05,142.05,137.7,141.05,96806,1310,DCB Bank Limited
21-June-2024,144.05,145.95,140.8,141.3,144398,1799,DCB Bank Limited
20-June-2024,140.15,144.0,139.8,143.4,801922,7740,DCB Bank Limited
19-June-2024,139.0,139.6,136.0,137.55,123119,1180,DCB Bank Limited
18-June-2024,137.9,140.2,135.5,138.9,363145,3194,DCB Bank Limited
14-June-2024,137.55,139.6,135.85,136.75,315560,4202,DCB Bank Limited
13-June-2024,135.0,139.5,134.5,137.2,470031,4762,DCB Bank Limited
12-June-2024,132.0,136.5,131.4,134.95,209072,2219,DCB Bank Limited
11-June-2024,132.0,134.0,131.65,131.85,157179,1856,DCB Bank Limited
10-June-2024,133.0,134.3,132.0,133.1,239024,2474,DCB Bank Limited
7-June-2024,130.7,137.4,129.65,131.95,518037,7181,DCB Bank Limited
6-June-2024,132.6,132.6,128.05,129.85,67634,1138,DCB Bank Limited
5-June-2024,122.0,129.95,120.3,129.2,307389,4156,DCB Bank Limited
4-June-2024,130.6,130.6,115.5,122.85,643712,7833,DCB Bank Limited
3-June-2024,132.9,132.9,129.05,131.7,106834,1373,DCB Bank Limited
31-May-2024,126.8,128.8,125.3,128.0,81579,995,DCB Bank Limited
30-May-2024,129.75,129.75,126.5,126.75,123734,1657,DCB Bank Limited
29-May-2024,129.55,129.55,128.0,128.4,51649,666,DCB Bank Limited
28-May-2024,129.0,131.15,127.85,129.55,166335,1816,DCB Bank Limited
27-May-2024,130.2,130.2,127.8,129.85,175137,2902,DCB Bank Limited
24-May-2024,129.95,130.6,128.95,129.3,170341,2470,DCB Bank Limited
23-May-2024,130.05,131.3,129.45,129.7,103097,1760,DCB Bank Limited
22-May-2024,132.95,132.95,129.25,130.25,125498,1817,DCB Bank Limited
21-May-2024,132.95,132.95,129.6,131.85,156889,2986,DCB Bank Limited
18-May-2024,132.6,132.6,131.05,131.9,14120,323,DCB Bank Limited
17-May-2024,129.9,131.25,129.1,130.7,121184,2364,DCB Bank Limited
16-May-2024,130.05,130.85,128.5,129.55,74745,1310,DCB Bank Limited
15-May-2024,129.1,130.75,129.1,129.85,100946,1623,DCB Bank Limited
14-May-2024,129.95,129.95,127.05,129.05,36536,612,DCB Bank Limited
13-May-2024,130.55,130.55,125.0,128.0,200892,2618,DCB Bank Limited
10-May-2024,127.15,131.15,126.25,130.55,182007,2238,DCB Bank Limited
9-May-2024,134.0,134.1,127.3,128.2,232506,3263,DCB Bank Limited
8-May-2024,132.75,134.25,132.0,132.65,58144,1159,DCB Bank Limited
7-May-2024,136.25,136.5,131.0,133.65,280387,3062,DCB Bank Limited
6-May-2024,138.65,139.5,133.95,136.6,261029,3259,DCB Bank Limited
