Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,171.65,171.65,168.3,168.75,1559,114,DEEP ENERGY RESOURCES LIMITED
27-June-2024,173.2,173.7,167.3,168.0,2444,268,DEEP ENERGY RESOURCES LIMITED
26-June-2024,171.05,177.0,169.95,172.85,2128,214,DEEP ENERGY RESOURCES LIMITED
25-June-2024,170.25,175.4,170.25,170.85,1752,161,DEEP ENERGY RESOURCES LIMITED
24-June-2024,169.9,174.95,169.8,172.75,2424,137,DEEP ENERGY RESOURCES LIMITED
21-June-2024,173.0,180.25,167.0,169.4,14893,341,DEEP ENERGY RESOURCES LIMITED
20-June-2024,175.35,177.95,173.5,174.6,2822,215,DEEP ENERGY RESOURCES LIMITED
19-June-2024,177.8,177.8,173.65,174.55,368,26,DEEP ENERGY RESOURCES LIMITED
18-June-2024,180.0,180.0,175.65,175.95,1500,79,DEEP ENERGY RESOURCES LIMITED
14-June-2024,180.35,180.5,178.75,179.55,1345,119,DEEP ENERGY RESOURCES LIMITED
13-June-2024,179.95,181.0,178.7,179.55,606,48,DEEP ENERGY RESOURCES LIMITED
12-June-2024,180.45,183.5,177.05,178.65,1263,98,DEEP ENERGY RESOURCES LIMITED
11-June-2024,173.45,180.6,173.45,179.75,502,65,DEEP ENERGY RESOURCES LIMITED
10-June-2024,174.6,180.0,171.65,176.6,3328,237,DEEP ENERGY RESOURCES LIMITED
7-June-2024,170.0,176.8,170.0,174.6,1570,77,DEEP ENERGY RESOURCES LIMITED
6-June-2024,165.55,176.1,164.9,173.15,1734,263,DEEP ENERGY RESOURCES LIMITED
5-June-2024,157.8,166.6,153.6,161.9,1211,96,DEEP ENERGY RESOURCES LIMITED
4-June-2024,177.45,177.45,153.5,154.6,4342,393,DEEP ENERGY RESOURCES LIMITED
3-June-2024,188.0,188.0,168.05,169.75,2851,233,DEEP ENERGY RESOURCES LIMITED
31-May-2024,173.8,174.1,167.1,167.95,9550,447,DEEP ENERGY RESOURCES LIMITED
30-May-2024,172.0,176.0,169.95,170.75,4286,165,DEEP ENERGY RESOURCES LIMITED
29-May-2024,175.7,178.15,172.1,173.35,5607,321,DEEP ENERGY RESOURCES LIMITED
28-May-2024,192.0,192.0,178.0,178.5,1393,117,DEEP ENERGY RESOURCES LIMITED
27-May-2024,180.25,182.3,175.15,181.95,1753,150,DEEP ENERGY RESOURCES LIMITED
24-May-2024,173.25,180.9,173.25,179.35,2550,137,DEEP ENERGY RESOURCES LIMITED
23-May-2024,175.15,179.7,175.15,175.95,2033,84,DEEP ENERGY RESOURCES LIMITED
22-May-2024,183.55,183.55,175.4,178.0,2065,171,DEEP ENERGY RESOURCES LIMITED
21-May-2024,173.35,182.1,173.35,179.95,3245,135,DEEP ENERGY RESOURCES LIMITED
18-May-2024,182.2,184.9,181.1,181.1,74,18,DEEP ENERGY RESOURCES LIMITED
17-May-2024,179.5,182.1,178.5,178.6,1509,64,DEEP ENERGY RESOURCES LIMITED
16-May-2024,180.5,185.4,178.6,179.0,700,68,DEEP ENERGY RESOURCES LIMITED
15-May-2024,184.2,184.3,179.7,180.5,1013,91,DEEP ENERGY RESOURCES LIMITED
14-May-2024,182.0,185.75,179.5,184.2,5609,456,DEEP ENERGY RESOURCES LIMITED
13-May-2024,171.15,181.95,171.15,179.35,1351,123,DEEP ENERGY RESOURCES LIMITED
10-May-2024,181.0,181.8,178.7,179.3,3457,199,DEEP ENERGY RESOURCES LIMITED
9-May-2024,183.7,183.7,177.8,178.9,1550,262,DEEP ENERGY RESOURCES LIMITED
8-May-2024,181.45,186.1,181.05,183.7,4542,169,DEEP ENERGY RESOURCES LIMITED
7-May-2024,188.0,188.0,180.5,181.45,2679,205,DEEP ENERGY RESOURCES LIMITED
6-May-2024,194.0,194.0,185.7,188.05,5446,206,DEEP ENERGY RESOURCES LIMITED
3-May-2024,192.0,197.1,188.9,191.4,2502,204,DEEP ENERGY RESOURCES LIMITED
2-May-2024,198.0,209.0,190.25,191.65,56384,3357,DEEP ENERGY RESOURCES LIMITED
30-April-2024,184.5,193.3,179.95,191.3,1871,138,DEEP ENERGY RESOURCES LIMITED
29-April-2024,183.5,184.9,180.25,180.85,1500,73,DEEP ENERGY RESOURCES LIMITED
26-April-2024,183.05,184.15,181.2,182.15,1757,149,DEEP ENERGY RESOURCES LIMITED
25-April-2024,182.0,185.6,181.0,182.2,3326,146,DEEP ENERGY RESOURCES LIMITED
24-April-2024,181.1,187.0,180.05,181.8,4530,210,DEEP ENERGY RESOURCES LIMITED
23-April-2024,180.05,187.85,180.05,183.7,4456,361,DEEP ENERGY RESOURCES LIMITED
22-April-2024,191.05,192.45,183.05,184.25,2211,171,DEEP ENERGY RESOURCES LIMITED
19-April-2024,187.65,195.0,179.6,188.05,14393,1205,DEEP ENERGY RESOURCES LIMITED
18-April-2024,188.0,189.2,182.05,183.95,2076,202,DEEP ENERGY RESOURCES LIMITED
16-April-2024,181.35,197.1,181.35,187.25,7781,469,DEEP ENERGY RESOURCES LIMITED
15-April-2024,178.6,181.0,172.0,176.3,2318,136,DEEP ENERGY RESOURCES LIMITED
12-April-2024,192.6,192.6,181.2,182.2,1138,95,DEEP ENERGY RESOURCES LIMITED
10-April-2024,189.05,193.85,187.95,188.8,2419,217,DEEP ENERGY RESOURCES LIMITED
9-April-2024,180.05,193.6,180.05,188.1,2341,119,DEEP ENERGY RESOURCES LIMITED
8-April-2024,197.35,198.1,187.05,187.95,8604,485,DEEP ENERGY RESOURCES LIMITED
5-April-2024,185.15,194.85,182.5,194.05,13973,620,DEEP ENERGY RESOURCES LIMITED
4-April-2024,189.15,189.15,181.15,183.35,3522,353,DEEP ENERGY RESOURCES LIMITED
3-April-2024,186.0,189.35,184.05,186.3,1663,132,DEEP ENERGY RESOURCES LIMITED
2-April-2024,184.5,187.0,182.0,185.4,9379,580,DEEP ENERGY RESOURCES LIMITED
1-April-2024,182.0,187.5,181.75,186.5,5023,125,DEEP ENERGY RESOURCES LIMITED
28-March-2024,176.0,182.05,176.0,178.35,3377,221,DEEP ENERGY RESOURCES LIMITED
27-March-2024,178.45,185.65,177.0,179.55,3881,196,DEEP ENERGY RESOURCES LIMITED
26-March-2024,180.35,192.05,180.0,180.05,3641,243,DEEP ENERGY RESOURCES LIMITED
22-March-2024,177.15,182.45,174.9,176.5,8981,495,DEEP ENERGY RESOURCES LIMITED
21-March-2024,181.6,182.5,176.65,176.75,1828,61,DEEP ENERGY RESOURCES LIMITED
20-March-2024,171.15,180.4,171.15,175.95,6541,83,DEEP ENERGY RESOURCES LIMITED
19-March-2024,181.6,188.9,175.5,177.15,5678,229,DEEP ENERGY RESOURCES LIMITED
18-March-2024,182.05,188.0,180.45,183.05,3586,342,DEEP ENERGY RESOURCES LIMITED
15-March-2024,175.25,179.9,170.7,175.85,683,73,DEEP ENERGY RESOURCES LIMITED
14-March-2024,160.6,183.0,159.1,173.05,5588,428,DEEP ENERGY RESOURCES LIMITED
13-March-2024,181.8,181.8,150.45,152.55,24028,995,DEEP ENERGY RESOURCES LIMITED
12-March-2024,171.9,175.15,167.0,169.35,8752,403,DEEP ENERGY RESOURCES LIMITED
11-March-2024,190.65,190.65,175.4,176.95,2196,314,DEEP ENERGY RESOURCES LIMITED
7-March-2024,176.75,187.25,176.75,183.9,5591,250,DEEP ENERGY RESOURCES LIMITED
6-March-2024,182.4,182.4,175.35,179.1,6816,446,DEEP ENERGY RESOURCES LIMITED
5-March-2024,190.4,190.5,181.25,182.15,11028,789,DEEP ENERGY RESOURCES LIMITED
4-March-2024,190.2,193.0,184.85,186.65,1788,168,DEEP ENERGY RESOURCES LIMITED
