Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,620.0,638.05,615.05,618.25,38550,2182
27-June-2024,603.0,647.6,592.9,614.55,28957,2237
26-June-2024,619.8,619.8,599.9,603.7,13643,1136
25-June-2024,610.0,627.25,605.0,612.8,21521,1420
24-June-2024,610.0,618.25,605.0,613.55,9369,756
21-June-2024,609.35,633.95,609.35,619.65,14398,1033
20-June-2024,615.9,635.0,607.0,610.6,38084,2199
19-June-2024,577.0,626.0,568.95,603.8,44916,2645
18-June-2024,590.35,590.35,572.85,575.85,18430,1063
14-June-2024,598.0,602.2,594.65,596.4,5927,485
13-June-2024,607.0,613.15,599.35,603.0,25007,1628
12-June-2024,618.85,618.85,592.25,607.9,16826,1182
11-June-2024,610.55,616.7,598.0,600.75,17424,1110
10-June-2024,555.4,616.85,555.1,610.25,126524,8925
7-June-2024,535.85,562.75,535.85,550.4,22629,1611
6-June-2024,533.3,545.0,531.25,534.8,10035,790
5-June-2024,490.25,549.1,472.05,528.75,29947,2732
4-June-2024,520.5,520.95,455.0,483.45,35308,3045
3-June-2024,555.0,561.9,518.85,528.45,6787,719
31-May-2024,550.95,551.75,533.9,548.7,4320,429
30-May-2024,548.2,548.5,533.65,537.1,9190,1041
29-May-2024,547.0,558.35,543.3,549.05,3918,291
28-May-2024,564.5,564.55,547.0,548.45,3170,299
27-May-2024,581.0,581.0,555.0,557.1,10628,960
24-May-2024,578.05,582.55,568.0,569.6,3632,436
23-May-2024,585.95,587.25,575.65,578.4,9919,955
22-May-2024,582.65,599.9,578.15,582.15,8417,721
21-May-2024,601.25,611.5,585.85,594.35,8910,948
18-May-2024,573.4,598.4,573.4,597.75,3177,333
17-May-2024,561.85,574.6,561.6,569.95,10001,925
16-May-2024,553.1,569.1,550.0,562.15,11166,1051
15-May-2024,544.25,549.45,538.75,544.95,13894,1255
14-May-2024,543.95,552.55,532.65,538.75,27089,1827
13-May-2024,560.0,564.9,531.75,535.65,38597,2389
10-May-2024,560.0,565.95,546.8,558.35,16363,1025
9-May-2024,565.15,574.95,552.1,555.95,11624,954
8-May-2024,565.95,585.5,561.7,564.45,28782,1815
7-May-2024,589.65,594.0,548.5,561.15,18251,1511
6-May-2024,609.1,609.1,586.05,590.0,38788,2954
3-May-2024,597.15,609.3,591.1,600.2,42782,2280
2-May-2024,595.45,603.0,588.25,590.45,16682,1079
30-April-2024,612.0,612.0,596.15,598.15,3690,395
29-April-2024,614.3,618.0,605.55,608.85,28200,1904
26-April-2024,616.0,621.85,607.25,611.15,47816,3083
25-April-2024,611.7,625.3,611.0,614.9,37446,2564
24-April-2024,613.55,624.0,601.15,611.8,30814,2136
23-April-2024,601.15,611.35,600.95,604.2,9205,1060
22-April-2024,590.05,609.6,590.05,601.3,16100,1576
19-April-2024,614.25,614.25,584.35,595.15,12262,993
18-April-2024,611.25,613.8,600.35,606.5,4431,338
16-April-2024,599.05,615.6,592.0,607.2,5294,470
15-April-2024,615.35,634.0,598.35,606.1,50318,2865
12-April-2024,619.95,657.35,618.45,639.6,75101,4484
10-April-2024,629.1,629.1,609.8,618.75,5850,410
9-April-2024,610.95,627.9,607.65,616.85,5558,463
8-April-2024,620.0,626.0,607.0,610.45,16020,949
5-April-2024,619.0,626.95,608.95,618.55,9327,541
4-April-2024,627.35,630.55,618.6,620.75,15408,813
3-April-2024,589.8,625.75,581.2,615.05,64762,3229
2-April-2024,585.05,596.0,573.9,591.1,23648,1391
1-April-2024,531.15,580.0,531.15,578.05,46635,2856
28-March-2024,529.35,547.9,528.05,533.5,30772,1710
27-March-2024,535.0,543.2,530.65,533.05,8257,669
26-March-2024,559.1,559.1,530.4,534.7,8260,608
22-March-2024,527.25,554.9,526.8,548.6,29806,1572
21-March-2024,534.85,545.25,520.95,532.55,28058,1477
20-March-2024,515.0,526.3,508.85,519.45,17143,809
19-March-2024,536.8,536.8,511.85,512.55,5833,471
18-March-2024,547.85,547.85,520.0,526.25,12429,1065
15-March-2024,528.25,535.45,515.8,525.25,24614,1763
14-March-2024,504.0,531.3,504.0,520.2,27034,1279
13-March-2024,531.15,547.15,500.0,504.4,26062,1232
12-March-2024,547.45,562.35,532.4,536.05,35815,2005
11-March-2024,574.85,574.85,543.65,553.75,23859,1605
7-March-2024,586.4,586.4,571.1,575.45,3964,359
6-March-2024,591.1,591.1,568.05,586.4,6786,542
5-March-2024,595.0,596.7,588.4,590.2,9701,774
4-March-2024,614.1,614.1,593.0,595.45,15257,1265
2-March-2024,602.95,605.8,598.3,603.2,472,234
1-March-2024,612.0,612.0,595.4,598.55,9336,713
29-February-2024,612.1,612.1,594.0,605.55,6842,447
28-February-2024,624.45,626.55,591.55,600.3,25186,1548
27-February-2024,598.0,621.95,596.05,616.6,30728,1521
26-February-2024,608.05,612.85,595.0,597.85,16765,1245
23-February-2024,603.35,615.7,593.9,607.8,12708,792
22-February-2024,600.0,607.8,588.05,593.1,19558,1256
21-February-2024,615.85,616.95,591.65,595.3,9317,733
20-February-2024,612.6,617.45,607.65,613.6,26875,2170
19-February-2024,614.65,614.65,601.0,605.9,18625,1708
16-February-2024,592.4,624.3,592.3,605.95,32508,1889
15-February-2024,590.65,603.9,586.35,590.4,20173,1617
14-February-2024,587.25,606.4,573.75,580.25,24621,1992
13-February-2024,617.45,617.95,574.0,587.25,23334,1532
12-February-2024,665.4,670.0,615.0,617.8,78957,3940
9-February-2024,720.1,724.0,656.4,675.05,75401,3886
8-February-2024,695.05,719.9,695.05,715.35,8075,544
7-February-2024,700.05,715.35,700.05,704.4,13080,832
6-February-2024,665.1,711.35,665.1,707.35,9938,871
5-February-2024,704.9,704.9,669.2,672.45,15768,1372
2-February-2024,675.35,699.0,675.35,694.2,5062,380
1-February-2024,698.0,698.6,675.55,677.85,6552,539
31-January-2024,696.95,712.0,690.0,696.25,10187,948
30-January-2024,689.85,717.75,689.85,695.25,35157,1650
29-January-2024,683.05,691.9,683.0,688.4,6652,372
25-January-2024,690.15,698.7,680.0,683.1,19736,1208
24-January-2024,702.65,702.65,682.5,691.2,8637,766
23-January-2024,710.05,720.6,689.6,696.0,10040,835
20-January-2024,722.9,732.0,709.0,711.7,11674,661
19-January-2024,731.85,732.0,709.0,712.15,17116,1354
18-January-2024,703.45,731.8,701.1,723.35,11341,879
17-January-2024,717.95,727.95,704.0,716.3,11920,764
16-January-2024,749.8,749.8,718.05,729.7,13044,773
15-January-2024,759.25,768.6,738.45,740.55,29093,1860
12-January-2024,722.0,775.0,722.0,742.4,43860,2400
11-January-2024,714.25,724.95,709.95,719.1,6973,492
10-January-2024,718.35,721.0,707.0,713.95,11582,638
9-January-2024,728.05,734.9,713.25,718.45,8908,608
8-January-2024,738.1,740.1,717.65,720.65,18631,1463
5-January-2024,741.2,741.2,728.05,737.7,6685,453
4-January-2024,740.2,754.8,730.1,739.4,13916,705
3-January-2024,725.15,748.0,722.2,738.9,24330,1205
2-January-2024,736.0,745.0,722.95,731.05,17168,1138
1-January-2024,738.4,746.3,728.05,734.9,17658,966
29-December-2023,728.35,735.35,718.5,723.9,24180,1500
28-December-2023,742.05,742.05,725.9,728.25,25795,1419
27-December-2023,754.85,755.0,727.7,732.95,9890,708
26-December-2023,750.85,761.0,730.95,741.55,42638,2689
22-December-2023,721.95,754.8,720.8,735.3,71663,3435
21-December-2023,682.25,713.0,665.3,708.85,28855,2212
20-December-2023,750.3,750.3,684.5,690.3,48772,3997
19-December-2023,752.15,755.2,731.05,735.45,18315,1417
18-December-2023,754.9,768.5,746.25,752.7,23042,1357
15-December-2023,736.85,785.0,733.05,752.9,46345,2697
14-December-2023,734.4,751.0,711.95,728.35,18164,1441
13-December-2023,715.95,739.0,710.85,727.45,19823,1689
12-December-2023,720.2,724.25,708.95,716.1,3739,624
11-December-2023,730.15,746.95,708.2,714.45,21289,2121
8-December-2023,732.25,743.0,720.7,729.6,9389,1098
7-December-2023,750.1,758.2,725.0,730.3,6224,755
6-December-2023,768.1,776.9,750.6,755.7,20962,1134
5-December-2023,768.95,790.2,760.0,768.1,31531,1979
4-December-2023,746.55,785.55,732.25,770.45,124035,6160
1-December-2023,640.0,759.95,640.0,742.65,341491,13558
30-November-2023,621.85,643.65,613.6,634.55,17140,891
29-November-2023,594.0,629.6,594.0,616.65,39722,2498
28-November-2023,602.5,606.85,591.0,594.35,36380,2167
24-November-2023,603.95,613.35,600.5,602.45,5925,500
23-November-2023,603.95,616.95,603.95,609.65,15316,867
22-November-2023,625.65,625.65,604.55,610.7,27807,1513
21-November-2023,624.85,631.9,606.65,620.75,31281,1979
20-November-2023,619.85,619.85,605.95,611.3,30234,1688
17-November-2023,598.85,625.3,596.95,612.4,54650,1393
16-November-2023,570.15,597.25,570.15,592.85,43358,1716
15-November-2023,575.95,579.35,569.0,575.5,18221,982
13-November-2023,574.5,576.25,565.05,569.0,15526,711
12-November-2023,584.9,584.9,569.2,576.35,19426,896
10-November-2023,570.0,578.2,567.65,570.5,36056,1937
9-November-2023,572.45,582.0,571.45,573.2,15212,730
8-November-2023,563.05,581.0,562.0,568.95,33028,1786
7-November-2023,574.95,584.35,562.3,566.9,34474,1779
6-November-2023,598.9,598.9,569.4,575.75,54866,3113
