Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,8.84,8.92,8.3,8.89,72109,91
27-June-2024,8.01,8.56,8.01,8.5,35928,54
26-June-2024,8.5,8.65,8.15,8.16,14483,70
25-June-2024,8.57,8.57,7.99,8.55,23327,51
24-June-2024,8.29,8.6,8.1,8.4,27191,75
21-June-2024,8.73,8.73,8.2,8.46,6594,27
20-June-2024,8.84,8.84,8.17,8.57,13500,66
19-June-2024,8.66,8.66,8.07,8.56,20656,61
18-June-2024,8.28,8.59,8.02,8.49,36003,54
14-June-2024,8.54,8.8,8.17,8.3,21072,75
13-June-2024,8.74,8.74,7.95,8.54,8860,67
12-June-2024,8.15,8.38,7.68,8.34,28461,69
11-June-2024,7.88,8.05,7.75,7.99,5990,30
10-June-2024,7.91,8.11,7.83,7.95,11832,38
7-June-2024,8.2,8.2,7.7,7.73,35288,49
6-June-2024,7.91,8.2,7.8,7.92,12286,44
5-June-2024,8.19,8.19,7.41,7.81,8671,39
4-June-2024,8.2,8.59,7.8,7.8,17651,47
3-June-2024,8.25,8.4,8.0,8.21,13642,53
31-May-2024,8.19,8.22,7.47,8.22,59892,59
30-May-2024,7.77,7.91,7.75,7.83,2718,13
29-May-2024,7.86,7.99,7.66,7.79,18548,57
28-May-2024,8.07,8.1,7.65,8.0,16256,55
27-May-2024,8.07,8.07,7.6,8.05,7224,35
24-May-2024,8.16,8.16,7.81,7.83,6350,27
23-May-2024,8.0,8.15,7.76,8.0,1092,24
22-May-2024,7.8,8.1,7.76,8.0,16316,38
21-May-2024,7.94,8.5,7.9,8.05,18498,57
18-May-2024,8.24,8.29,8.0,8.1,6717,19
17-May-2024,7.87,7.94,7.65,7.9,2079,33
16-May-2024,8.04,8.04,7.55,7.87,1744,24
15-May-2024,7.36,8.09,7.36,7.88,2243,29
14-May-2024,7.7,8.25,7.7,7.72,6015,38
13-May-2024,7.88,8.2,7.55,8.02,2617,29
10-May-2024,7.98,7.98,7.89,7.9,344,10
9-May-2024,7.85,7.99,7.56,7.68,6197,24
8-May-2024,7.8,8.15,7.61,7.85,8735,21
7-May-2024,7.49,8.09,7.49,7.83,1361,25
6-May-2024,8.05,8.05,7.61,7.85,369,11
3-May-2024,8.1,8.26,7.56,7.87,5904,44
2-May-2024,7.68,8.13,7.65,7.94,21462,51
30-April-2024,8.1,8.5,7.86,7.97,4089,33
29-April-2024,7.93,8.22,7.92,8.1,14507,48
26-April-2024,8.05,8.05,7.85,7.92,8500,28
25-April-2024,7.96,8.29,7.96,8.09,2453,30
24-April-2024,8.07,8.36,7.97,8.12,13317,58
23-April-2024,8.22,8.22,7.86,8.15,4828,46
22-April-2024,8.0,8.29,7.65,8.05,5449,41
19-April-2024,8.39,8.39,8.0,8.01,7986,30
18-April-2024,8.23,8.45,7.82,8.4,14141,59
16-April-2024,8.12,8.44,7.8,8.07,5423,46
15-April-2024,8.93,8.93,8.12,8.16,16927,57
12-April-2024,8.44,8.85,8.07,8.54,20392,50
10-April-2024,8.44,8.44,8.01,8.44,18879,59
9-April-2024,7.75,8.28,7.75,8.04,13950,40
8-April-2024,8.4,8.47,7.67,7.89,25618,85
5-April-2024,8.08,8.08,7.55,8.07,11705,59
4-April-2024,7.7,7.7,7.35,7.7,5317,45
3-April-2024,6.92,7.54,6.92,7.34,28742,90
2-April-2024,7.17,7.19,6.88,7.19,16860,55
1-April-2024,7.08,7.12,6.54,6.85,13632,54
28-March-2024,7.0,7.21,6.57,6.79,58092,94
27-March-2024,7.48,7.48,6.84,6.91,33928,90
26-March-2024,7.59,7.59,7.0,7.19,18339,63
22-March-2024,7.86,7.86,7.24,7.3,15194,67
21-March-2024,7.75,7.75,7.12,7.49,4713,53
20-March-2024,7.51,7.51,7.02,7.4,7947,33
19-March-2024,7.53,7.53,6.9,7.16,30420,79
18-March-2024,7.24,7.3,6.76,7.18,28680,88
15-March-2024,7.68,7.68,6.96,6.99,73721,97
14-March-2024,7.32,7.32,7.32,7.32,4607,14
13-March-2024,6.98,6.98,6.98,6.98,22141,20
12-March-2024,6.65,7.35,6.65,6.65,19663,36
11-March-2024,6.99,7.71,6.99,7.0,20876,24
7-March-2024,8.1,8.1,7.35,7.35,21819,20
6-March-2024,7.75,7.8,7.73,7.73,9963,27
5-March-2024,8.14,8.3,8.13,8.13,17057,29
4-March-2024,8.55,8.55,8.55,8.55,1651,7
2-March-2024,8.26,9.1,8.26,8.99,204,3
1-March-2024,8.28,8.69,8.28,8.69,6211,10
29-February-2024,8.6,9.13,8.6,8.7,6611,20
28-February-2024,8.82,8.82,8.02,8.7,24689,24
27-February-2024,8.4,8.4,8.4,8.4,7255,13
26-February-2024,7.95,8.21,7.95,8.0,8102,15
23-February-2024,8.01,8.01,7.82,7.82,23309,25
22-February-2024,9.09,9.09,8.23,8.23,36837,30
21-February-2024,8.81,9.47,8.66,8.66,23308,25
20-February-2024,9.97,9.97,9.03,9.11,3600,14
19-February-2024,9.78,9.78,8.87,9.5,5379,15
16-February-2024,9.32,9.81,9.32,9.32,12623,34
15-February-2024,9.81,10.83,9.81,9.81,5041,15
14-February-2024,10.32,10.32,10.32,10.32,1402,5
13-February-2024,10.9,10.9,10.41,10.86,7250,14
12-February-2024,11.52,11.52,10.95,10.95,26786,39
9-February-2024,12.1,12.1,11.52,11.52,47020,41
8-February-2024,13.35,13.35,12.09,12.12,119624,136
7-February-2024,12.72,12.72,12.72,12.72,38693,54
6-February-2024,12.12,12.12,12.12,12.12,39086,69
5-February-2024,10.85,11.02,10.25,11.02,62372,95
2-February-2024,10.35,10.42,9.52,10.02,58070,92
1-February-2024,10.15,10.19,9.31,10.02,52149,94
31-January-2024,9.75,9.75,9.48,9.75,85989,90
30-January-2024,8.98,9.29,8.62,9.29,85872,109
29-January-2024,8.91,9.09,8.55,8.85,48878,71
25-January-2024,9.36,9.51,8.9,8.92,21914,69
24-January-2024,9.0,9.2,8.9,9.18,22250,52
23-January-2024,9.06,9.35,8.77,9.08,19834,50
20-January-2024,8.7,9.06,8.7,9.04,30626,64
19-January-2024,8.98,8.98,8.6,8.64,19645,47
18-January-2024,8.52,9.05,8.52,8.68,27185,42
17-January-2024,9.0,9.09,8.73,8.9,22469,43
16-January-2024,9.21,9.21,9.0,9.01,36888,79
15-January-2024,9.24,9.24,8.83,9.03,79086,127
12-January-2024,9.03,9.24,8.75,8.83,18572,61
11-January-2024,9.09,9.5,8.75,9.03,22528,60
10-January-2024,9.1,9.1,8.74,9.07,44839,87
9-January-2024,9.03,9.11,8.32,8.67,31739,103
8-January-2024,8.74,9.05,8.62,8.69,26020,63
5-January-2024,8.7,9.05,8.41,8.82,20651,81
4-January-2024,8.56,8.86,8.23,8.69,12776,50
3-January-2024,8.24,8.56,8.1,8.56,9030,47
2-January-2024,8.18,8.38,8.18,8.24,15500,40
1-January-2024,7.95,8.23,7.95,8.17,7826,35
29-December-2023,8.46,8.46,7.95,8.01,19427,57
28-December-2023,7.85,8.28,7.85,8.11,5909,50
27-December-2023,8.17,8.33,8.0,8.07,9370,39
26-December-2023,8.01,8.49,7.75,8.21,13564,48
22-December-2023,7.99,8.49,7.99,8.15,17043,61
21-December-2023,8.67,8.67,8.15,8.41,2397,20
20-December-2023,8.7,8.7,8.0,8.31,12603,66
19-December-2023,8.59,8.79,8.05,8.29,20799,89
18-December-2023,8.78,8.78,8.35,8.39,19436,75
15-December-2023,9.07,9.07,8.7,8.78,12980,61
14-December-2023,8.53,8.95,8.24,8.84,46535,69
13-December-2023,8.43,8.56,8.3,8.53,11707,41
12-December-2023,8.59,8.59,8.18,8.33,20616,59
11-December-2023,8.7,8.7,8.4,8.56,6125,37
8-December-2023,8.11,8.7,8.11,8.42,18169,65
7-December-2023,8.98,8.98,8.33,8.39,25945,81
6-December-2023,9.15,9.15,8.51,8.76,14884,49
5-December-2023,8.75,9.05,8.6,8.92,30403,72
4-December-2023,9.22,9.22,8.7,9.05,30153,50
1-December-2023,9.14,9.14,8.36,9.04,37708,58
30-November-2023,9.13,9.13,8.75,8.79,7470,39
29-November-2023,8.99,9.2,8.66,8.74,16013,44
28-November-2023,8.9,9.25,8.6,8.83,17681,74
24-November-2023,9.15,9.16,8.95,9.05,15543,49
23-November-2023,9.12,9.12,8.7,8.73,19667,54
22-November-2023,8.9,9.12,8.45,8.99,17892,51
21-November-2023,9.24,9.24,8.77,8.87,9803,46
20-November-2023,9.33,9.33,8.75,8.94,32857,89
17-November-2023,9.16,9.24,8.74,8.9,23490,46
16-November-2023,9.18,9.18,8.9,9.16,17074,64
15-November-2023,9.2,9.34,8.92,9.01,22467,109
13-November-2023,9.41,9.41,8.72,9.02,25540,77
12-November-2023,9.0,9.09,8.23,9.04,21719,62
10-November-2023,9.17,9.17,8.66,8.66,28137,68
9-November-2023,9.16,9.6,9.0,9.11,16447,65
8-November-2023,9.57,9.63,9.11,9.24,28816,42
7-November-2023,9.59,9.74,8.92,9.36,99465,114
6-November-2023,9.86,9.86,9.1,9.38,38142,105
3-November-2023,9.87,9.87,8.98,9.41,64926,100
2-November-2023,9.6,9.6,8.93,9.45,38413,82
1-November-2023,9.35,9.58,8.72,9.23,58798,130
31-October-2023,8.75,9.28,8.7,9.17,36034,89
30-October-2023,9.23,9.23,8.8,8.84,40481,96
27-October-2023,9.35,9.45,8.86,9.17,23259,100
26-October-2023,10.0,10.0,8.83,9.17,77814,171
25-October-2023,9.39,9.97,8.6,9.62,199814,366
23-October-2023,10.33,10.44,9.0,9.07,140619,353
20-October-2023,9.4,9.79,8.62,9.54,497957,815
19-October-2023,7.48,8.9,7.48,8.9,403588,569
18-October-2023,6.26,7.42,6.11,7.42,188394,381
17-October-2023,6.18,6.28,6.01,6.19,24871,55
16-October-2023,6.15,6.24,5.95,6.09,11274,45
13-October-2023,6.35,6.35,5.93,6.06,11315,33
12-October-2023,6.22,6.22,6.0,6.08,16025,30
11-October-2023,5.77,6.29,5.77,6.01,18191,58
10-October-2023,6.4,6.4,5.9,6.03,19199,68
9-October-2023,6.19,6.4,5.93,6.14,8399,46
6-October-2023,6.35,6.35,5.7,6.19,27504,82
5-October-2023,6.01,6.49,5.97,6.04,15381,70
4-October-2023,6.64,6.64,6.01,6.11,14118,49
3-October-2023,6.39,6.39,6.05,6.11,28219,43
29-September-2023,6.38,6.38,5.82,6.09,46557,100
28-September-2023,6.5,6.5,6.1,6.13,3654,31
27-September-2023,6.79,6.79,6.11,6.38,6794,39
26-September-2023,6.49,6.5,6.25,6.4,8202,38
25-September-2023,6.46,6.46,6.1,6.36,3370,32
22-September-2023,6.47,6.47,6.25,6.46,6485,39
21-September-2023,6.15,6.7,6.15,6.47,18760,60
20-September-2023,6.38,6.39,6.06,6.33,4811,32
18-September-2023,6.12,6.48,6.12,6.39,8005,41
15-September-2023,6.35,6.54,6.05,6.3,6884,45
14-September-2023,6.34,6.39,6.02,6.28,8657,44
13-September-2023,6.23,6.49,5.9,6.11,13231,53
12-September-2023,6.55,6.55,6.01,6.05,31281,78
11-September-2023,6.32,6.89,5.76,6.15,22085,80
8-September-2023,6.49,6.65,6.3,6.58,29500,86
7-September-2023,6.5,6.5,6.15,6.18,38178,66
6-September-2023,6.34,6.44,5.75,6.42,22456,78
5-September-2023,6.22,6.35,6.11,6.18,7506,34
4-September-2023,6.4,6.4,5.87,6.21,3677,40
1-September-2023,6.17,6.45,6.17,6.37,17717,41
