Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,143.95,147.75,142.25,145.05,1245023,6568,EQUINOX INDIA DEVELOPMENTS LIMITED
27-June-2024,153.95,154.0,143.3,144.35,1963580,12786,EQUINOX INDIA DEVELOPMENTS LIMITED
26-June-2024,154.15,157.5,153.05,154.15,1334916,10648,EQUINOX INDIA DEVELOPMENTS LIMITED
25-June-2024,160.65,161.0,152.25,154.05,1566131,14338,EQUINOX INDIA DEVELOPMENTS LIMITED
24-June-2024,155.6,164.4,153.15,160.4,1609033,11274,EQUINOX INDIA DEVELOPMENTS LIMITED
21-June-2024,157.75,162.95,154.65,156.4,1716137,11541,EQUINOX INDIA DEVELOPMENTS LIMITED
20-June-2024,136.05,161.0,136.05,154.9,8385425,61519,EQUINOX INDIA DEVELOPMENTS LIMITED
19-June-2024,138.2,138.2,133.55,136.95,551402,2795,EQUINOX INDIA DEVELOPMENTS LIMITED
18-June-2024,140.4,140.55,136.75,137.4,456104,2907,EQUINOX INDIA DEVELOPMENTS LIMITED
14-June-2024,136.85,140.45,134.5,138.8,729982,4860,EQUINOX INDIA DEVELOPMENTS LIMITED
13-June-2024,137.0,139.15,135.75,136.45,943445,7938,EQUINOX INDIA DEVELOPMENTS LIMITED
12-June-2024,136.1,137.75,134.65,136.45,414301,4507,EQUINOX INDIA DEVELOPMENTS LIMITED
11-June-2024,135.05,136.05,134.25,135.15,1145209,8546,EQUINOX INDIA DEVELOPMENTS LIMITED
10-June-2024,133.65,134.95,133.1,134.1,462405,3859,EQUINOX INDIA DEVELOPMENTS LIMITED
7-June-2024,131.45,133.3,129.6,132.5,1122521,11422,EQUINOX INDIA DEVELOPMENTS LIMITED
6-June-2024,128.2,133.3,127.65,130.75,1275913,9770,EQUINOX INDIA DEVELOPMENTS LIMITED
5-June-2024,119.75,127.25,113.45,126.8,2120850,17659,EQUINOX INDIA DEVELOPMENTS LIMITED
4-June-2024,137.8,137.8,109.0,116.9,4043413,44937,EQUINOX INDIA DEVELOPMENTS LIMITED
3-June-2024,140.4,140.4,135.1,135.85,947823,6993,EQUINOX INDIA DEVELOPMENTS LIMITED
31-May-2024,132.4,134.65,130.4,133.25,732972,5034,EQUINOX INDIA DEVELOPMENTS LIMITED
30-May-2024,135.0,135.0,131.55,132.05,578355,5359,EQUINOX INDIA DEVELOPMENTS LIMITED
29-May-2024,131.05,135.15,129.2,134.3,1270509,10465,EQUINOX INDIA DEVELOPMENTS LIMITED
28-May-2024,138.85,138.85,131.25,131.85,1019748,8369,EQUINOX INDIA DEVELOPMENTS LIMITED
27-May-2024,140.15,143.4,137.05,137.6,2294252,15625,EQUINOX INDIA DEVELOPMENTS LIMITED
24-May-2024,138.15,141.05,136.75,138.7,1652029,14696,EQUINOX INDIA DEVELOPMENTS LIMITED
23-May-2024,135.6,141.85,135.25,137.0,3065161,22363,EQUINOX INDIA DEVELOPMENTS LIMITED
22-May-2024,130.35,134.3,129.0,133.4,2143932,16061,EQUINOX INDIA DEVELOPMENTS LIMITED
21-May-2024,126.8,130.8,125.9,128.65,623515,4521,EQUINOX INDIA DEVELOPMENTS LIMITED
18-May-2024,125.95,127.4,124.35,126.9,338396,4955,EQUINOX INDIA DEVELOPMENTS LIMITED
17-May-2024,121.45,126.0,120.8,124.8,1042795,5821,EQUINOX INDIA DEVELOPMENTS LIMITED
16-May-2024,120.95,122.2,119.1,120.45,939138,10549,EQUINOX INDIA DEVELOPMENTS LIMITED
15-May-2024,118.75,122.05,118.5,119.25,888883,5583,EQUINOX INDIA DEVELOPMENTS LIMITED
14-May-2024,118.7,120.5,117.7,118.4,717218,5286,EQUINOX INDIA DEVELOPMENTS LIMITED
