Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,127.0,127.5,125.65,125.85,44918,925
27-June-2024,126.4,128.95,126.1,126.7,57929,949
26-June-2024,128.45,129.55,126.35,127.2,17091,387
25-June-2024,130.65,130.65,127.45,127.8,51171,931
24-June-2024,127.5,130.0,125.75,128.05,28254,545
21-June-2024,130.2,131.0,128.3,128.9,105344,1552
20-June-2024,130.0,130.15,127.7,128.95,94853,1342
19-June-2024,135.0,135.1,127.7,128.8,121183,2184
18-June-2024,136.8,138.45,134.65,135.05,22947,387
14-June-2024,138.2,142.0,136.45,136.75,143796,2692
13-June-2024,136.45,139.9,132.0,136.8,45999,1023
12-June-2024,140.0,140.6,135.5,136.2,31281,547
11-June-2024,138.0,139.9,135.7,138.5,32005,659
10-June-2024,129.8,136.85,128.85,134.9,164512,3431
7-June-2024,121.0,129.25,121.0,126.8,97784,2773
6-June-2024,120.8,126.9,119.85,121.4,58856,1136
5-June-2024,117.6,124.45,115.0,123.45,87920,1611
4-June-2024,124.6,124.6,112.0,116.85,58019,894
3-June-2024,129.5,130.3,123.6,124.6,98200,1799
31-May-2024,128.15,128.15,124.4,125.3,11872,334
30-May-2024,124.95,127.35,124.95,125.55,37463,983
29-May-2024,128.5,130.0,125.7,126.5,27401,502
28-May-2024,127.55,128.85,124.2,126.55,119701,2103
27-May-2024,129.1,133.85,128.3,128.85,227501,4072
24-May-2024,139.8,142.0,136.45,140.05,32747,933
23-May-2024,141.65,142.0,139.0,139.3,51508,2109
22-May-2024,140.05,144.05,138.15,142.4,15846,550
21-May-2024,146.0,146.0,139.0,140.3,29079,844
18-May-2024,143.95,144.0,141.45,143.4,9426,372
17-May-2024,139.2,143.0,138.55,141.6,31085,958
16-May-2024,141.95,143.0,138.0,138.8,31690,846
15-May-2024,139.95,141.0,138.8,139.25,28523,642
14-May-2024,135.0,139.55,135.0,138.35,13025,373
13-May-2024,132.4,137.8,129.55,136.0,95911,1941
10-May-2024,134.2,136.0,133.0,134.55,28045,634
9-May-2024,140.15,140.6,133.0,133.9,67899,1613
8-May-2024,139.75,142.0,137.95,139.1,12590,371
7-May-2024,142.9,143.05,138.35,139.75,73943,1757
6-May-2024,145.05,147.95,141.1,142.05,62797,1216
3-May-2024,146.85,148.5,145.4,146.75,71323,1905
2-May-2024,148.85,149.8,145.0,145.95,69814,1910
30-April-2024,151.6,152.0,147.95,148.25,61219,1609
29-April-2024,149.6,156.0,149.6,150.9,151792,2923
