Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,7.72,7.72,7.71,7.71,6662,15
27-June-2024,8.29,8.29,7.88,8.11,2706,8
26-June-2024,8.2,8.3,7.6,8.29,3229,14
25-June-2024,8.0,8.0,7.4,8.0,2779,18
24-June-2024,7.42,7.79,7.42,7.78,5452,11
21-June-2024,7.14,7.42,7.14,7.42,527,4
20-June-2024,7.86,7.86,7.51,7.51,8530,8
19-June-2024,7.94,7.95,7.9,7.9,7063,12
18-June-2024,7.6,7.71,7.6,7.71,2449,14
14-June-2024,8.05,8.05,8.0,8.0,220,6
13-June-2024,8.25,8.25,8.25,8.25,2317,6
12-June-2024,7.9,8.69,7.9,8.68,7561,21
11-June-2024,8.35,8.35,8.31,8.31,315,4
10-June-2024,7.92,8.35,7.92,8.35,67,8
7-June-2024,7.94,8.33,7.94,8.33,93,6
6-June-2024,8.31,8.31,7.94,7.94,163,4
5-June-2024,7.9,8.31,7.9,8.31,335,8
4-June-2024,8.31,8.72,8.31,8.31,380,8
3-June-2024,8.3,8.31,8.05,8.31,3971,16
31-May-2024,8.36,8.36,8.3,8.3,36,3
30-May-2024,8.25,8.25,7.84,8.2,297,10
29-May-2024,8.25,8.25,8.1,8.25,4085,10
27-May-2024,8.05,8.27,7.51,8.25,3337,14
24-May-2024,7.89,8.3,7.89,7.9,1485,15
23-May-2024,8.7,8.7,8.3,8.3,1386,7
22-May-2024,8.72,8.72,7.9,8.72,1323,11
21-May-2024,8.3,8.31,8.3,8.31,1386,8
18-May-2024,8.3,8.3,8.3,8.3,101,2
17-May-2024,8.25,8.66,8.25,8.66,697,10
16-May-2024,8.09,8.25,8.09,8.25,3624,11
15-May-2024,8.22,8.22,7.86,7.86,3457,9
14-May-2024,7.76,8.08,7.76,7.86,5485,12
13-May-2024,7.4,8.16,7.4,8.16,3653,16
10-May-2024,7.72,8.51,7.72,7.78,1039,8
9-May-2024,8.11,8.12,8.11,8.12,731,3
8-May-2024,8.37,8.37,8.11,8.11,14646,14
7-May-2024,8.5,8.5,7.98,7.98,2510,9
6-May-2024,8.36,8.4,8.36,8.4,4077,18
3-May-2024,8.02,8.02,8.0,8.0,10772,15
2-May-2024,7.64,7.64,7.64,7.64,6151,11
30-April-2024,7.28,7.28,7.28,7.28,5821,14
26-April-2024,6.93,6.94,6.93,6.94,194,6
25-April-2024,7.07,7.07,6.93,6.93,1844,9
24-April-2024,6.61,6.94,6.61,6.94,1439,5
23-April-2024,6.29,6.61,6.2,6.61,13907,16
22-April-2024,6.42,6.42,6.3,6.3,574,6
19-April-2024,6.3,6.4,6.3,6.3,279,6
18-April-2024,6.4,6.4,6.4,6.4,309,6
16-April-2024,6.37,6.37,6.1,6.1,1977,8
15-April-2024,6.06,6.37,6.06,6.37,1479,8
12-April-2024,6.37,6.44,6.37,6.37,924,14
10-April-2024,6.31,6.31,6.3,6.3,231,4
9-April-2024,6.31,6.31,6.31,6.31,77,4
8-April-2024,5.65,6.13,5.65,6.13,1415,9
5-April-2024,6.15,6.15,5.8,5.84,1539,15
4-April-2024,6.06,6.06,5.88,5.88,250,6
3-April-2024,5.75,5.98,5.7,5.88,735,18
2-April-2024,5.51,5.75,5.51,5.75,1462,13
1-April-2024,5.61,6.0,5.44,5.51,857,29
28-March-2024,5.72,5.72,5.72,5.72,2082,7
27-March-2024,5.71,6.31,5.71,5.71,5012,39
26-March-2024,6.63,6.63,6.01,6.01,4169,23
22-March-2024,6.52,6.52,6.32,6.32,4362,18
21-March-2024,6.99,6.99,6.65,6.65,336,8
20-March-2024,7.2,7.2,6.99,6.99,716,10
19-March-2024,6.65,7.35,6.65,7.35,2333,19
18-March-2024,7.3,7.3,6.95,7.0,224,17
15-March-2024,7.3,7.3,7.2,7.3,184,9
14-March-2024,7.29,7.29,7.1,7.1,4096,24
13-March-2024,7.47,7.47,7.2,7.29,1477,27
12-March-2024,7.14,7.14,7.14,7.14,2160,13
11-March-2024,7.9,7.9,7.51,7.51,567,15
7-March-2024,7.6,7.9,7.6,7.9,1787,12
6-March-2024,7.75,7.75,7.75,7.75,232,7
5-March-2024,7.9,7.9,7.9,7.9,284,9
4-March-2024,8.06,8.06,8.06,8.06,77,5
2-March-2024,8.22,8.22,8.22,8.22,102,1
1-March-2024,8.55,8.55,8.38,8.38,122,3
29-February-2024,8.57,8.57,8.55,8.55,1037,12
28-February-2024,8.77,8.77,8.57,8.57,1087,8
27-February-2024,8.61,8.61,8.6,8.6,12567,16
26-February-2024,8.29,8.45,8.29,8.45,10729,18
23-February-2024,8.13,8.29,8.13,8.29,5053,17
22-February-2024,8.08,8.13,8.08,8.13,4892,16
21-February-2024,7.98,7.98,7.97,7.98,12277,18
20-February-2024,7.83,7.83,7.83,7.83,5282,11
19-February-2024,7.68,7.68,7.68,7.68,515,5
16-February-2024,7.39,7.53,7.39,7.53,466,4
15-February-2024,7.54,7.54,7.39,7.39,263,9
14-February-2024,7.26,7.54,7.26,7.54,1059,9
13-February-2024,7.4,7.4,7.26,7.4,2473,6
12-February-2024,7.4,7.54,7.4,7.4,2189,11
9-February-2024,7.4,7.4,7.4,7.4,938,8
8-February-2024,7.4,7.4,7.26,7.26,2502,15
7-February-2024,7.54,7.54,7.4,7.4,5993,20
6-February-2024,7.7,7.7,7.55,7.55,2137,10
5-February-2024,7.9,7.9,7.7,7.7,641,10
2-February-2024,7.78,8.08,7.78,7.78,2516,15
1-February-2024,7.93,7.93,7.93,7.93,1580,16
31-January-2024,7.63,7.78,7.63,7.78,414,12
30-January-2024,7.63,7.63,7.63,7.63,2836,14
29-January-2024,7.78,7.78,7.78,7.78,22616,22
25-January-2024,7.63,7.63,7.63,7.63,3695,15
24-January-2024,7.49,7.49,7.49,7.49,1938,12
23-January-2024,7.58,7.58,7.32,7.35,10050,15
20-January-2024,7.59,7.59,7.44,7.44,648,8
19-January-2024,7.74,7.74,7.59,7.59,1214,12
18-January-2024,7.74,7.74,7.74,7.74,175,8
17-January-2024,7.99,7.99,7.74,7.74,5843,17
16-January-2024,8.4,8.4,7.6,7.89,9183,40
15-January-2024,8.14,8.37,7.59,8.0,8469,63
12-January-2024,7.82,8.0,7.66,7.98,13239,40
11-January-2024,7.8,7.82,7.79,7.82,6620,38
10-January-2024,7.17,7.45,6.76,7.45,4529,23
9-January-2024,7.0,7.17,6.84,7.1,2564,26
8-January-2024,7.46,7.46,6.76,6.83,6742,48
5-January-2024,7.0,7.11,7.0,7.11,1141,13
4-January-2024,7.11,7.11,7.11,7.11,1334,9
3-January-2024,6.99,7.33,6.65,7.11,4618,21
2-January-2024,6.66,7.01,6.35,6.99,5567,19
1-January-2024,6.35,6.68,6.35,6.68,17013,20
29-December-2023,6.68,6.68,6.68,6.68,6222,21
28-December-2023,7.03,7.03,7.03,7.03,379,14
27-December-2023,7.4,7.4,7.4,7.4,349,12
26-December-2023,8.17,8.17,7.78,7.78,12614,21
22-December-2023,8.98,8.98,8.18,8.18,22973,32
21-December-2023,8.61,8.61,8.6,8.61,64249,41
20-December-2023,8.15,8.2,8.0,8.2,26615,43
19-December-2023,7.07,7.81,7.07,7.81,26705,25
18-December-2023,7.44,7.44,7.44,7.44,19028,23
15-December-2023,6.43,7.09,6.43,7.09,21972,33
14-December-2023,6.13,6.76,6.13,6.76,12461,25
13-December-2023,6.49,6.49,6.45,6.45,3029,14
12-December-2023,6.15,6.49,6.15,6.49,3180,15
11-December-2023,5.64,6.2,5.5,6.2,9548,22
8-December-2023,5.33,5.64,4.82,5.64,48118,23
7-December-2023,4.51,5.33,4.51,5.33,1234,10
6-December-2023,4.85,4.85,4.85,4.85,608,6
5-December-2023,4.84,4.85,4.84,4.85,1623,8
4-December-2023,4.84,4.84,4.84,4.84,1702,6
1-December-2023,4.8,4.8,4.61,4.61,4355,12
30-November-2023,4.6,4.6,4.6,4.6,502,6
29-November-2023,4.55,5.0,4.55,4.58,3131,12
28-November-2023,4.74,5.22,4.74,4.77,924,12
24-November-2023,4.98,4.98,4.98,4.98,100,5
23-November-2023,5.31,5.31,5.24,5.24,368,6
22-November-2023,5.2,5.2,5.05,5.06,1048,10
21-November-2023,5.58,5.58,5.31,5.31,557,7
20-November-2023,5.58,5.58,5.5,5.58,1852,16
17-November-2023,5.58,5.58,5.32,5.32,49765,11
16-November-2023,5.6,5.6,5.32,5.32,287,10
15-November-2023,5.6,5.6,5.59,5.6,2173,11
13-November-2023,5.19,5.43,5.19,5.43,5435,12
10-November-2023,4.97,5.19,4.73,5.19,2544,15
9-November-2023,4.97,4.97,4.97,4.97,751,10
8-November-2023,5.5,5.5,5.23,5.23,300,6
7-November-2023,5.56,5.56,5.5,5.5,363,4
6-November-2023,5.37,5.57,5.37,5.56,5690,10
3-November-2023,5.37,5.37,5.37,5.37,1329,11
2-November-2023,5.4,5.65,5.13,5.65,1212,8
1-November-2023,5.48,5.48,5.4,5.4,141,5
31-October-2023,5.0,5.49,5.0,5.48,43,5
30-October-2023,5.26,5.26,5.26,5.26,10,1
27-October-2023,5.27,5.27,5.01,5.01,2629,10
26-October-2023,5.04,5.29,5.04,5.27,563,5
25-October-2023,5.04,5.04,5.04,5.04,1460,4
23-October-2023,4.9,4.9,4.8,4.8,2284,8
20-October-2023,4.79,5.04,4.79,4.79,770,8
19-October-2023,5.04,5.04,5.04,5.04,699,8
18-October-2023,5.04,5.3,5.04,5.04,947,7
17-October-2023,4.95,5.3,4.95,5.3,261,5
16-October-2023,5.09,5.09,4.84,5.09,1088,9
13-October-2023,5.29,5.3,5.09,5.09,2060,7
12-October-2023,5.35,5.35,5.34,5.34,121,6
11-October-2023,5.4,5.4,5.13,5.39,1232,11
10-October-2023,5.4,5.4,5.4,5.4,1795,4
9-October-2023,5.35,5.35,5.35,5.35,363,4
6-October-2023,5.1,5.35,5.1,5.35,1306,8
5-October-2023,5.36,5.36,5.1,5.1,642,6
4-October-2023,5.12,5.37,5.12,5.36,354,7
3-October-2023,5.38,5.38,5.12,5.12,6711,9
29-September-2023,4.91,5.39,4.9,5.38,3933,9
28-September-2023,5.41,5.41,5.15,5.15,577,4
27-September-2023,5.42,5.42,5.42,5.42,122,4
26-September-2023,5.44,5.44,5.17,5.43,261,4
25-September-2023,5.47,5.47,5.2,5.44,810,7
22-September-2023,5.47,5.47,5.47,5.47,11,5
21-September-2023,5.21,5.47,5.21,5.47,9,4
20-September-2023,4.95,5.21,4.95,5.21,1282,15
18-September-2023,5.21,5.21,5.21,5.21,2163,13
15-September-2023,5.35,5.48,5.09,5.48,616,10
14-September-2023,5.19,5.35,5.18,5.35,3370,12
13-September-2023,4.95,5.19,4.95,5.19,4211,10
12-September-2023,5.08,5.08,4.95,4.95,5016,15
11-September-2023,4.65,4.84,4.65,4.84,16400,18
8-September-2023,4.82,4.82,4.61,4.61,1111,14
7-September-2023,4.7,4.7,4.6,4.61,2596,9
6-September-2023,4.5,4.68,4.48,4.48,2055,10
