Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,3.25,3.27,3.19,3.27,44040612,11902
27-June-2024,3.12,3.12,2.95,3.12,130603261,25973
26-June-2024,2.98,2.98,2.98,2.98,20283107,4213
25-June-2024,2.79,2.84,2.76,2.84,35087495,9421
24-June-2024,2.64,2.71,2.47,2.71,173843797,38884
21-June-2024,2.59,2.59,2.59,2.59,31121303,5262
20-June-2024,2.45,2.47,2.41,2.47,66997447,18436
19-June-2024,2.36,2.36,2.25,2.36,145154886,29092
18-June-2024,2.24,2.25,2.24,2.25,24936008,8014
14-June-2024,2.08,2.15,2.06,2.15,112243847,29259
13-June-2024,2.2,2.24,2.05,2.05,135611545,21608
12-June-2024,2.15,2.15,2.11,2.15,50351170,7709
11-June-2024,2.04,2.05,1.94,2.05,59700919,13015
10-June-2024,1.79,1.87,1.75,1.87,52999674,8744
7-June-2024,1.58,1.7,1.56,1.7,75481020,7859
6-June-2024,1.51,1.56,1.5,1.55,27079452,3497
5-June-2024,1.51,1.52,1.45,1.49,29717621,7946
4-June-2024,1.57,1.57,1.5,1.5,20988331,16302
3-June-2024,1.57,1.57,1.55,1.57,42386760,8184
31-May-2024,1.52,1.53,1.5,1.5,15793704,6533
30-May-2024,1.53,1.54,1.51,1.52,11679547,4625
29-May-2024,1.51,1.53,1.49,1.52,17503160,4994
28-May-2024,1.54,1.55,1.5,1.51,13628556,2720
27-May-2024,1.57,1.57,1.53,1.54,12013478,3170
24-May-2024,1.55,1.57,1.52,1.54,21065860,6022
23-May-2024,1.58,1.59,1.53,1.55,30497857,6119
22-May-2024,1.58,1.59,1.55,1.58,16519414,5159
21-May-2024,1.58,1.59,1.56,1.59,14212223,3962
18-May-2024,1.53,1.59,1.52,1.58,14341672,1278
17-May-2024,1.53,1.57,1.5,1.53,20267801,2560
16-May-2024,1.53,1.55,1.51,1.54,30037681,5023
15-May-2024,1.54,1.54,1.5,1.52,36646620,3566
14-May-2024,1.58,1.59,1.54,1.54,49484843,3403
13-May-2024,1.6,1.61,1.51,1.56,29540949,3490
10-May-2024,1.54,1.59,1.54,1.57,26056826,5856
9-May-2024,1.62,1.62,1.55,1.56,29017485,15539
8-May-2024,1.63,1.64,1.6,1.62,16392198,2184
7-May-2024,1.63,1.65,1.6,1.63,12026629,3139
6-May-2024,1.74,1.74,1.65,1.66,25179918,3351
3-May-2024,1.83,1.83,1.7,1.72,52896664,6693
2-May-2024,1.68,1.76,1.68,1.76,20173504,1366
30-April-2024,1.73,1.74,1.67,1.68,19571952,6163
29-April-2024,1.74,1.77,1.72,1.73,25586796,3056
26-April-2024,1.75,1.76,1.72,1.73,19610191,10187
25-April-2024,1.74,1.77,1.73,1.74,17752480,4130
24-April-2024,1.73,1.76,1.71,1.74,40204724,4669
23-April-2024,1.76,1.77,1.73,1.73,19266201,4090
22-April-2024,1.77,1.79,1.74,1.75,18689448,4502
19-April-2024,1.73,1.77,1.71,1.75,26831341,4549
18-April-2024,1.72,1.79,1.72,1.77,60680530,5280
16-April-2024,1.67,1.73,1.67,1.71,36534608,4547
15-April-2024,1.71,1.73,1.67,1.7,36864524,3370
12-April-2024,1.74,1.77,1.73,1.74,22167511,23524
10-April-2024,1.79,1.8,1.73,1.75,19619144,11892
9-April-2024,1.84,1.88,1.75,1.79,40092072,3554
8-April-2024,1.9,1.94,1.82,1.84,42415866,7452
5-April-2024,1.82,1.89,1.77,1.88,52974937,18231
4-April-2024,1.85,1.86,1.77,1.82,66817276,19415
3-April-2024,1.74,1.81,1.73,1.8,51326542,12113
2-April-2024,1.68,1.74,1.67,1.73,63214997,6457
1-April-2024,1.61,1.68,1.61,1.67,56858714,5902
28-March-2024,1.59,1.66,1.59,1.6,52094601,3478
27-March-2024,1.6,1.65,1.58,1.59,34173873,3474
26-March-2024,1.63,1.66,1.58,1.59,23655499,3907
22-March-2024,1.64,1.68,1.59,1.64,43915898,3851
21-March-2024,1.59,1.63,1.58,1.63,40350292,1802
20-March-2024,1.62,1.68,1.55,1.56,135818090,10449
19-March-2024,1.67,1.67,1.61,1.61,58757241,9292
18-March-2024,1.71,1.75,1.65,1.69,49039040,13758
15-March-2024,1.72,1.77,1.63,1.72,80628225,5002
14-March-2024,1.57,1.71,1.55,1.71,94413591,6080
13-March-2024,1.67,1.68,1.63,1.63,35475945,9705
12-March-2024,1.79,1.8,1.71,1.71,55422961,16483
11-March-2024,1.89,1.95,1.8,1.8,161651695,18924
7-March-2024,1.72,1.9,1.72,1.89,173580170,15293
6-March-2024,1.83,1.86,1.81,1.81,33844697,6715
5-March-2024,1.98,1.99,1.9,1.9,30436351,10456
4-March-2024,2.05,2.08,1.98,2.0,41942054,13376
2-March-2024,2.04,2.13,2.01,2.07,33910252,4176
1-March-2024,2.07,2.08,1.97,2.06,90133406,14047
29-February-2024,2.12,2.12,2.06,2.06,80914383,5547
28-February-2024,2.24,2.28,2.16,2.16,72465494,5343
27-February-2024,2.38,2.4,2.27,2.27,60057543,5597
26-February-2024,2.41,2.43,2.35,2.38,104642015,18879
23-February-2024,2.24,2.36,2.19,2.36,175659939,11226
22-February-2024,2.34,2.39,2.24,2.25,114834824,13167
21-February-2024,2.35,2.4,2.27,2.35,201117982,10891
20-February-2024,2.24,2.29,2.22,2.29,45662221,3079
19-February-2024,2.03,2.19,2.02,2.19,164133245,8861
16-February-2024,2.16,2.18,2.09,2.09,126498038,14146
15-February-2024,2.26,2.29,2.2,2.2,162465501,18932
14-February-2024,2.31,2.31,2.31,2.31,4748699,5953
13-February-2024,2.64,2.64,2.43,2.43,175379037,19498
12-February-2024,2.54,2.55,2.51,2.55,225898947,21265
9-February-2024,2.42,2.48,2.32,2.43,249840218,30244
8-February-2024,2.46,2.46,2.24,2.44,403589953,53731
7-February-2024,2.35,2.35,2.35,2.35,33873541,4926
6-February-2024,2.24,2.24,2.15,2.24,128188939,14524
5-February-2024,2.12,2.14,2.11,2.14,36720050,6529
2-February-2024,1.99,2.04,1.98,2.04,109376995,16582
1-February-2024,1.94,1.98,1.86,1.95,139922877,17993
31-January-2024,1.8,1.89,1.78,1.89,124488599,20389
30-January-2024,1.81,1.85,1.77,1.8,101290399,17995
29-January-2024,1.76,1.8,1.75,1.79,59156905,17668
25-January-2024,1.76,1.79,1.73,1.75,58896495,9995
24-January-2024,1.71,1.8,1.69,1.73,137537390,11628
23-January-2024,1.85,1.86,1.72,1.72,99681316,17616
20-January-2024,1.78,1.81,1.77,1.81,112253160,10904
19-January-2024,1.64,1.73,1.64,1.73,97033591,6956
18-January-2024,1.67,1.69,1.65,1.65,87458487,10639
17-January-2024,1.73,1.73,1.73,1.73,3950834,4765
16-January-2024,1.88,1.89,1.82,1.82,19791941,7079
15-January-2024,2.0,2.01,1.86,1.91,199407186,28329
12-January-2024,1.89,1.95,1.87,1.95,103257103,19760
11-January-2024,1.8,1.87,1.78,1.86,107733553,21618
10-January-2024,1.79,1.83,1.67,1.79,201135420,23406
9-January-2024,1.7,1.75,1.68,1.75,108903742,13972
8-January-2024,1.64,1.69,1.6,1.67,155144620,25108
5-January-2024,1.62,1.63,1.58,1.63,181230054,14020
4-January-2024,1.52,1.56,1.52,1.56,52819851,4103
3-January-2024,1.43,1.49,1.43,1.49,95399918,8707
2-January-2024,1.38,1.42,1.36,1.42,112423696,11040
1-January-2024,1.31,1.36,1.3,1.36,57994012,8357
29-December-2023,1.31,1.33,1.28,1.3,54389556,8338
28-December-2023,1.37,1.38,1.33,1.33,26721987,4801
27-December-2023,1.44,1.45,1.36,1.39,39525041,6159
26-December-2023,1.43,1.48,1.41,1.42,65308923,12348
22-December-2023,1.39,1.47,1.38,1.43,77640285,6511
21-December-2023,1.41,1.44,1.4,1.4,139631446,8537
20-December-2023,1.54,1.61,1.47,1.47,179413460,8711
19-December-2023,1.57,1.62,1.49,1.54,228049274,19494
18-December-2023,1.54,1.56,1.53,1.56,56556167,5087
15-December-2023,1.45,1.49,1.44,1.49,85362024,16408
14-December-2023,1.38,1.42,1.36,1.42,65646432,10340
13-December-2023,1.41,1.41,1.31,1.36,156950073,18096
12-December-2023,1.33,1.36,1.31,1.36,165978814,12228
11-December-2023,1.15,1.24,1.15,1.24,64691927,6370
8-December-2023,1.11,1.14,1.1,1.13,30274933,9731
7-December-2023,1.06,1.1,1.04,1.09,36876983,9657
6-December-2023,1.12,1.13,1.07,1.07,34886251,5673
5-December-2023,1.13,1.13,1.11,1.12,26869009,7121
4-December-2023,1.08,1.13,1.08,1.13,114487969,10832
1-December-2023,1.06,1.09,1.05,1.08,26566887,8811
30-November-2023,1.06,1.07,1.05,1.06,17995979,11251
29-November-2023,1.07,1.09,1.06,1.06,20196390,9441
28-November-2023,1.07,1.09,1.06,1.07,8457142,6244
24-November-2023,1.06,1.07,1.05,1.06,10899485,9820
23-November-2023,1.07,1.07,1.05,1.06,18649684,8963
22-November-2023,1.09,1.1,1.06,1.06,18154623,7843
21-November-2023,1.11,1.13,1.08,1.1,26733075,9810
20-November-2023,1.11,1.12,1.09,1.11,21261713,9193
17-November-2023,1.15,1.15,1.09,1.1,26820800,9111
16-November-2023,1.09,1.13,1.08,1.13,28647611,8545
15-November-2023,1.07,1.09,1.06,1.08,25191576,9204
13-November-2023,1.06,1.07,1.03,1.06,18766871,9197
12-November-2023,1.05,1.08,1.03,1.07,17844291,3275
10-November-2023,1.11,1.11,1.07,1.07,38951997,2891
9-November-2023,1.15,1.17,1.11,1.12,36351448,8030
8-November-2023,1.12,1.12,1.1,1.12,16470336,1881
7-November-2023,1.07,1.07,1.06,1.07,17398762,2729
6-November-2023,0.99,1.02,0.99,1.02,9409291,1821
3-November-2023,0.95,0.98,0.94,0.98,26220184,7731
2-November-2023,0.94,0.95,0.93,0.94,9147621,7051
1-November-2023,0.93,0.95,0.92,0.93,12961938,6266
31-October-2023,0.94,0.95,0.91,0.92,16718832,7794
30-October-2023,0.93,0.95,0.92,0.94,12380978,7041
27-October-2023,0.89,0.93,0.89,0.93,16461644,6657
26-October-2023,0.91,0.91,0.87,0.89,30164159,9487
25-October-2023,0.92,0.93,0.9,0.91,9953188,6456
23-October-2023,0.96,0.97,0.91,0.92,22064908,9760
20-October-2023,0.94,0.97,0.94,0.95,19375308,9714
19-October-2023,0.96,0.97,0.93,0.94,15405449,10014
18-October-2023,0.99,1.0,0.96,0.96,13740063,8083
17-October-2023,1.01,1.03,0.98,0.99,18903217,9660
16-October-2023,1.02,1.04,1.0,1.01,16758675,6933
13-October-2023,1.02,1.03,1.0,1.01,20992047,8964
12-October-2023,0.98,1.02,0.98,1.02,45288260,7961
11-October-2023,0.96,0.99,0.96,0.98,29702797,8766
10-October-2023,0.98,0.99,0.95,0.96,34499851,7367
9-October-2023,1.02,1.02,0.98,0.98,51757676,7916
6-October-2023,1.06,1.06,1.02,1.03,15573891,9834
5-October-2023,1.04,1.07,1.02,1.06,62120419,8110
4-October-2023,1.06,1.08,1.02,1.02,48768821,11210
3-October-2023,1.08,1.09,1.06,1.07,21753850,7630
29-September-2023,1.11,1.12,1.07,1.08,29908073,10422
28-September-2023,1.12,1.14,1.1,1.11,40147970,8956
27-September-2023,1.11,1.14,1.11,1.12,27125443,8880
26-September-2023,1.1,1.12,1.1,1.11,21855982,9833
25-September-2023,1.13,1.13,1.09,1.11,44303101,10809
22-September-2023,1.11,1.19,1.1,1.11,78188375,8919
21-September-2023,1.15,1.15,1.14,1.14,14035545,1464
20-September-2023,1.2,1.22,1.19,1.19,40654519,4499
18-September-2023,1.27,1.3,1.25,1.25,52764855,5653
15-September-2023,1.2,1.33,1.2,1.31,186560676,13035
14-September-2023,1.17,1.25,1.13,1.21,142434659,10305
13-September-2023,1.06,1.16,1.04,1.16,185549065,16259
12-September-2023,1.24,1.24,1.02,1.06,165094565,27019
11-September-2023,1.13,1.13,1.13,1.13,7273349,617
8-September-2023,0.95,1.03,0.94,1.03,75072491,4161
7-September-2023,0.73,0.86,0.72,0.86,203286954,16970
6-September-2023,0.71,0.76,0.71,0.72,98311475,11461
5-September-2023,0.72,0.73,0.71,0.72,24591486,12556
4-September-2023,0.72,0.74,0.71,0.72,53322186,20807
1-September-2023,0.71,0.73,0.7,0.72,59745011,11183
31-August-2023,0.7,0.72,0.7,0.7,28855795,11243
30-August-2023,0.72,0.73,0.7,0.71,33040867,10084
29-August-2023,0.73,0.74,0.72,0.72,18719907,7567
28-August-2023,0.73,0.74,0.71,0.72,23948410,10261
25-August-2023,0.75,0.76,0.73,0.73,25799768,11144
24-August-2023,0.76,0.78,0.75,0.75,32070883,17447
23-August-2023,0.75,0.77,0.75,0.76,20825259,11540
22-August-2023,0.75,0.76,0.74,0.76,10433852,10819
21-August-2023,0.75,0.76,0.74,0.75,13806526,12198
18-August-2023,0.76,0.77,0.75,0.75,14368110,11311
17-August-2023,0.76,0.77,0.75,0.76,12680767,12510
16-August-2023,0.75,0.77,0.75,0.76,11060361,9855
14-August-2023,0.76,0.77,0.75,0.76,13335646,8216
11-August-2023,0.76,0.77,0.75,0.76,14250856,12509
10-August-2023,0.76,0.77,0.75,0.76,15874547,9987
9-August-2023,0.76,0.77,0.75,0.76,10591455,8532
8-August-2023,0.76,0.77,0.74,0.75,16094939,9442
7-August-2023,0.76,0.78,0.76,0.76,18764256,8881
4-August-2023,0.77,0.77,0.76,0.76,10683818,6631
3-August-2023,0.77,0.77,0.76,0.77,6741023,12576
2-August-2023,0.77,0.78,0.76,0.76,21363625,8358
1-August-2023,0.77,0.78,0.76,0.77,18077970,6744
31-July-2023,0.76,0.78,0.76,0.76,19597918,5831
28-July-2023,0.77,0.77,0.75,0.76,21642038,9207
27-July-2023,0.76,0.78,0.76,0.76,23961127,8828
26-July-2023,0.77,0.77,0.75,0.76,14459021,11483
25-July-2023,0.77,0.77,0.76,0.77,9001196,7935
24-July-2023,0.77,0.78,0.76,0.77,16837813,7635
21-July-2023,0.77,0.77,0.76,0.77,11238639,9446
20-July-2023,0.76,0.78,0.75,0.77,17510926,8169
19-July-2023,0.78,0.79,0.75,0.77,18449170,9452
18-July-2023,0.78,0.8,0.77,0.78,23121312,8137
17-July-2023,0.77,0.79,0.77,0.78,15727080,7707
14-July-2023,0.76,0.79,0.76,0.78,18952336,8674
13-July-2023,0.79,0.81,0.75,0.77,25975561,14234
12-July-2023,0.8,0.81,0.78,0.79,15339429,17536
11-July-2023,0.81,0.82,0.8,0.8,8994252,16540
10-July-2023,0.83,0.83,0.8,0.8,12696763,13107
7-July-2023,0.82,0.83,0.81,0.82,11712624,11594
6-July-2023,0.82,0.84,0.81,0.82,10073073,11790
5-July-2023,0.82,0.83,0.81,0.82,10385664,11931
