Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,12.9,13.39,12.9,13.17,10030,75,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
27-June-2024,13.5,13.5,12.9,12.93,16992,110,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
26-June-2024,13.3,13.8,12.86,13.38,17321,68,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
25-June-2024,13.76,13.76,12.7,12.86,5307,70,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
24-June-2024,13.66,13.66,12.82,13.13,11091,53,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
21-June-2024,15.79,15.79,13.0,13.39,9114,256,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
20-June-2024,13.1,13.6,12.8,13.49,5134,155,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
19-June-2024,13.4,13.99,12.61,13.12,4478,184,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
18-June-2024,13.6,13.6,13.0,13.11,13972,143,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
14-June-2024,13.19,13.58,12.61,12.95,8611,65,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
13-June-2024,12.74,13.47,12.51,12.88,9425,70,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
12-June-2024,12.7,12.74,12.3,12.71,2269,40,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
11-June-2024,12.5,12.69,12.3,12.35,9092,50,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
10-June-2024,12.32,13.4,12.22,12.45,2744,32,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
7-June-2024,12.53,13.6,12.16,12.32,3642,38,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
6-June-2024,13.5,13.5,12.1,12.28,4822,29,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
5-June-2024,12.22,12.35,12.22,12.25,668,12,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
4-June-2024,12.0,12.74,11.37,12.22,4446,33,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
3-June-2024,12.64,13.0,12.02,12.73,4776,49,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
31-May-2024,13.9,13.9,12.11,12.68,4922,52,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
30-May-2024,13.33,13.33,12.3,12.45,19086,115,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
29-May-2024,12.7,13.89,12.4,13.07,11802,84,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
28-May-2024,13.8,13.8,12.62,13.09,4870,46,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
27-May-2024,12.09,13.37,12.09,13.27,21996,88,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
24-May-2024,12.15,12.99,11.6,12.1,4344,44,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
23-May-2024,11.92,12.56,11.92,12.4,3237,35,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
22-May-2024,12.15,12.67,11.8,11.93,4335,38,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
21-May-2024,11.91,12.3,11.91,11.91,2134,35,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
18-May-2024,12.6,12.6,11.9,11.9,475,7,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
17-May-2024,12.6,12.6,11.8,12.3,2603,26,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
16-May-2024,12.68,12.68,11.72,12.1,955,22,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
15-May-2024,12.79,12.79,11.62,11.92,778,24,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
14-May-2024,12.39,12.47,11.62,12.44,923,22,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
13-May-2024,12.46,12.46,12.0,12.39,843,21,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
10-May-2024,13.8,13.8,11.8,12.1,2048,31,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
9-May-2024,12.26,12.26,11.62,11.92,1598,31,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
8-May-2024,12.73,12.73,11.56,12.51,4600,38,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
7-May-2024,12.99,12.99,11.73,12.59,610,22,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
6-May-2024,13.27,13.27,12.0,12.1,1825,40,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
3-May-2024,13.69,13.69,11.73,12.34,22468,81,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
2-May-2024,13.13,14.0,12.3,13.69,11572,72,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
30-April-2024,12.99,13.98,12.99,13.13,8470,52,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
29-April-2024,12.2,12.99,12.19,12.99,9359,52,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
26-April-2024,11.8,12.5,11.8,12.37,2805,49,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
25-April-2024,11.83,12.46,11.83,11.9,359,16,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
23-April-2024,11.94,11.94,11.94,11.94,15,2,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
22-April-2024,12.2,12.2,11.3,11.94,1300,28,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
19-April-2024,12.38,12.38,11.85,12.2,429,18,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
18-April-2024,11.6,12.45,11.6,12.14,3167,35,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
16-April-2024,11.94,11.94,11.4,11.68,3504,33,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
15-April-2024,11.85,12.99,11.44,11.58,4185,33,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
12-April-2024,12.1,12.59,11.85,11.91,1284,28,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
10-April-2024,12.48,12.8,12.01,12.1,2280,25,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
9-April-2024,12.79,12.79,12.15,12.48,768,13,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
8-April-2024,13.0,13.0,12.21,12.77,3714,35,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
5-April-2024,12.87,12.87,12.2,12.29,4290,44,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
4-April-2024,12.32,12.57,11.99,12.19,5069,42,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
3-April-2024,12.14,13.1,12.14,12.31,3478,37,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
2-April-2024,12.99,13.3,11.8,12.21,5370,52,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
1-April-2024,10.3,12.97,10.3,12.83,7917,65,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
28-March-2024,11.84,12.46,11.28,11.65,1081,25,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
27-March-2024,11.02,11.9,11.02,11.84,4298,39,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
26-March-2024,11.78,12.09,11.02,11.54,5596,37,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
22-March-2024,12.18,12.2,11.26,11.35,1500,17,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
21-March-2024,11.5,12.18,11.46,11.57,2682,39,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
20-March-2024,12.48,12.48,11.32,11.44,3482,18,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
19-March-2024,12.28,12.5,12.28,12.28,134,14,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
18-March-2024,12.33,12.33,11.61,12.28,951,10,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
15-March-2024,11.96,12.74,11.21,12.09,6613,34,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
14-March-2024,10.85,11.96,10.81,11.87,7220,41,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
13-March-2024,11.79,12.44,10.62,10.78,26190,90,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
12-March-2024,13.2,13.2,12.06,12.56,3739,18,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
11-March-2024,13.2,13.2,12.51,12.64,1910,38,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
7-March-2024,11.8,13.4,11.8,12.81,4174,56,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
6-March-2024,13.45,13.45,12.5,12.61,7149,52,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
5-March-2024,13.43,13.43,12.02,12.5,5609,65,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
4-March-2024,14.0,14.0,12.5,12.52,10992,86,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
2-March-2024,13.54,13.54,12.91,12.91,14,4,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
1-March-2024,14.4,14.4,12.71,12.91,572,28,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
29-February-2024,12.62,13.37,12.62,13.35,2120,18,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
28-February-2024,13.2,13.94,12.88,12.92,7683,55,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
27-February-2024,13.5,14.0,13.06,13.47,13702,100,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
26-February-2024,13.38,13.38,12.27,12.42,5458,38,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
23-February-2024,12.8,13.44,12.61,13.12,5676,51,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
22-February-2024,12.61,13.38,12.32,12.58,5011,46,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
21-February-2024,12.64,12.99,12.5,12.61,2427,52,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
20-February-2024,13.48,13.48,12.7,12.99,914,19,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
19-February-2024,13.39,13.39,12.62,13.18,8350,80,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
16-February-2024,13.39,13.39,12.65,12.93,16871,87,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
15-February-2024,13.62,13.62,12.8,13.14,2573,42,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
14-February-2024,13.27,13.4,12.61,13.0,3715,51,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.)
