Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,11.11,11.27,10.98,11.0,910704,2559,GVK Power & Infrastructure Ltd
27-June-2024,11.11,11.34,11.01,11.05,333351,1300,GVK Power & Infrastructure Ltd
26-June-2024,11.48,11.48,11.06,11.11,897017,2930,GVK Power & Infrastructure Ltd
25-June-2024,11.7,11.74,11.14,11.34,868186,2624,GVK Power & Infrastructure Ltd
24-June-2024,11.53,11.87,11.27,11.5,1331241,2697,GVK Power & Infrastructure Ltd
21-June-2024,11.1,11.52,10.76,11.52,640471,991,GVK Power & Infrastructure Ltd
20-June-2024,11.01,11.15,10.83,10.98,524723,1668,GVK Power & Infrastructure Ltd
19-June-2024,11.28,11.35,11.0,11.06,699575,1658,GVK Power & Infrastructure Ltd
18-June-2024,11.6,11.7,11.2,11.29,851768,2436,GVK Power & Infrastructure Ltd
14-June-2024,11.2,11.54,10.8,11.39,660015,1239,GVK Power & Infrastructure Ltd
13-June-2024,11.78,11.78,10.85,11.11,1565082,2461,GVK Power & Infrastructure Ltd
12-June-2024,10.99,11.35,10.75,11.35,1648880,1608,GVK Power & Infrastructure Ltd
11-June-2024,10.65,10.87,10.4,10.81,1043261,1656,GVK Power & Infrastructure Ltd
10-June-2024,10.72,10.9,10.33,10.67,470415,1272,GVK Power & Infrastructure Ltd
7-June-2024,10.5,10.6,10.15,10.42,715281,1470,GVK Power & Infrastructure Ltd
6-June-2024,10.45,10.69,10.1,10.3,336725,1013,GVK Power & Infrastructure Ltd
5-June-2024,10.02,10.5,10.02,10.23,694283,2215,GVK Power & Infrastructure Ltd
4-June-2024,10.97,10.97,10.54,10.54,2973205,3130,GVK Power & Infrastructure Ltd
3-June-2024,11.09,11.09,10.91,11.09,5224336,3368,GVK Power & Infrastructure Ltd
31-May-2024,10.24,10.57,10.2,10.57,2852508,2151,GVK Power & Infrastructure Ltd
30-May-2024,9.82,10.3,9.82,10.07,1164412,1617,GVK Power & Infrastructure Ltd
29-May-2024,10.27,10.32,10.22,10.22,3376240,3197,GVK Power & Infrastructure Ltd
28-May-2024,10.95,11.01,10.71,10.75,931085,1870,GVK Power & Infrastructure Ltd
27-May-2024,11.15,11.19,10.66,10.86,833370,1444,GVK Power & Infrastructure Ltd
24-May-2024,10.92,11.0,10.85,10.89,1101709,2030,GVK Power & Infrastructure Ltd
23-May-2024,10.94,11.1,10.65,10.97,1113993,2016,GVK Power & Infrastructure Ltd
22-May-2024,10.98,11.05,10.8,10.91,974599,1838,GVK Power & Infrastructure Ltd
21-May-2024,11.28,11.28,10.81,10.96,1272397,2604,GVK Power & Infrastructure Ltd
