Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,928.1,976.75,912.7,939.6,39071,3882,Gokaldas Exports Ltd
27-June-2024,939.9,950.8,922.5,928.15,24419,3138,Gokaldas Exports Ltd
26-June-2024,919.85,939.65,918.1,935.6,25382,2464,Gokaldas Exports Ltd
25-June-2024,908.8,912.5,885.3,892.6,20260,2877,Gokaldas Exports Ltd
24-June-2024,923.8,923.8,882.3,887.55,8693,1291,Gokaldas Exports Ltd
21-June-2024,883.95,924.0,875.0,905.7,34658,4240,Gokaldas Exports Ltd
20-June-2024,859.95,871.55,846.15,865.9,17500,1711,Gokaldas Exports Ltd
19-June-2024,821.05,846.45,821.05,831.8,11274,1456,Gokaldas Exports Ltd
18-June-2024,814.0,840.0,808.85,835.6,5923,520,Gokaldas Exports Ltd
14-June-2024,805.0,822.95,805.0,811.65,8402,1118,Gokaldas Exports Ltd
13-June-2024,829.9,830.05,799.7,810.1,12395,1698,Gokaldas Exports Ltd
12-June-2024,824.95,824.95,815.05,820.95,2093,314,Gokaldas Exports Ltd
11-June-2024,816.0,823.15,811.7,816.55,10909,1176,Gokaldas Exports Ltd
10-June-2024,826.5,847.05,816.35,828.35,17294,2363,Gokaldas Exports Ltd
7-June-2024,822.0,833.65,788.55,828.85,21589,2093,Gokaldas Exports Ltd
6-June-2024,848.05,878.35,831.4,854.95,5900,992,Gokaldas Exports Ltd
5-June-2024,770.5,843.8,728.0,831.4,14489,1910,Gokaldas Exports Ltd
4-June-2024,826.4,830.0,737.9,755.35,21241,2271,Gokaldas Exports Ltd
3-June-2024,864.9,869.2,823.95,834.7,9070,1155,Gokaldas Exports Ltd
31-May-2024,810.2,855.85,810.2,847.9,8745,1198,Gokaldas Exports Ltd
30-May-2024,839.95,839.95,801.0,821.35,9417,1277,Gokaldas Exports Ltd
29-May-2024,819.55,835.0,819.25,832.25,6215,712,Gokaldas Exports Ltd
28-May-2024,842.0,862.9,815.5,819.55,5797,867,Gokaldas Exports Ltd
27-May-2024,883.2,883.2,839.35,841.25,5802,708,Gokaldas Exports Ltd
24-May-2024,869.85,876.0,841.65,858.95,23685,2231,Gokaldas Exports Ltd
23-May-2024,830.0,875.75,828.15,868.65,17843,2391,Gokaldas Exports Ltd
22-May-2024,849.95,850.0,825.05,828.45,7444,793,Gokaldas Exports Ltd
21-May-2024,843.05,844.6,829.5,838.9,8030,935,Gokaldas Exports Ltd
18-May-2024,848.0,860.5,835.4,843.05,603,116,Gokaldas Exports Ltd
17-May-2024,830.15,846.0,830.15,837.8,3411,596,Gokaldas Exports Ltd
16-May-2024,850.0,850.0,839.7,841.4,994,198,Gokaldas Exports Ltd
15-May-2024,833.75,846.9,833.75,839.85,4533,694,Gokaldas Exports Ltd
14-May-2024,859.95,859.95,823.0,836.2,2463,292,Gokaldas Exports Ltd
13-May-2024,829.95,835.0,811.0,831.8,4279,489,Gokaldas Exports Ltd
10-May-2024,803.15,830.0,795.85,822.1,11648,1258,Gokaldas Exports Ltd
9-May-2024,836.05,836.05,800.75,803.05,3625,606,Gokaldas Exports Ltd
8-May-2024,845.25,845.25,822.5,823.6,2091,359,Gokaldas Exports Ltd
7-May-2024,844.0,844.0,821.4,829.75,2432,373,Gokaldas Exports Ltd
6-May-2024,855.9,863.45,838.5,843.65,15619,1410,Gokaldas Exports Ltd
3-May-2024,879.35,879.4,853.75,856.65,7343,587,Gokaldas Exports Ltd
2-May-2024,888.35,890.0,865.0,875.25,28746,3091,Gokaldas Exports Ltd
30-April-2024,832.95,887.4,821.0,880.3,49542,4338,Gokaldas Exports Ltd
29-April-2024,791.15,825.2,791.15,821.55,4855,383,Gokaldas Exports Ltd
26-April-2024,800.85,803.35,782.4,795.05,3548,417,Gokaldas Exports Ltd
25-April-2024,802.0,814.9,795.4,802.25,11092,1213,Gokaldas Exports Ltd
24-April-2024,815.75,826.35,798.35,801.45,5842,485,Gokaldas Exports Ltd
23-April-2024,810.95,818.8,804.75,806.25,2694,360,Gokaldas Exports Ltd
22-April-2024,815.85,823.45,807.0,810.1,9588,1249,Gokaldas Exports Ltd
19-April-2024,809.5,825.75,801.0,809.85,12905,1017,Gokaldas Exports Ltd
18-April-2024,808.0,825.0,800.4,807.7,23501,1720,Gokaldas Exports Ltd
16-April-2024,792.0,805.0,773.55,801.1,9504,757,Gokaldas Exports Ltd
15-April-2024,683.45,800.0,683.45,796.05,25147,2150,Gokaldas Exports Ltd
12-April-2024,798.15,802.15,787.2,793.3,5015,330,Gokaldas Exports Ltd
10-April-2024,783.85,804.05,774.95,799.65,6663,530,Gokaldas Exports Ltd
9-April-2024,789.05,790.0,774.35,787.4,12177,1168,Gokaldas Exports Ltd
8-April-2024,785.0,790.0,772.05,787.1,12021,1082,Gokaldas Exports Ltd
5-April-2024,767.65,781.25,758.45,779.65,13834,1062,Gokaldas Exports Ltd
4-April-2024,780.0,785.0,765.25,767.65,14744,1037,Gokaldas Exports Ltd
