Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,203.0,204.0,198.5,199.8,16275,676
27-June-2024,207.85,208.15,199.55,202.1,9565,476
26-June-2024,211.45,212.35,204.7,205.4,22128,966
25-June-2024,205.55,207.0,199.0,200.75,21722,671
24-June-2024,203.0,206.0,199.1,205.25,23410,681
21-June-2024,204.75,207.25,202.55,204.15,5789,264
20-June-2024,199.5,208.9,198.5,204.3,15187,628
19-June-2024,205.9,206.6,198.7,199.4,16861,489
18-June-2024,209.8,209.8,203.1,203.5,10205,348
14-June-2024,201.35,213.95,201.35,207.4,22769,863
13-June-2024,209.75,215.65,203.0,208.95,52183,1796
12-June-2024,196.0,210.85,193.5,206.95,49107,1880
11-June-2024,183.85,196.05,183.75,190.3,64104,3086
10-June-2024,189.05,191.0,185.05,186.45,31871,1183
7-June-2024,175.7,196.75,175.0,189.85,46121,968
6-June-2024,173.4,178.35,173.1,175.65,3996,272
5-June-2024,164.0,175.6,162.95,171.25,22173,1069
4-June-2024,181.35,181.35,161.5,168.05,90682,2281
3-June-2024,186.65,186.65,177.5,180.5,16647,908
31-May-2024,182.5,182.6,177.25,178.65,5552,398
30-May-2024,181.15,183.2,178.05,181.1,10543,423
29-May-2024,182.95,182.95,180.35,181.15,8338,508
28-May-2024,185.3,185.95,181.55,183.15,3094,209
27-May-2024,192.0,192.0,183.05,185.1,5751,425
24-May-2024,191.5,191.7,187.2,188.1,17259,716
23-May-2024,189.55,195.0,187.15,193.55,25831,1092
22-May-2024,191.15,195.45,185.0,185.9,73899,2871
21-May-2024,199.4,201.8,196.15,197.1,16913,707
18-May-2024,201.3,202.0,199.0,199.5,3032,229
17-May-2024,203.25,205.1,198.9,200.75,4511,209
16-May-2024,204.95,204.95,201.1,201.8,2564,145
15-May-2024,202.6,204.0,201.6,201.9,4913,274
14-May-2024,193.45,201.95,193.45,201.75,7323,428
13-May-2024,196.75,200.0,193.0,197.35,12282,482
10-May-2024,197.95,199.0,195.95,196.7,2938,150
9-May-2024,211.35,211.35,195.05,195.9,10254,595
8-May-2024,202.1,207.3,202.1,203.8,6248,433
7-May-2024,211.5,213.0,206.1,206.8,8052,531
6-May-2024,202.05,223.2,202.05,212.15,117304,4023
3-May-2024,205.75,207.0,200.6,205.4,6085,391
2-May-2024,210.05,213.4,203.3,204.9,25036,1012
30-April-2024,220.75,220.75,210.85,213.0,26524,1002
29-April-2024,213.8,221.8,213.5,219.85,25505,843
26-April-2024,204.25,214.25,204.25,212.0,9526,396
25-April-2024,206.15,207.9,205.05,205.5,4574,162
24-April-2024,208.9,209.9,204.15,205.5,20716,806
23-April-2024,210.4,211.0,207.1,207.9,4260,181
22-April-2024,205.55,212.5,205.55,208.3,10818,518
19-April-2024,205.35,205.35,200.25,203.45,3702,209
18-April-2024,207.75,211.55,205.0,206.2,11687,456
16-April-2024,201.1,203.8,200.25,203.45,4201,254
15-April-2024,204.9,204.9,195.8,201.65,32453,1130
12-April-2024,204.35,207.7,201.0,206.35,12500,573
10-April-2024,204.1,212.85,200.55,201.6,44708,919
9-April-2024,207.65,209.55,201.25,207.35,37066,1235
8-April-2024,196.95,207.25,190.85,206.15,119773,2239
5-April-2024,180.4,191.85,177.0,188.9,13512,377
4-April-2024,181.7,181.7,176.05,179.35,16292,564
3-April-2024,174.2,179.3,173.8,178.1,5657,174
2-April-2024,174.0,175.7,168.75,174.4,19261,434
1-April-2024,163.65,175.1,163.65,174.25,23607,606
28-March-2024,161.9,168.45,161.8,162.25,21162,561
27-March-2024,165.1,168.65,160.75,161.9,35986,831
26-March-2024,171.9,171.9,165.05,165.85,28065,218
22-March-2024,168.1,173.2,168.1,170.95,28663,700
21-March-2024,169.85,172.15,168.05,169.05,17170,525
20-March-2024,168.15,173.85,166.25,168.3,25371,867
19-March-2024,175.25,175.25,167.2,169.5,19824,390
18-March-2024,170.0,174.45,169.5,173.3,9144,324
15-March-2024,171.0,173.05,165.45,170.85,24465,761
14-March-2024,158.05,178.0,158.05,170.35,68672,2213
13-March-2024,174.65,180.9,161.0,162.3,139149,2446
12-March-2024,179.8,179.8,169.7,170.45,13917,409
11-March-2024,186.95,187.3,176.0,177.0,41183,689
7-March-2024,190.2,192.1,186.35,187.75,6547,266
6-March-2024,194.95,195.15,185.3,186.45,9005,367
5-March-2024,196.4,197.0,193.15,194.1,14051,473
4-March-2024,199.2,199.2,194.7,196.4,2574,218
2-March-2024,192.1,205.0,190.0,198.05,2879,193
1-March-2024,203.9,203.9,194.0,196.0,8803,360
29-February-2024,198.9,198.9,191.5,195.35,15949,747
28-February-2024,203.2,203.4,195.75,197.3,25211,1254
27-February-2024,205.8,206.5,201.15,202.05,13583,459
26-February-2024,208.7,209.2,204.0,205.15,5303,243
23-February-2024,214.8,216.45,206.55,208.0,7762,330
22-February-2024,212.4,216.45,208.95,214.7,40884,1275
21-February-2024,199.65,218.0,199.55,211.3,40517,1127
20-February-2024,199.6,203.2,197.3,198.5,18822,491
19-February-2024,202.0,203.1,199.2,199.9,15082,365
16-February-2024,208.2,208.2,200.7,202.2,9076,287
15-February-2024,200.2,203.35,198.0,199.2,14295,472
14-February-2024,192.3,203.7,192.3,200.1,8102,246
13-February-2024,199.85,199.85,190.8,192.3,37666,1302
12-February-2024,202.25,206.65,196.7,198.45,34266,1107
9-February-2024,215.7,215.7,204.0,209.65,8287,391
8-February-2024,204.05,220.35,204.05,215.3,91197,2463
7-February-2024,208.95,209.55,202.8,204.4,18988,609
6-February-2024,209.85,210.0,205.0,206.05,5950,364
5-February-2024,216.75,217.0,206.0,208.0,26725,798
2-February-2024,211.9,218.8,207.45,215.8,16549,564
1-February-2024,206.1,218.0,203.95,207.85,16426,674
31-January-2024,198.1,206.1,198.1,203.2,3724,210
30-January-2024,200.0,205.05,199.85,201.75,14748,576
29-January-2024,203.2,206.4,199.3,200.05,27569,1309
25-January-2024,208.4,208.4,203.25,204.65,12709,619
24-January-2024,205.5,206.8,201.55,205.35,10102,565
23-January-2024,211.05,213.25,203.05,204.2,26586,974
20-January-2024,215.0,215.4,211.0,211.9,2248,163
19-January-2024,207.15,213.4,206.0,212.7,19951,876
18-January-2024,205.2,209.75,203.95,205.6,11558,632
17-January-2024,209.45,211.0,206.4,207.8,8080,260
16-January-2024,212.9,214.95,207.55,209.65,22392,700
15-January-2024,209.1,215.2,209.1,212.9,9222,437
12-January-2024,213.95,214.75,209.3,209.6,6656,309
11-January-2024,212.3,217.4,210.25,210.8,35258,1318
10-January-2024,216.0,218.45,213.0,216.3,16069,578
9-January-2024,223.95,224.15,214.7,215.3,13605,461
8-January-2024,229.0,229.0,220.0,221.65,17930,756
5-January-2024,231.6,233.8,220.4,223.0,43190,1277
4-January-2024,209.05,219.7,209.05,215.3,9940,482
3-January-2024,208.85,211.55,208.25,208.7,11865,564
2-January-2024,212.95,212.95,208.6,208.85,4738,216
1-January-2024,211.5,215.0,210.0,210.6,17839,604
29-December-2023,210.4,214.55,209.3,212.2,6158,252
28-December-2023,214.3,214.3,208.5,210.7,14393,376
27-December-2023,205.0,215.3,205.0,210.1,10831,466
26-December-2023,212.1,212.25,207.7,208.2,5040,247
