Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,74.0,75.0,70.71,72.0,2008,44,HB Estate Developers Ltd.
27-June-2024,74.08,75.9,72.4,72.69,1765,37,HB Estate Developers Ltd.
26-June-2024,75.2,75.2,72.0,73.57,1438,33,HB Estate Developers Ltd.
25-June-2024,73.0,74.55,72.0,72.0,752,27,HB Estate Developers Ltd.
24-June-2024,71.86,77.49,71.86,73.23,1475,33,HB Estate Developers Ltd.
21-June-2024,74.9,74.96,71.6,71.75,2603,40,HB Estate Developers Ltd.
20-June-2024,79.9,79.9,73.55,74.97,1235,29,HB Estate Developers Ltd.
19-June-2024,73.5,75.9,71.86,73.76,4743,60,HB Estate Developers Ltd.
18-June-2024,70.8,74.94,70.8,72.2,1471,36,HB Estate Developers Ltd.
14-June-2024,70.91,74.0,69.42,70.8,1219,35,HB Estate Developers Ltd.
13-June-2024,72.33,74.0,70.36,70.51,1587,28,HB Estate Developers Ltd.
12-June-2024,71.05,75.0,69.71,70.91,5878,69,HB Estate Developers Ltd.
11-June-2024,70.88,71.0,68.23,69.66,786,14,HB Estate Developers Ltd.
10-June-2024,71.95,73.0,68.97,69.39,6131,59,HB Estate Developers Ltd.
7-June-2024,67.8,73.39,66.72,69.66,3830,61,HB Estate Developers Ltd.
6-June-2024,69.32,71.35,67.25,67.75,3348,39,HB Estate Developers Ltd.
5-June-2024,73.08,73.08,67.15,67.96,1831,21,HB Estate Developers Ltd.
4-June-2024,74.87,74.87,69.55,69.61,4891,47,HB Estate Developers Ltd.
3-June-2024,71.25,73.88,70.59,73.18,3547,43,HB Estate Developers Ltd.
31-May-2024,69.0,71.9,69.0,70.6,1711,35,HB Estate Developers Ltd.
30-May-2024,72.1,74.0,70.75,71.66,1506,24,HB Estate Developers Ltd.
29-May-2024,75.0,76.0,74.4,74.42,489,15,HB Estate Developers Ltd.
28-May-2024,79.9,79.9,76.02,76.61,1202,34,HB Estate Developers Ltd.
27-May-2024,82.15,82.15,77.3,78.5,2123,50,HB Estate Developers Ltd.
24-May-2024,78.36,78.36,75.1,78.29,16675,111,HB Estate Developers Ltd.
23-May-2024,74.5,74.63,70.03,74.63,7025,77,HB Estate Developers Ltd.
22-May-2024,69.4,72.05,67.7,71.08,2496,42,HB Estate Developers Ltd.
21-May-2024,68.4,71.52,68.4,69.4,1986,45,HB Estate Developers Ltd.
18-May-2024,72.83,74.41,72.0,72.0,790,17,HB Estate Developers Ltd.
17-May-2024,68.6,72.03,67.1,70.87,6291,69,HB Estate Developers Ltd.
16-May-2024,65.0,68.7,64.5,68.6,662,22,HB Estate Developers Ltd.
15-May-2024,65.05,66.0,64.01,66.0,512,19,HB Estate Developers Ltd.
14-May-2024,67.2,67.2,64.0,66.09,918,30,HB Estate Developers Ltd.
13-May-2024,65.8,66.89,65.0,65.54,718,14,HB Estate Developers Ltd.
10-May-2024,66.8,68.38,65.16,67.48,1286,22,HB Estate Developers Ltd.
9-May-2024,66.94,66.94,65.01,65.16,133,8,HB Estate Developers Ltd.
8-May-2024,65.0,68.0,65.0,66.94,1526,24,HB Estate Developers Ltd.
7-May-2024,67.0,67.0,65.05,65.48,243,8,HB Estate Developers Ltd.
6-May-2024,69.8,69.8,65.0,66.54,1015,43,HB Estate Developers Ltd.
3-May-2024,70.0,70.85,66.6,67.99,1581,47,HB Estate Developers Ltd.
2-May-2024,66.01,71.0,66.01,68.79,1806,50,HB Estate Developers Ltd.
30-April-2024,71.4,71.4,68.15,68.25,138,6,HB Estate Developers Ltd.
29-April-2024,72.4,72.4,70.0,70.0,4033,29,HB Estate Developers Ltd.
26-April-2024,70.34,70.34,67.05,68.99,1432,17,HB Estate Developers Ltd.
25-April-2024,66.6,70.0,66.6,68.3,1915,24,HB Estate Developers Ltd.
24-April-2024,71.0,71.0,67.55,68.07,2515,35,HB Estate Developers Ltd.
23-April-2024,70.0,71.2,70.0,70.0,1089,25,HB Estate Developers Ltd.
22-April-2024,71.0,71.0,67.26,68.51,951,18,HB Estate Developers Ltd.
19-April-2024,72.9,72.9,67.5,68.93,3438,23,HB Estate Developers Ltd.
18-April-2024,69.0,73.5,67.51,70.0,2535,40,HB Estate Developers Ltd.
16-April-2024,68.1,70.88,68.1,70.88,545,9,HB Estate Developers Ltd.
15-April-2024,72.45,72.45,66.57,71.39,1959,22,HB Estate Developers Ltd.
12-April-2024,68.2,71.0,66.06,70.07,2868,38,HB Estate Developers Ltd.
10-April-2024,64.21,68.26,64.21,68.26,2112,34,HB Estate Developers Ltd.
9-April-2024,64.2,68.77,64.2,65.01,1168,20,HB Estate Developers Ltd.
8-April-2024,65.06,67.96,65.0,65.5,2833,13,HB Estate Developers Ltd.
5-April-2024,65.15,68.3,65.0,67.96,1169,23,HB Estate Developers Ltd.
4-April-2024,66.92,68.9,64.5,65.05,425,12,HB Estate Developers Ltd.
3-April-2024,64.3,67.0,64.1,66.92,1898,18,HB Estate Developers Ltd.
2-April-2024,64.95,66.2,63.0,63.91,6016,30,HB Estate Developers Ltd.
1-April-2024,61.25,65.25,61.25,63.05,704,12,HB Estate Developers Ltd.
28-March-2024,62.1,63.26,62.1,62.5,777,20,HB Estate Developers Ltd.
27-March-2024,65.54,65.54,62.0,63.26,1293,24,HB Estate Developers Ltd.
26-March-2024,61.75,64.35,61.75,64.24,1299,16,HB Estate Developers Ltd.
22-March-2024,63.55,63.55,62.2,63.01,1813,16,HB Estate Developers Ltd.
21-March-2024,68.55,68.55,63.0,63.5,1478,16,HB Estate Developers Ltd.
20-March-2024,60.0,65.3,60.0,65.3,4048,25,HB Estate Developers Ltd.
19-March-2024,60.31,62.25,60.31,62.25,737,15,HB Estate Developers Ltd.
18-March-2024,65.0,65.0,61.22,61.5,721,20,HB Estate Developers Ltd.
15-March-2024,62.6,64.45,60.5,64.44,2447,19,HB Estate Developers Ltd.
14-March-2024,63.23,64.5,60.5,62.0,1051,18,HB Estate Developers Ltd.
13-March-2024,64.0,68.2,61.75,61.99,3615,36,HB Estate Developers Ltd.
12-March-2024,62.05,68.25,62.05,65.0,2201,29,HB Estate Developers Ltd.
11-March-2024,68.9,68.9,65.0,65.0,2310,36,HB Estate Developers Ltd.
7-March-2024,62.0,65.62,62.0,65.62,7966,42,HB Estate Developers Ltd.
6-March-2024,63.7,65.0,60.34,62.5,967,18,HB Estate Developers Ltd.
5-March-2024,64.01,67.33,61.25,63.5,1761,38,HB Estate Developers Ltd.
4-March-2024,66.0,66.0,64.05,64.13,762,28,HB Estate Developers Ltd.
2-March-2024,67.1,67.1,66.3,67.07,332,6,HB Estate Developers Ltd.
1-March-2024,68.9,68.95,66.72,67.09,3780,44,HB Estate Developers Ltd.
29-February-2024,67.22,69.5,66.1,66.3,735,19,HB Estate Developers Ltd.
28-February-2024,69.99,69.99,66.4,67.22,1357,26,HB Estate Developers Ltd.
27-February-2024,70.93,71.35,66.45,68.12,701,40,HB Estate Developers Ltd.
26-February-2024,71.19,74.69,68.35,69.54,1292,31,HB Estate Developers Ltd.
23-February-2024,74.0,74.89,70.33,71.19,1069,37,HB Estate Developers Ltd.
22-February-2024,72.74,76.0,69.68,71.88,11084,43,HB Estate Developers Ltd.
21-February-2024,75.0,75.0,72.55,72.74,6089,36,HB Estate Developers Ltd.
20-February-2024,75.0,76.39,72.2,74.87,4346,65,HB Estate Developers Ltd.
19-February-2024,69.3,72.76,69.3,72.76,6725,56,HB Estate Developers Ltd.
16-February-2024,73.7,73.7,69.2,69.3,2592,45,HB Estate Developers Ltd.
15-February-2024,71.19,71.19,69.2,71.19,8416,78,HB Estate Developers Ltd.
14-February-2024,64.58,67.8,61.5,67.8,3833,38,HB Estate Developers Ltd.
13-February-2024,65.2,67.95,63.7,64.58,2661,55,HB Estate Developers Ltd.
12-February-2024,68.36,71.45,64.95,67.0,4531,82,HB Estate Developers Ltd.
9-February-2024,68.36,68.36,68.36,68.36,15691,92,HB Estate Developers Ltd.
8-February-2024,64.5,65.11,60.0,65.11,5983,63,HB Estate Developers Ltd.
7-February-2024,64.0,64.0,60.8,62.01,2685,42,HB Estate Developers Ltd.
6-February-2024,64.2,64.2,60.4,64.0,2513,42,HB Estate Developers Ltd.
5-February-2024,64.99,65.29,60.2,63.49,8688,58,HB Estate Developers Ltd.
2-February-2024,63.0,63.0,59.1,62.19,4849,60,HB Estate Developers Ltd.
1-February-2024,64.0,64.0,60.8,62.0,3494,57,HB Estate Developers Ltd.
31-January-2024,62.57,64.0,61.0,64.0,5021,37,HB Estate Developers Ltd.
30-January-2024,64.45,64.45,61.5,63.97,2155,39,HB Estate Developers Ltd.
29-January-2024,64.27,64.5,61.71,64.28,2324,54,HB Estate Developers Ltd.
25-January-2024,67.0,67.0,62.0,63.0,5330,62,HB Estate Developers Ltd.
24-January-2024,61.4,67.7,61.4,64.04,1882,33,HB Estate Developers Ltd.
23-January-2024,66.99,66.99,61.0,62.58,5209,71,HB Estate Developers Ltd.
20-January-2024,66.22,67.5,63.04,66.99,7970,80,HB Estate Developers Ltd.
19-January-2024,68.12,70.0,62.1,64.92,5813,88,HB Estate Developers Ltd.
