Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,63.75,65.72,63.75,64.43,759,8,HOV Services Limited
27-June-2024,64.21,64.21,64.21,64.21,2,1,HOV Services Limited
26-June-2024,62.21,66.7,62.21,64.16,1470,9,HOV Services Limited
25-June-2024,64.7,65.0,64.0,64.0,506,7,HOV Services Limited
24-June-2024,65.1,67.45,64.9,64.9,1396,9,HOV Services Limited
21-June-2024,65.6,65.6,64.26,65.4,1569,16,HOV Services Limited
20-June-2024,67.75,67.75,64.0,66.0,621,11,HOV Services Limited
19-June-2024,65.28,65.36,65.28,65.36,1231,7,HOV Services Limited
18-June-2024,67.0,69.9,67.0,67.1,3352,14,HOV Services Limited
14-June-2024,68.25,68.68,66.5,67.89,2977,19,HOV Services Limited
13-June-2024,65.2,67.3,64.95,67.3,8639,65,HOV Services Limited
12-June-2024,64.0,64.79,63.99,64.1,2000,11,HOV Services Limited
11-June-2024,65.0,65.0,62.0,62.05,1600,7,HOV Services Limited
10-June-2024,65.0,65.9,63.0,63.0,2701,26,HOV Services Limited
7-June-2024,64.05,64.1,61.68,64.0,513,8,HOV Services Limited
6-June-2024,57.5,61.06,57.5,61.06,266,4,HOV Services Limited
5-June-2024,59.4,59.4,57.0,58.16,7598,19,HOV Services Limited
4-June-2024,59.68,63.0,58.0,59.99,9542,30,HOV Services Limited
3-June-2024,62.98,63.0,60.0,60.28,16849,39,HOV Services Limited
31-May-2024,62.02,62.02,60.0,60.09,4992,37,HOV Services Limited
30-May-2024,62.02,64.8,62.02,62.02,800,8,HOV Services Limited
29-May-2024,63.9,65.0,62.4,63.89,2855,18,HOV Services Limited
28-May-2024,66.89,66.9,63.5,63.53,8427,51,HOV Services Limited
27-May-2024,65.01,66.37,65.0,66.37,591,26,HOV Services Limited
24-May-2024,64.25,66.1,64.25,65.52,2573,25,HOV Services Limited
23-May-2024,63.75,66.5,63.75,66.0,3172,28,HOV Services Limited
22-May-2024,65.15,65.65,63.72,65.65,888,13,HOV Services Limited
21-May-2024,67.0,67.0,64.7,65.05,1263,24,HOV Services Limited
18-May-2024,66.48,66.48,64.25,65.24,605,11,HOV Services Limited
17-May-2024,61.95,63.36,61.1,63.36,2306,33,HOV Services Limited
16-May-2024,61.78,61.78,60.26,60.35,637,16,HOV Services Limited
15-May-2024,60.85,62.25,60.0,61.78,2044,19,HOV Services Limited
14-May-2024,61.09,61.09,59.31,60.88,1609,8,HOV Services Limited
13-May-2024,60.0,61.09,59.0,60.1,1676,10,HOV Services Limited
10-May-2024,60.5,60.5,60.0,60.0,500,5,HOV Services Limited
9-May-2024,59.1,62.34,59.1,59.2,1856,21,HOV Services Limited
8-May-2024,59.8,61.25,59.8,61.23,1476,20,HOV Services Limited
7-May-2024,59.5,59.7,58.31,59.7,369,7,HOV Services Limited
6-May-2024,60.0,60.72,58.1,59.21,7355,32,HOV Services Limited
3-May-2024,60.7,61.59,58.33,60.0,1425,31,HOV Services Limited
2-May-2024,59.2,61.99,59.2,60.7,1216,14,HOV Services Limited
30-April-2024,60.9,61.1,60.01,60.01,632,8,HOV Services Limited
29-April-2024,61.5,61.95,60.1,60.18,11041,51,HOV Services Limited
26-April-2024,62.25,62.49,61.15,61.6,3578,23,HOV Services Limited
25-April-2024,63.9,65.5,60.61,61.6,14753,67,HOV Services Limited
24-April-2024,61.95,63.85,61.95,63.47,9363,51,HOV Services Limited
23-April-2024,62.24,63.95,60.36,61.82,10166,50,HOV Services Limited
22-April-2024,66.0,66.0,62.25,63.51,3623,140,HOV Services Limited
19-April-2024,63.34,64.69,61.99,64.23,5928,141,HOV Services Limited
18-April-2024,65.5,67.1,62.67,63.46,10694,194,HOV Services Limited
16-April-2024,68.41,69.43,65.96,65.96,6104,154,HOV Services Limited
15-April-2024,70.45,71.34,69.43,69.43,4442,106,HOV Services Limited
12-April-2024,73.0,75.74,72.02,73.08,5232,129,HOV Services Limited
10-April-2024,74.01,76.34,73.11,73.18,1847,21,HOV Services Limited
9-April-2024,72.15,78.3,71.64,74.35,22411,469,HOV Services Limited
8-April-2024,80.99,81.0,73.9,75.41,12312,341,HOV Services Limited
5-April-2024,72.13,77.78,72.13,77.78,26339,303,HOV Services Limited
4-April-2024,64.29,70.71,64.29,70.71,2832,36,HOV Services Limited
3-April-2024,66.66,66.66,63.99,64.29,2683,49,HOV Services Limited
2-April-2024,58.2,67.07,58.2,64.51,12372,144,HOV Services Limited
1-April-2024,57.3,63.04,56.38,62.82,8741,100,HOV Services Limited
28-March-2024,58.2,59.79,56.52,57.31,21691,107,HOV Services Limited
