Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,354.3,360.4,335.6,347.1,51519,641,Hazoor Multi Projects Limited
27-June-2024,359.8,363.0,347.05,349.75,29884,495,Hazoor Multi Projects Limited
26-June-2024,372.0,372.0,352.8,354.4,44363,488,Hazoor Multi Projects Limited
25-June-2024,365.5,365.5,357.0,360.15,19419,274,Hazoor Multi Projects Limited
24-June-2024,366.95,366.95,358.05,362.15,39746,382,Hazoor Multi Projects Limited
21-June-2024,361.0,371.0,359.1,362.85,21485,367,Hazoor Multi Projects Limited
20-June-2024,364.0,369.0,359.0,364.8,38491,349,Hazoor Multi Projects Limited
19-June-2024,364.9,366.0,357.05,359.0,41813,450,Hazoor Multi Projects Limited
18-June-2024,360.35,360.35,345.8,356.15,37098,580,Hazoor Multi Projects Limited
14-June-2024,350.05,364.7,344.5,360.35,64825,619,Hazoor Multi Projects Limited
13-June-2024,361.1,364.0,352.65,355.25,63216,541,Hazoor Multi Projects Limited
12-June-2024,355.4,371.95,355.4,366.65,49508,395,Hazoor Multi Projects Limited
11-June-2024,360.0,364.95,355.25,359.75,41709,292,Hazoor Multi Projects Limited
10-June-2024,360.2,369.0,355.1,360.05,20930,393,Hazoor Multi Projects Limited
7-June-2024,369.0,375.8,358.0,360.2,75175,918,Hazoor Multi Projects Limited
6-June-2024,355.35,378.25,350.1,376.4,67701,548,Hazoor Multi Projects Limited
5-June-2024,348.5,369.9,343.7,360.25,43357,506,Hazoor Multi Projects Limited
4-June-2024,381.0,381.0,361.75,361.75,76853,533,Hazoor Multi Projects Limited
3-June-2024,395.0,395.0,368.0,380.75,78350,770,Hazoor Multi Projects Limited
31-May-2024,385.0,385.0,361.0,379.05,77299,550,Hazoor Multi Projects Limited
30-May-2024,383.85,383.85,375.0,379.25,155864,923,Hazoor Multi Projects Limited
29-May-2024,344.1,367.9,344.1,365.6,53985,446,Hazoor Multi Projects Limited
28-May-2024,344.0,357.0,341.0,350.8,56063,350,Hazoor Multi Projects Limited
27-May-2024,354.85,358.95,340.0,344.65,73687,453,Hazoor Multi Projects Limited
24-May-2024,353.05,359.7,345.0,357.35,51720,438,Hazoor Multi Projects Limited
23-May-2024,359.0,365.0,350.0,362.6,38995,404,Hazoor Multi Projects Limited
22-May-2024,354.95,365.0,348.0,355.4,47590,384,Hazoor Multi Projects Limited
21-May-2024,368.85,371.0,352.0,355.5,60631,544,Hazoor Multi Projects Limited
18-May-2024,376.95,376.95,360.0,369.3,56708,402,Hazoor Multi Projects Limited
17-May-2024,348.75,362.5,348.75,359.0,40488,136,Hazoor Multi Projects Limited
16-May-2024,370.35,370.35,355.85,355.85,38575,159,Hazoor Multi Projects Limited
15-May-2024,363.1,363.1,363.1,363.1,32661,128,Hazoor Multi Projects Limited
14-May-2024,350.0,356.0,350.0,356.0,20476,100,Hazoor Multi Projects Limited
13-May-2024,345.0,354.0,345.0,350.0,36855,113,Hazoor Multi Projects Limited
10-May-2024,349.9,349.9,349.9,349.9,81899,154,Hazoor Multi Projects Limited
9-May-2024,360.0,360.05,352.0,357.0,29772,140,Hazoor Multi Projects Limited
8-May-2024,355.0,355.0,353.0,353.0,17490,114,Hazoor Multi Projects Limited
7-May-2024,366.0,366.0,358.7,358.7,15082,137,Hazoor Multi Projects Limited
6-May-2024,366.0,366.0,365.05,366.0,66478,206,Hazoor Multi Projects Limited
3-May-2024,372.45,372.45,372.45,372.45,34896,159,Hazoor Multi Projects Limited
2-May-2024,379.05,380.05,379.05,380.05,45184,183,Hazoor Multi Projects Limited
30-April-2024,396.0,396.0,382.2,386.75,46036,174,Hazoor Multi Projects Limited
29-April-2024,390.65,390.65,389.9,390.0,42290,233,Hazoor Multi Projects Limited
26-April-2024,376.0,383.0,376.0,383.0,32967,190,Hazoor Multi Projects Limited
25-April-2024,372.75,376.0,372.75,376.0,85494,306,Hazoor Multi Projects Limited
24-April-2024,380.35,380.35,380.35,380.35,33461,184,Hazoor Multi Projects Limited
23-April-2024,388.1,396.0,388.1,388.1,64906,341,Hazoor Multi Projects Limited
22-April-2024,381.0,396.0,381.0,396.0,120703,340,Hazoor Multi Projects Limited
19-April-2024,395.0,395.0,388.75,388.75,122662,299,Hazoor Multi Projects Limited
18-April-2024,396.65,396.65,396.65,396.65,59238,199,Hazoor Multi Projects Limited
16-April-2024,373.7,388.9,373.7,388.9,136746,466,Hazoor Multi Projects Limited
15-April-2024,381.3,381.3,381.3,381.3,39274,174,Hazoor Multi Projects Limited
12-April-2024,389.05,389.05,389.05,389.05,64773,224,Hazoor Multi Projects Limited
10-April-2024,396.95,396.95,396.95,396.95,35724,300,Hazoor Multi Projects Limited
9-April-2024,405.05,405.05,400.0,405.05,237003,1268,Hazoor Multi Projects Limited
8-April-2024,385.0,385.8,376.0,385.8,378754,1321,Hazoor Multi Projects Limited
