Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,849.0,849.25,837.05,839.55,2548,507,Hinduja Global Solutions Limited
27-June-2024,845.0,847.95,836.9,843.6,2631,368,Hinduja Global Solutions Limited
26-June-2024,852.0,854.8,840.0,843.35,2532,419,Hinduja Global Solutions Limited
25-June-2024,863.9,863.9,850.05,852.2,1866,287,Hinduja Global Solutions Limited
24-June-2024,852.0,869.15,833.0,863.6,6228,676,Hinduja Global Solutions Limited
21-June-2024,857.0,889.0,857.0,868.75,8169,832,Hinduja Global Solutions Limited
20-June-2024,861.0,863.15,854.4,858.45,1178,169,Hinduja Global Solutions Limited
19-June-2024,876.0,876.0,851.25,855.95,2073,253,Hinduja Global Solutions Limited
18-June-2024,859.35,874.0,859.35,865.1,4448,471,Hinduja Global Solutions Limited
14-June-2024,865.85,865.85,851.15,859.35,4320,491,Hinduja Global Solutions Limited
13-June-2024,830.0,862.35,829.0,853.15,138795,1197,Hinduja Global Solutions Limited
12-June-2024,830.0,839.95,821.55,830.75,4754,475,Hinduja Global Solutions Limited
11-June-2024,818.0,821.9,816.0,820.85,2603,381,Hinduja Global Solutions Limited
10-June-2024,816.05,826.0,810.55,814.6,4597,743,Hinduja Global Solutions Limited
7-June-2024,819.0,837.45,814.15,816.4,5609,669,Hinduja Global Solutions Limited
6-June-2024,806.95,821.45,806.3,816.25,3186,433,Hinduja Global Solutions Limited
5-June-2024,781.25,799.1,771.0,791.4,3088,403,Hinduja Global Solutions Limited
4-June-2024,813.1,813.1,773.0,791.25,7182,1086,Hinduja Global Solutions Limited
3-June-2024,841.7,842.4,810.0,813.1,1916,363,Hinduja Global Solutions Limited
31-May-2024,819.2,840.2,814.05,826.7,2674,268,Hinduja Global Solutions Limited
30-May-2024,809.0,813.9,805.0,808.4,2645,377,Hinduja Global Solutions Limited
29-May-2024,814.35,817.3,807.55,809.15,976,273,Hinduja Global Solutions Limited
28-May-2024,814.0,819.95,812.0,814.55,1698,239,Hinduja Global Solutions Limited
27-May-2024,824.95,824.95,814.95,817.9,3513,377,Hinduja Global Solutions Limited
24-May-2024,824.95,827.95,817.8,823.95,2162,255,Hinduja Global Solutions Limited
23-May-2024,821.0,824.95,816.7,822.7,1971,287,Hinduja Global Solutions Limited
22-May-2024,814.6,821.95,812.05,818.8,1805,327,Hinduja Global Solutions Limited
21-May-2024,830.0,830.0,813.05,814.45,1672,261,Hinduja Global Solutions Limited
18-May-2024,828.55,832.45,825.7,828.9,430,50,Hinduja Global Solutions Limited
17-May-2024,828.0,829.0,822.8,827.2,1294,175,Hinduja Global Solutions Limited
16-May-2024,818.15,828.0,818.15,824.3,902,219,Hinduja Global Solutions Limited
15-May-2024,822.0,828.6,816.0,818.15,1454,211,Hinduja Global Solutions Limited
14-May-2024,820.0,832.55,815.0,820.4,2595,384,Hinduja Global Solutions Limited
13-May-2024,827.5,827.6,805.05,814.45,2630,456,Hinduja Global Solutions Limited
10-May-2024,833.95,834.1,820.0,824.9,1489,288,Hinduja Global Solutions Limited
9-May-2024,850.0,850.0,825.0,827.95,1619,373,Hinduja Global Solutions Limited
8-May-2024,855.05,860.0,846.0,849.4,1008,283,Hinduja Global Solutions Limited
7-May-2024,880.45,880.5,849.6,860.3,1012,184,Hinduja Global Solutions Limited
6-May-2024,877.35,883.0,861.0,868.75,752,142,Hinduja Global Solutions Limited
3-May-2024,897.0,897.0,870.45,874.15,1971,267,Hinduja Global Solutions Limited
2-May-2024,874.05,895.0,867.65,890.3,5159,735,Hinduja Global Solutions Limited
30-April-2024,867.0,882.0,867.0,875.15,2305,276,Hinduja Global Solutions Limited
29-April-2024,877.0,877.8,862.45,865.3,4194,491,Hinduja Global Solutions Limited
26-April-2024,860.0,870.2,859.6,867.4,2493,285,Hinduja Global Solutions Limited
25-April-2024,860.0,860.0,850.0,858.9,1583,250,Hinduja Global Solutions Limited
24-April-2024,855.0,860.0,850.05,853.25,3091,325,Hinduja Global Solutions Limited
23-April-2024,859.0,859.0,848.0,851.65,1807,291,Hinduja Global Solutions Limited
22-April-2024,837.7,892.0,831.0,848.75,8457,1229,Hinduja Global Solutions Limited
19-April-2024,828.0,831.0,817.4,824.5,2631,392,Hinduja Global Solutions Limited
18-April-2024,859.35,859.35,827.65,831.95,1275,217,Hinduja Global Solutions Limited
16-April-2024,838.8,847.95,835.0,843.05,2621,334,Hinduja Global Solutions Limited
15-April-2024,865.0,865.0,829.45,842.3,3375,351,Hinduja Global Solutions Limited
12-April-2024,871.85,874.9,864.0,865.45,1713,162,Hinduja Global Solutions Limited
10-April-2024,866.2,884.85,865.75,877.2,2351,279,Hinduja Global Solutions Limited
9-April-2024,877.15,883.9,864.9,870.9,6279,633,Hinduja Global Solutions Limited
