Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,168.4,168.4,163.65,168.4,25461,111
27-June-2024,160.4,160.4,160.4,160.4,11017,51
26-June-2024,150.0,152.8,150.0,152.8,18905,118
25-June-2024,145.0,147.0,142.0,145.55,14381,116
24-June-2024,142.85,147.0,142.0,144.5,9737,98
21-June-2024,146.0,153.5,142.65,143.05,22255,130
20-June-2024,140.05,149.6,140.05,149.25,23252,129
19-June-2024,139.8,146.9,136.1,142.5,48620,152
18-June-2024,140.05,144.0,139.25,140.0,4454,45
14-June-2024,143.0,144.4,139.1,140.1,9071,75
13-June-2024,144.1,145.9,142.25,143.0,3574,131
12-June-2024,140.1,148.5,140.0,141.9,37009,980
11-June-2024,145.5,148.35,139.2,146.05,35513,892
10-June-2024,145.25,145.25,145.25,145.25,7302,25
7-June-2024,138.2,138.35,138.2,138.35,5148,21
6-June-2024,131.0,131.8,127.05,131.8,2584,84
5-June-2024,119.35,126.7,118.3,125.55,32427,253
4-June-2024,135.95,135.95,124.5,124.5,17726,331
3-June-2024,131.05,131.05,128.0,131.05,26749,221
31-May-2024,119.45,124.85,116.6,124.85,24741,131
30-May-2024,124.9,125.8,118.35,118.95,25596,309
29-May-2024,127.8,132.45,123.0,123.9,22641,175
28-May-2024,131.1,133.0,126.5,127.9,8370,63
27-May-2024,133.0,139.75,131.55,131.95,19360,143
24-May-2024,143.9,144.5,137.05,138.0,10739,79
23-May-2024,143.4,145.0,139.55,142.85,19451,184
22-May-2024,144.4,151.8,140.0,140.95,33355,191
21-May-2024,154.95,154.95,145.4,145.4,25402,234
18-May-2024,148.75,153.85,145.8,153.05,668,15
17-May-2024,149.95,156.9,146.65,148.75,42935,484
16-May-2024,152.75,152.75,145.5,149.45,113138,432
15-May-2024,145.5,145.5,144.4,145.5,54738,150
14-May-2024,132.0,138.6,131.0,138.6,17768,101
13-May-2024,131.85,133.05,127.0,132.0,10410,75
10-May-2024,129.0,131.9,129.0,130.7,4518,55
9-May-2024,134.85,135.0,130.4,131.6,1421,24
8-May-2024,130.0,135.1,130.0,133.9,16390,117
7-May-2024,130.25,133.8,128.55,132.85,4725,51
6-May-2024,132.85,135.8,126.7,131.3,12050,83
3-May-2024,138.5,138.5,131.8,132.15,14050,100
2-May-2024,140.0,143.5,137.0,137.7,17974,159
30-April-2024,142.0,144.75,140.0,142.0,3547,49
29-April-2024,151.95,151.95,140.1,142.95,4983,87
26-April-2024,139.5,146.0,137.0,145.4,44673,300
25-April-2024,135.45,140.0,135.45,139.5,6045,108
24-April-2024,139.0,141.85,136.75,138.15,2797,41
23-April-2024,133.5,138.15,133.0,138.15,14072,101
22-April-2024,127.1,132.1,127.1,131.6,35472,113
19-April-2024,129.0,131.35,125.4,125.85,62632,381
18-April-2024,128.6,137.05,128.6,131.95,45941,276
16-April-2024,130.95,133.0,128.4,130.55,6097,75
15-April-2024,133.1,135.45,130.0,131.05,9659,65
12-April-2024,142.9,144.4,135.55,135.8,5889,51
10-April-2024,140.4,144.5,137.1,141.45,6080,64
9-April-2024,141.0,144.0,137.1,139.75,10466,134
8-April-2024,149.5,149.5,140.55,142.1,18007,124
5-April-2024,147.7,152.2,144.5,147.85,3501,47
4-April-2024,144.5,152.0,144.3,147.55,12072,103
3-April-2024,135.2,144.8,135.2,144.8,10420,72
2-April-2024,139.0,139.55,136.5,137.95,3525,39
1-April-2024,130.8,137.05,130.7,133.0,7618,74
28-March-2024,134.5,134.8,130.0,131.6,17392,98
27-March-2024,132.6,135.5,128.5,134.8,37007,136
26-March-2024,130.4,133.85,129.5,131.85,4506,51
22-March-2024,121.8,127.85,121.8,127.55,11172,74
21-March-2024,118.0,121.8,118.0,121.8,4382,30
20-March-2024,121.7,123.2,115.8,116.0,10542,111
19-March-2024,123.0,124.9,118.05,121.85,14172,48
18-March-2024,121.25,124.5,116.8,122.95,14245,140
15-March-2024,122.45,127.0,117.0,122.7,13771,120
14-March-2024,113.55,122.45,110.85,122.45,67483,248
13-March-2024,120.0,122.7,116.65,116.65,2500,53
12-March-2024,129.0,129.0,122.75,122.75,22983,140
11-March-2024,135.0,137.0,129.2,129.2,21623,177
7-March-2024,134.0,140.6,134.0,136.0,15342,46
6-March-2024,136.1,143.9,133.95,133.95,38127,164
5-March-2024,138.15,144.75,138.15,140.95,26427,83
4-March-2024,143.0,147.4,137.85,138.5,29631,205
2-March-2024,145.85,146.05,140.25,144.45,3489,37
1-March-2024,148.6,151.0,144.0,145.85,14981,172
29-February-2024,142.35,151.05,141.55,148.9,26100,440
28-February-2024,156.35,156.35,148.95,148.95,46876,393
27-February-2024,161.95,169.65,156.0,156.75,155411,1294
26-February-2024,169.4,170.9,160.5,161.6,33630,749
23-February-2024,165.55,165.55,162.45,165.55,101355,882
22-February-2024,150.8,157.7,147.95,157.7,61976,1886
21-February-2024,155.6,157.85,147.0,150.2,125009,2582
20-February-2024,147.9,151.05,145.2,151.05,11488,130
19-February-2024,153.0,153.0,142.0,143.9,44202,1031
16-February-2024,156.0,157.65,146.45,148.7,52909,1347
15-February-2024,144.95,152.25,144.95,152.25,46524,585
14-February-2024,134.2,145.8,134.2,145.0,54433,866
13-February-2024,140.0,143.9,138.9,138.9,43886,501
12-February-2024,149.7,158.6,146.2,146.2,74557,1178
9-February-2024,162.35,162.35,147.35,153.85,192493,3289
8-February-2024,150.0,155.1,141.65,155.1,201208,2194
7-February-2024,141.75,147.75,136.85,147.75,113807,1240
6-February-2024,138.5,143.75,130.15,140.75,151405,2574
5-February-2024,144.3,146.7,136.8,136.95,65461,1355
2-February-2024,156.0,156.3,141.5,143.95,192520,3128
1-February-2024,148.8,148.9,139.85,148.9,277154,1777
31-January-2024,138.11,141.83,135.0,141.83,25501,186
30-January-2024,129.48,135.08,125.06,135.08,200462,1916
29-January-2024,126.0,130.39,118.59,128.65,156346,1610
25-January-2024,126.76,126.76,115.3,124.19,1367557,5577
24-January-2024,120.73,120.73,120.73,120.73,271443,251
23-January-2024,114.99,114.99,114.99,114.99,76179,277
20-January-2024,109.52,109.52,109.52,109.52,23128,137
19-January-2024,104.31,104.31,104.31,104.31,61132,136
18-January-2024,99.35,99.35,99.35,99.35,82240,206
17-January-2024,94.0,94.62,94.0,94.62,88954,208
16-January-2024,84.83,90.12,84.83,90.12,133156,322
15-January-2024,81.8,85.83,81.8,85.83,51358,938
12-January-2024,83.7,85.15,80.96,81.75,67768,1344
11-January-2024,83.17,86.15,83.16,83.55,22600,593
10-January-2024,81.5,85.55,80.55,84.61,57232,1250
9-January-2024,82.79,82.79,79.54,81.48,32762,499
8-January-2024,82.41,82.5,79.32,79.83,14393,259
5-January-2024,81.75,84.0,81.01,81.64,20321,571
4-January-2024,81.03,85.48,80.75,81.21,194623,1395
3-January-2024,81.0,83.45,80.16,81.41,34425,287
2-January-2024,84.24,84.4,78.7,80.5,25372,520
1-January-2024,83.45,85.7,82.49,82.75,20198,778
29-December-2023,79.35,82.88,79.35,82.88,16207,302
28-December-2023,80.99,83.55,77.6,78.94,95250,972
27-December-2023,85.82,86.51,80.58,80.58,65019,542
26-December-2023,91.49,91.49,83.75,84.82,33462,571
22-December-2023,88.05,89.69,85.85,88.07,59131,650
21-December-2023,84.01,86.0,83.53,85.42,88875,581
20-December-2023,93.5,93.5,87.92,87.92,32292,499
19-December-2023,93.6,94.21,90.6,92.54,35148,737
18-December-2023,90.0,94.2,89.72,93.61,149482,873
15-December-2023,93.0,93.85,87.38,89.72,84425,1104
14-December-2023,92.84,94.85,90.65,91.97,174144,1059
13-December-2023,92.39,92.8,89.03,90.34,84992,1104
12-December-2023,84.75,88.98,83.7,88.98,79783,401
11-December-2023,88.53,88.53,83.84,84.75,24297,652
8-December-2023,94.34,94.59,87.87,88.12,67228,816
7-December-2023,93.2,94.2,90.45,92.49,27962,507
6-December-2023,91.95,95.92,87.09,92.98,240746,1327
5-December-2023,91.8,91.8,87.62,91.67,216515,895
4-December-2023,85.0,87.43,85.0,87.43,115995,515
1-December-2023,81.8,83.27,79.06,83.27,49821,459
30-November-2023,75.1,79.31,73.25,79.31,66754,548
29-November-2023,75.8,77.0,74.5,75.54,13018,427
28-November-2023,74.11,76.05,72.29,75.02,17477,339
24-November-2023,76.45,77.24,72.18,72.66,36277,421
23-November-2023,74.2,78.79,73.0,75.97,39404,887
22-November-2023,77.83,77.83,72.95,75.31,119866,1396
21-November-2023,74.13,74.13,70.0,74.13,57866,294
20-November-2023,70.6,70.6,68.1,70.6,199336,426
17-November-2023,64.15,67.24,64.15,67.24,8247,44
16-November-2023,63.85,64.78,63.3,64.04,8753,226
15-November-2023,65.0,65.5,63.25,63.78,12565,222
13-November-2023,66.98,66.98,63.0,64.04,14045,263
12-November-2023,65.79,66.4,64.24,65.64,21054,276
10-November-2023,65.25,66.15,64.1,65.79,17868,264
9-November-2023,63.83,66.58,63.06,65.94,50558,665
8-November-2023,65.5,66.7,63.0,63.63,30195,579
7-November-2023,66.87,66.87,64.3,64.57,28629,313
6-November-2023,66.23,66.23,63.3,66.2,83057,873
3-November-2023,63.08,63.08,63.08,63.08,1502,22
2-November-2023,58.2,60.08,58.2,60.08,18067,143
1-November-2023,58.79,58.9,55.5,57.22,51641,966
31-October-2023,56.14,58.38,55.25,58.38,213901,522
30-October-2023,55.45,56.47,53.74,55.6,3311,93
27-October-2023,53.49,55.21,53.15,54.36,23362,316
26-October-2023,51.6,53.75,50.33,52.9,45576,318
25-October-2023,55.25,55.9,52.97,52.97,24357,210
23-October-2023,58.75,60.2,55.75,55.75,34897,266
20-October-2023,60.73,61.7,58.65,58.68,49830,430
19-October-2023,60.56,62.75,59.7,60.25,27848,409
18-October-2023,62.4,63.1,60.69,60.95,27473,454
17-October-2023,62.75,63.4,61.73,61.98,3669,122
16-October-2023,67.48,67.65,62.4,62.63,49308,607
13-October-2023,62.05,65.01,62.05,65.0,80397,400
12-October-2023,63.56,64.05,61.74,61.92,13661,144
11-October-2023,63.9,64.75,62.5,63.0,16777,290
10-October-2023,59.01,62.22,59.01,62.22,23325,192
9-October-2023,59.0,60.7,58.71,59.26,39859,366
6-October-2023,63.99,63.99,61.35,61.8,21152,174
5-October-2023,64.74,65.01,60.8,61.15,21811,279
4-October-2023,66.34,66.34,63.3,63.69,36902,447
3-October-2023,65.3,67.22,64.0,65.97,128626,890
29-September-2023,61.12,64.02,61.01,64.02,61741,318
28-September-2023,60.58,64.4,60.0,60.98,30193,373
27-September-2023,61.82,63.75,61.82,61.82,96223,452
26-September-2023,68.51,69.26,65.07,65.07,42155,190
25-September-2023,68.49,68.49,66.19,68.49,171775,755
22-September-2023,65.2,65.23,60.15,65.23,125940,789
21-September-2023,61.95,62.13,61.95,62.13,13542,66
20-September-2023,54.84,59.18,54.75,59.18,38761,216
18-September-2023,54.1,56.62,54.1,56.37,133908,636
15-September-2023,54.74,54.74,52.35,53.93,8210,72
14-September-2023,50.15,52.14,50.15,52.14,10739,98
13-September-2023,52.1,52.1,49.44,49.66,13201,109
12-September-2023,54.97,54.97,49.75,52.04,118974,439
11-September-2023,52.36,52.36,52.36,52.36,42160,72
8-September-2023,47.15,49.87,47.15,49.87,17527,98
7-September-2023,47.65,48.0,47.2,47.5,14049,81
6-September-2023,47.0,48.2,46.85,47.49,23259,123
5-September-2023,46.35,48.0,46.35,47.0,22899,121
4-September-2023,45.0,46.25,45.0,46.23,26490,189
1-September-2023,43.5,45.6,43.5,44.64,13090,109
31-August-2023,43.54,44.49,43.54,43.9,4828,63
30-August-2023,43.02,43.64,43.02,43.39,5809,36
29-August-2023,43.4,44.0,43.0,43.05,27532,122
28-August-2023,44.3,44.8,42.71,43.31,11766,89
25-August-2023,44.5,45.0,42.7,43.93,14924,105
24-August-2023,44.5,45.89,43.26,44.5,19134,127
23-August-2023,45.73,46.0,44.3,44.44,12141,76
22-August-2023,43.7,45.74,43.7,45.02,6844,68
21-August-2023,45.0,45.1,43.68,43.78,10867,92
18-August-2023,45.49,45.5,44.4,45.0,9871,62
17-August-2023,41.65,45.5,41.65,45.46,13004,110
16-August-2023,44.95,44.95,42.56,43.36,52645,164
14-August-2023,46.65,46.75,44.69,44.8,16588,96
11-August-2023,48.0,48.34,46.75,47.04,8654,78
10-August-2023,47.99,48.97,46.85,48.97,14939,139
9-August-2023,47.27,48.5,45.85,46.64,10119,75
8-August-2023,47.93,48.6,47.4,48.23,13555,90
7-August-2023,45.65,47.93,45.65,47.82,15570,124
4-August-2023,46.0,46.95,45.01,45.65,14696,139
3-August-2023,46.0,46.79,46.0,46.0,811,9
2-August-2023,46.9,46.9,44.8,45.45,16139,53
1-August-2023,45.95,47.0,45.72,46.5,3742,31
31-July-2023,46.65,47.0,45.55,45.75,10609,72
28-July-2023,46.52,48.0,46.2,46.63,3244,41
27-July-2023,48.45,48.45,46.15,46.52,11420,114
26-July-2023,49.1,51.0,47.55,47.94,30030,201
25-July-2023,45.57,48.94,45.57,48.94,51349,262
24-July-2023,44.15,46.66,43.75,46.61,32665,185
21-July-2023,45.9,45.9,44.05,44.44,10634,78
20-July-2023,45.25,46.75,44.55,45.38,24423,167
19-July-2023,45.7,46.3,45.06,45.48,4710,75
18-July-2023,45.8,47.99,45.25,45.73,8878,72
17-July-2023,44.75,46.25,42.53,46.22,46636,224
14-July-2023,44.35,45.35,43.8,44.75,6635,61
13-July-2023,44.5,46.7,44.5,44.51,42831,185
12-July-2023,43.0,46.05,43.0,44.54,11687,93
11-July-2023,43.05,44.0,43.05,43.9,4002,36
10-July-2023,42.38,44.65,42.38,43.94,12860,109
7-July-2023,42.34,43.3,41.01,43.24,49692,153
6-July-2023,41.25,42.35,41.0,42.28,30837,82
5-July-2023,40.02,41.9,40.02,41.66,5413,50
4-July-2023,40.38,41.35,40.0,40.55,19023,111
3-July-2023,42.0,42.5,41.0,41.2,15174,101
30-June-2023,42.8,43.05,41.65,42.12,10746,57
28-June-2023,44.88,44.88,42.5,42.72,7759,69
27-June-2023,40.96,43.99,40.96,43.87,30222,141
26-June-2023,41.48,42.87,41.44,41.9,7256,22
23-June-2023,42.05,42.05,40.11,41.18,11971,45
22-June-2023,42.15,42.75,42.11,42.13,9046,25
21-June-2023,42.79,43.4,42.0,42.79,25053,129
20-June-2023,42.3,42.89,41.1,42.78,7034,31
19-June-2023,43.17,43.4,41.61,42.1,20504,86
16-June-2023,42.5,43.5,42.0,43.17,13801,89
15-June-2023,42.9,44.39,42.11,42.57,11234,63
14-June-2023,43.7,44.48,42.8,43.48,2395,33
13-June-2023,43.95,43.99,42.58,43.61,43461,82
12-June-2023,45.05,45.05,42.3,43.97,20476,82
9-June-2023,43.12,44.25,42.0,44.18,8272,66
8-June-2023,44.94,45.39,42.85,43.19,13518,129
7-June-2023,45.76,45.76,44.4,44.94,13413,153
6-June-2023,42.5,44.82,41.8,44.82,52039,244
5-June-2023,43.85,44.41,42.25,42.69,29509,140
2-June-2023,44.49,44.9,42.0,43.34,21694,263
1-June-2023,41.0,42.77,41.0,42.77,10969,106
31-May-2023,41.0,42.34,40.6,40.74,59550,320
30-May-2023,43.5,44.4,42.32,42.32,40963,152
29-May-2023,46.01,46.01,43.85,44.54,24993,231
26-May-2023,46.19,46.65,45.0,45.22,23417,112
25-May-2023,45.25,46.54,45.25,45.9,41584,174
24-May-2023,45.61,46.07,44.65,44.99,22592,129
23-May-2023,47.03,47.1,45.16,45.58,9956,94
22-May-2023,45.61,46.45,45.61,46.0,21064,74
19-May-2023,46.96,46.96,45.15,45.4,29364,58
18-May-2023,48.63,48.99,46.5,46.71,11062,74
17-May-2023,50.39,50.39,47.31,47.48,31153,225
16-May-2023,50.26,50.75,47.46,49.42,69448,648
15-May-2023,47.99,49.74,46.65,49.7,183059,993
12-May-2023,40.75,45.22,40.1,45.22,55039,445
11-May-2023,40.85,41.19,40.61,41.11,8840,60
10-May-2023,40.26,40.8,39.51,40.05,8350,78
9-May-2023,40.76,40.91,39.51,40.44,76200,251
8-May-2023,40.19,40.64,39.41,39.48,2941,70
5-May-2023,41.64,41.98,39.65,39.9,9545,112
4-May-2023,37.05,41.5,37.05,40.65,27824,323
3-May-2023,38.1,39.3,37.31,38.07,11204,155
2-May-2023,40.45,40.45,38.6,38.93,73423,217
28-April-2023,38.7,39.8,38.4,39.04,9974,79
27-April-2023,39.45,39.46,38.5,38.64,27915,48
26-April-2023,39.5,40.31,38.8,38.83,30560,132
25-April-2023,39.66,40.45,39.1,39.32,28091,193
24-April-2023,40.0,40.09,38.35,38.66,26858,74
21-April-2023,41.06,41.5,39.0,39.45,44007,220
20-April-2023,41.19,42.16,40.89,41.0,47460,130
19-April-2023,40.98,42.29,40.35,40.97,36044,239
18-April-2023,42.1,42.41,40.26,40.54,88008,642
17-April-2023,37.51,41.63,36.86,41.63,89133,514
13-April-2023,42.66,42.66,37.45,37.85,82459,525
12-April-2023,35.87,40.05,35.87,40.05,21276,234
11-April-2023,38.39,38.39,34.57,36.41,40285,421
10-April-2023,34.18,35.05,33.8,35.05,3728,23
6-April-2023,32.41,33.39,32.4,33.39,4688,31
5-April-2023,29.36,31.8,29.36,31.8,6012,56
3-April-2023,31.15,31.98,30.0,30.29,62022,229
31-March-2023,30.25,32.2,30.15,30.87,55516,374
29-March-2023,29.18,31.02,29.01,31.02,45261,161
28-March-2023,30.75,30.75,29.26,29.55,133882,522
27-March-2023,31.87,32.25,30.79,30.79,29397,183
24-March-2023,33.1,33.36,32.0,32.41,73877,174
23-March-2023,34.99,34.99,33.18,33.24,52051,170
22-March-2023,35.21,35.71,34.69,34.92,52974,310
21-March-2023,34.6,35.76,34.25,34.73,174522,501
20-March-2023,35.95,35.95,34.0,34.35,96565,371
17-March-2023,35.8,36.05,34.0,34.36,99126,426
16-March-2023,35.97,36.15,34.8,35.02,67631,607
15-March-2023,36.87,37.36,35.41,35.97,18844,214
14-March-2023,37.0,37.01,35.6,36.68,41735,146
13-March-2023,37.35,38.75,36.23,36.54,22157,172
10-March-2023,38.3,39.0,37.95,38.13,30902,222
9-March-2023,38.39,39.2,37.4,38.76,38620,345
8-March-2023,39.0,39.26,37.8,38.17,47439,253
6-March-2023,38.1,39.5,38.0,38.82,20916,199
3-March-2023,39.0,39.15,37.6,38.03,22888,252
2-March-2023,39.74,39.74,38.4,38.62,8904,129
1-March-2023,39.5,40.84,39.3,39.86,45381,263
28-February-2023,38.15,39.25,37.25,38.9,23371,256
27-February-2023,39.75,39.8,37.75,37.8,38207,227
24-February-2023,40.75,41.1,39.6,39.7,3826,108
23-February-2023,41.85,41.95,40.15,40.25,19983,293
22-February-2023,43.55,43.55,41.75,41.75,14344,93
21-February-2023,44.35,44.8,42.8,43.9,14515,211
20-February-2023,43.45,45.45,42.85,43.85,7554,122
17-February-2023,43.7,44.8,43.15,43.3,2948,85
16-February-2023,43.2,45.5,43.2,44.3,6698,129
15-February-2023,45.0,46.1,43.75,44.05,11498,233
14-February-2023,46.05,46.75,44.25,44.8,11713,185
13-February-2023,41.4,47.05,41.4,46.1,37045,359
10-February-2023,47.65,47.65,43.4,44.35,10014,233
9-February-2023,45.7,46.4,43.95,45.55,45788,762
8-February-2023,39.55,43.3,39.55,43.3,63782,421
7-February-2023,37.75,40.4,37.75,39.4,108729,670
6-February-2023,37.4,38.95,36.2,36.75,39404,516
3-February-2023,37.95,38.35,36.65,37.1,31038,376
2-February-2023,38.05,39.55,37.65,37.95,13777,293
1-February-2023,39.9,40.45,36.65,38.2,69193,623
31-January-2023,40.0,41.3,38.45,38.55,42775,460
30-January-2023,39.85,40.5,39.5,40.45,13123,243
27-January-2023,41.0,41.25,39.0,39.4,50231,481
25-January-2023,41.85,42.0,40.5,41.05,32274,364
24-January-2023,41.1,42.35,40.75,42.0,22380,394
23-January-2023,42.45,42.55,40.55,41.1,28833,386
20-January-2023,44.0,44.2,41.5,41.8,37809,529
19-January-2023,42.8,42.85,42.25,42.45,10988,223
18-January-2023,43.1,44.05,42.7,42.9,11649,250
17-January-2023,42.9,44.25,42.5,44.1,22014,302
16-January-2023,42.05,43.4,42.0,42.9,13089,193
13-January-2023,42.15,43.15,41.15,41.45,21370,430
12-January-2023,42.05,42.5,40.75,42.15,26475,345
11-January-2023,41.7,42.8,41.3,41.5,32106,396
10-January-2023,41.3,44.05,41.3,42.05,37397,761
9-January-2023,44.35,45.1,41.95,42.1,63593,409
6-January-2023,46.25,46.3,43.95,44.15,52964,333
5-January-2023,45.9,46.55,45.25,46.25,11784,250
4-January-2023,46.0,46.5,45.2,45.75,5904,101
3-January-2023,46.9,46.9,45.2,45.65,15168,161
2-January-2023,47.1,47.75,44.75,44.9,57261,554
30-December-2022,46.3,47.45,45.55,47.1,12019,282
29-December-2022,45.65,46.35,45.1,46.05,12966,185
28-December-2022,46.0,46.7,44.65,45.45,7419,163
27-December-2022,45.85,46.65,45.5,46.15,6480,165
26-December-2022,41.85,46.0,41.85,45.45,45540,580
23-December-2022,44.4,44.8,44.0,44.0,22165,260
22-December-2022,47.3,47.95,46.3,46.3,77850,294
21-December-2022,51.0,51.0,48.7,48.7,34253,490
20-December-2022,50.0,51.6,49.4,51.25,95985,940
19-December-2022,47.0,51.75,47.0,49.15,122331,1157
16-December-2022,49.45,49.45,49.45,49.45,18855,116
15-December-2022,52.05,52.05,52.05,52.05,24093,147
14-December-2022,58.15,58.65,54.75,54.75,23485,409
13-December-2022,58.5,59.45,57.05,57.6,17497,354
12-December-2022,59.1,60.9,57.8,58.3,23794,330
9-December-2022,60.0,62.1,57.65,60.1,34680,596
8-December-2022,58.1,61.0,57.75,60.05,31442,271
7-December-2022,60.95,62.25,57.95,58.25,59824,799
6-December-2022,56.5,59.65,55.55,59.65,182842,670
5-December-2022,58.3,58.3,55.25,56.85,20247,143
2-December-2022,61.45,61.45,56.5,58.1,50936,391
1-December-2022,55.7,58.9,54.85,58.9,78943,403
30-November-2022,56.1,56.1,55.0,56.1,73031,251
29-November-2022,52.5,53.45,52.4,53.45,37987,160
28-November-2022,49.7,50.95,49.7,50.95,40129,157
25-November-2022,46.2,48.55,45.75,48.55,38159,184
24-November-2022,46.95,47.8,45.15,46.25,15039,95
23-November-2022,47.75,48.95,46.1,47.2,28996,203
22-November-2022,47.0,48.0,46.6,47.95,36601,208
21-November-2022,46.5,48.15,43.65,48.15,62988,354
18-November-2022,47.6,48.5,45.4,45.9,16047,221
17-November-2022,48.0,49.85,46.7,47.75,83399,313
16-November-2022,50.1,51.75,48.6,49.15,57885,272
15-November-2022,53.35,53.35,50.7,50.85,19771,190
14-November-2022,51.6,53.35,51.6,53.35,8850,60
11-November-2022,52.8,53.75,51.0,51.75,13200,132
10-November-2022,53.0,53.5,51.1,51.95,9439,62
9-November-2022,51.3,53.85,50.4,53.0,22135,155
