Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,5760.55,6014.15,5675.0,5839.25,445,161
27-June-2024,5840.05,5840.05,5720.0,5744.9,214,130
26-June-2024,5940.0,5945.75,5856.65,5889.85,282,132
25-June-2024,5970.0,6136.45,5891.4,5908.2,390,144
24-June-2024,6019.95,6068.0,5970.0,6058.95,393,151
21-June-2024,5965.0,5970.0,5849.65,5933.3,737,312
20-June-2024,5950.0,6016.75,5872.7,5921.4,841,356
19-June-2024,5725.0,5950.0,5725.0,5829.95,1164,347
18-June-2024,5564.75,5828.65,5541.6,5644.45,1317,395
14-June-2024,5644.45,5648.0,5575.0,5582.8,523,146
13-June-2024,5502.0,5634.85,5502.0,5594.8,194,77
12-June-2024,5592.0,5679.4,5570.35,5599.45,933,368
11-June-2024,5505.0,5678.95,5478.35,5614.6,632,258
10-June-2024,5510.05,5556.45,5449.45,5478.0,387,133
7-June-2024,5500.0,5511.0,5450.0,5476.35,432,74
6-June-2024,5499.0,5558.15,5448.3,5505.5,275,85
5-June-2024,5470.0,5489.15,5325.8,5446.75,320,72
4-June-2024,5525.0,5600.0,5214.85,5482.35,184,66
3-June-2024,5799.0,5799.0,5497.5,5536.95,308,112
31-May-2024,5290.65,5809.0,5270.0,5558.15,183,101
30-May-2024,5295.6,5363.65,5268.9,5326.65,213,94
29-May-2024,5330.55,5370.55,5286.05,5291.95,120,52
28-May-2024,5582.2,5582.2,5340.0,5352.95,794,179
27-May-2024,5590.0,5635.95,5488.3,5576.7,690,197
24-May-2024,5688.65,6468.3,5530.15,5553.35,3537,853
23-May-2024,5388.6,5438.65,5325.0,5431.2,118,52
22-May-2024,5404.3,5404.3,5322.75,5364.2,182,70
21-May-2024,5411.0,5419.85,5266.55,5404.2,444,163
18-May-2024,5157.0,5305.05,5094.95,5305.05,10,9
17-May-2024,5168.8,5271.95,5066.9,5250.9,108,49
16-May-2024,5051.95,5153.95,5010.6,5067.5,138,55
15-May-2024,5105.85,5105.9,5007.45,5018.55,193,71
14-May-2024,5094.2,5103.2,5050.0,5083.25,44,17
13-May-2024,5230.0,5230.0,4990.0,5042.0,93,39
10-May-2024,5092.15,5101.5,5060.55,5100.0,98,42
9-May-2024,5125.2,5211.0,5092.15,5113.35,153,85
8-May-2024,5115.55,5181.65,5095.5,5107.45,86,38
7-May-2024,5102.7,5102.7,5001.0,5015.6,224,96
6-May-2024,5253.85,5257.3,5017.25,5062.95,253,104
3-May-2024,5287.2,5290.85,5182.55,5210.25,173,61
2-May-2024,5324.95,5369.3,5261.05,5269.8,169,67
30-April-2024,5297.55,5407.7,5293.7,5299.25,130,38
29-April-2024,5300.75,5423.0,5218.95,5223.0,305,95
26-April-2024,5336.45,5365.3,5271.05,5271.05,196,68
25-April-2024,5370.0,5400.0,5220.55,5234.95,163,89
24-April-2024,5280.35,5370.65,5269.1,5370.0,235,88
23-April-2024,5219.95,5276.75,5161.0,5204.7,413,146
22-April-2024,5298.1,5309.7,5077.9,5141.55,308,85
19-April-2024,5280.0,5291.5,5169.5,5215.6,145,47
18-April-2024,5525.5,5525.5,5329.45,5341.35,115,52
16-April-2024,5422.5,5450.0,5350.35,5450.0,37,21
15-April-2024,5426.35,5426.35,5350.0,5361.7,65,21
12-April-2024,5421.5,5490.0,5388.9,5439.3,348,74
10-April-2024,5475.0,5475.05,5421.5,5423.25,12,6
9-April-2024,5480.0,5480.0,5421.0,5425.0,108,26
8-April-2024,5524.15,5524.15,5504.9,5504.9,10,2
5-April-2024,5568.95,5568.95,5508.75,5518.85,96,57
4-April-2024,5485.1,5563.0,5480.7,5491.75,170,57
3-April-2024,5471.85,5471.85,5455.0,5455.0,7,4
2-April-2024,5454.0,5455.3,5434.25,5434.25,8,4
1-April-2024,5445.15,5517.8,5408.25,5430.5,90,33
28-March-2024,5434.9,5450.0,5400.0,5444.75,169,76
27-March-2024,5402.6,5402.65,5252.0,5320.0,335,106
26-March-2024,5443.0,5443.0,5285.05,5310.95,415,50
22-March-2024,5459.45,5507.25,5449.45,5462.6,275,28
21-March-2024,5387.3,5483.75,5387.3,5460.5,26,9
20-March-2024,5437.0,5437.0,5364.55,5393.2,36,20
19-March-2024,5398.0,5460.7,5389.1,5417.15,355,36
18-March-2024,5400.05,5423.7,5300.0,5375.25,137,53
15-March-2024,5443.85,5493.65,5402.55,5442.65,86,35
14-March-2024,5350.0,5445.0,5350.0,5400.0,134,35
13-March-2024,5569.3,5569.3,5305.0,5400.95,198,85
12-March-2024,5651.05,5670.0,5547.2,5564.1,77,39
11-March-2024,5691.25,5719.55,5672.95,5677.85,45,23
7-March-2024,5717.7,5755.0,5663.5,5679.05,125,58
6-March-2024,5594.05,5816.7,5515.7,5816.7,161,57
5-March-2024,5737.35,5747.65,5590.0,5598.6,48,26
4-March-2024,5622.0,5974.95,5622.0,5754.75,157,61
2-March-2024,5845.95,5845.95,5845.95,5845.95,5,2
1-March-2024,5902.95,5902.95,5725.0,5725.0,174,52
29-February-2024,5859.45,5903.25,5735.45,5836.35,272,117
28-February-2024,6040.0,6040.0,5850.0,5850.65,121,50
27-February-2024,6188.95,6188.95,6009.15,6022.35,48,18
26-February-2024,6077.55,6100.0,5952.35,6067.6,147,57
23-February-2024,5821.0,6060.0,5821.0,5994.5,202,55
22-February-2024,5814.55,5825.55,5756.35,5772.55,73,21
21-February-2024,6021.65,6021.65,5794.2,5819.65,333,110
20-February-2024,5977.95,6158.8,5892.75,5994.95,478,167
19-February-2024,5808.8,6001.95,5776.25,5968.0,162,61
16-February-2024,5813.05,5922.6,5694.45,5715.5,363,100
15-February-2024,5712.3,5712.3,5712.3,5712.3,1,1
14-February-2024,5757.05,5790.0,5681.0,5740.45,106,36
13-February-2024,5697.85,5800.0,5179.0,5787.05,230,83
12-February-2024,5645.45,5795.0,5645.45,5755.75,76,40
9-February-2024,5812.95,5817.8,5535.0,5682.7,394,102
8-February-2024,5806.85,5906.8,5806.85,5894.45,213,74
7-February-2024,5785.85,5922.9,5772.1,5859.95,924,305
6-February-2024,5706.05,5807.15,5702.05,5768.0,223,70
5-February-2024,5680.0,5681.45,5584.1,5651.4,120,31
2-February-2024,5500.0,5850.0,5500.0,5605.3,417,167
1-February-2024,5493.0,5493.0,5444.15,5458.0,137,24
31-January-2024,5464.0,5506.0,5464.0,5485.05,12,7
30-January-2024,5473.5,5496.5,5457.7,5472.05,63,24
29-January-2024,5529.9,5537.5,5400.0,5479.0,261,114
