Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,481.65,521.9,481.65,517.45,666119,16986,IIFL FINANCE LIMITED 
27-June-2024,493.05,504.95,474.95,480.5,2180966,5174,IIFL FINANCE LIMITED 
26-June-2024,461.55,497.0,458.85,492.9,439648,10225,IIFL FINANCE LIMITED 
25-June-2024,471.05,474.75,456.95,461.7,436976,3617,IIFL FINANCE LIMITED 
24-June-2024,478.35,478.35,469.8,470.85,28892,1131,IIFL FINANCE LIMITED 
21-June-2024,477.05,478.5,469.3,475.35,38768,1598,IIFL FINANCE LIMITED 
20-June-2024,475.95,485.8,472.4,475.6,244360,13293,IIFL FINANCE LIMITED 
19-June-2024,485.5,487.8,469.95,473.35,68074,2364,IIFL FINANCE LIMITED 
18-June-2024,467.9,508.2,466.65,481.5,235539,4428,IIFL FINANCE LIMITED 
14-June-2024,473.25,481.5,464.95,467.9,83924,2301,IIFL FINANCE LIMITED 
13-June-2024,476.75,479.75,470.65,472.2,86152,1815,IIFL FINANCE LIMITED 
12-June-2024,474.75,482.8,470.6,473.0,102076,2735,IIFL FINANCE LIMITED 
11-June-2024,487.75,498.65,469.7,471.35,343929,5832,IIFL FINANCE LIMITED 
10-June-2024,474.7,498.85,468.6,488.05,878539,15172,IIFL FINANCE LIMITED 
7-June-2024,415.85,478.0,415.85,470.6,417533,9168,IIFL FINANCE LIMITED 
6-June-2024,408.35,415.9,407.0,414.05,170653,4837,IIFL FINANCE LIMITED 
5-June-2024,390.6,406.9,378.45,402.85,50981,2051,IIFL FINANCE LIMITED 
4-June-2024,400.85,400.85,341.0,382.3,218354,8156,IIFL FINANCE LIMITED 
3-June-2024,407.05,410.0,393.15,400.85,48940,1536,IIFL FINANCE LIMITED 
31-May-2024,409.6,410.9,396.1,398.95,43476,1246,IIFL FINANCE LIMITED 
30-May-2024,407.1,411.65,403.2,405.85,89042,2887,IIFL FINANCE LIMITED 
29-May-2024,400.15,414.4,399.05,411.2,221215,5742,IIFL FINANCE LIMITED 
28-May-2024,400.0,412.5,396.9,399.3,120737,2230,IIFL FINANCE LIMITED 
27-May-2024,393.85,399.9,393.5,398.4,105533,2702,IIFL FINANCE LIMITED 
24-May-2024,396.95,402.0,392.4,393.6,33593,1124,IIFL FINANCE LIMITED 
23-May-2024,400.0,402.5,395.0,397.05,25320,968,IIFL FINANCE LIMITED 
22-May-2024,399.15,405.85,397.0,399.6,27744,820,IIFL FINANCE LIMITED 
21-May-2024,401.5,404.25,396.0,398.0,26807,1044,IIFL FINANCE LIMITED 
18-May-2024,403.45,403.85,396.05,401.35,15253,715,IIFL FINANCE LIMITED 
17-May-2024,400.45,404.0,398.0,399.7,84605,2116,IIFL FINANCE LIMITED 
16-May-2024,400.7,400.7,392.9,393.7,26603,903,IIFL FINANCE LIMITED 
15-May-2024,402.05,405.55,394.25,395.65,27493,1008,IIFL FINANCE LIMITED 
14-May-2024,398.35,406.0,391.75,400.6,87592,2687,IIFL FINANCE LIMITED 
13-May-2024,402.25,402.25,385.5,396.3,105236,3565,IIFL FINANCE LIMITED 
10-May-2024,380.95,404.55,369.0,400.45,148174,3692,IIFL FINANCE LIMITED 
9-May-2024,392.55,395.1,372.9,376.2,35832,1726,IIFL FINANCE LIMITED 
8-May-2024,390.15,393.0,382.65,389.65,106261,3368,IIFL FINANCE LIMITED 
7-May-2024,385.45,418.5,382.2,389.45,328132,7395,IIFL FINANCE LIMITED 
6-May-2024,401.05,402.9,367.0,380.7,88350,4038,IIFL FINANCE LIMITED 
3-May-2024,400.9,405.0,397.0,400.85,81226,2437,IIFL FINANCE LIMITED 
2-May-2024,406.45,407.95,395.55,397.85,62482,2427,IIFL FINANCE LIMITED 
30-April-2024,414.8,414.8,405.0,405.55,118175,4164,IIFL FINANCE LIMITED 
29-April-2024,415.7,419.35,411.5,412.7,76261,2761,IIFL FINANCE LIMITED 
26-April-2024,421.5,425.0,413.3,415.1,39569,1387,IIFL FINANCE LIMITED 
25-April-2024,411.45,422.25,408.05,418.0,53359,1863,IIFL FINANCE LIMITED 
24-April-2024,410.45,415.85,408.5,409.85,30583,1373,IIFL FINANCE LIMITED 
23-April-2024,409.4,413.4,405.9,410.15,82556,2587,IIFL FINANCE LIMITED 
22-April-2024,409.95,428.3,409.95,420.9,107867,3309,IIFL FINANCE LIMITED 
