Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,20.5,21.0,20.0,20.03,15719,53,IL&FS Engineering and Construction Company Ltd
27-June-2024,20.95,21.7,20.49,20.5,19927,79,IL&FS Engineering and Construction Company Ltd
26-June-2024,21.28,21.28,20.05,20.74,36895,44,IL&FS Engineering and Construction Company Ltd
25-June-2024,20.5,20.85,20.07,20.35,27683,72,IL&FS Engineering and Construction Company Ltd
24-June-2024,20.87,20.87,20.06,20.35,16693,52,IL&FS Engineering and Construction Company Ltd
21-June-2024,20.85,21.8,20.12,20.87,24986,77,IL&FS Engineering and Construction Company Ltd
20-June-2024,21.6,21.6,20.25,20.87,31443,109,IL&FS Engineering and Construction Company Ltd
19-June-2024,20.8,21.8,20.51,21.2,21291,84,IL&FS Engineering and Construction Company Ltd
18-June-2024,22.29,22.49,20.81,21.32,21146,46,IL&FS Engineering and Construction Company Ltd
14-June-2024,22.34,22.39,21.7,21.85,11171,77,IL&FS Engineering and Construction Company Ltd
13-June-2024,22.03,22.75,22.0,22.5,16439,65,IL&FS Engineering and Construction Company Ltd
12-June-2024,23.5,23.5,22.0,22.03,14835,62,IL&FS Engineering and Construction Company Ltd
11-June-2024,23.0,23.85,22.0,22.66,19629,68,IL&FS Engineering and Construction Company Ltd
10-June-2024,23.13,23.72,22.68,23.0,17453,36,IL&FS Engineering and Construction Company Ltd
7-June-2024,22.68,22.68,21.86,22.68,41665,106,IL&FS Engineering and Construction Company Ltd
6-June-2024,21.0,21.6,21.0,21.6,42563,77,IL&FS Engineering and Construction Company Ltd
5-June-2024,21.17,21.17,20.12,20.58,42723,70,IL&FS Engineering and Construction Company Ltd
4-June-2024,22.1,22.1,21.17,21.17,18284,61,IL&FS Engineering and Construction Company Ltd
3-June-2024,24.08,24.08,21.8,22.28,22577,129,IL&FS Engineering and Construction Company Ltd
31-May-2024,23.58,24.22,22.5,22.94,7215,49,IL&FS Engineering and Construction Company Ltd
30-May-2024,24.0,24.75,23.09,23.12,8809,51,IL&FS Engineering and Construction Company Ltd
29-May-2024,24.65,24.65,23.41,24.3,11776,38,IL&FS Engineering and Construction Company Ltd
28-May-2024,25.98,25.98,24.11,24.63,1691,29,IL&FS Engineering and Construction Company Ltd
27-May-2024,26.37,26.37,25.0,25.16,4217,24,IL&FS Engineering and Construction Company Ltd
24-May-2024,24.84,25.9,24.84,25.12,22611,48,IL&FS Engineering and Construction Company Ltd
23-May-2024,24.49,25.0,24.01,24.84,6332,25,IL&FS Engineering and Construction Company Ltd
22-May-2024,26.09,26.09,23.76,24.61,30347,80,IL&FS Engineering and Construction Company Ltd
21-May-2024,24.91,25.02,24.31,24.96,27843,76,IL&FS Engineering and Construction Company Ltd
18-May-2024,24.5,25.24,23.03,23.83,3490,12,IL&FS Engineering and Construction Company Ltd
17-May-2024,24.93,24.93,24.0,24.06,8964,57,IL&FS Engineering and Construction Company Ltd
16-May-2024,25.9,26.0,24.93,24.96,5924,54,IL&FS Engineering and Construction Company Ltd
15-May-2024,26.08,27.2,26.08,26.24,35616,84,IL&FS Engineering and Construction Company Ltd
14-May-2024,26.63,27.45,25.3,27.45,18549,76,IL&FS Engineering and Construction Company Ltd
13-May-2024,29.3,29.3,26.63,26.63,3260,42,IL&FS Engineering and Construction Company Ltd
10-May-2024,28.05,28.05,28.03,28.03,1843,25,IL&FS Engineering and Construction Company Ltd
9-May-2024,31.05,31.3,29.5,29.5,10659,36,IL&FS Engineering and Construction Company Ltd
8-May-2024,31.1,31.5,31.05,31.05,12827,62,IL&FS Engineering and Construction Company Ltd
7-May-2024,32.68,34.0,32.68,32.68,6180,25,IL&FS Engineering and Construction Company Ltd
6-May-2024,36.56,36.56,33.1,34.39,19214,74,IL&FS Engineering and Construction Company Ltd
3-May-2024,33.46,34.82,33.46,34.82,50140,26,IL&FS Engineering and Construction Company Ltd
2-May-2024,34.14,34.14,34.14,34.14,391,7,IL&FS Engineering and Construction Company Ltd
30-April-2024,35.0,35.0,34.83,34.83,4546,10,IL&FS Engineering and Construction Company Ltd
29-April-2024,35.54,35.54,35.54,35.54,4415,13,IL&FS Engineering and Construction Company Ltd
26-April-2024,36.5,36.5,36.26,36.26,1987,7,IL&FS Engineering and Construction Company Ltd
25-April-2024,37.0,37.0,37.0,37.0,204,6,IL&FS Engineering and Construction Company Ltd
24-April-2024,37.97,37.97,37.0,37.0,2813,16,IL&FS Engineering and Construction Company Ltd
23-April-2024,36.5,37.23,36.5,37.23,1140,8,IL&FS Engineering and Construction Company Ltd
22-April-2024,36.5,36.5,35.95,36.5,1540,7,IL&FS Engineering and Construction Company Ltd
19-April-2024,36.05,36.16,36.05,36.05,14392,18,IL&FS Engineering and Construction Company Ltd
18-April-2024,36.7,36.72,36.7,36.72,5064,5,IL&FS Engineering and Construction Company Ltd
16-April-2024,36.0,36.0,36.0,36.0,6018,5,IL&FS Engineering and Construction Company Ltd
15-April-2024,35.3,35.3,35.3,35.3,1395,13,IL&FS Engineering and Construction Company Ltd
12-April-2024,36.75,36.75,36.02,36.02,1941,7,IL&FS Engineering and Construction Company Ltd
10-April-2024,37.5,37.5,36.75,36.75,2044,12,IL&FS Engineering and Construction Company Ltd
9-April-2024,38.45,38.45,37.5,37.5,7458,26,IL&FS Engineering and Construction Company Ltd
8-April-2024,37.95,37.95,37.7,37.7,21024,22,IL&FS Engineering and Construction Company Ltd
5-April-2024,37.0,37.21,37.0,37.21,25610,26,IL&FS Engineering and Construction Company Ltd
4-April-2024,36.49,36.49,36.49,36.49,57308,29,IL&FS Engineering and Construction Company Ltd
3-April-2024,35.78,35.78,35.78,35.78,5505,13,IL&FS Engineering and Construction Company Ltd
2-April-2024,35.08,35.08,35.08,35.08,14039,14,IL&FS Engineering and Construction Company Ltd
1-April-2024,34.4,34.4,34.4,34.4,6993,30,IL&FS Engineering and Construction Company Ltd
28-March-2024,32.77,32.77,32.77,32.77,2143,15,IL&FS Engineering and Construction Company Ltd
27-March-2024,31.21,31.21,31.21,31.21,9073,36,IL&FS Engineering and Construction Company Ltd
26-March-2024,28.73,29.73,28.73,29.73,4725,33,IL&FS Engineering and Construction Company Ltd
22-March-2024,25.86,28.32,25.75,28.32,29512,83,IL&FS Engineering and Construction Company Ltd
