Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,131.65,132.1,128.0,130.95,44455,870
27-June-2024,135.25,135.9,127.95,129.05,137442,1961
26-June-2024,132.25,139.8,129.45,133.7,101037,1590
25-June-2024,133.4,133.4,129.15,130.05,21317,517
24-June-2024,130.0,135.4,127.55,128.55,105324,2003
21-June-2024,127.0,134.4,125.75,130.3,198678,2487
20-June-2024,124.95,127.55,123.8,125.9,44056,861
19-June-2024,122.0,125.15,120.15,124.0,79270,1085
18-June-2024,128.9,128.9,123.5,124.05,74730,924
14-June-2024,126.55,128.25,126.0,126.7,19226,578
13-June-2024,125.55,130.0,125.55,127.35,53011,1379
12-June-2024,129.5,131.6,127.55,128.1,75330,1111
11-June-2024,133.55,133.75,128.5,129.3,84652,1645
10-June-2024,130.75,137.2,129.3,132.25,201194,3542
7-June-2024,125.45,133.85,122.95,128.6,293891,4708
6-June-2024,123.85,126.3,122.5,123.4,43077,1003
5-June-2024,109.1,125.95,106.15,120.8,206633,3599
4-June-2024,121.25,121.3,100.55,108.85,172004,2885
3-June-2024,116.65,124.55,116.65,120.5,124659,2187
31-May-2024,115.65,119.7,112.0,114.85,34185,903
30-May-2024,120.4,120.4,115.1,115.65,57813,1051
29-May-2024,115.8,122.5,113.0,119.65,75380,1811
28-May-2024,116.0,117.6,111.0,113.5,38204,791
27-May-2024,116.65,118.0,113.25,115.2,34801,1067
24-May-2024,119.8,120.7,115.35,116.65,17222,523
23-May-2024,123.3,124.4,119.35,119.7,42243,1140
22-May-2024,119.0,127.1,117.35,123.25,100489,3003
21-May-2024,124.0,124.0,115.25,117.5,184657,2468
18-May-2024,131.85,133.65,123.2,124.05,116835,2088
17-May-2024,109.6,127.3,108.55,127.3,560887,5023
16-May-2024,99.55,108.4,99.1,106.1,161683,2073
15-May-2024,98.15,100.1,96.65,98.2,27032,386
14-May-2024,95.6,99.35,95.2,98.15,23834,349
13-May-2024,95.95,95.95,92.4,93.9,31158,425
10-May-2024,97.1,100.3,95.9,99.55,60827,892
9-May-2024,100.9,101.65,96.4,96.8,57350,460
8-May-2024,99.95,101.5,98.8,100.45,37460,447
7-May-2024,102.65,102.7,98.45,99.15,19448,413
6-May-2024,104.95,105.7,101.15,102.3,36378,477
3-May-2024,108.0,108.15,102.8,103.4,70243,1261
2-May-2024,108.0,110.7,106.1,107.0,115789,1482
30-April-2024,105.8,110.5,105.51,107.98,149457,1444
29-April-2024,103.18,105.95,103.16,105.01,63345,782
26-April-2024,105.91,107.05,102.64,103.16,68239,755
25-April-2024,102.95,107.3,101.51,105.4,199970,2129
24-April-2024,102.9,104.04,101.51,101.96,65079,761
23-April-2024,102.97,105.1,101.35,102.73,117246,1205
22-April-2024,102.89,103.9,100.55,101.12,85311,921
19-April-2024,100.73,103.62,99.0,101.42,79423,799
18-April-2024,105.42,105.42,100.0,100.81,173817,1487
16-April-2024,101.9,105.0,101.05,103.34,283988,1876
15-April-2024,100.99,106.0,97.26,101.76,405518,3793
12-April-2024,98.15,99.51,95.8,96.27,72429,836
10-April-2024,98.09,101.89,97.8,98.78,46144,651
9-April-2024,98.0,101.6,97.5,98.12,99484,1151
8-April-2024,99.9,99.9,96.05,97.58,72324,945
5-April-2024,97.85,102.81,97.85,98.46,69209,860
4-April-2024,98.74,100.8,96.52,97.68,88735,1175
3-April-2024,95.91,98.5,93.95,97.76,79706,1084
2-April-2024,94.45,97.45,93.39,94.97,46869,632
1-April-2024,88.59,95.0,87.62,94.03,98817,1451
28-March-2024,87.0,88.5,85.0,86.93,87061,777
27-March-2024,87.49,87.51,85.26,85.74,18416,263
