Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,335.6,368.0,335.6,347.4,30078,2297
27-June-2024,360.0,360.75,339.25,346.85,16853,1462
26-June-2024,341.8,364.2,333.85,357.85,29605,2097
25-June-2024,321.3,359.0,321.3,339.45,24796,2160
24-June-2024,322.0,322.0,311.65,315.65,19312,822
21-June-2024,318.0,325.85,315.9,316.55,2786,246
20-June-2024,323.6,327.15,317.0,318.2,13745,1072
19-June-2024,328.1,335.6,320.0,321.35,8028,584
18-June-2024,326.25,338.55,326.25,332.15,4215,248
14-June-2024,338.85,341.95,329.05,332.05,21306,706
13-June-2024,340.75,340.9,333.15,337.45,10237,645
12-June-2024,340.0,341.5,331.7,333.95,7879,694
11-June-2024,329.6,337.9,327.15,335.15,6813,549
10-June-2024,335.0,335.0,319.95,324.55,9587,772
7-June-2024,308.6,341.8,307.0,319.15,41984,2912
6-June-2024,299.0,309.1,283.05,302.55,54468,1488
5-June-2024,275.6,289.55,270.2,281.0,7888,529
4-June-2024,298.8,300.8,263.55,275.35,7902,469
3-June-2024,317.95,317.95,288.15,290.5,24509,885
31-May-2024,310.0,320.7,283.0,291.35,29633,1401
30-May-2024,318.1,322.65,305.85,309.45,2489,261
29-May-2024,308.05,323.0,307.05,318.05,2602,238
28-May-2024,314.5,315.95,307.55,310.6,4795,238
27-May-2024,313.35,317.15,309.3,313.6,7065,409
24-May-2024,314.35,318.3,305.25,307.15,5734,399
23-May-2024,302.9,309.45,302.9,305.9,2913,189
22-May-2024,320.25,320.5,301.8,308.05,7285,543
21-May-2024,313.0,324.4,313.0,316.1,4268,359
18-May-2024,304.9,315.65,303.75,313.2,2564,238
17-May-2024,303.45,310.8,298.1,303.4,4848,383
16-May-2024,328.95,328.95,300.0,303.45,4208,341
15-May-2024,324.95,324.95,305.1,309.25,7189,536
14-May-2024,308.0,317.85,301.7,309.7,3852,396
13-May-2024,318.95,318.95,290.9,296.35,14068,917
10-May-2024,311.35,311.35,298.5,304.15,7648,675
9-May-2024,313.05,331.9,302.45,311.35,7831,818
8-May-2024,295.65,318.15,295.65,310.95,5574,520
7-May-2024,315.6,328.85,301.2,313.05,15242,960
6-May-2024,331.0,332.65,319.35,322.75,22744,1268
3-May-2024,341.8,343.4,326.45,332.2,15472,565
2-May-2024,335.75,342.35,330.6,337.35,3824,410
30-April-2024,342.0,356.1,332.35,334.35,14108,794
29-April-2024,360.8,360.8,341.7,342.8,21846,1150
26-April-2024,362.0,372.05,355.0,359.05,39300,2133
25-April-2024,325.05,364.75,325.05,364.75,125775,3191
24-April-2024,343.8,343.8,329.95,331.6,24580,1223
23-April-2024,346.35,348.0,319.0,339.45,46349,1995
22-April-2024,289.35,318.45,283.75,318.45,2384,185
19-April-2024,287.0,293.85,285.0,289.5,12503,659
18-April-2024,304.45,305.0,292.1,296.3,3049,156
16-April-2024,284.55,307.75,284.55,299.65,3632,201
15-April-2024,285.35,308.2,285.35,296.7,10820,252
12-April-2024,327.5,327.5,308.0,311.05,4655,253
10-April-2024,327.85,331.75,320.0,321.2,11298,419
9-April-2024,329.35,339.5,325.05,327.8,37342,1347
8-April-2024,355.05,363.1,317.9,326.55,29605,1422
5-April-2024,320.05,344.55,309.8,344.55,75222,1707
4-April-2024,313.25,313.25,301.0,313.25,71100,405
3-April-2024,293.95,298.35,284.75,298.35,6666,181
2-April-2024,296.0,296.8,280.0,284.15,8967,189
1-April-2024,280.2,282.7,280.2,282.7,4771,35
28-March-2024,263.35,270.0,258.3,269.25,2954,70
27-March-2024,260.6,276.35,258.0,263.3,9611,99
26-March-2024,275.0,275.0,262.65,263.2,3517,85
22-March-2024,262.0,276.95,257.1,276.45,395,26
21-March-2024,272.0,272.0,262.0,266.05,2006,57
20-March-2024,275.0,280.0,265.0,265.0,1647,25
19-March-2024,264.0,272.0,264.0,271.9,1440,51
18-March-2024,250.0,261.05,244.55,259.05,4703,67
15-March-2024,256.9,259.9,248.0,250.0,4026,101
14-March-2024,241.2,260.1,241.2,259.95,5811,61
13-March-2024,250.0,259.8,240.8,248.35,12562,111
12-March-2024,255.15,262.5,253.2,253.25,6706,79
11-March-2024,269.7,276.9,260.2,266.5,2901,31
7-March-2024,253.95,266.7,253.95,266.7,2703,43
6-March-2024,264.0,264.0,253.0,254.0,4618,109
5-March-2024,277.0,277.0,263.35,264.35,14641,134
4-March-2024,286.9,293.95,275.6,277.2,5749,121
2-March-2024,295.0,300.0,283.7,287.5,3430,28
1-March-2024,291.95,303.0,290.0,297.9,1224,38
29-February-2024,296.0,306.9,280.0,291.5,13084,126
28-February-2024,286.0,300.0,286.0,292.85,17023,234
27-February-2024,278.85,290.0,265.35,285.75,13699,188
26-February-2024,290.0,290.0,279.3,279.3,5184,160
23-February-2024,304.75,304.75,285.6,294.0,3023,72
22-February-2024,312.6,312.6,294.0,295.6,10135,125
21-February-2024,325.5,330.0,307.5,309.2,7920,171
20-February-2024,325.95,327.0,315.0,323.65,8816,136
19-February-2024,305.0,316.95,305.0,314.75,11710,188
16-February-2024,295.0,301.9,294.0,301.9,9795,48
15-February-2024,300.05,300.05,296.0,296.0,4558,37
14-February-2024,308.0,308.0,297.0,302.0,4697,26
13-February-2024,302.0,303.9,302.0,302.0,3090,19
12-February-2024,301.1,301.35,301.1,301.35,3470,12
9-February-2024,295.0,300.9,295.0,300.9,2124,19
8-February-2024,293.05,296.8,293.05,295.0,4244,37
7-February-2024,293.1,293.1,287.2,291.0,6851,53
6-February-2024,297.25,297.25,293.05,293.05,8190,52
5-February-2024,299.0,299.1,299.0,299.0,3099,43
2-February-2024,302.0,304.9,297.4,299.0,1103,21
1-February-2024,305.3,305.3,300.0,300.0,1735,21
31-January-2024,299.5,305.45,293.55,305.45,9221,30
30-January-2024,299.5,299.5,299.5,299.5,5036,16
29-January-2024,286.0,293.65,286.0,293.65,5939,23
25-January-2024,288.0,288.1,287.0,287.9,9060,62
24-January-2024,289.0,289.5,288.95,288.95,4983,45
23-January-2024,294.8,294.8,294.8,294.8,3659,35
20-January-2024,300.8,300.8,300.8,300.8,7634,36
19-January-2024,310.6,310.6,306.9,306.9,30137,77
18-January-2024,293.6,305.5,293.6,305.5,11437,100
17-January-2024,299.55,299.55,299.55,299.55,1610,36
16-January-2024,305.65,305.65,305.65,305.65,3979,57
15-January-2024,306.7,312.0,306.7,311.85,46999,81
12-January-2024,312.95,312.95,299.05,312.95,34168,235
11-January-2024,298.05,298.05,298.05,298.05,486,15
10-January-2024,283.9,283.9,283.9,283.9,1389,17
9-January-2024,268.8,270.4,268.8,270.4,3131,29
8-January-2024,265.0,265.0,255.0,257.55,13825,96
5-January-2024,258.0,266.0,256.05,262.95,12531,123
4-January-2024,256.15,257.0,250.05,254.85,12147,94
3-January-2024,260.0,260.0,245.0,251.1,11300,116
2-January-2024,263.9,263.9,248.0,252.5,11090,102
1-January-2024,240.1,265.3,240.1,255.1,31196,175
29-December-2023,266.0,266.0,252.7,252.7,19190,136
28-December-2023,266.05,266.05,250.0,266.0,94440,387
27-December-2023,253.4,253.4,253.4,253.4,6871,44
26-December-2023,241.35,241.35,241.35,241.35,12650,40
22-December-2023,229.9,229.9,229.9,229.9,7350,25
21-December-2023,225.4,225.45,225.4,225.4,3285,47
20-December-2023,225.7,234.9,225.7,230.0,7154,46
19-December-2023,230.45,234.0,230.3,230.3,7170,65
18-December-2023,238.75,238.75,234.95,235.0,8624,28
15-December-2023,239.6,239.6,234.85,234.85,3602,43
14-December-2023,239.6,239.6,239.6,239.6,1386,28
13-December-2023,244.55,249.4,244.45,244.45,1259,26
12-December-2023,254.4,254.4,249.4,249.4,1648,24
11-December-2023,254.4,254.4,254.4,254.4,4697,35
8-December-2023,261.5,262.0,259.55,259.55,6638,49
7-December-2023,268.8,268.8,264.8,264.8,5823,51
6-December-2023,266.0,266.0,262.1,266.0,4749,27
5-December-2023,268.0,268.0,266.0,266.1,2928,17
4-December-2023,264.95,269.25,264.95,266.3,3030,31
1-December-2023,266.4,266.4,258.75,264.0,3497,37
30-November-2023,269.0,269.0,264.0,264.0,6730,57
29-November-2023,264.15,264.15,264.15,264.15,3547,27
28-November-2023,259.0,259.0,259.0,259.0,2497,23
24-November-2023,249.0,253.95,249.0,253.95,4768,36
23-November-2023,249.95,249.95,249.0,249.0,3699,37
22-November-2023,245.15,247.0,245.15,247.0,6457,28
21-November-2023,249.5,250.0,249.5,250.0,17539,44
20-November-2023,254.55,254.55,254.55,254.55,8182,26
17-November-2023,259.7,259.7,259.7,259.7,1363,33
16-November-2023,265.0,272.1,262.45,265.0,11920,236
15-November-2023,250.0,259.15,250.0,259.15,6345,63
13-November-2023,243.4,249.5,235.3,246.85,11528,140
12-November-2023,240.0,245.4,237.0,241.4,9255,86
10-November-2023,232.0,239.8,226.1,234.8,10137,95
9-November-2023,224.8,231.0,224.8,229.75,16915,129
8-November-2023,221.0,225.0,210.0,223.05,8714,72
7-November-2023,222.1,224.9,214.25,215.1,3804,47
6-November-2023,219.0,226.0,208.0,222.1,34974,233
3-November-2023,206.45,216.75,203.1,216.75,36481,255
2-November-2023,208.25,210.45,200.05,206.45,14272,173
1-November-2023,192.0,210.6,192.0,207.05,23154,195
31-October-2023,205.0,205.0,190.55,200.6,31333,188
30-October-2023,195.0,200.2,193.9,200.2,29818,115
27-October-2023,190.7,190.7,190.7,190.7,7994,34
26-October-2023,181.1,187.3,180.2,187.0,4273,13
25-October-2023,183.6,183.85,183.6,183.85,11957,27
23-October-2023,190.0,190.0,187.3,187.3,1225,14
20-October-2023,191.1,192.0,191.1,191.1,18376,50
19-October-2023,195.95,197.25,195.0,195.0,2873,31
18-October-2023,197.2,197.2,196.0,196.0,2998,23
17-October-2023,196.9,199.4,196.9,197.2,8105,42
16-October-2023,196.5,196.6,193.0,196.6,9631,64
13-October-2023,192.0,192.75,192.0,192.75,20886,51
12-October-2023,196.0,196.0,189.0,189.0,1121,11
11-October-2023,192.35,192.7,190.1,192.7,2058,16
10-October-2023,188.9,188.95,188.9,188.95,160,5
9-October-2023,185.0,185.25,185.0,185.25,402,8
6-October-2023,192.5,192.5,185.5,185.5,914,20
5-October-2023,193.45,193.45,189.0,189.0,1039,11
4-October-2023,185.0,189.7,183.1,189.7,1194,23
3-October-2023,182.35,186.05,182.35,186.05,3710,30
29-September-2023,186.0,186.05,185.0,186.05,3762,34
28-September-2023,187.5,187.5,186.2,186.2,271,16
27-September-2023,190.0,195.25,190.0,190.0,804,14
26-September-2023,193.55,193.55,192.0,192.2,543,15
25-September-2023,186.75,189.8,186.75,189.8,207,8
22-September-2023,186.1,186.1,186.1,186.1,3177,45
21-September-2023,191.65,191.65,189.85,189.85,3601,23
20-September-2023,192.5,201.0,191.5,193.7,4074,61
18-September-2023,213.7,213.7,195.85,198.1,12549,84
15-September-2023,204.25,204.25,201.1,204.25,13592,134
14-September-2023,194.55,194.55,194.55,194.55,760,8
13-September-2023,179.8,185.3,179.8,185.3,3494,31
12-September-2023,182.9,188.25,174.35,176.5,14064,149
11-September-2023,188.0,189.0,181.0,183.5,4804,95
8-September-2023,191.0,192.3,185.15,187.75,2504,53
7-September-2023,192.0,198.0,185.2,186.4,11475,78
6-September-2023,195.0,195.0,185.2,191.9,3975,82
5-September-2023,197.25,200.0,191.1,194.5,5602,85
4-September-2023,189.0,198.3,179.5,197.25,6383,81
1-September-2023,193.0,200.0,187.3,188.9,24110,184
31-August-2023,205.5,205.5,190.0,197.15,37936,370
30-August-2023,195.75,195.75,195.75,195.75,2965,29
29-August-2023,186.45,186.45,186.45,186.45,648,15
28-August-2023,177.6,177.6,177.6,177.6,2211,15
25-August-2023,169.15,169.15,169.15,169.15,2850,15
24-August-2023,165.85,165.85,165.85,165.85,59,7
23-August-2023,162.6,162.6,162.6,162.6,3586,14
22-August-2023,159.45,159.45,159.45,159.45,4378,20
21-August-2023,153.35,156.35,153.35,156.35,3995,38
18-August-2023,154.6,154.6,153.3,153.3,3158,54
17-August-2023,159.4,159.4,156.4,156.4,3262,43
