Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,21.17,21.35,20.0,20.64,183834,202
27-June-2024,19.65,21.0,19.65,20.67,237245,247
26-June-2024,20.0,21.0,19.38,20.62,300697,532
25-June-2024,20.2,20.5,19.5,19.74,269882,580
24-June-2024,23.74,23.79,18.56,20.07,3707183,2008
21-June-2024,24.99,24.99,23.0,23.19,199730,510
20-June-2024,20.0,24.95,19.8,24.49,2162391,2444
19-June-2024,27.55,28.8,21.77,21.77,2553949,2179
18-June-2024,30.28,30.28,26.9,27.21,346317,308
14-June-2024,31.2,31.2,29.0,30.01,29919,107
13-June-2024,29.99,30.97,29.0,29.42,16041,138
12-June-2024,28.0,31.4,28.0,29.99,23993,85
11-June-2024,29.67,30.99,29.61,30.08,46829,94
10-June-2024,30.01,32.35,29.26,30.06,17453,121
7-June-2024,32.35,32.35,29.6,30.01,20398,93
6-June-2024,32.1,32.1,30.0,30.66,9306,71
5-June-2024,28.07,32.5,28.07,31.47,15832,86
4-June-2024,34.38,34.38,28.13,29.97,56115,200
3-June-2024,32.51,36.4,30.65,32.89,247636,806
31-May-2024,27.8,32.18,27.05,31.87,145643,343
30-May-2024,31.87,31.89,25.35,27.31,91865,338
29-May-2024,27.5,31.55,26.99,31.26,179554,374
28-May-2024,27.05,27.9,26.91,27.0,9954,82
27-May-2024,28.19,28.19,27.89,27.91,14222,44
24-May-2024,28.5,28.98,27.61,27.89,58747,126
23-May-2024,31.0,31.0,27.9,28.9,164249,317
22-May-2024,27.45,30.22,27.45,29.4,21049,95
21-May-2024,30.6,30.6,28.0,29.03,77812,129
18-May-2024,30.19,30.19,28.02,29.49,4719,23
17-May-2024,26.97,29.75,25.81,28.82,36838,143
16-May-2024,26.65,26.65,26.0,26.27,1698,36
15-May-2024,26.69,26.69,25.82,26.25,5178,56
14-May-2024,26.0,26.72,26.0,26.47,3530,35
13-May-2024,26.79,26.79,25.31,26.5,2206,57
10-May-2024,26.8,26.8,25.63,26.38,1051,28
9-May-2024,27.16,27.16,25.51,26.0,7409,61
8-May-2024,27.36,27.36,26.01,26.39,4250,50
7-May-2024,27.59,27.59,26.0,26.52,5363,69
6-May-2024,26.4,27.0,26.0,26.71,3115,126
3-May-2024,25.83,26.95,25.8,26.5,24817,142
2-May-2024,27.16,28.16,24.4,25.83,101710,260
30-April-2024,27.49,28.34,27.4,27.71,7189,52
29-April-2024,28.42,28.48,25.5,27.05,35715,143
26-April-2024,28.49,28.49,28.01,28.42,6876,59
25-April-2024,28.28,28.5,28.02,28.26,4893,51
24-April-2024,27.5,28.46,27.5,28.2,10792,65
23-April-2024,28.21,29.44,26.61,27.22,76859,205
22-April-2024,28.5,29.91,28.4,28.53,7495,59
19-April-2024,28.33,28.95,27.9,28.5,2983,41
18-April-2024,30.33,30.6,27.75,28.25,120239,213
16-April-2024,30.28,30.28,29.08,29.14,11311,70
15-April-2024,29.81,29.81,29.16,29.69,5283,38
12-April-2024,29.7,31.8,29.4,29.9,3106,46
10-April-2024,28.56,29.75,28.56,29.7,7954,58
9-April-2024,29.17,30.14,29.17,29.5,5016,47
8-April-2024,31.8,31.8,29.12,29.2,9914,85
5-April-2024,31.9,31.9,28.5,29.7,31184,98
4-April-2024,29.29,31.48,28.7,29.26,40676,143
3-April-2024,29.69,29.69,28.01,28.62,19524,94
2-April-2024,29.01,29.7,28.67,28.76,2516,42
1-April-2024,29.7,29.7,28.99,29.01,2021,29
28-March-2024,27.12,29.7,27.12,29.14,287,28
27-March-2024,28.76,29.4,28.76,28.84,8571,34
26-March-2024,28.72,29.59,28.33,28.76,6610,47
22-March-2024,29.7,29.7,28.47,28.72,6379,42
21-March-2024,29.8,29.85,28.35,29.55,3727,37
20-March-2024,30.99,30.99,28.1,28.32,1769,39
19-March-2024,31.0,31.0,28.26,28.38,18337,59
18-March-2024,29.5,29.5,28.2,28.57,826,25
15-March-2024,31.24,31.24,28.5,28.91,26766,66
14-March-2024,28.75,29.85,26.9,28.44,3504,47
13-March-2024,30.0,30.93,28.15,28.19,6923,50
12-March-2024,30.5,31.75,29.5,29.6,5096,58
11-March-2024,31.0,32.75,30.11,30.5,2009,38
7-March-2024,29.1,31.8,29.1,31.0,20938,30
6-March-2024,30.1,31.6,29.5,30.23,7976,61
5-March-2024,30.85,32.5,29.0,30.23,50526,169
4-March-2024,33.89,33.89,31.85,32.03,6517,42
2-March-2024,31.8,32.28,31.5,31.99,1636,18
1-March-2024,30.36,32.4,30.36,31.26,2475,44
29-February-2024,32.99,32.99,30.6,31.33,6638,70
28-February-2024,31.26,33.39,30.64,30.72,3789,57
27-February-2024,30.72,32.75,30.52,31.2,3979,59
26-February-2024,32.62,33.9,29.26,30.72,13004,113
23-February-2024,32.0,35.84,32.0,32.39,20620,120
22-February-2024,33.5,33.5,32.52,32.63,1249,25
21-February-2024,35.38,35.38,33.1,33.13,2807,45
20-February-2024,36.39,36.39,33.13,33.71,3689,38
19-February-2024,32.46,35.8,32.46,34.0,7730,52
16-February-2024,34.5,35.75,32.3,32.65,2856,47
15-February-2024,30.31,34.0,30.31,33.48,2296,54
14-February-2024,32.44,33.98,32.06,32.29,4204,43
13-February-2024,34.4,34.4,30.9,32.45,2940,45
12-February-2024,34.43,37.49,31.65,32.54,12383,106
9-February-2024,35.15,36.9,35.01,35.13,13331,63
8-February-2024,34.63,37.48,34.36,36.3,11143,60
7-February-2024,37.0,37.8,34.8,35.34,11975,99
6-February-2024,35.01,37.0,35.01,36.09,26684,75
5-February-2024,37.29,37.29,34.03,36.0,31015,141
2-February-2024,35.02,35.52,32.15,35.52,59621,167
1-February-2024,36.99,36.99,33.65,33.83,16464,124
31-January-2024,35.25,35.74,34.1,35.42,59675,147
30-January-2024,34.33,34.33,32.35,34.04,38027,112
29-January-2024,31.64,32.7,31.2,32.7,21113,91
25-January-2024,31.7,31.9,30.2,31.15,39447,88
24-January-2024,29.74,31.78,29.52,30.39,3823,45
23-January-2024,31.29,31.99,29.73,30.27,23767,107
20-January-2024,30.71,31.9,30.51,31.29,3804,31
19-January-2024,30.5,31.49,30.13,30.71,5815,49
18-January-2024,30.88,31.94,30.4,30.44,4988,62
17-January-2024,31.65,32.34,30.66,31.71,12917,47
16-January-2024,30.76,32.49,30.76,31.65,13629,47
15-January-2024,32.59,32.59,31.0,31.65,2331,36
12-January-2024,31.53,32.28,30.33,31.1,20255,101
11-January-2024,33.0,33.0,31.16,31.75,8242,53
10-January-2024,33.0,33.0,31.6,32.29,3208,34
9-January-2024,31.25,32.5,31.25,32.28,41694,93
8-January-2024,31.0,32.1,30.7,31.92,24631,83
5-January-2024,31.0,31.65,30.0,30.98,27324,111
4-January-2024,30.88,30.88,29.12,30.6,27574,115
3-January-2024,30.11,30.5,29.06,29.95,5804,73
