Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,26.2,26.84,25.0,25.62,83782,824
27-June-2024,27.49,27.49,25.55,25.73,81408,875
26-June-2024,27.4,28.07,26.0,26.31,83727,770
25-June-2024,27.4,28.79,25.75,27.24,259245,2446
24-June-2024,25.93,27.9,25.0,27.4,549800,3037
21-June-2024,26.69,27.51,24.97,25.51,343793,2382
20-June-2024,24.44,26.22,24.1,26.22,435067,1170
19-June-2024,25.39,25.39,23.47,23.84,66212,425
18-June-2024,24.96,25.79,24.1,24.25,70931,454
14-June-2024,25.49,25.49,24.0,24.47,143956,1499
13-June-2024,25.37,26.71,24.77,25.07,666297,2003
12-June-2024,22.15,24.29,22.15,24.29,430200,837
11-June-2024,22.2,22.32,21.67,22.09,99844,840
10-June-2024,22.59,22.66,21.8,21.88,64687,682
7-June-2024,22.15,22.7,21.85,22.48,79772,701
6-June-2024,21.25,21.72,21.0,21.72,18719,113
5-June-2024,21.56,21.56,20.19,20.69,83219,711
4-June-2024,22.8,22.81,21.25,21.25,116034,913
3-June-2024,22.0,22.36,21.8,22.36,188482,567
31-May-2024,21.1,21.6,20.8,21.3,84254,678
30-May-2024,22.6,22.84,21.09,21.1,57803,546
29-May-2024,22.19,22.19,21.0,22.19,49845,360
28-May-2024,22.99,22.99,21.1,21.14,42869,393
27-May-2024,22.25,23.0,21.75,22.04,38027,374
24-May-2024,22.7,23.25,22.05,22.15,77517,875
23-May-2024,22.36,23.34,22.16,22.36,71402,701
22-May-2024,23.56,23.56,22.5,22.72,38718,391
21-May-2024,24.75,24.75,23.0,23.1,80140,803
18-May-2024,23.74,24.65,23.74,24.11,19640,186
17-May-2024,24.18,25.05,23.56,23.97,141833,733
16-May-2024,23.8,24.32,23.32,23.86,256034,826
15-May-2024,23.05,23.17,22.29,23.17,90396,601
14-May-2024,21.38,22.07,21.23,22.07,67980,530
13-May-2024,22.2,22.2,20.85,21.02,37137,605
10-May-2024,22.05,22.05,21.26,21.61,20003,329
9-May-2024,22.5,22.89,21.5,21.62,17339,367
8-May-2024,21.76,23.19,21.76,22.49,41690,508
7-May-2024,21.66,22.84,21.0,22.31,108408,1037
6-May-2024,22.6,22.67,21.66,21.76,85563,852
3-May-2024,23.26,23.26,22.55,22.66,34123,415
2-May-2024,23.09,23.5,22.72,22.82,38407,555
30-April-2024,23.01,23.45,22.65,23.03,25676,345
29-April-2024,23.75,23.99,22.67,22.9,105251,792
26-April-2024,24.34,24.34,22.95,23.36,109409,790
25-April-2024,24.41,24.8,23.39,23.86,159885,983
24-April-2024,23.44,23.9,22.85,23.9,100703,530
23-April-2024,23.31,23.4,22.36,22.77,75398,528
22-April-2024,23.23,23.24,22.51,22.81,48401,249
19-April-2024,22.14,23.24,21.05,23.12,34934,173
18-April-2024,22.61,23.0,21.75,22.14,58022,212
16-April-2024,22.89,22.89,21.56,22.17,21837,151
15-April-2024,22.34,22.9,21.73,22.26,58348,337
12-April-2024,23.1,23.4,22.5,22.87,59727,352
10-April-2024,23.8,24.0,22.65,23.5,25834,143
9-April-2024,23.41,24.3,23.37,23.37,64591,403
8-April-2024,25.59,26.34,24.0,24.6,139139,691
5-April-2024,24.92,25.11,23.92,25.09,158250,666
4-April-2024,23.85,23.92,23.5,23.92,100483,306
3-April-2024,22.6,22.79,22.2,22.79,37710,177
2-April-2024,21.62,21.71,21.25,21.71,47601,207
1-April-2024,20.09,20.68,20.09,20.68,33604,174
28-March-2024,20.38,20.75,19.5,19.7,25285,206
27-March-2024,19.5,20.48,19.5,19.97,68186,301
26-March-2024,19.6,20.0,19.4,19.6,85370,392
