Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,6736.85,6820.0,6700.35,6785.75,5197,1559
27-June-2024,6746.0,6763.7,6671.2,6736.85,1579,482
26-June-2024,6620.0,6779.0,6620.0,6745.0,5111,1087
25-June-2024,6600.05,6700.0,6480.3,6647.55,43638,3011
24-June-2024,6378.6,6612.15,6313.85,6596.7,10949,4902
21-June-2024,6315.0,6499.0,6315.0,6378.6,14284,2355
20-June-2024,6245.05,6333.0,6200.2,6283.5,5695,1463
19-June-2024,6200.05,6270.4,6109.75,6244.3,16920,1759
18-June-2024,6150.0,6350.0,6150.0,6189.3,2972,614
14-June-2024,6250.25,6303.2,6174.2,6238.05,3554,829
13-June-2024,6255.5,6365.0,6251.0,6265.3,5847,1551
12-June-2024,6224.0,6318.0,6219.2,6250.9,13691,2786
11-June-2024,6205.0,6326.0,6189.8,6223.05,3163,868
10-June-2024,6215.75,6286.7,6146.0,6220.3,8252,1590
7-June-2024,6130.75,6359.9,6127.4,6215.5,31917,6017
6-June-2024,6115.25,6161.35,5999.75,6127.25,9112,2121
5-June-2024,5592.0,6041.35,5570.4,5996.1,13688,2616
4-June-2024,5770.0,5770.0,5260.0,5624.15,5822,2008
3-June-2024,6100.0,6100.0,5683.05,5710.7,4753,927
31-May-2024,5800.65,5812.9,5660.0,5691.1,4269,1248
30-May-2024,5913.0,5913.1,5741.4,5754.75,2265,697
29-May-2024,6026.25,6035.35,5908.0,5921.05,1797,629
28-May-2024,6268.05,6410.0,6037.65,6072.15,4058,981
27-May-2024,6341.65,6407.0,6203.05,6256.25,12753,2388
24-May-2024,6432.35,6526.5,6297.75,6340.9,3996,939
23-May-2024,6398.05,6545.95,6360.7,6442.0,6005,1262
22-May-2024,6428.65,6462.0,6346.4,6398.05,29673,5389
21-May-2024,6192.05,6472.85,6192.05,6405.65,18512,3849
18-May-2024,6232.0,6272.3,5944.65,6201.85,1924,436
17-May-2024,6043.85,6338.55,6034.5,6222.05,58298,9941
16-May-2024,5921.05,6002.7,5615.65,5867.45,10713,3090
15-May-2024,6010.75,6027.1,5872.6,5941.15,3788,1256
14-May-2024,6054.1,6114.75,6008.75,6017.6,2858,681
13-May-2024,5955.05,6102.55,5902.35,6054.1,15082,2036
10-May-2024,5935.0,6049.95,5874.05,6029.7,4930,1271
9-May-2024,5705.0,6137.0,5705.0,5949.4,6957,1796
8-May-2024,5843.65,6032.05,5843.65,6000.9,2383,593
7-May-2024,5953.55,5986.65,5840.95,5880.25,1841,594
6-May-2024,6031.4,6049.95,5959.0,5983.35,2534,1380
