Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,4527.15,4535.0,4380.55,4386.05,7302,762,J.K. CEMENT LTD
27-June-2024,4396.9,4598.0,4396.9,4507.0,12766,1620,J.K. CEMENT LTD
26-June-2024,4333.25,4505.0,4320.9,4396.9,32068,3405,J.K. CEMENT LTD
25-June-2024,4569.95,4569.95,4242.0,4335.35,4585,1125,J.K. CEMENT LTD
24-June-2024,4259.0,4270.2,4155.9,4221.25,3499,889,J.K. CEMENT LTD
21-June-2024,4297.0,4323.1,4207.35,4259.6,7110,1695,J.K. CEMENT LTD
20-June-2024,4369.95,4369.95,4296.65,4319.3,1913,507,J.K. CEMENT LTD
19-June-2024,4419.0,4444.0,4283.75,4299.35,6356,1496,J.K. CEMENT LTD
18-June-2024,4326.8,4428.45,4310.25,4419.15,11026,1454,J.K. CEMENT LTD
14-June-2024,4215.25,4364.9,4215.0,4328.15,10130,2134,J.K. CEMENT LTD
13-June-2024,4290.25,4294.0,4229.3,4247.55,4789,929,J.K. CEMENT LTD
12-June-2024,4152.8,4266.7,4152.8,4247.4,4569,966,J.K. CEMENT LTD
11-June-2024,4216.25,4284.0,4175.95,4190.95,5988,1421,J.K. CEMENT LTD
10-June-2024,4225.0,4307.05,4157.4,4230.0,14706,2218,J.K. CEMENT LTD
7-June-2024,4007.8,4220.25,4007.8,4202.0,9700,1571,J.K. CEMENT LTD
6-June-2024,3943.1,4029.15,3899.05,4012.8,5186,1210,J.K. CEMENT LTD
5-June-2024,3895.0,4036.95,3847.1,3943.1,9514,1337,J.K. CEMENT LTD
4-June-2024,3988.45,4025.0,3639.15,3857.0,13805,2462,J.K. CEMENT LTD
3-June-2024,3940.0,4065.45,3940.0,4028.7,10623,1879,J.K. CEMENT LTD
31-May-2024,3903.1,3932.4,3850.05,3876.15,5982,615,J.K. CEMENT LTD
30-May-2024,3947.85,3947.85,3873.2,3885.5,5034,517,J.K. CEMENT LTD
29-May-2024,3999.9,3999.9,3915.35,3921.7,4186,402,J.K. CEMENT LTD
28-May-2024,3991.45,4049.45,3972.0,3990.25,2778,558,J.K. CEMENT LTD
27-May-2024,4000.0,4026.55,3966.9,3991.4,5444,687,J.K. CEMENT LTD
24-May-2024,3966.9,4061.2,3966.9,3990.75,7190,944,J.K. CEMENT LTD
23-May-2024,3957.65,3995.7,3858.0,3966.9,7303,718,J.K. CEMENT LTD
22-May-2024,3897.2,4002.0,3897.0,3964.95,11041,1631,J.K. CEMENT LTD
21-May-2024,3919.95,3919.95,3858.45,3892.05,2030,430,J.K. CEMENT LTD
18-May-2024,3925.0,3925.0,3819.0,3900.0,529,189,J.K. CEMENT LTD
17-May-2024,3850.3,3928.05,3830.0,3906.1,8163,1136,J.K. CEMENT LTD
16-May-2024,3903.65,3930.1,3806.0,3849.85,7188,1184,J.K. CEMENT LTD
15-May-2024,3888.15,3905.7,3793.0,3890.8,6381,1115,J.K. CEMENT LTD
14-May-2024,3950.25,3963.65,3857.0,3917.05,7806,1292,J.K. CEMENT LTD
13-May-2024,3872.8,4060.2,3856.35,3934.65,11761,2220,J.K. CEMENT LTD
10-May-2024,3911.65,3911.65,3792.7,3835.85,8730,1410,J.K. CEMENT LTD
9-May-2024,3908.3,3929.65,3839.75,3875.6,6278,877,J.K. CEMENT LTD
8-May-2024,3910.0,3956.65,3879.35,3946.55,1079,429,J.K. CEMENT LTD
