Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,7027.75,7683.45,7027.75,7183.8,2898,1023
27-June-2024,7207.0,7290.85,6965.0,6985.7,552,214
26-June-2024,7315.0,7344.05,7150.0,7167.25,542,206
25-June-2024,7449.8,7466.35,7225.0,7259.55,880,371
24-June-2024,6749.7,7800.0,6749.7,7400.7,8724,2933
21-June-2024,6648.15,6980.85,6614.0,6718.7,459,188
20-June-2024,6757.05,6900.9,6756.75,6783.8,340,124
19-June-2024,7028.0,7028.0,6761.65,6865.0,190,78
18-June-2024,6706.0,6980.0,6706.0,6899.65,474,209
14-June-2024,6849.95,6999.0,6740.0,6775.4,860,368
13-June-2024,6757.7,6778.0,6674.25,6744.05,175,55
12-June-2024,6708.6,6779.95,6656.75,6702.05,202,87
11-June-2024,6745.0,6763.4,6633.95,6668.65,315,118
10-June-2024,6695.55,6751.9,6642.4,6711.2,179,105
7-June-2024,6460.4,6740.0,6460.4,6697.7,200,124
6-June-2024,6632.85,6736.55,6549.4,6609.75,488,178
5-June-2024,6590.0,6590.0,6281.0,6539.05,98,44
4-June-2024,6529.2,6667.6,6227.5,6322.95,975,340
3-June-2024,6602.45,6727.0,6602.4,6675.7,315,139
31-May-2024,6500.0,6600.0,6474.05,6554.15,193,94
30-May-2024,6606.55,6606.55,6355.55,6481.85,811,171
29-May-2024,6550.05,6611.15,6523.7,6571.0,256,133
28-May-2024,6613.0,6687.0,6559.6,6652.7,452,187
27-May-2024,6746.1,6750.05,6553.0,6593.15,170,81
24-May-2024,6776.0,6852.75,6700.5,6720.6,245,103
23-May-2024,6631.95,6804.0,6631.95,6768.9,325,107
22-May-2024,7249.95,7249.95,6689.45,6767.3,399,183
21-May-2024,6580.0,6814.45,6580.0,6727.75,1096,416
18-May-2024,6599.9,6599.9,6300.0,6510.95,176,81
17-May-2024,6235.05,6439.95,6235.05,6344.6,529,249
16-May-2024,6334.3,6334.3,6203.65,6233.6,270,142
15-May-2024,6188.3,6340.25,6150.0,6250.95,302,141
14-May-2024,6113.0,6237.9,6100.0,6155.55,364,173
13-May-2024,6334.45,6334.45,6072.0,6136.45,838,396
10-May-2024,6370.05,6456.25,6327.55,6355.95,102,53
9-May-2024,6551.95,6587.2,6276.95,6331.7,550,214
8-May-2024,6410.1,6615.05,6410.1,6551.95,230,121
7-May-2024,6602.85,6602.85,6399.95,6408.1,134,73
6-May-2024,6610.05,6655.65,6423.15,6473.4,258,109
3-May-2024,6697.65,6706.5,6569.3,6606.4,277,147
2-May-2024,6835.1,6837.05,6646.8,6674.7,221,98
30-April-2024,6763.8,6799.9,6724.2,6762.0,206,74
29-April-2024,7017.95,7017.95,6712.0,6727.3,359,175
26-April-2024,7030.0,7030.0,6820.0,6869.0,239,100
25-April-2024,6851.5,6999.0,6826.45,6951.8,572,246
24-April-2024,6910.85,6935.0,6775.95,6852.45,756,273
23-April-2024,6889.0,7099.95,6870.45,6900.35,321,195
22-April-2024,6870.0,7097.6,6840.85,6968.5,733,330
19-April-2024,6789.8,6816.7,6653.2,6689.7,423,188
18-April-2024,6890.0,6921.45,6750.0,6762.05,662,293
16-April-2024,6943.2,6943.2,6659.0,6887.75,858,216
15-April-2024,6968.0,6970.55,6733.8,6809.15,663,373
12-April-2024,7112.95,7113.0,6912.0,6967.45,299,143
10-April-2024,7137.35,7145.05,6977.2,7095.2,330,215
9-April-2024,6980.7,7166.25,6980.65,7021.5,281,169
8-April-2024,7266.0,7271.95,7100.0,7110.95,719,350
5-April-2024,7210.05,7292.9,7137.1,7172.6,831,407
4-April-2024,7399.95,7402.15,7200.0,7236.45,1503,650
3-April-2024,7300.15,7382.8,7202.75,7334.8,1068,469
2-April-2024,7282.1,7487.0,7247.85,7298.7,3123,1181
1-April-2024,7174.05,7379.05,7131.0,7267.75,1072,692
28-March-2024,7281.95,7450.0,7075.05,7199.6,1197,582
27-March-2024,7088.95,7275.1,6873.0,7229.25,1323,569
26-March-2024,6605.35,7234.45,6605.35,6987.0,2306,998
22-March-2024,6341.9,7299.75,6237.0,7215.05,6711,2643
21-March-2024,6141.15,6368.0,6111.15,6217.55,15763,389
20-March-2024,6900.95,6900.95,5947.3,6020.45,31282,619
19-March-2024,6542.5,6547.0,6300.0,6355.95,1360,358
