Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,2929.0,3040.0,2900.15,2947.5,31495,1903
27-June-2024,2978.95,2979.9,2830.1,2865.25,6829,697
26-June-2024,2967.0,2980.0,2831.35,2943.65,9522,1191
25-June-2024,2990.0,3098.0,2925.0,2967.65,30387,2087
24-June-2024,2759.8,2988.95,2726.15,2956.6,72670,4407
21-June-2024,2710.4,2849.9,2685.0,2701.75,16394,1233
20-June-2024,2577.0,2770.25,2570.05,2705.4,19596,1456
19-June-2024,2480.0,2576.0,2462.0,2566.55,8512,707
18-June-2024,2491.0,2528.0,2450.0,2478.65,7080,662
14-June-2024,2500.0,2539.85,2475.0,2490.5,4758,570
13-June-2024,2535.95,2535.95,2471.05,2500.2,3443,297
12-June-2024,2468.0,2530.0,2468.0,2500.8,3808,418
11-June-2024,2463.0,2485.0,2455.45,2467.95,2229,315
10-June-2024,2440.0,2490.0,2440.0,2453.6,4861,1183
7-June-2024,2461.9,2493.8,2421.05,2439.5,10967,1768
6-June-2024,2499.9,2500.0,2419.75,2461.9,2765,397
5-June-2024,2448.0,2480.0,2397.05,2433.7,3387,541
4-June-2024,2479.9,2479.9,2349.0,2384.05,5769,899
3-June-2024,2480.0,2535.0,2465.05,2472.6,4436,523
31-May-2024,2461.1,2482.0,2450.0,2456.65,2534,316
30-May-2024,2480.0,2480.0,2455.0,2456.3,4817,1160
29-May-2024,2466.35,2494.95,2465.0,2465.9,4677,557
28-May-2024,2510.0,2530.0,2465.0,2471.3,2058,452
27-May-2024,2500.0,2520.0,2480.0,2493.25,3756,401
24-May-2024,2478.0,2605.0,2465.0,2471.6,9546,1041
23-May-2024,2489.0,2507.95,2463.0,2470.9,3159,578
22-May-2024,2531.95,2531.95,2451.15,2464.3,7165,1227
21-May-2024,2540.0,2555.0,2475.0,2490.7,4055,703
18-May-2024,2500.0,2555.5,2492.2,2531.85,350,74
17-May-2024,2479.0,2515.0,2475.0,2508.75,2718,451
16-May-2024,2568.0,2568.0,2460.0,2473.05,11242,1272
15-May-2024,2526.3,2544.0,2515.0,2525.75,2203,282
14-May-2024,2524.9,2550.0,2490.05,2526.25,3411,489
13-May-2024,2525.05,2547.0,2490.05,2499.45,2219,313
10-May-2024,2568.0,2570.0,2481.3,2521.35,5929,502
9-May-2024,2549.95,2574.95,2510.0,2545.85,3207,407
8-May-2024,2583.95,2623.45,2500.0,2535.5,4029,507
7-May-2024,2660.05,2690.0,2545.0,2566.75,5701,687
6-May-2024,2729.0,2735.0,2650.0,2656.7,2909,349
3-May-2024,2769.95,2778.55,2680.0,2703.85,3994,402
2-May-2024,2765.0,2789.95,2732.2,2739.35,1870,286
30-April-2024,2760.0,2789.8,2732.05,2744.2,4237,241
29-April-2024,2756.0,2792.9,2748.0,2770.65,3045,244
26-April-2024,2770.0,2789.95,2750.0,2750.65,1636,231
25-April-2024,2797.0,2799.9,2760.0,2767.75,3074,368
24-April-2024,2813.95,2813.95,2760.05,2792.45,4087,328
23-April-2024,2844.0,2844.0,2760.0,2770.8,4684,468
22-April-2024,2702.0,2849.0,2702.0,2812.6,18051,1311
19-April-2024,2700.0,2739.0,2651.25,2700.25,2995,548
18-April-2024,2699.0,2760.0,2626.0,2721.95,3977,472
16-April-2024,2734.9,2734.9,2600.0,2680.2,5206,547
15-April-2024,2750.0,2750.0,2702.0,2743.2,3503,428
12-April-2024,2760.0,2788.9,2760.0,2775.95,3407,847
10-April-2024,2700.0,2777.0,2689.3,2757.45,4115,484
9-April-2024,2760.05,2778.8,2670.0,2689.25,5436,776
