Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,144.0,150.0,141.1,149.0,25947,218
27-June-2024,141.45,150.0,141.45,143.5,32225,213
26-June-2024,146.0,150.0,145.0,146.8,22175,155
25-June-2024,149.7,149.7,145.0,146.3,12229,126
24-June-2024,143.2,149.0,143.2,147.7,23225,197
21-June-2024,142.0,152.0,139.0,148.95,45977,384
20-June-2024,142.95,148.3,139.0,146.05,18294,157
19-June-2024,140.75,142.95,137.0,139.95,10872,108
18-June-2024,134.1,141.0,131.5,140.25,17825,150
14-June-2024,133.3,136.8,133.3,134.1,6930,70
13-June-2024,138.0,139.8,132.0,133.45,9957,137
12-June-2024,136.0,141.8,131.1,138.0,53057,455
11-June-2024,125.6,133.0,124.5,130.2,82410,250
10-June-2024,128.2,128.95,125.0,125.75,112645,295
7-June-2024,126.0,133.95,124.0,125.65,19227,199
6-June-2024,125.85,129.95,124.9,125.35,19498,193
5-June-2024,122.3,134.0,122.3,128.4,11600,136
4-June-2024,131.0,132.9,117.05,122.3,16262,215
3-June-2024,137.0,137.0,128.45,130.75,11178,171
31-May-2024,137.0,137.0,119.95,128.4,19479,306
30-May-2024,132.0,132.0,129.6,130.15,11017,148
29-May-2024,131.25,137.5,130.5,134.25,8021,94
28-May-2024,130.8,134.85,130.8,133.25,8871,115
27-May-2024,129.15,135.0,129.1,132.5,9858,85
24-May-2024,130.45,132.0,127.75,130.0,6375,133
23-May-2024,133.3,134.95,130.05,130.45,11469,157
22-May-2024,133.2,134.75,130.0,133.2,11805,131
21-May-2024,134.9,134.9,132.25,133.2,1772,43
18-May-2024,139.85,139.85,134.0,134.35,808,14
17-May-2024,133.8,135.8,133.05,135.35,2445,52
16-May-2024,135.0,137.35,133.0,133.8,2799,62
15-May-2024,131.5,137.5,131.5,134.0,4250,86
14-May-2024,137.9,137.9,132.4,135.6,1842,64
13-May-2024,138.95,138.95,131.0,135.2,4903,72
10-May-2024,133.0,143.75,130.0,131.95,11720,135
9-May-2024,135.0,138.2,133.0,135.05,3873,65
8-May-2024,136.0,138.7,133.0,134.8,4012,69
7-May-2024,138.9,140.55,133.25,135.8,5577,117
6-May-2024,142.0,143.85,137.1,138.0,7393,140
3-May-2024,142.85,145.05,141.0,141.75,3746,79
2-May-2024,142.0,146.0,142.0,142.85,7305,122
30-April-2024,143.8,147.8,142.4,143.4,7051,111
29-April-2024,145.0,147.65,142.2,144.0,12038,141
26-April-2024,146.85,149.2,144.7,145.45,5636,117
25-April-2024,149.1,151.0,146.0,146.85,7275,135
24-April-2024,153.05,154.95,147.05,148.15,14644,175
23-April-2024,153.0,158.0,152.05,152.95,14503,160
22-April-2024,149.0,156.9,147.05,152.95,12191,178
19-April-2024,146.0,147.95,144.0,146.1,8898,134
18-April-2024,149.0,152.9,146.3,146.6,9761,141
16-April-2024,145.85,151.7,145.85,148.45,4318,79
15-April-2024,156.0,156.0,146.6,148.8,24081,240
12-April-2024,159.25,160.5,156.0,156.55,19993,196
10-April-2024,160.8,161.0,155.6,159.25,20844,243
9-April-2024,158.9,163.65,145.0,161.0,108655,811
8-April-2024,167.0,167.0,156.0,157.15,67069,565
5-April-2024,140.7,166.0,139.05,164.35,271296,1945
4-April-2024,138.05,141.35,138.0,138.95,28915,185
3-April-2024,138.6,139.9,135.1,138.45,19335,156
2-April-2024,141.5,141.5,136.6,138.9,23591,200
1-April-2024,127.0,140.2,127.0,137.55,64220,517
28-March-2024,128.8,129.0,122.5,124.05,27047,156
27-March-2024,128.0,129.9,124.6,125.5,49699,177
26-March-2024,124.2,130.0,124.2,128.25,20656,141
22-March-2024,127.0,128.8,123.6,127.15,56155,168
21-March-2024,127.2,129.75,125.5,125.85,15065,161
20-March-2024,127.7,127.7,125.05,126.85,8490,100
19-March-2024,134.6,134.6,125.35,127.7,16252,155
18-March-2024,128.5,129.8,127.5,128.15,48178,277
15-March-2024,132.7,132.7,122.35,126.8,12033,148
14-March-2024,127.75,127.75,123.1,124.65,5233,109
13-March-2024,132.7,132.7,122.25,125.05,46397,354
12-March-2024,131.2,133.35,126.05,127.05,22558,203
11-March-2024,135.0,135.8,130.1,130.35,23618,192
7-March-2024,132.0,137.9,125.1,134.5,57937,235
6-March-2024,134.9,134.9,128.85,129.4,16543,155
5-March-2024,132.6,136.15,130.05,131.35,21552,204
4-March-2024,129.75,135.9,129.75,132.6,5928,129
2-March-2024,131.15,138.8,131.15,132.9,1926,38
1-March-2024,131.15,135.0,131.0,134.0,4335,64
29-February-2024,131.35,134.9,130.3,132.05,7387,110
28-February-2024,138.65,138.65,130.1,134.2,10367,185
27-February-2024,137.9,137.9,135.0,136.6,13074,115
26-February-2024,139.0,141.85,132.0,134.35,14174,258
23-February-2024,138.2,143.4,136.4,138.9,22090,160
22-February-2024,140.0,145.0,138.7,139.9,17233,148
21-February-2024,140.4,140.4,135.05,139.25,34891,232
20-February-2024,141.0,142.7,138.1,139.6,40220,304
19-February-2024,138.0,140.0,135.05,137.9,116442,672
16-February-2024,127.3,133.9,127.3,131.9,6301,107
15-February-2024,130.5,130.5,128.3,129.95,24782,156
14-February-2024,130.95,134.95,128.05,129.95,28006,166
13-February-2024,133.45,136.5,128.0,132.5,4626,83
12-February-2024,139.65,139.65,130.3,133.3,9487,89
9-February-2024,133.5,138.0,123.65,134.9,21946,236
8-February-2024,135.9,135.9,125.0,132.95,49723,390
7-February-2024,137.0,137.0,133.7,134.2,18199,197
6-February-2024,137.75,142.0,136.2,137.2,15039,116
5-February-2024,139.0,141.5,135.3,137.75,24533,215
2-February-2024,140.9,140.9,135.1,136.5,15870,196
1-February-2024,137.4,139.8,136.0,137.15,20326,196
31-January-2024,141.0,142.0,135.7,137.35,28271,226
30-January-2024,142.6,142.6,138.0,138.45,17167,132
29-January-2024,138.0,141.5,138.0,139.0,22291,165
25-January-2024,139.0,140.0,136.0,137.6,53290,287
24-January-2024,143.9,143.9,137.0,139.0,15956,189
23-January-2024,150.85,153.5,135.0,138.45,48029,421
20-January-2024,151.45,152.4,145.05,147.0,16315,161
19-January-2024,152.5,155.0,149.45,151.05,60586,403
18-January-2024,144.55,151.0,142.25,148.9,82134,430
17-January-2024,138.5,148.0,135.1,144.55,27685,225
16-January-2024,142.15,142.6,136.6,138.5,14706,162
15-January-2024,148.8,148.8,142.0,142.5,6795,108
12-January-2024,145.05,148.9,143.0,143.45,11445,123
11-January-2024,149.0,154.7,144.55,145.05,30093,298
10-January-2024,150.5,151.5,145.0,145.4,19540,242
9-January-2024,153.9,155.0,148.0,150.5,27970,262
8-January-2024,137.6,149.0,135.0,148.2,71562,425
5-January-2024,139.3,139.3,135.05,137.6,11912,164
4-January-2024,137.0,139.8,133.6,136.3,14816,229
3-January-2024,138.9,140.85,133.35,137.05,7646,115
2-January-2024,142.0,142.0,135.4,137.9,5667,120
1-January-2024,138.05,141.9,137.5,138.5,7448,120
29-December-2023,135.15,142.0,135.15,140.25,5601,81
28-December-2023,140.1,145.5,132.5,137.95,20039,222
