Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,417.0,429.6,416.0,424.75,4219,103
27-June-2024,422.6,429.0,416.5,416.85,7251,245
26-June-2024,438.45,450.0,420.35,423.45,6394,157
25-June-2024,452.0,452.0,436.7,438.45,7895,213
24-June-2024,446.45,452.95,426.45,445.6,6580,216
21-June-2024,459.95,459.95,441.05,448.85,8255,151
20-June-2024,451.95,457.8,440.15,453.2,9240,210
19-June-2024,465.95,465.95,446.0,450.65,15259,264
18-June-2024,432.0,453.45,432.0,447.4,18839,410
14-June-2024,415.0,432.0,410.65,431.9,9938,200
13-June-2024,409.1,414.3,409.1,411.45,1090,22
12-June-2024,404.4,419.7,400.0,406.15,6383,120
11-June-2024,409.8,409.8,397.0,402.55,15273,256
10-June-2024,398.9,414.9,398.9,409.8,2566,74
7-June-2024,403.95,403.95,390.0,398.7,3489,114
6-June-2024,399.95,408.0,390.0,398.65,4046,112
5-June-2024,386.0,409.95,382.2,391.75,9100,317
4-June-2024,425.0,425.0,402.3,402.3,6071,239
3-June-2024,428.7,428.7,400.0,423.45,5501,132
31-May-2024,414.9,417.0,405.0,408.3,1061,37
30-May-2024,395.95,415.0,385.0,414.2,10034,203
29-May-2024,413.5,413.5,395.9,397.95,5340,254
28-May-2024,392.55,417.05,382.75,416.4,5356,121
27-May-2024,411.0,419.7,395.0,397.2,9232,320
24-May-2024,415.95,425.0,408.7,410.4,4626,155
23-May-2024,430.0,430.0,413.15,416.05,3740,136
22-May-2024,430.0,441.95,430.0,433.25,3083,67
21-May-2024,426.55,437.8,426.55,428.0,2457,56
18-May-2024,444.7,451.8,426.1,429.95,3661,58
17-May-2024,431.3,442.9,425.75,430.95,3784,119
16-May-2024,432.05,449.55,429.5,437.9,2175,34
15-May-2024,442.85,446.0,425.0,432.05,2727,114
14-May-2024,455.0,455.0,430.0,439.8,4473,135
13-May-2024,439.0,454.25,413.2,444.8,5211,454
10-May-2024,413.0,432.65,408.05,432.65,3379,59
