Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,50.4,50.62,49.55,49.74,15813,288,MAGNUM VENTURES LIMITED
27-June-2024,52.0,52.24,49.4,49.58,36433,604,MAGNUM VENTURES LIMITED
26-June-2024,51.95,52.31,50.6,51.99,11193,185,MAGNUM VENTURES LIMITED
25-June-2024,53.59,53.59,51.87,51.87,10866,191,MAGNUM VENTURES LIMITED
24-June-2024,55.85,55.85,52.15,52.54,13127,226,MAGNUM VENTURES LIMITED
21-June-2024,54.97,54.97,53.1,53.54,16729,184,MAGNUM VENTURES LIMITED
20-June-2024,55.55,55.55,53.45,53.89,17048,315,MAGNUM VENTURES LIMITED
19-June-2024,55.7,55.7,52.55,54.51,48552,441,MAGNUM VENTURES LIMITED
18-June-2024,51.9,53.19,50.41,53.19,33481,203,MAGNUM VENTURES LIMITED
14-June-2024,54.27,54.27,49.85,50.66,8784,244,MAGNUM VENTURES LIMITED
13-June-2024,52.16,52.7,51.0,51.92,6353,137,MAGNUM VENTURES LIMITED
12-June-2024,54.39,55.0,51.76,52.07,26549,298,MAGNUM VENTURES LIMITED
11-June-2024,52.92,52.92,52.92,52.92,10359,32,MAGNUM VENTURES LIMITED
10-June-2024,49.1,50.4,48.55,50.4,10214,72,MAGNUM VENTURES LIMITED
7-June-2024,48.53,49.1,47.71,48.0,10163,201,MAGNUM VENTURES LIMITED
6-June-2024,49.24,49.56,48.46,48.53,2201,63,MAGNUM VENTURES LIMITED
5-June-2024,47.99,48.68,45.05,48.27,21030,278,MAGNUM VENTURES LIMITED
4-June-2024,48.46,51.7,46.93,47.05,13058,186,MAGNUM VENTURES LIMITED
3-June-2024,50.38,50.87,48.62,49.39,5749,197,MAGNUM VENTURES LIMITED
31-May-2024,50.93,50.93,49.08,49.2,17199,385,MAGNUM VENTURES LIMITED
30-May-2024,51.0,51.9,49.31,50.69,18924,368,MAGNUM VENTURES LIMITED
29-May-2024,50.94,52.21,50.5,50.84,6582,191,MAGNUM VENTURES LIMITED
28-May-2024,55.0,55.0,51.34,51.34,24930,311,MAGNUM VENTURES LIMITED
27-May-2024,56.76,56.76,52.5,54.04,21544,335,MAGNUM VENTURES LIMITED
24-May-2024,57.44,58.01,54.31,54.31,89374,392,MAGNUM VENTURES LIMITED
23-May-2024,60.0,60.0,57.0,57.16,27614,447,MAGNUM VENTURES LIMITED
22-May-2024,59.47,60.34,59.05,59.33,11324,146,MAGNUM VENTURES LIMITED
21-May-2024,62.99,62.99,59.39,59.47,12015,251,MAGNUM VENTURES LIMITED
18-May-2024,61.54,62.0,59.96,60.88,832,21,MAGNUM VENTURES LIMITED
17-May-2024,58.7,61.72,58.7,60.78,7089,144,MAGNUM VENTURES LIMITED
16-May-2024,60.15,62.75,60.15,61.3,25565,629,MAGNUM VENTURES LIMITED
15-May-2024,62.49,62.49,60.83,61.48,10030,175,MAGNUM VENTURES LIMITED
14-May-2024,63.95,63.95,61.0,61.24,15710,341,MAGNUM VENTURES LIMITED
13-May-2024,60.21,61.9,59.09,60.94,12929,375,MAGNUM VENTURES LIMITED
10-May-2024,57.01,60.54,57.01,59.56,21998,302,MAGNUM VENTURES LIMITED
9-May-2024,61.5,62.95,58.34,58.34,29148,843,MAGNUM VENTURES LIMITED
8-May-2024,62.52,63.82,61.14,61.41,28628,473,MAGNUM VENTURES LIMITED
7-May-2024,58.27,63.45,58.27,62.52,89101,1248,MAGNUM VENTURES LIMITED
6-May-2024,61.0,61.83,58.99,60.79,29084,531,MAGNUM VENTURES LIMITED
3-May-2024,61.96,62.0,58.78,61.0,26929,695,MAGNUM VENTURES LIMITED
2-May-2024,60.0,61.97,59.4,61.37,40436,813,MAGNUM VENTURES LIMITED
30-April-2024,59.56,60.0,55.8,59.07,12444,251,MAGNUM VENTURES LIMITED
29-April-2024,57.01,60.05,57.01,58.68,30050,586,MAGNUM VENTURES LIMITED
26-April-2024,61.39,61.39,58.22,59.02,27972,404,MAGNUM VENTURES LIMITED
25-April-2024,57.5,59.85,56.84,59.18,37516,601,MAGNUM VENTURES LIMITED
24-April-2024,60.0,60.0,56.72,57.0,12945,299,MAGNUM VENTURES LIMITED
23-April-2024,56.05,58.13,56.0,58.13,36295,597,MAGNUM VENTURES LIMITED
22-April-2024,51.2,55.81,51.2,55.37,12781,535,MAGNUM VENTURES LIMITED
19-April-2024,52.21,53.95,51.82,53.16,23451,321,MAGNUM VENTURES LIMITED
18-April-2024,54.73,54.73,53.8,54.54,3630,121,MAGNUM VENTURES LIMITED
16-April-2024,52.62,53.8,52.0,53.66,5969,223,MAGNUM VENTURES LIMITED
15-April-2024,52.99,53.1,50.6,52.42,13227,178,MAGNUM VENTURES LIMITED
