Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,97.05,98.35,96.45,97.2,10446,314
27-June-2024,97.1,98.4,96.25,96.6,15199,402
26-June-2024,97.0,98.05,96.3,96.75,7601,188
25-June-2024,97.0,99.4,96.9,97.65,15102,358
24-June-2024,98.15,99.1,97.45,98.0,9124,167
21-June-2024,99.95,100.85,98.5,98.8,5755,131
20-June-2024,102.1,102.1,99.35,99.5,37424,448
19-June-2024,99.6,101.9,98.6,100.0,79498,870
18-June-2024,99.65,100.5,98.5,99.5,6009,146
14-June-2024,99.5,100.55,99.5,99.7,12747,455
13-June-2024,100.5,101.5,99.7,99.9,16113,400
12-June-2024,102.0,102.0,99.9,100.25,24605,958
11-June-2024,102.0,102.0,99.6,99.8,25403,602
10-June-2024,100.55,101.8,99.45,100.05,27073,746
7-June-2024,102.0,102.0,99.5,100.15,4488,234
6-June-2024,99.0,103.1,99.0,101.9,11727,485
5-June-2024,92.2,101.0,92.2,99.95,18376,538
4-June-2024,103.1,103.1,91.8,93.85,15873,498
3-June-2024,109.5,109.5,100.4,100.85,26705,719
31-May-2024,102.45,103.0,100.15,100.75,14296,481
30-May-2024,105.0,105.0,101.95,102.4,13265,353
29-May-2024,106.25,106.25,101.5,103.85,10231,429
28-May-2024,108.0,109.7,106.7,107.4,1074,94
27-May-2024,106.45,108.55,106.45,107.4,9145,286
24-May-2024,108.0,109.8,107.1,108.05,15891,427
23-May-2024,111.0,111.0,108.5,108.65,3003,158
22-May-2024,111.3,111.55,108.9,109.7,13795,296
21-May-2024,112.0,112.25,108.95,110.85,28815,749
18-May-2024,112.5,113.0,108.05,112.5,5734,347
17-May-2024,106.7,111.85,106.7,111.05,10987,430
16-May-2024,109.5,112.05,107.25,108.8,6608,216
15-May-2024,108.9,111.85,108.7,110.55,9460,286
14-May-2024,104.7,108.8,102.9,106.35,34599,536
13-May-2024,107.05,107.65,103.85,106.2,13632,231
10-May-2024,107.4,108.8,105.9,107.9,11089,233
9-May-2024,109.3,110.3,107.1,107.35,5554,278
8-May-2024,110.25,112.7,108.0,108.8,11910,387
7-May-2024,112.15,112.3,108.6,111.55,5798,172
6-May-2024,113.45,114.0,110.7,111.05,6226,122
3-May-2024,118.25,118.25,112.5,113.1,7268,246
2-May-2024,117.4,118.35,115.0,115.9,19336,468
30-April-2024,119.79,119.79,115.76,117.24,18544,425
29-April-2024,116.05,118.6,115.26,115.51,5027,94
26-April-2024,119.0,119.6,116.62,116.72,5504,160
25-April-2024,119.56,122.2,115.75,118.83,20809,288
24-April-2024,117.18,122.6,115.99,119.18,21438,517
23-April-2024,111.6,117.75,111.25,115.99,12941,337
22-April-2024,106.27,112.59,106.27,110.25,10001,268
19-April-2024,109.0,109.0,104.45,106.4,13328,470
18-April-2024,108.85,111.37,108.5,109.3,6352,178
16-April-2024,105.0,110.85,104.95,107.97,10219,285
15-April-2024,107.0,108.45,104.5,105.59,15309,295
12-April-2024,113.81,113.81,108.2,109.21,29505,543
10-April-2024,110.0,116.63,110.0,114.0,26033,680
9-April-2024,112.78,113.5,109.49,111.75,10402,385
8-April-2024,114.89,115.0,111.55,113.64,9916,238
5-April-2024,113.48,113.48,111.0,112.42,16078,283
4-April-2024,110.76,113.95,110.45,111.8,7777,154
3-April-2024,107.39,113.75,107.39,111.68,31762,671
2-April-2024,106.2,109.35,105.2,108.07,8769,180
1-April-2024,99.31,105.5,98.45,104.23,37138,625
28-March-2024,99.6,101.1,97.95,98.15,91450,196
27-March-2024,100.95,100.95,96.65,97.6,55873,637
26-March-2024,102.1,102.35,98.0,98.6,53230,889
22-March-2024,103.15,105.4,102.0,102.8,22638,479
21-March-2024,102.55,104.5,100.6,102.8,21842,351
20-March-2024,104.85,104.85,100.7,102.55,14625,185
19-March-2024,100.0,103.8,100.0,102.75,18925,504
18-March-2024,102.0,104.0,100.0,100.85,17716,320
15-March-2024,102.9,106.6,101.4,102.7,57914,592
14-March-2024,97.05,107.1,97.05,104.65,20569,477
13-March-2024,107.15,108.95,97.0,99.2,48866,1066
12-March-2024,114.0,114.0,106.3,107.05,40593,836
11-March-2024,117.95,118.85,112.0,112.95,22152,506
7-March-2024,118.3,120.75,116.85,118.2,4566,118
6-March-2024,119.55,119.95,115.8,117.35,14869,94
5-March-2024,122.65,122.65,117.7,118.1,29916,401
4-March-2024,125.65,125.65,119.15,120.95,22547,239
2-March-2024,120.0,123.8,120.0,122.65,4841,146
1-March-2024,121.7,125.05,119.55,120.5,21255,361
29-February-2024,124.4,124.4,121.0,121.7,18298,379
28-February-2024,120.95,128.6,118.9,125.95,51130,653
27-February-2024,114.5,123.8,112.85,119.7,49719,859
26-February-2024,115.2,116.1,112.5,114.05,23996,424
23-February-2024,114.8,116.1,113.55,114.65,24300,436
22-February-2024,116.65,116.65,113.2,114.7,13146,140
21-February-2024,117.9,118.95,115.1,115.3,23580,470
20-February-2024,123.95,123.95,116.9,117.8,28334,622
19-February-2024,118.05,124.0,117.9,122.95,33300,528
16-February-2024,120.55,120.6,116.85,118.0,18720,402
15-February-2024,114.6,120.75,114.6,118.45,13088,400
14-February-2024,113.0,117.65,111.55,116.15,10799,179
13-February-2024,118.8,118.8,111.85,112.65,13444,265
12-February-2024,131.3,131.3,119.0,121.1,19068,426
9-February-2024,132.85,133.0,128.1,130.1,14539,262
8-February-2024,135.0,135.4,131.95,132.15,32475,517
7-February-2024,135.2,135.2,131.0,133.6,39037,504
6-February-2024,131.05,135.0,128.75,133.8,13012,389
5-February-2024,132.05,134.2,130.0,130.45,32391,541
2-February-2024,133.6,134.4,131.4,132.05,15883,323
1-February-2024,133.8,134.7,131.65,132.4,9027,120
31-January-2024,135.45,135.45,132.0,133.0,36789,525
30-January-2024,133.4,135.0,132.1,132.5,31228,546
29-January-2024,134.65,136.4,131.7,133.05,68480,1051
25-January-2024,134.05,136.3,131.6,132.65,36123,687
24-January-2024,131.7,134.45,131.5,133.75,20291,410
23-January-2024,137.2,138.75,130.4,131.45,43555,993
20-January-2024,136.9,141.15,136.0,136.9,79184,1264
19-January-2024,133.05,138.0,132.7,135.45,19988,382
18-January-2024,132.9,133.65,129.15,132.3,18580,464
17-January-2024,134.0,134.4,132.1,132.65,25005,599
16-January-2024,137.0,137.0,132.1,134.0,25986,491
15-January-2024,137.0,137.95,135.1,136.0,39869,842
12-January-2024,137.0,138.0,135.45,135.7,35792,795
11-January-2024,132.95,147.9,132.1,137.1,143370,2666
10-January-2024,132.55,133.2,131.1,131.4,19744,695
9-January-2024,131.75,133.9,131.75,132.75,4315,87
8-January-2024,133.15,133.95,131.0,131.85,4761,174
5-January-2024,136.6,136.8,132.5,133.15,23436,502
4-January-2024,131.7,135.5,131.7,134.4,22995,594
3-January-2024,134.65,134.65,131.75,132.7,11521,198
2-January-2024,131.75,134.2,131.7,133.05,14160,252
1-January-2024,133.9,133.9,130.4,131.15,12586,163
29-December-2023,132.55,133.3,131.0,131.25,5013,98
28-December-2023,135.95,135.95,132.0,132.4,13231,331
27-December-2023,130.95,137.25,130.95,134.15,21050,471
26-December-2023,131.0,134.3,131.0,132.55,4650,128
22-December-2023,130.15,133.2,130.05,130.75,9895,257
21-December-2023,130.0,132.2,127.5,131.75,5020,138
20-December-2023,132.65,134.15,128.8,129.4,28969,628
19-December-2023,132.6,133.95,132.3,133.4,1833,94
18-December-2023,134.95,135.5,132.15,132.45,16386,496
15-December-2023,133.55,135.8,133.1,133.75,19840,466
14-December-2023,136.95,137.25,132.1,133.0,21933,576
13-December-2023,135.0,136.6,134.0,135.75,13073,533
12-December-2023,139.6,139.6,133.45,134.8,5067,179
11-December-2023,132.95,137.5,132.95,137.0,26619,835
8-December-2023,132.5,138.0,132.1,134.35,15139,484
7-December-2023,131.45,133.95,130.4,131.85,21954,552
6-December-2023,131.15,133.1,130.05,132.1,10576,377
5-December-2023,135.9,135.9,130.05,130.8,8376,235
4-December-2023,134.45,134.65,132.35,133.25,22300,541
1-December-2023,132.4,135.05,132.4,133.25,23970,334
30-November-2023,133.0,133.15,131.2,132.2,8478,330
29-November-2023,132.5,134.15,132.5,133.2,7284,261
28-November-2023,133.25,134.4,131.0,132.95,6125,274
24-November-2023,134.7,134.7,131.0,131.35,7314,142
23-November-2023,132.0,134.45,131.1,132.1,16420,299
22-November-2023,133.5,134.75,131.85,133.1,10922,361
21-November-2023,133.0,135.9,132.0,132.85,15751,475
20-November-2023,134.8,136.05,131.0,131.3,20455,802
17-November-2023,136.0,136.0,133.05,134.0,8762,342
16-November-2023,136.0,136.4,133.5,133.6,5706,192
15-November-2023,137.5,139.8,133.0,133.7,13697,503
13-November-2023,137.5,137.5,134.3,137.1,4636,177
12-November-2023,135.1,135.95,134.25,135.05,4308,158
10-November-2023,139.8,139.8,134.1,135.25,10068,387
9-November-2023,142.0,142.0,136.4,136.85,11025,418
8-November-2023,137.5,140.45,137.5,140.2,2158,129
7-November-2023,137.45,139.5,137.0,138.75,8691,280
6-November-2023,139.0,139.0,133.55,137.9,13431,330
3-November-2023,137.0,137.5,136.3,137.2,6215,172
2-November-2023,136.45,136.55,135.5,136.0,1672,54
1-November-2023,136.4,137.5,134.1,134.8,1613,53
31-October-2023,139.0,139.0,134.2,135.75,3693,82
30-October-2023,138.65,138.65,135.2,137.1,8094,220
27-October-2023,132.4,136.9,131.65,135.9,9710,367
26-October-2023,135.0,135.0,128.3,131.05,4800,178
25-October-2023,136.0,138.8,133.45,135.3,3961,158
23-October-2023,145.9,146.0,136.1,137.4,45268,887
20-October-2023,152.2,152.2,145.2,145.8,22644,872
19-October-2023,150.95,155.0,147.8,152.7,68498,1463
18-October-2023,148.0,155.75,148.0,149.75,47395,1253
17-October-2023,139.85,147.0,139.35,145.7,73122,1632
16-October-2023,133.35,139.3,133.35,138.8,3716,113
13-October-2023,133.95,137.0,133.95,136.05,11731,292
12-October-2023,135.55,136.35,134.4,135.5,3927,96
11-October-2023,137.2,137.2,133.95,134.35,3488,122
10-October-2023,132.3,136.2,132.3,134.35,5853,161
9-October-2023,136.75,137.65,132.55,132.85,8945,294
6-October-2023,141.85,141.85,137.55,139.5,9869,269
5-October-2023,140.05,142.95,136.65,139.05,13149,220
4-October-2023,140.7,140.7,138.0,139.3,7926,143
3-October-2023,144.0,144.0,139.65,140.35,21430,581
29-September-2023,135.05,144.65,135.05,142.0,43392,813
28-September-2023,138.4,139.25,135.75,135.9,6453,123
27-September-2023,137.55,139.05,137.4,138.35,3767,109
26-September-2023,139.5,139.9,136.75,137.55,9844,374
25-September-2023,136.0,140.35,136.0,139.45,19861,709
22-September-2023,137.55,138.8,135.25,136.3,7762,226
21-September-2023,142.65,142.65,136.6,137.5,32437,745
20-September-2023,140.1,143.35,139.0,140.0,28313,845
18-September-2023,141.3,146.8,141.3,142.2,24640,667
15-September-2023,146.7,148.7,141.95,143.55,8717,233
14-September-2023,142.85,147.3,142.85,145.05,12769,487
13-September-2023,143.25,147.15,141.85,144.8,29602,755
12-September-2023,153.45,153.45,140.55,143.95,54710,1445
11-September-2023,151.7,152.0,148.6,151.05,26729,689
8-September-2023,151.8,152.9,149.1,150.0,13692,331
7-September-2023,150.2,152.8,150.2,151.2,30993,910
6-September-2023,150.4,154.2,149.4,149.95,38817,889
5-September-2023,149.55,154.4,149.55,152.8,116062,1095
4-September-2023,143.0,150.0,142.1,147.5,77570,1952
1-September-2023,135.2,145.15,131.7,141.5,45762,1499
31-August-2023,135.75,138.6,133.2,134.05,25228,943
30-August-2023,134.5,136.0,133.3,134.55,16846,483
29-August-2023,137.45,137.45,132.25,132.9,9055,276
28-August-2023,135.5,140.3,134.35,134.65,26593,706
25-August-2023,135.45,136.15,134.5,135.9,3581,200
24-August-2023,140.55,142.5,136.0,136.4,34287,523
23-August-2023,134.4,137.95,134.1,137.2,28611,921
22-August-2023,132.9,133.95,130.85,133.55,6212,240
21-August-2023,132.2,133.15,130.2,131.1,4872,293
18-August-2023,132.0,134.7,130.0,132.2,84617,751
17-August-2023,131.9,134.25,131.0,133.35,20660,585
16-August-2023,125.9,132.0,125.9,131.45,12535,558
14-August-2023,130.9,130.9,125.25,128.35,18876,704
11-August-2023,130.65,132.0,129.3,129.9,8102,336
10-August-2023,133.0,136.0,127.5,128.4,50873,1508
9-August-2023,132.0,139.3,132.0,135.85,29928,761
8-August-2023,136.95,139.95,133.0,136.65,21659,634
7-August-2023,132.9,135.5,132.5,135.1,7682,290
4-August-2023,134.35,140.9,132.5,132.9,20960,785
3-August-2023,154.9,154.9,132.45,133.7,9175,418
2-August-2023,142.0,142.0,135.2,136.1,29065,822
1-August-2023,133.1,142.3,133.1,141.2,30105,862
31-July-2023,139.7,140.75,134.0,135.35,61244,1636
28-July-2023,145.0,149.25,140.0,141.45,17689,549
27-July-2023,149.1,149.1,144.6,146.75,13691,468
26-July-2023,150.9,154.35,144.55,144.9,14451,647
25-July-2023,144.55,150.65,141.95,149.25,7563,410
24-July-2023,145.0,146.95,142.25,142.85,16124,458
21-July-2023,143.85,147.25,143.85,145.1,3278,161
20-July-2023,147.05,150.0,146.3,146.75,15716,366
19-July-2023,147.8,149.7,145.2,146.2,12348,292
18-July-2023,147.3,150.7,145.0,147.3,13538,712
17-July-2023,143.05,155.0,143.05,149.1,40079,1442
14-July-2023,147.0,150.35,144.25,145.7,22472,821
13-July-2023,148.05,154.3,145.55,146.45,9136,318
12-July-2023,149.35,156.0,147.8,149.65,27215,538
11-July-2023,152.35,155.4,151.05,151.7,2616,229
10-July-2023,157.8,159.5,151.9,152.85,10553,457
7-July-2023,161.0,162.0,154.0,156.65,11799,249
6-July-2023,158.35,161.8,158.05,161.45,3886,213
5-July-2023,156.25,161.8,156.25,158.05,14283,509
4-July-2023,159.05,164.8,158.4,159.25,4848,269
3-July-2023,161.55,165.45,160.1,162.25,14344,388
30-June-2023,169.55,169.55,163.5,164.35,14201,702
28-June-2023,163.85,170.15,163.85,169.25,7281,305
27-June-2023,171.7,171.7,166.75,167.15,11520,441
26-June-2023,164.9,169.75,164.9,168.85,14600,450
23-June-2023,165.55,170.35,164.35,165.35,34205,906
22-June-2023,174.8,176.8,167.45,169.25,15870,518
21-June-2023,174.7,181.45,171.5,172.65,39162,978
20-June-2023,178.55,180.55,174.5,179.95,23288,524
19-June-2023,180.0,181.95,176.45,177.3,14405,405
16-June-2023,177.1,184.55,177.05,181.3,43099,837
15-June-2023,180.75,180.75,175.2,176.2,17057,472
14-June-2023,177.55,183.55,176.6,179.35,27945,726
13-June-2023,177.5,184.45,177.5,179.45,24316,531
12-June-2023,189.65,189.8,178.6,180.6,67767,1803
9-June-2023,179.05,194.05,179.05,186.85,90235,2503
8-June-2023,188.0,188.0,175.7,177.2,28145,836
7-June-2023,176.7,188.95,176.6,183.1,91792,2372
6-June-2023,186.0,187.8,175.75,176.7,39959,1098
5-June-2023,179.95,187.5,176.35,184.3,90459,2602
2-June-2023,169.05,177.95,169.05,175.3,85256,2382
