Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,25.7,26.34,25.69,26.0,51641,385,MSP STEEL & POWER LTD.
27-June-2024,26.88,27.44,25.39,25.59,159432,795,MSP STEEL & POWER LTD.
26-June-2024,26.12,26.95,26.12,26.72,44473,423,MSP STEEL & POWER LTD.
25-June-2024,26.48,26.94,26.27,26.36,66792,509,MSP STEEL & POWER LTD.
24-June-2024,26.0,26.98,25.93,26.1,85281,716,MSP STEEL & POWER LTD.
21-June-2024,27.0,28.0,26.25,26.4,97329,717,MSP STEEL & POWER LTD.
20-June-2024,26.48,27.15,26.38,27.0,115534,597,MSP STEEL & POWER LTD.
19-June-2024,26.68,26.92,25.98,26.14,29682,187,MSP STEEL & POWER LTD.
18-June-2024,27.31,27.48,26.52,26.57,43565,404,MSP STEEL & POWER LTD.
14-June-2024,27.78,28.29,27.2,27.3,144403,752,MSP STEEL & POWER LTD.
13-June-2024,26.87,27.25,25.9,27.06,84607,498,MSP STEEL & POWER LTD.
12-June-2024,25.58,26.49,25.34,26.34,179551,454,MSP STEEL & POWER LTD.
11-June-2024,25.38,25.58,25.0,25.23,7539,136,MSP STEEL & POWER LTD.
10-June-2024,24.52,25.34,24.52,24.89,46953,304,MSP STEEL & POWER LTD.
7-June-2024,24.25,24.84,23.86,24.52,48863,443,MSP STEEL & POWER LTD.
6-June-2024,24.18,25.0,23.22,24.25,44833,415,MSP STEEL & POWER LTD.
5-June-2024,23.98,24.27,22.4,23.95,151747,348,MSP STEEL & POWER LTD.
4-June-2024,25.25,25.25,23.55,23.57,60597,220,MSP STEEL & POWER LTD.
3-June-2024,25.73,25.73,24.55,24.78,71270,417,MSP STEEL & POWER LTD.
31-May-2024,23.15,25.44,23.15,24.51,146169,801,MSP STEEL & POWER LTD.
30-May-2024,25.87,25.87,24.32,24.32,69963,498,MSP STEEL & POWER LTD.
29-May-2024,26.28,26.28,25.25,25.59,61425,390,MSP STEEL & POWER LTD.
28-May-2024,26.88,26.92,26.01,26.16,55159,306,MSP STEEL & POWER LTD.
27-May-2024,27.77,27.77,26.2,26.56,35652,335,MSP STEEL & POWER LTD.
24-May-2024,27.27,27.65,26.94,27.08,21300,252,MSP STEEL & POWER LTD.
23-May-2024,26.31,27.93,26.31,27.26,77650,428,MSP STEEL & POWER LTD.
22-May-2024,27.25,27.49,26.29,26.79,68070,691,MSP STEEL & POWER LTD.
21-May-2024,26.41,27.73,25.62,27.15,594209,545,MSP STEEL & POWER LTD.
18-May-2024,25.67,26.85,25.67,26.41,18665,85,MSP STEEL & POWER LTD.
17-May-2024,25.82,26.38,25.5,25.66,42223,299,MSP STEEL & POWER LTD.
16-May-2024,25.2,25.88,25.02,25.3,29447,407,MSP STEEL & POWER LTD.
15-May-2024,25.37,26.1,24.82,25.19,48662,323,MSP STEEL & POWER LTD.
