Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,299.1,306.2,299.1,300.5,91276,2388,Mahindra & Mahindra Financial Services Limited
27-June-2024,307.95,308.9,299.0,300.65,62829,1727,Mahindra & Mahindra Financial Services Limited
26-June-2024,299.9,310.2,298.15,308.0,141328,2261,Mahindra & Mahindra Financial Services Limited
25-June-2024,306.8,307.95,300.45,306.0,84483,1831,Mahindra & Mahindra Financial Services Limited
24-June-2024,305.15,316.3,302.95,305.0,302496,5191,Mahindra & Mahindra Financial Services Limited
21-June-2024,306.3,308.0,302.25,305.85,87817,2557,Mahindra & Mahindra Financial Services Limited
20-June-2024,305.0,309.5,303.25,307.3,65355,1430,Mahindra & Mahindra Financial Services Limited
19-June-2024,310.55,310.9,305.7,306.35,127973,3708,Mahindra & Mahindra Financial Services Limited
18-June-2024,300.05,313.0,295.1,307.7,644672,11020,Mahindra & Mahindra Financial Services Limited
14-June-2024,293.45,299.95,293.2,298.95,83605,1830,Mahindra & Mahindra Financial Services Limited
13-June-2024,290.2,296.35,288.15,293.2,206805,2485,Mahindra & Mahindra Financial Services Limited
12-June-2024,290.45,293.45,289.25,290.0,143721,2674,Mahindra & Mahindra Financial Services Limited
11-June-2024,284.0,292.0,284.0,291.0,242812,5355,Mahindra & Mahindra Financial Services Limited
10-June-2024,284.35,288.0,283.55,284.25,90422,1684,Mahindra & Mahindra Financial Services Limited
7-June-2024,279.8,282.9,275.55,282.15,91442,1545,Mahindra & Mahindra Financial Services Limited
6-June-2024,276.85,280.0,273.85,278.1,196571,4657,Mahindra & Mahindra Financial Services Limited
5-June-2024,260.85,278.05,259.0,274.75,140436,5169,Mahindra & Mahindra Financial Services Limited
4-June-2024,275.95,275.95,256.9,259.0,178671,3541,Mahindra & Mahindra Financial Services Limited
3-June-2024,273.0,274.3,270.15,273.05,103891,2331,Mahindra & Mahindra Financial Services Limited
31-May-2024,263.45,270.0,261.65,267.5,101449,3106,Mahindra & Mahindra Financial Services Limited
30-May-2024,268.45,268.45,260.9,263.5,262053,3686,Mahindra & Mahindra Financial Services Limited
29-May-2024,269.0,270.55,267.25,268.15,128164,1889,Mahindra & Mahindra Financial Services Limited
