Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,36.0,36.0,36.0,36.0,116,7
27-June-2024,36.54,36.54,36.54,36.54,179,8
26-June-2024,37.74,37.74,37.05,37.28,283,4
25-June-2024,37.02,37.05,37.02,37.05,751,12
24-June-2024,37.44,37.44,37.0,37.44,7200,29
21-June-2024,36.0,36.71,36.0,36.71,501,6
20-June-2024,36.0,36.0,35.3,36.0,1820,10
19-June-2024,35.3,36.2,35.3,35.8,579,7
18-June-2024,37.24,37.24,35.8,35.95,1613,12
14-June-2024,36.51,36.51,36.51,36.51,800,1
13-June-2024,36.2,36.2,35.55,35.8,1248,8
12-June-2024,35.5,36.0,35.5,35.51,5597,28
11-June-2024,36.05,36.05,35.13,36.0,2394,9
10-June-2024,35.76,35.76,35.76,35.76,110,2
7-June-2024,34.75,35.06,34.4,35.06,1626,18
6-June-2024,34.4,35.31,34.4,34.98,1686,12
5-June-2024,35.3,35.3,34.62,34.62,3768,21
4-June-2024,35.32,35.32,35.32,35.32,90,4
3-June-2024,36.45,36.45,36.04,36.04,4613,21
31-May-2024,35.35,36.77,35.35,36.77,2507,19
30-May-2024,36.5,36.5,36.06,36.06,2506,16
29-May-2024,36.96,36.96,36.26,36.79,1521,12
28-May-2024,36.96,36.96,36.96,36.96,4485,16
27-May-2024,38.4,38.4,37.71,37.71,7897,23
24-May-2024,39.0,39.0,38.47,38.47,6399,16
23-May-2024,39.24,39.25,39.24,39.25,371,5
22-May-2024,40.04,40.04,40.04,40.04,127,4
21-May-2024,43.0,43.0,40.85,40.85,7322,57
18-May-2024,43.17,43.17,41.27,43.0,3767,30
17-May-2024,41.41,42.63,39.25,42.32,12911,75
16-May-2024,40.25,40.9,40.25,40.6,2884,16
15-May-2024,37.1,39.86,37.1,39.29,1607,18
14-May-2024,36.6,37.97,36.6,37.97,6475,36
13-May-2024,34.18,36.6,34.18,36.6,1095,4
10-May-2024,35.21,35.21,34.65,34.88,4583,18
9-May-2024,35.5,35.5,35.25,35.25,1776,19
8-May-2024,35.16,35.7,35.16,35.68,6545,20
7-May-2024,36.25,36.25,35.82,35.82,541,16
6-May-2024,36.26,36.3,36.26,36.3,3160,20
3-May-2024,36.9,37.0,36.42,37.0,1396,18
2-May-2024,37.79,37.79,37.06,37.11,2038,19
30-April-2024,37.1,38.57,37.1,37.79,2236,13
29-April-2024,37.78,38.15,37.78,37.82,909,11
26-April-2024,38.7,38.7,38.0,38.0,1635,11
25-April-2024,38.75,38.75,38.75,38.75,100,1
24-April-2024,38.0,38.76,38.0,38.76,950,6
23-April-2024,38.0,38.0,38.0,38.0,2221,19
22-April-2024,37.5,38.2,37.5,38.2,333,6
19-April-2024,38.5,38.5,38.01,38.2,4370,16
18-April-2024,38.85,38.85,38.2,38.5,8468,17
16-April-2024,39.6,39.6,38.9,38.9,512,10
15-April-2024,39.69,40.4,39.69,39.69,742,16
12-April-2024,39.7,40.5,39.7,40.5,476,9
10-April-2024,40.5,40.5,40.5,40.5,25,3
9-April-2024,40.5,40.5,40.5,40.5,30,2
8-April-2024,42.85,42.85,41.16,41.22,5089,23
5-April-2024,43.0,43.31,40.4,42.83,3026,22
4-April-2024,42.64,42.9,42.06,42.1,5715,34
3-April-2024,41.7,41.9,40.99,41.77,6219,45
2-April-2024,38.29,40.2,38.29,40.2,3655,27
1-April-2024,36.47,38.29,36.47,38.29,605,7
28-March-2024,37.75,37.9,36.21,36.47,11379,54
27-March-2024,39.65,39.65,37.7,37.75,10152,46
26-March-2024,39.11,39.9,39.0,39.67,1895,18
22-March-2024,37.3,38.5,37.3,38.34,2011,21
21-March-2024,39.5,39.5,37.2,38.96,202,3
20-March-2024,38.0,38.35,37.8,37.89,2138,16
19-March-2024,38.3,38.3,37.5,37.81,2101,22
