Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,27.98,27.98,26.38,26.46,38623,305
27-June-2024,28.0,28.39,26.39,26.75,75408,628
26-June-2024,27.19,27.65,26.3,27.04,89706,801
25-June-2024,28.9,28.9,26.8,27.06,42723,576
24-June-2024,27.3,29.1,27.3,28.33,102033,636
21-June-2024,29.0,29.0,27.45,28.52,67522,955
20-June-2024,29.0,29.6,28.35,28.62,197328,1040
19-June-2024,29.7,30.2,28.21,28.39,203570,1253
18-June-2024,29.75,31.75,29.33,29.63,214666,935
14-June-2024,27.37,29.85,27.37,29.28,217704,1796
13-June-2024,24.9,27.14,24.46,27.14,113972,934
12-June-2024,24.1,25.3,24.1,24.68,58290,659
11-June-2024,24.85,24.85,23.47,24.09,75726,695
10-June-2024,24.69,24.69,23.76,23.95,76208,521
7-June-2024,22.9,24.5,22.69,23.97,109219,424
6-June-2024,21.95,22.63,21.5,22.3,62863,266
5-June-2024,23.45,23.45,21.56,21.56,135959,527
4-June-2024,24.31,24.31,22.61,22.69,75470,379
3-June-2024,25.2,25.28,23.75,23.8,85321,401
31-May-2024,24.15,24.67,23.8,24.09,24872,126
30-May-2024,24.95,25.45,24.2,24.56,40967,203
29-May-2024,26.7,26.7,25.05,25.31,36474,236
28-May-2024,27.25,27.31,25.4,25.6,62801,377
27-May-2024,27.29,27.69,26.35,26.67,198357,340
24-May-2024,25.35,26.38,24.7,26.38,27968,50
23-May-2024,24.16,25.36,24.16,25.13,52388,97
22-May-2024,24.2,24.7,24.1,24.16,14934,73
21-May-2024,26.0,26.0,24.01,24.25,38270,149
18-May-2024,24.5,25.68,23.61,25.13,26137,67
17-May-2024,24.3,25.1,23.8,24.46,34923,188
16-May-2024,24.75,25.15,24.05,24.72,8817,64
15-May-2024,24.4,25.14,24.4,24.72,37919,162
14-May-2024,22.89,23.95,22.89,23.95,27700,84
13-May-2024,23.6,23.99,22.42,22.81,88612,203
10-May-2024,23.59,23.75,23.59,23.6,42550,54
9-May-2024,24.55,25.04,24.06,24.07,26797,40
8-May-2024,24.6,24.6,24.55,24.55,25921,43
7-May-2024,24.9,24.9,24.55,24.8,5442,27
6-May-2024,24.79,25.19,24.79,24.9,10175,19
3-May-2024,25.27,25.5,25.27,25.28,7647,33
2-May-2024,26.82,26.82,25.78,25.78,12186,39
30-April-2024,26.3,26.3,26.3,26.3,8526,12
29-April-2024,25.79,25.79,25.79,25.79,2900,7
26-April-2024,25.05,25.29,25.05,25.29,22046,32
25-April-2024,24.7,24.8,24.7,24.8,21969,54
24-April-2024,25.0,25.35,25.0,25.0,22988,37
23-April-2024,25.1,25.1,24.9,24.9,46446,97
22-April-2024,25.94,25.94,25.22,25.4,17378,49
19-April-2024,25.58,25.61,25.58,25.58,24708,74
18-April-2024,25.8,26.25,25.8,26.1,34338,40
16-April-2024,26.28,26.28,26.28,26.28,51935,64
15-April-2024,26.81,26.81,26.81,26.81,41340,40
12-April-2024,27.35,27.35,27.35,27.35,24526,40
10-April-2024,27.9,27.9,27.9,27.9,30324,51
9-April-2024,28.46,28.46,28.46,28.46,37777,32
8-April-2024,29.5,29.5,29.04,29.04,8833,25
5-April-2024,29.6,30.24,28.51,29.63,68715,209
4-April-2024,28.6,29.1,28.4,28.98,117206,271
3-April-2024,27.81,27.81,27.5,27.81,192634,284
2-April-2024,26.49,26.49,26.49,26.49,52891,60
1-April-2024,24.5,25.23,24.5,25.23,32046,53
28-March-2024,24.56,25.47,23.81,24.03,138600,299
27-March-2024,25.95,26.9,24.67,25.06,414182,304
26-March-2024,26.37,27.24,25.57,25.96,146298,161
22-March-2024,27.3,27.9,26.01,26.91,52407,189
21-March-2024,26.95,28.1,26.95,27.25,69856,192
20-March-2024,25.64,26.94,25.25,26.89,72005,230
19-March-2024,26.25,26.77,25.61,25.67,28895,102
18-March-2024,26.46,27.3,26.41,26.64,33744,131
15-March-2024,27.35,27.7,25.85,27.26,105826,160
14-March-2024,25.99,28.71,25.99,26.81,112513,317
13-March-2024,28.2,28.2,27.35,27.35,56277,140
12-March-2024,30.19,30.2,28.78,28.78,37967,114
11-March-2024,31.8,32.39,30.29,30.29,35732,162
7-March-2024,32.74,32.74,31.3,31.88,51124,170
6-March-2024,33.5,34.4,32.74,32.74,63896,169
