Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,4.56,4.78,4.52,4.78,21746,39,McNally Bharat Engineering Company Limited
27-June-2024,4.9,4.9,4.56,4.56,62372,35,McNally Bharat Engineering Company Limited
26-June-2024,4.87,4.89,4.73,4.8,24680,33,McNally Bharat Engineering Company Limited
25-June-2024,4.94,4.95,4.71,4.87,79102,66,McNally Bharat Engineering Company Limited
24-June-2024,4.9,5.12,4.69,4.82,304753,111,McNally Bharat Engineering Company Limited
21-June-2024,4.66,4.98,4.66,4.93,29856,44,McNally Bharat Engineering Company Limited
20-June-2024,5.09,5.09,4.75,4.75,62362,70,McNally Bharat Engineering Company Limited
19-June-2024,5.05,5.15,4.75,4.9,55918,67,McNally Bharat Engineering Company Limited
18-June-2024,5.0,5.13,4.99,5.0,49925,108,McNally Bharat Engineering Company Limited
14-June-2024,4.96,4.96,4.73,4.89,133995,131,McNally Bharat Engineering Company Limited
13-June-2024,4.51,4.73,4.42,4.73,73957,41,McNally Bharat Engineering Company Limited
12-June-2024,4.5,4.51,4.25,4.51,111364,98,McNally Bharat Engineering Company Limited
11-June-2024,4.41,4.41,4.12,4.3,16340,55,McNally Bharat Engineering Company Limited
10-June-2024,4.32,4.4,4.12,4.31,22385,48,McNally Bharat Engineering Company Limited
7-June-2024,4.26,4.43,4.06,4.24,59863,89,McNally Bharat Engineering Company Limited
6-June-2024,4.52,4.64,4.21,4.26,61807,93,McNally Bharat Engineering Company Limited
5-June-2024,4.43,4.65,4.43,4.43,29701,62,McNally Bharat Engineering Company Limited
4-June-2024,4.66,4.8,4.66,4.66,20355,61,McNally Bharat Engineering Company Limited
3-June-2024,5.21,5.36,4.9,4.9,86867,118,McNally Bharat Engineering Company Limited
31-May-2024,5.22,5.38,4.92,5.11,252527,235,McNally Bharat Engineering Company Limited
30-May-2024,4.98,5.19,4.82,5.17,428444,248,McNally Bharat Engineering Company Limited
29-May-2024,4.49,4.95,4.49,4.95,231595,909,McNally Bharat Engineering Company Limited
28-May-2024,4.72,4.72,4.72,4.72,16038,30,McNally Bharat Engineering Company Limited
27-May-2024,4.96,4.96,4.96,4.96,26090,48,McNally Bharat Engineering Company Limited
24-May-2024,5.76,5.76,5.22,5.22,450558,385,McNally Bharat Engineering Company Limited
23-May-2024,5.49,5.49,5.49,5.49,108493,66,McNally Bharat Engineering Company Limited
22-May-2024,5.23,5.23,5.23,5.23,53204,59,McNally Bharat Engineering Company Limited
21-May-2024,4.99,4.99,4.99,4.99,53832,54,McNally Bharat Engineering Company Limited
18-May-2024,4.76,4.76,4.76,4.76,54283,24,McNally Bharat Engineering Company Limited
17-May-2024,4.54,4.54,4.54,4.54,80394,48,McNally Bharat Engineering Company Limited
16-May-2024,4.21,4.33,4.21,4.33,132624,80,McNally Bharat Engineering Company Limited
15-May-2024,4.1,4.13,3.95,4.13,173990,154,McNally Bharat Engineering Company Limited
14-May-2024,3.94,3.94,3.75,3.94,91799,242,McNally Bharat Engineering Company Limited
13-May-2024,3.73,3.79,3.43,3.76,266838,207,McNally Bharat Engineering Company Limited
10-May-2024,3.45,3.61,3.45,3.61,227724,115,McNally Bharat Engineering Company Limited
9-May-2024,3.36,3.44,3.21,3.44,49719,314,McNally Bharat Engineering Company Limited
8-May-2024,3.41,3.41,3.18,3.28,84476,232,McNally Bharat Engineering Company Limited
7-May-2024,3.58,3.58,3.34,3.34,138987,131,McNally Bharat Engineering Company Limited
6-May-2024,3.7,3.7,3.51,3.51,132119,1933,McNally Bharat Engineering Company Limited
3-May-2024,3.94,4.05,3.69,3.69,111015,229,McNally Bharat Engineering Company Limited
2-May-2024,4.11,4.14,3.86,3.88,147766,527,McNally Bharat Engineering Company Limited
30-April-2024,4.42,4.42,4.01,4.06,55268,80,McNally Bharat Engineering Company Limited
29-April-2024,4.1,4.22,4.06,4.22,53360,57,McNally Bharat Engineering Company Limited
26-April-2024,4.02,4.32,4.02,4.02,1176032,183,McNally Bharat Engineering Company Limited
25-April-2024,4.23,4.34,4.23,4.23,183963,93,McNally Bharat Engineering Company Limited
24-April-2024,4.75,4.85,4.45,4.45,34589,84,McNally Bharat Engineering Company Limited
23-April-2024,4.4,4.7,4.4,4.68,256999,147,McNally Bharat Engineering Company Limited
22-April-2024,4.45,4.48,4.2,4.48,202349,954,McNally Bharat Engineering Company Limited
19-April-2024,4.22,4.5,4.22,4.27,16384,21,McNally Bharat Engineering Company Limited
18-April-2024,4.69,4.78,4.38,4.41,254849,84,McNally Bharat Engineering Company Limited
16-April-2024,4.65,4.72,4.53,4.6,223909,22,McNally Bharat Engineering Company Limited
15-April-2024,4.67,4.67,4.54,4.54,27712,45,McNally Bharat Engineering Company Limited
12-April-2024,4.85,4.87,4.71,4.77,67326,27,McNally Bharat Engineering Company Limited
10-April-2024,5.25,5.25,4.84,4.89,199090,87,McNally Bharat Engineering Company Limited
9-April-2024,5.45,5.45,5.08,5.09,390692,98,McNally Bharat Engineering Company Limited
8-April-2024,5.48,5.48,4.96,5.34,541271,114,McNally Bharat Engineering Company Limited
5-April-2024,5.22,5.22,5.22,5.22,64118,11,McNally Bharat Engineering Company Limited
4-April-2024,5.12,5.12,5.1,5.12,6356,8,McNally Bharat Engineering Company Limited
3-April-2024,5.02,5.02,5.02,5.02,98244,11,McNally Bharat Engineering Company Limited
2-April-2024,4.77,4.93,4.77,4.93,74680,19,McNally Bharat Engineering Company Limited
1-April-2024,4.67,4.84,4.67,4.84,67234,19,McNally Bharat Engineering Company Limited
28-March-2024,4.73,4.75,4.72,4.75,230909,42,McNally Bharat Engineering Company Limited
27-March-2024,4.81,4.81,4.81,4.81,47685,23,McNally Bharat Engineering Company Limited
26-March-2024,4.9,4.9,4.9,4.9,5843,15,McNally Bharat Engineering Company Limited
22-March-2024,4.99,4.99,4.99,4.99,23515,20,McNally Bharat Engineering Company Limited
21-March-2024,5.09,5.1,5.09,5.09,116169,52,McNally Bharat Engineering Company Limited
20-March-2024,5.19,5.19,5.19,5.19,64044,22,McNally Bharat Engineering Company Limited
19-March-2024,5.29,5.29,5.29,5.29,13551,16,McNally Bharat Engineering Company Limited
18-March-2024,5.39,5.39,5.39,5.39,5611,7,McNally Bharat Engineering Company Limited
15-March-2024,5.49,5.49,5.49,5.49,12108,7,McNally Bharat Engineering Company Limited
14-March-2024,5.6,5.6,5.6,5.6,2711,9,McNally Bharat Engineering Company Limited
13-March-2024,5.71,5.71,5.71,5.71,5759,7,McNally Bharat Engineering Company Limited
12-March-2024,5.82,5.82,5.82,5.82,6036,6,McNally Bharat Engineering Company Limited
11-March-2024,5.93,5.93,5.93,5.93,6361,6,McNally Bharat Engineering Company Limited
7-March-2024,6.05,6.05,6.05,6.05,5006,4,McNally Bharat Engineering Company Limited
6-March-2024,6.17,6.17,6.17,6.17,616,9,McNally Bharat Engineering Company Limited
5-March-2024,6.29,6.29,6.29,6.29,2631,7,McNally Bharat Engineering Company Limited
4-March-2024,6.41,6.41,6.41,6.41,5685,12,McNally Bharat Engineering Company Limited
1-March-2024,6.79,6.79,6.54,6.54,68081,47,McNally Bharat Engineering Company Limited
29-February-2024,6.58,6.67,6.41,6.67,474559,120,McNally Bharat Engineering Company Limited
28-February-2024,6.54,6.54,6.54,6.54,500610,111,McNally Bharat Engineering Company Limited
27-February-2024,6.42,6.42,6.42,6.42,137102,62,McNally Bharat Engineering Company Limited
26-February-2024,6.12,6.12,6.12,6.12,128240,53,McNally Bharat Engineering Company Limited
23-February-2024,5.81,5.83,5.8,5.83,298892,95,McNally Bharat Engineering Company Limited
22-February-2024,5.41,5.56,5.39,5.56,332249,133,McNally Bharat Engineering Company Limited
21-February-2024,5.26,5.33,5.0,5.3,155924,108,McNally Bharat Engineering Company Limited
20-February-2024,5.04,5.34,4.92,5.08,291035,167,McNally Bharat Engineering Company Limited
19-February-2024,5.35,5.45,5.09,5.09,147146,70,McNally Bharat Engineering Company Limited
16-February-2024,5.69,5.8,5.35,5.35,195657,171,McNally Bharat Engineering Company Limited
15-February-2024,5.12,5.64,5.12,5.63,165535,94,McNally Bharat Engineering Company Limited
14-February-2024,5.38,5.38,5.38,5.38,105956,61,McNally Bharat Engineering Company Limited
13-February-2024,5.66,5.66,5.66,5.66,18909,22,McNally Bharat Engineering Company Limited
12-February-2024,6.57,6.57,5.95,5.95,220468,74,McNally Bharat Engineering Company Limited
9-February-2024,6.26,6.26,6.26,6.26,15015,24,McNally Bharat Engineering Company Limited
8-February-2024,6.38,6.38,6.38,6.38,34804,39,McNally Bharat Engineering Company Limited
7-February-2024,6.51,6.51,6.51,6.51,53916,38,McNally Bharat Engineering Company Limited
6-February-2024,6.68,6.68,6.64,6.64,156428,68,McNally Bharat Engineering Company Limited
5-February-2024,6.55,6.55,6.55,6.55,1262338,67,McNally Bharat Engineering Company Limited
2-February-2024,6.42,6.43,6.19,6.43,156194,70,McNally Bharat Engineering Company Limited
1-February-2024,6.32,6.32,6.2,6.31,184694,61,McNally Bharat Engineering Company Limited
31-January-2024,6.06,6.25,6.06,6.2,234591,75,McNally Bharat Engineering Company Limited
30-January-2024,6.18,6.18,6.14,6.14,182654,50,McNally Bharat Engineering Company Limited
29-January-2024,6.06,6.06,6.06,6.06,643110,71,McNally Bharat Engineering Company Limited
25-January-2024,5.95,5.95,5.95,5.95,411038,76,McNally Bharat Engineering Company Limited
24-January-2024,5.62,5.84,5.62,5.84,159979,47,McNally Bharat Engineering Company Limited
23-January-2024,5.8,5.8,5.73,5.73,12328,14,McNally Bharat Engineering Company Limited
20-January-2024,5.84,5.84,5.84,5.84,5651,19,McNally Bharat Engineering Company Limited
19-January-2024,5.95,5.95,5.95,5.95,35449,23,McNally Bharat Engineering Company Limited
18-January-2024,6.07,6.07,6.07,6.07,2598,15,McNally Bharat Engineering Company Limited
17-January-2024,6.19,6.19,6.19,6.19,16112,12,McNally Bharat Engineering Company Limited
16-January-2024,6.31,6.31,6.31,6.31,51453,27,McNally Bharat Engineering Company Limited
15-January-2024,6.43,6.43,6.43,6.43,37300,27,McNally Bharat Engineering Company Limited
12-January-2024,6.56,6.56,6.56,6.56,52054,19,McNally Bharat Engineering Company Limited
11-January-2024,6.69,6.69,6.69,6.69,19861,22,McNally Bharat Engineering Company Limited
10-January-2024,6.82,6.82,6.82,6.82,44431,29,McNally Bharat Engineering Company Limited
9-January-2024,6.95,6.95,6.95,6.95,38084,25,McNally Bharat Engineering Company Limited
8-January-2024,7.09,7.09,7.09,7.09,102533,57,McNally Bharat Engineering Company Limited
5-January-2024,7.23,7.23,6.6,7.23,1138806,404,McNally Bharat Engineering Company Limited
4-January-2024,6.89,6.89,6.89,6.89,108968,56,McNally Bharat Engineering Company Limited
3-January-2024,6.57,6.57,6.57,6.57,97340,50,McNally Bharat Engineering Company Limited
2-January-2024,6.26,6.26,6.26,6.26,170986,60,McNally Bharat Engineering Company Limited
1-January-2024,5.9,5.97,5.68,5.97,273596,133,McNally Bharat Engineering Company Limited
29-December-2023,5.2,5.74,5.2,5.69,710089,242,McNally Bharat Engineering Company Limited
28-December-2023,5.47,5.47,5.47,5.47,10094,20,McNally Bharat Engineering Company Limited
27-December-2023,5.75,5.75,5.75,5.75,28275,27,McNally Bharat Engineering Company Limited
26-December-2023,6.67,6.67,6.05,6.05,276986,131,McNally Bharat Engineering Company Limited
22-December-2023,6.62,6.62,6.0,6.36,946776,357,McNally Bharat Engineering Company Limited
18-December-2023,6.31,6.31,5.8,6.31,775614,171,McNally Bharat Engineering Company Limited
11-December-2023,6.01,6.01,6.01,6.01,253678,77,McNally Bharat Engineering Company Limited
8-December-2023,5.73,5.73,5.73,5.73,477971,79,McNally Bharat Engineering Company Limited
7-December-2023,5.46,5.46,5.46,5.46,72805,45,McNally Bharat Engineering Company Limited
6-December-2023,5.2,5.2,5.2,5.2,123001,66,McNally Bharat Engineering Company Limited
5-December-2023,4.96,4.96,4.96,4.96,116238,28,McNally Bharat Engineering Company Limited
4-December-2023,4.73,4.73,4.73,4.73,128118,39,McNally Bharat Engineering Company Limited
1-December-2023,4.51,4.51,4.51,4.51,77471,29,McNally Bharat Engineering Company Limited
28-November-2023,4.3,4.3,4.3,4.3,120194,52,McNally Bharat Engineering Company Limited
20-November-2023,4.1,4.15,3.9,4.1,38633,27,McNally Bharat Engineering Company Limited
13-November-2023,3.9,4.25,3.9,4.1,197067,127,McNally Bharat Engineering Company Limited
6-November-2023,4.1,4.1,4.1,4.1,16400,30,McNally Bharat Engineering Company Limited
30-October-2023,4.31,4.31,4.31,4.31,1600,3,McNally Bharat Engineering Company Limited
26-October-2023,4.88,4.89,4.53,4.53,13641,27,McNally Bharat Engineering Company Limited
25-October-2023,4.77,4.77,4.35,4.76,93783,117,McNally Bharat Engineering Company Limited
23-October-2023,4.55,4.55,4.55,4.55,8258,14,McNally Bharat Engineering Company Limited
20-October-2023,4.39,4.41,4.2,4.34,50058,82,McNally Bharat Engineering Company Limited
19-October-2023,4.11,4.2,4.03,4.2,84156,107,McNally Bharat Engineering Company Limited
18-October-2023,3.87,4.1,3.87,4.0,17691,42,McNally Bharat Engineering Company Limited
17-October-2023,3.9,3.94,3.65,3.94,62614,73,McNally Bharat Engineering Company Limited
16-October-2023,3.72,3.83,3.47,3.83,334305,164,McNally Bharat Engineering Company Limited
13-October-2023,3.65,3.65,3.47,3.65,74779,62,McNally Bharat Engineering Company Limited
12-October-2023,3.79,3.81,3.46,3.65,302019,97,McNally Bharat Engineering Company Limited
11-October-2023,3.51,3.63,3.5,3.63,207900,117,McNally Bharat Engineering Company Limited
10-October-2023,3.4,3.46,3.4,3.46,23579,15,McNally Bharat Engineering Company Limited
