Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,65.79,65.79,64.0,64.51,21689,670
27-June-2024,66.76,67.19,64.72,65.6,13621,308
26-June-2024,68.28,68.28,66.12,66.94,17545,251
25-June-2024,69.9,69.9,66.8,67.08,13011,278
24-June-2024,69.5,69.94,67.88,68.37,15949,401
21-June-2024,68.3,69.75,65.93,68.08,32116,394
20-June-2024,67.33,68.35,66.6,66.97,10363,179
19-June-2024,68.45,68.45,66.44,66.7,44951,267
18-June-2024,66.85,68.0,65.77,66.62,22932,271
14-June-2024,68.61,68.61,66.5,66.85,15057,343
13-June-2024,68.17,68.98,67.51,68.53,8323,126
12-June-2024,68.16,68.5,66.03,67.44,16739,359
11-June-2024,64.55,68.7,64.55,66.82,6576,87
10-June-2024,68.99,69.0,65.55,66.28,40567,436
7-June-2024,66.1,68.85,65.91,68.63,44997,358
6-June-2024,63.0,65.91,62.95,65.58,34356,322
5-June-2024,61.21,63.1,59.04,62.78,32155,439
4-June-2024,66.65,66.65,60.42,62.14,73742,211
3-June-2024,69.62,69.94,63.28,63.6,49017,313
31-May-2024,66.7,68.0,66.05,66.61,10029,163
30-May-2024,66.9,68.8,65.8,66.2,26683,325
29-May-2024,69.42,69.42,67.0,67.6,18335,223
28-May-2024,67.59,69.5,67.15,68.5,45759,628
27-May-2024,70.3,71.39,67.25,67.59,71491,630
24-May-2024,69.76,74.07,69.76,70.77,14155,296
23-May-2024,72.48,72.48,69.23,71.8,8469,167
22-May-2024,76.38,77.37,72.48,72.55,56995,328
21-May-2024,75.3,76.29,75.15,76.29,119354,726
18-May-2024,71.5,72.66,71.5,72.66,11948,41
17-May-2024,67.7,70.51,67.23,69.2,71420,480
16-May-2024,69.35,69.4,66.9,67.16,16736,326
15-May-2024,69.51,70.0,68.4,69.35,8638,143
14-May-2024,71.49,71.49,68.5,69.29,20984,479
13-May-2024,67.56,70.36,67.56,70.36,45430,373
10-May-2024,65.99,67.01,64.0,67.01,77767,290
9-May-2024,69.65,69.65,63.64,63.82,65795,480
8-May-2024,66.92,69.0,66.3,66.98,17773,186
7-May-2024,69.66,70.07,65.8,66.72,64750,410
6-May-2024,72.45,73.9,69.0,69.26,16644,225
3-May-2024,70.56,75.0,70.56,72.3,28593,364
2-May-2024,73.01,74.7,72.0,72.15,63062,503
30-April-2024,76.56,76.56,72.55,73.52,27340,411
29-April-2024,77.46,78.12,75.0,75.9,28784,447
26-April-2024,77.99,78.0,76.15,77.29,25750,343
25-April-2024,77.4,77.95,74.79,76.26,36076,475
24-April-2024,79.7,79.7,75.8,76.39,37402,574
23-April-2024,81.44,82.09,78.2,79.21,158821,1178
22-April-2024,76.16,78.19,76.15,78.19,44668,329
19-April-2024,71.0,74.5,69.54,74.47,120456,895
18-April-2024,72.69,74.15,70.75,71.03,81586,682
16-April-2024,71.62,73.9,71.1,72.07,52053,678
15-April-2024,76.94,77.0,74.22,74.22,77169,350
12-April-2024,81.21,82.1,77.55,78.12,82040,847
10-April-2024,86.79,86.79,80.79,80.94,27800,433
9-April-2024,85.55,88.9,84.0,85.04,33956,289
8-April-2024,86.01,89.85,84.01,87.76,12042,174
5-April-2024,88.47,89.0,86.0,86.14,13185,278
4-April-2024,91.35,93.0,87.5,87.92,41424,373
3-April-2024,91.57,93.62,88.2,90.27,92114,833
2-April-2024,87.61,91.7,87.61,89.17,19150,344
1-April-2024,92.7,93.8,87.15,88.44,117900,720
28-March-2024,89.34,89.34,89.34,89.34,11485,29
27-March-2024,84.9,85.09,84.25,85.09,13085,49
26-March-2024,77.99,81.04,76.0,81.04,24078,282
22-March-2024,78.39,78.4,74.1,77.19,66772,733
21-March-2024,73.7,75.06,72.5,75.06,48793,306
20-March-2024,74.1,74.45,70.25,71.49,22762,272
19-March-2024,74.0,76.0,72.0,73.32,27349,934
18-March-2024,75.17,76.95,73.0,74.03,30977,543
15-March-2024,76.03,77.25,71.0,73.69,41136,461
14-March-2024,70.01,73.77,66.85,73.77,58616,590
13-March-2024,76.01,80.94,70.11,70.26,236968,1745
12-March-2024,86.85,89.09,77.89,77.89,175785,1129
11-March-2024,96.62,96.62,85.8,86.54,116721,1483
7-March-2024,92.65,99.01,90.25,94.92,232912,2269
6-March-2024,99.99,101.65,88.21,90.01,181187,2154
5-March-2024,99.41,107.22,96.73,98.01,226268,2068
4-March-2024,89.51,97.48,85.64,97.48,225541,1758
2-March-2024,86.3,89.49,82.7,88.62,21779,227
1-March-2024,91.49,91.49,84.33,85.43,67677,935
29-February-2024,84.1,91.5,81.65,87.95,129329,1468
28-February-2024,92.0,94.78,84.0,86.66,134627,1257
27-February-2024,97.51,101.0,90.45,91.83,116105,1561
26-February-2024,103.01,103.25,97.81,99.49,119982,1178
23-February-2024,99.98,106.0,95.88,100.76,497867,4025
22-February-2024,84.41,99.13,82.27,98.81,939613,4396
21-February-2024,89.78,89.78,81.5,82.61,153585,1858
20-February-2024,84.61,96.67,84.61,88.33,350479,2935
19-February-2024,78.39,84.04,76.5,84.04,372522,1946
16-February-2024,67.0,70.35,66.51,70.04,86721,213
15-February-2024,67.98,67.98,65.5,67.0,10300,92
14-February-2024,59.66,65.7,59.66,64.93,52200,243
13-February-2024,63.15,63.16,62.8,62.8,45489,99
12-February-2024,66.15,68.0,66.1,66.1,33068,130
9-February-2024,73.5,73.5,69.57,69.57,23542,97
8-February-2024,73.97,73.97,69.5,73.23,85918,309
7-February-2024,70.44,70.45,69.0,70.45,131097,200
6-February-2024,67.1,67.1,67.1,67.1,7590,22
5-February-2024,63.91,63.91,63.91,63.91,42901,45
2-February-2024,60.87,60.87,60.85,60.87,36545,26
1-February-2024,59.68,59.68,58.12,59.68,101881,86
31-January-2024,57.46,58.51,57.46,58.51,154903,72
30-January-2024,61.01,61.01,58.63,58.63,362209,121
29-January-2024,59.82,59.82,59.82,59.82,19395,36
25-January-2024,57.0,58.65,57.0,58.65,53988,36
24-January-2024,57.0,57.5,56.77,57.5,54616,42
23-January-2024,57.92,57.92,57.92,57.92,33879,54
20-January-2024,59.1,59.1,59.1,59.1,31357,50
19-January-2024,61.4,61.4,60.26,60.3,160218,87
18-January-2024,61.48,61.48,61.48,61.48,3815,18
17-January-2024,62.75,62.75,62.73,62.73,29792,50
16-January-2024,64.01,64.01,64.01,64.01,30432,53
15-January-2024,65.31,65.31,65.31,65.31,7796,27
12-January-2024,66.64,67.0,66.64,66.64,17739,61
11-January-2024,66.09,68.0,66.09,68.0,51966,58
10-January-2024,67.43,67.43,67.43,67.43,86653,45
9-January-2024,71.0,71.0,68.8,68.8,26487,47
8-January-2024,69.97,69.97,69.94,69.97,57615,58
5-January-2024,68.6,68.6,68.6,68.6,22620,24
4-January-2024,67.28,67.28,67.26,67.26,9930,27
3-January-2024,63.39,65.97,63.39,65.97,91353,64
2-January-2024,64.68,64.68,64.68,64.68,76772,89
1-January-2024,68.66,68.66,66.0,66.0,131496,142
29-December-2023,67.32,67.32,67.32,67.32,95012,110
28-December-2023,66.0,66.0,66.0,66.0,168111,200
27-December-2023,64.71,64.71,64.71,64.71,62249,128
26-December-2023,61.63,61.63,61.0,61.63,94927,163
22-December-2023,58.7,58.7,57.4,58.7,179416,290
21-December-2023,51.6,55.91,50.65,55.91,86669,214
20-December-2023,57.94,57.94,52.57,53.25,271652,515
19-December-2023,54.9,55.19,52.0,55.19,113530,321
18-December-2023,50.0,52.57,50.0,52.57,99539,283
15-December-2023,49.1,50.07,49.1,50.07,38863,62
14-December-2023,48.18,49.09,48.18,49.09,84101,53
13-December-2023,47.22,48.17,47.0,48.13,8572,25
12-December-2023,47.0,47.23,46.5,47.23,23977,27
11-December-2023,47.25,47.25,46.31,46.31,29862,38
8-December-2023,47.2,48.0,47.2,47.25,33201,39
7-December-2023,47.2,48.0,47.06,48.0,22686,37
6-December-2023,48.02,48.25,48.02,48.02,18128,43
5-December-2023,50.49,50.49,49.0,49.0,23645,47
4-December-2023,49.97,49.97,48.5,49.5,14499,30
1-December-2023,50.0,50.0,49.0,49.0,15978,34
30-November-2023,50.49,50.49,49.55,50.0,2768,15
29-November-2023,48.38,50.0,48.38,50.0,11635,34
28-November-2023,51.0,51.0,49.36,49.36,12892,26
24-November-2023,50.49,50.49,49.61,50.15,7893,15
23-November-2023,50.5,50.5,49.49,49.5,24390,30
22-November-2023,51.9,51.9,50.47,50.5,9823,23
21-November-2023,51.9,51.9,51.5,51.5,56306,29
20-November-2023,49.9,50.89,49.9,50.89,27360,40
17-November-2023,51.0,51.0,49.89,49.9,34532,32
16-November-2023,51.5,51.5,50.9,50.9,16811,28
15-November-2023,52.95,52.95,50.89,50.89,35684,49
13-November-2023,51.92,51.92,51.92,51.92,4759,13
12-November-2023,50.91,50.91,50.91,50.91,2591,6
10-November-2023,49.92,49.92,49.92,49.92,39952,32
9-November-2023,53.0,53.0,50.51,50.93,30458,137
8-November-2023,52.5,53.0,51.0,52.27,65819,183
7-November-2023,50.0,50.94,49.01,50.48,203823,232
6-November-2023,47.9,48.52,45.8,48.52,35372,104
3-November-2023,44.0,46.21,43.51,46.21,11256,43
2-November-2023,42.9,45.08,42.85,44.01,9293,62
1-November-2023,44.4,44.4,43.3,44.0,6425,31
31-October-2023,44.25,45.9,44.25,44.51,17419,72
30-October-2023,44.2,45.8,44.2,45.1,2732,31
27-October-2023,45.8,46.35,43.55,44.97,9329,57
26-October-2023,42.0,45.6,41.27,44.57,45903,197
25-October-2023,43.85,45.8,43.44,43.44,22201,104
23-October-2023,47.85,47.85,45.62,45.72,43349,132
20-October-2023,49.0,49.5,46.65,48.02,33318,142
19-October-2023,48.02,49.98,48.02,48.58,14494,91
18-October-2023,49.9,49.9,48.0,49.0,7376,74
17-October-2023,50.38,50.38,48.61,49.1,31879,122
16-October-2023,49.8,50.4,48.51,50.38,88575,321
13-October-2023,48.05,48.24,48.0,48.0,60178,67
12-October-2023,46.1,47.3,46.1,47.3,18930,42
11-October-2023,47.0,47.0,45.89,46.51,143187,46
10-October-2023,45.0,46.82,45.0,46.82,21945,51
9-October-2023,45.91,45.91,45.91,45.91,6614,17
6-October-2023,46.84,46.84,46.84,46.84,13153,23
5-October-2023,47.79,47.79,47.79,47.79,5491,17
4-October-2023,48.76,48.76,48.76,48.76,3576,14
3-October-2023,49.75,49.75,49.75,49.75,16767,22
29-September-2023,50.76,50.76,50.76,50.76,72996,103
28-September-2023,49.77,49.77,49.77,49.77,35911,39
27-September-2023,48.8,48.8,48.75,48.8,3451,20
26-September-2023,47.85,47.85,47.85,47.85,14622,22
25-September-2023,46.4,46.92,46.4,46.92,5017,19
22-September-2023,46.0,46.05,46.0,46.0,8250,22
21-September-2023,46.1,46.1,46.0,46.0,22110,34
20-September-2023,46.0,46.0,45.5,46.0,7889,22
18-September-2023,46.25,46.25,45.6,45.9,4405,20
15-September-2023,46.1,46.1,45.86,46.1,20685,45
14-September-2023,46.3,46.3,46.1,46.1,22316,50
13-September-2023,47.04,47.04,47.04,47.04,6166,22
12-September-2023,50.5,50.55,47.91,48.0,47986,247
11-September-2023,50.1,52.0,50.1,50.43,95414,325
8-September-2023,50.8,51.35,48.0,49.8,47587,296
7-September-2023,49.6,49.72,47.51,49.63,77669,361
6-September-2023,45.5,47.36,45.5,47.36,68600,224
5-September-2023,42.85,45.11,42.2,45.11,75398,221
4-September-2023,43.05,44.0,42.7,42.97,17556,182
1-September-2023,42.68,45.35,42.31,43.93,30469,131
31-August-2023,43.62,45.38,43.03,43.52,28654,195
30-August-2023,46.99,46.99,44.5,45.02,19411,174
29-August-2023,44.99,47.1,43.05,46.27,43586,332
28-August-2023,46.5,47.0,44.5,44.86,38228,254
25-August-2023,46.55,48.46,45.75,46.84,36003,263
24-August-2023,45.02,49.47,44.77,47.93,88881,530
23-August-2023,49.27,49.27,47.12,47.12,45262,273
22-August-2023,52.0,52.0,49.29,49.6,86484,398
21-August-2023,52.0,53.95,51.01,51.88,58141,502
18-August-2023,57.01,57.56,50.62,51.48,426732,2281
17-August-2023,49.5,54.44,49.0,54.44,566714,2751
16-August-2023,42.9,47.5,41.25,45.37,105706,640
14-August-2023,42.15,44.5,40.8,42.94,53660,550
11-August-2023,43.55,45.29,42.0,42.27,42499,349
10-August-2023,43.59,45.29,43.25,43.97,57356,304
9-August-2023,41.5,44.65,40.55,42.38,143946,774
8-August-2023,41.0,41.54,39.5,40.36,32376,303
7-August-2023,40.8,42.0,39.54,40.01,61018,473
4-August-2023,37.6,40.8,37.6,39.48,56076,533
3-August-2023,39.95,39.95,37.5,38.34,18642,235
2-August-2023,39.0,39.7,37.35,38.83,30946,284
1-August-2023,38.26,41.0,38.26,39.15,58883,273
