Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,378.0,389.5,376.85,378.35,1119701,20838,NTPC Limited
27-June-2024,364.95,381.0,364.4,376.6,698754,9691,NTPC Limited
26-June-2024,362.05,366.9,359.7,364.95,387840,5234,NTPC Limited
25-June-2024,365.0,365.0,357.75,360.85,420344,7997,NTPC Limited
24-June-2024,358.0,364.55,355.5,362.75,725814,3374,NTPC Limited
21-June-2024,361.8,362.9,356.9,359.7,1459894,26513,NTPC Limited
20-June-2024,364.65,364.65,357.25,357.9,243878,5054,NTPC Limited
19-June-2024,370.0,370.75,361.75,362.45,525973,12107,NTPC Limited
18-June-2024,372.95,372.95,368.55,369.8,288133,5111,NTPC Limited
14-June-2024,369.95,370.35,366.0,368.4,601735,11217,NTPC Limited
13-June-2024,376.0,376.0,368.05,369.95,540528,9246,NTPC Limited
12-June-2024,369.95,373.95,365.25,371.35,642791,14699,NTPC Limited
11-June-2024,369.55,372.0,365.0,367.6,318979,6982,NTPC Limited
10-June-2024,365.65,370.0,361.75,364.55,861994,15004,NTPC Limited
7-June-2024,352.4,362.15,347.65,360.7,1901927,29233,NTPC Limited
6-June-2024,348.3,359.8,345.1,350.0,834571,11651,NTPC Limited
5-June-2024,341.0,342.3,315.2,340.95,1617115,36255,NTPC Limited
4-June-2024,395.0,395.0,313.8,331.4,4388055,88830,NTPC Limited
3-June-2024,384.1,393.75,374.0,391.95,1272716,20088,NTPC Limited
31-May-2024,363.85,366.7,355.45,358.9,1148895,29212,NTPC Limited
30-May-2024,364.9,364.9,357.25,360.0,1289407,10319,NTPC Limited
29-May-2024,362.2,366.35,360.05,364.6,269818,4210,NTPC Limited
28-May-2024,373.2,373.5,364.25,365.3,332600,6036,NTPC Limited
27-May-2024,381.25,381.25,368.0,369.6,1173773,11682,NTPC Limited
24-May-2024,373.65,378.0,368.7,374.85,1026959,17424,NTPC Limited
23-May-2024,375.6,375.6,369.55,372.3,1519668,11041,NTPC Limited
22-May-2024,375.65,377.35,370.65,373.9,484476,6572,NTPC Limited
21-May-2024,367.0,374.15,365.0,371.9,1113316,11524,NTPC Limited
18-May-2024,368.0,368.0,365.0,366.4,65273,1288,NTPC Limited
17-May-2024,362.05,366.6,360.35,365.4,694709,11862,NTPC Limited
16-May-2024,364.95,364.95,353.0,361.4,472376,9136,NTPC Limited
15-May-2024,358.0,363.5,356.55,361.35,571037,9378,NTPC Limited
14-May-2024,350.75,357.2,350.75,355.85,731164,7945,NTPC Limited
13-May-2024,355.7,355.75,346.5,350.9,360722,7830,NTPC Limited
10-May-2024,348.5,356.25,347.95,355.7,742235,12613,NTPC Limited
9-May-2024,357.0,358.0,344.95,346.0,393640,11093,NTPC Limited
8-May-2024,345.1,358.5,345.1,355.65,338492,5414,NTPC Limited
7-May-2024,358.0,358.05,346.95,349.05,274869,4829,NTPC Limited
6-May-2024,368.0,368.75,354.45,356.65,634085,12568,NTPC Limited
3-May-2024,372.7,380.4,360.55,365.1,1648449,25617,NTPC Limited
2-May-2024,363.65,372.55,363.4,369.35,742777,11058,NTPC Limited
30-April-2024,365.0,365.5,359.35,363.1,500058,10076,NTPC Limited
29-April-2024,360.0,363.55,357.1,363.1,756284,16829,NTPC Limited
26-April-2024,360.25,361.4,355.05,355.75,580100,10644,NTPC Limited
25-April-2024,351.4,360.6,349.05,358.3,422199,7143,NTPC Limited
24-April-2024,350.2,353.15,347.1,351.55,472707,8012,NTPC Limited
23-April-2024,346.95,348.6,344.15,346.9,483878,7327,NTPC Limited
22-April-2024,357.65,357.65,342.0,343.05,666276,13733,NTPC Limited
19-April-2024,342.5,352.4,342.5,350.9,1342253,19956,NTPC Limited
18-April-2024,360.5,361.1,349.45,351.4,779404,11668,NTPC Limited
16-April-2024,361.45,361.95,354.65,359.25,816287,10170,NTPC Limited
15-April-2024,354.55,366.0,352.65,361.35,712065,8745,NTPC Limited
12-April-2024,363.1,374.5,361.0,361.65,2198900,24900,NTPC Limited
10-April-2024,363.25,368.35,361.35,363.15,966405,13871,NTPC Limited
9-April-2024,366.15,366.7,360.5,363.05,331633,5543,NTPC Limited
8-April-2024,356.1,366.0,353.4,363.4,326809,5881,NTPC Limited
5-April-2024,357.15,358.4,351.65,354.4,716173,10047,NTPC Limited
4-April-2024,354.95,362.75,352.8,354.75,865448,14197,NTPC Limited
3-April-2024,344.05,353.9,342.05,351.6,477727,8242,NTPC Limited
2-April-2024,343.0,345.8,340.75,344.8,193318,3145,NTPC Limited
1-April-2024,339.0,344.4,336.15,342.25,398727,6842,NTPC Limited
28-March-2024,332.55,340.0,330.45,335.95,469325,6294,NTPC Limited
27-March-2024,333.7,334.0,326.35,330.65,417490,6963,NTPC Limited
26-March-2024,320.25,330.25,320.25,329.2,7396601,6021,NTPC Limited
22-March-2024,325.45,327.25,321.25,324.95,791521,11732,NTPC Limited
21-March-2024,317.65,326.3,317.55,325.0,553384,9661,NTPC Limited
20-March-2024,315.25,317.55,308.3,313.85,184025,4538,NTPC Limited
