Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,4.34,4.34,4.0,4.16,38093,69,Omni Axs Software Ltd.
27-June-2024,3.9,4.38,3.9,4.25,15076,67,Omni Axs Software Ltd.
26-June-2024,4.3,4.38,3.92,4.13,7716,50,Omni Axs Software Ltd.
25-June-2024,4.08,4.35,3.9,4.1,8255,59,Omni Axs Software Ltd.
24-June-2024,4.38,4.38,3.85,4.08,3859,70,Omni Axs Software Ltd.
21-June-2024,4.3,4.3,3.81,4.04,13003,79,Omni Axs Software Ltd.
20-June-2024,4.55,4.55,4.0,4.05,60294,108,Omni Axs Software Ltd.
19-June-2024,4.16,4.58,4.16,4.19,8851,75,Omni Axs Software Ltd.
18-June-2024,4.0,4.35,4.0,4.24,12795,101,Omni Axs Software Ltd.
14-June-2024,3.89,4.24,3.81,4.12,16322,110,Omni Axs Software Ltd.
13-June-2024,4.44,4.44,3.81,3.89,13238,79,Omni Axs Software Ltd.
12-June-2024,4.39,4.39,3.86,4.09,7200,74,Omni Axs Software Ltd.
11-June-2024,4.49,4.6,3.81,4.05,17822,74,Omni Axs Software Ltd.
10-June-2024,3.96,4.29,3.92,4.19,8507,66,Omni Axs Software Ltd.
7-June-2024,4.19,4.19,3.75,3.96,22135,77,Omni Axs Software Ltd.
6-June-2024,3.9,3.9,3.58,3.82,9439,44,Omni Axs Software Ltd.
5-June-2024,3.85,3.85,3.53,3.75,6561,35,Omni Axs Software Ltd.
4-June-2024,3.99,3.99,3.66,3.7,11392,60,Omni Axs Software Ltd.
3-June-2024,4.08,4.08,3.72,3.82,14636,89,Omni Axs Software Ltd.
31-May-2024,3.95,3.95,3.6,3.89,8609,50,Omni Axs Software Ltd.
30-May-2024,4.13,4.13,3.77,3.78,3065,45,Omni Axs Software Ltd.
29-May-2024,4.08,4.08,3.75,3.95,4457,39,Omni Axs Software Ltd.
28-May-2024,3.76,4.09,3.75,3.93,5347,35,Omni Axs Software Ltd.
27-May-2024,3.99,3.99,3.65,3.94,12515,46,Omni Axs Software Ltd.
24-May-2024,3.81,4.18,3.81,3.84,1713,34,Omni Axs Software Ltd.
23-May-2024,4.13,4.13,3.8,4.0,11264,48,Omni Axs Software Ltd.
22-May-2024,3.99,3.99,3.7,3.95,9621,43,Omni Axs Software Ltd.
21-May-2024,3.98,3.98,3.79,3.89,7218,41,Omni Axs Software Ltd.
18-May-2024,3.99,4.0,3.8,3.98,3910,20,Omni Axs Software Ltd.
17-May-2024,3.75,3.87,3.6,3.83,5850,40,Omni Axs Software Ltd.
16-May-2024,3.94,3.94,3.6,3.75,14077,34,Omni Axs Software Ltd.
15-May-2024,3.64,3.81,3.51,3.76,6398,49,Omni Axs Software Ltd.
14-May-2024,3.63,3.63,3.31,3.63,7209,43,Omni Axs Software Ltd.
13-May-2024,3.24,3.47,3.24,3.47,5464,22,Omni Axs Software Ltd.
10-May-2024,3.31,3.36,3.3,3.31,1517,13,Omni Axs Software Ltd.
