Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,212.1,212.1,205.5,205.95,47073,1099,PTC India Ltd
27-June-2024,210.2,212.45,207.35,209.95,105430,1642,PTC India Ltd
26-June-2024,207.45,213.15,206.95,209.95,305357,4153,PTC India Ltd
25-June-2024,207.9,208.75,204.45,206.5,78071,1377,PTC India Ltd
24-June-2024,204.6,207.5,203.55,206.0,122486,1841,PTC India Ltd
21-June-2024,206.3,207.95,204.55,205.45,72354,1066,PTC India Ltd
20-June-2024,206.8,207.7,204.8,206.25,126070,2132,PTC India Ltd
19-June-2024,211.5,212.0,205.1,206.75,177994,3167,PTC India Ltd
18-June-2024,211.8,213.15,209.1,210.8,193332,2430,PTC India Ltd
14-June-2024,212.7,213.15,208.85,211.8,91755,1469,PTC India Ltd
13-June-2024,213.85,214.15,208.8,210.75,218459,3090,PTC India Ltd
12-June-2024,206.7,217.55,206.7,212.85,235656,2978,PTC India Ltd
11-June-2024,205.75,208.6,202.6,205.7,263128,4480,PTC India Ltd
10-June-2024,204.95,206.85,199.05,203.8,363504,5619,PTC India Ltd
7-June-2024,205.95,210.5,202.65,209.55,196083,2883,PTC India Ltd
6-June-2024,192.85,206.3,192.85,201.85,349808,4890,PTC India Ltd
5-June-2024,185.05,192.85,178.0,189.05,325324,6561,PTC India Ltd
4-June-2024,220.85,220.85,175.4,180.6,318469,5552,PTC India Ltd
3-June-2024,228.9,228.9,214.55,219.25,126926,2247,PTC India Ltd
31-May-2024,214.7,215.45,207.05,209.35,241931,5301,PTC India Ltd
30-May-2024,224.0,224.0,213.5,214.55,226866,1599,PTC India Ltd
29-May-2024,220.0,226.45,219.0,224.0,93735,2416,PTC India Ltd
28-May-2024,229.95,229.95,221.0,223.3,71505,1476,PTC India Ltd
27-May-2024,233.95,234.7,227.75,228.7,120430,2419,PTC India Ltd
24-May-2024,229.95,236.55,226.15,232.2,232699,4306,PTC India Ltd
23-May-2024,225.3,231.0,225.3,227.05,41699,925,PTC India Ltd
22-May-2024,228.7,232.15,224.45,227.95,46184,999,PTC India Ltd
21-May-2024,229.95,232.1,225.3,228.2,196234,3095,PTC India Ltd
18-May-2024,227.0,229.75,226.15,227.65,45025,1060,PTC India Ltd
17-May-2024,226.75,229.0,223.4,225.8,91327,1922,PTC India Ltd
