Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,106.35,106.35,104.7,104.8,2993,30
27-June-2024,108.8,108.8,106.75,106.8,3785,18
26-June-2024,109.45,109.45,108.8,108.8,5156,17
25-June-2024,110.75,112.1,110.75,111.0,4907,37
24-June-2024,113.0,113.0,113.0,113.0,968,20
21-June-2024,115.3,115.3,115.3,115.3,844,23
20-June-2024,117.7,117.7,117.65,117.65,313,5
19-June-2024,120.05,120.05,120.05,120.05,44,10
18-June-2024,122.5,122.5,122.5,122.5,1396,21
14-June-2024,123.1,125.0,123.1,125.0,1900,26
13-June-2024,125.6,125.6,125.6,125.6,1725,20
12-June-2024,127.9,128.15,125.0,128.15,12085,97
11-June-2024,118.5,122.05,118.5,122.05,8043,103
10-June-2024,116.25,116.25,113.55,116.25,5977,73
7-June-2024,109.0,111.25,109.0,110.75,4879,43
6-June-2024,104.6,106.5,102.0,106.35,5879,58
5-June-2024,103.15,103.15,98.95,101.75,2494,49
4-June-2024,108.0,108.0,104.15,104.15,2980,41
3-June-2024,111.95,111.95,108.0,109.6,1304,15
31-May-2024,112.65,112.7,110.0,110.1,2015,46
30-May-2024,112.5,113.9,108.4,112.45,1056,31
29-May-2024,114.15,114.15,112.5,112.5,4405,46
28-May-2024,120.4,120.4,114.0,114.15,5301,107
27-May-2024,123.5,123.5,118.25,120.0,2426,53
24-May-2024,126.95,127.15,122.0,122.0,1654,24
23-May-2024,117.35,121.1,117.3,121.1,2055,14
22-May-2024,115.45,117.0,115.0,115.35,3000,50
21-May-2024,117.6,121.25,115.45,115.5,8090,107
18-May-2024,118.3,121.5,118.15,118.9,805,20
17-May-2024,119.45,121.0,118.75,120.5,1043,31
16-May-2024,120.0,120.7,118.0,119.2,1686,39
15-May-2024,118.35,121.7,118.35,120.7,3641,65
14-May-2024,119.9,119.9,116.1,118.45,3201,46
13-May-2024,115.3,120.75,115.3,117.95,3296,58
10-May-2024,119.9,120.5,118.6,119.4,1135,42
9-May-2024,123.0,123.0,119.0,120.3,2716,62
8-May-2024,125.8,125.8,120.2,122.85,897,48
7-May-2024,128.55,130.95,123.7,125.95,7524,76
6-May-2024,128.5,132.0,128.5,128.95,2962,45
3-May-2024,134.1,134.1,130.0,132.4,1692,28
2-May-2024,134.5,134.65,130.5,134.2,703,9
30-April-2024,136.9,140.0,133.1,133.15,291,7
29-April-2024,132.6,133.95,132.6,133.8,105,7
26-April-2024,132.0,135.0,130.15,135.0,490,15
25-April-2024,129.0,133.9,129.0,132.05,716,23
24-April-2024,132.6,132.6,131.0,131.1,688,28
23-April-2024,131.95,133.5,131.0,131.05,1495,21
22-April-2024,133.0,133.55,129.75,130.6,1683,34
19-April-2024,131.0,131.0,129.9,129.9,234,7
18-April-2024,131.8,134.25,130.85,130.95,1196,19
16-April-2024,132.95,134.6,130.15,131.6,1768,30
15-April-2024,136.95,136.95,132.0,133.05,3426,42
12-April-2024,139.7,139.7,136.05,137.75,702,18
10-April-2024,139.0,139.0,136.2,137.1,853,30
9-April-2024,140.0,141.45,138.1,138.8,1331,36
8-April-2024,143.0,143.45,140.75,140.75,1127,13
5-April-2024,149.35,149.35,142.7,142.7,1483,15
4-April-2024,146.95,148.0,141.6,146.35,1888,25
3-April-2024,141.95,145.5,139.95,145.45,4434,59
2-April-2024,149.0,149.0,138.0,142.05,5916,68
1-April-2024,131.05,141.95,131.05,141.95,3011,78
28-March-2024,117.55,122.45,117.0,118.3,21989,483
27-March-2024,127.65,130.0,116.1,119.95,10895,413
26-March-2024,130.35,130.5,125.0,125.95,18670,271
