Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,721.0,792.9,717.55,736.65,21163,2387,Pearl Global Industries Limited
27-June-2024,748.0,756.4,700.45,709.9,32665,3306,Pearl Global Industries Limited
26-June-2024,757.0,782.0,735.0,748.2,51771,4629,Pearl Global Industries Limited
25-June-2024,656.4,785.15,656.4,757.65,85679,4634,Pearl Global Industries Limited
24-June-2024,639.05,667.35,636.75,654.3,1795,317,Pearl Global Industries Limited
21-June-2024,631.5,642.0,630.35,637.55,2690,456,Pearl Global Industries Limited
20-June-2024,615.75,656.8,615.75,629.6,9056,1304,Pearl Global Industries Limited
19-June-2024,670.0,670.0,600.45,618.45,10768,1076,Pearl Global Industries Limited
18-June-2024,630.0,638.95,609.05,620.05,5401,522,Pearl Global Industries Limited
14-June-2024,654.1,658.25,625.8,633.25,3261,670,Pearl Global Industries Limited
13-June-2024,669.65,670.0,651.45,655.6,1466,219,Pearl Global Industries Limited
12-June-2024,629.55,659.8,629.55,654.2,1762,156,Pearl Global Industries Limited
11-June-2024,670.0,670.0,639.45,642.4,433,141,Pearl Global Industries Limited
10-June-2024,657.45,679.65,646.65,652.45,3919,354,Pearl Global Industries Limited
7-June-2024,648.0,655.55,639.65,653.9,526,74,Pearl Global Industries Limited
6-June-2024,659.95,659.95,636.0,644.8,1625,177,Pearl Global Industries Limited
5-June-2024,617.6,644.4,607.7,636.85,395,49,Pearl Global Industries Limited
4-June-2024,623.35,642.9,550.85,612.4,2088,259,Pearl Global Industries Limited
3-June-2024,659.8,668.15,641.5,642.75,2424,213,Pearl Global Industries Limited
31-May-2024,625.0,656.25,624.95,640.6,4013,176,Pearl Global Industries Limited
30-May-2024,636.35,636.95,609.5,614.9,1273,135,Pearl Global Industries Limited
29-May-2024,627.0,645.7,627.0,632.0,546,119,Pearl Global Industries Limited
28-May-2024,684.0,684.0,609.1,626.65,2643,257,Pearl Global Industries Limited
27-May-2024,668.9,668.9,632.95,636.7,1135,105,Pearl Global Industries Limited
24-May-2024,639.7,645.75,624.45,641.15,3552,288,Pearl Global Industries Limited
23-May-2024,640.0,649.55,634.35,642.05,894,74,Pearl Global Industries Limited
22-May-2024,649.95,663.7,628.5,642.0,2660,293,Pearl Global Industries Limited
21-May-2024,633.15,642.95,623.45,640.05,4789,414,Pearl Global Industries Limited
18-May-2024,618.0,623.2,614.0,623.2,815,27,Pearl Global Industries Limited
17-May-2024,624.7,640.55,610.95,623.45,1046,115,Pearl Global Industries Limited
16-May-2024,619.75,628.4,619.75,622.3,406,70,Pearl Global Industries Limited
15-May-2024,619.95,627.1,614.75,621.85,2122,214,Pearl Global Industries Limited
14-May-2024,595.35,616.0,590.05,615.55,611,94,Pearl Global Industries Limited
13-May-2024,615.5,615.5,577.95,596.7,999,141,Pearl Global Industries Limited
10-May-2024,616.75,616.75,586.5,600.1,1375,116,Pearl Global Industries Limited
9-May-2024,613.3,625.35,584.35,586.85,1284,219,Pearl Global Industries Limited
8-May-2024,573.3,627.0,573.3,598.0,109,38,Pearl Global Industries Limited
7-May-2024,582.2,582.2,575.0,578.1,206,40,Pearl Global Industries Limited
6-May-2024,592.65,592.65,573.3,580.35,298,53,Pearl Global Industries Limited
3-May-2024,602.8,609.45,573.6,583.35,1184,146,Pearl Global Industries Limited
2-May-2024,596.95,610.9,588.4,595.35,1238,179,Pearl Global Industries Limited
30-April-2024,590.7,609.0,589.5,605.2,1318,149,Pearl Global Industries Limited
29-April-2024,581.4,592.95,576.8,580.95,825,93,Pearl Global Industries Limited
26-April-2024,629.95,629.95,593.0,593.2,954,114,Pearl Global Industries Limited
25-April-2024,600.35,600.35,587.95,593.0,598,93,Pearl Global Industries Limited
24-April-2024,605.0,609.1,593.95,596.0,1599,162,Pearl Global Industries Limited
23-April-2024,584.0,610.0,564.3,603.25,2403,335,Pearl Global Industries Limited
22-April-2024,566.5,586.5,564.6,584.65,1072,80,Pearl Global Industries Limited
19-April-2024,599.45,599.45,560.0,565.0,1129,108,Pearl Global Industries Limited
18-April-2024,580.95,588.15,568.7,572.4,919,88,Pearl Global Industries Limited
