Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,741.1,741.1,694.25,706.8,11787,1326,Pokarna Ltd.
27-June-2024,739.75,765.0,720.9,730.65,34713,2905,Pokarna Ltd.
26-June-2024,727.9,733.95,709.55,719.65,3966,524,Pokarna Ltd.
25-June-2024,726.0,746.0,724.0,729.35,12080,1086,Pokarna Ltd.
24-June-2024,728.2,750.4,720.45,724.9,6561,828,Pokarna Ltd.
21-June-2024,742.35,747.5,714.45,728.25,36127,2769,Pokarna Ltd.
20-June-2024,652.3,741.05,651.25,736.2,26771,2323,Pokarna Ltd.
19-June-2024,658.65,662.45,637.6,651.85,4647,569,Pokarna Ltd.
18-June-2024,666.45,668.5,646.25,653.45,5634,393,Pokarna Ltd.
14-June-2024,668.55,672.45,650.75,653.35,9707,1155,Pokarna Ltd.
13-June-2024,673.9,685.0,652.6,655.4,7179,877,Pokarna Ltd.
12-June-2024,687.7,687.7,662.0,665.05,7706,788,Pokarna Ltd.
11-June-2024,685.0,688.5,655.05,674.25,11671,1118,Pokarna Ltd.
10-June-2024,678.4,682.6,658.3,662.85,32129,2364,Pokarna Ltd.
7-June-2024,631.15,670.0,624.0,657.35,56825,3543,Pokarna Ltd.
6-June-2024,565.0,624.0,565.0,614.65,49440,3818,Pokarna Ltd.
5-June-2024,559.25,565.95,533.65,559.65,6136,482,Pokarna Ltd.
4-June-2024,541.65,588.95,524.0,553.05,22848,1666,Pokarna Ltd.
3-June-2024,554.05,557.55,542.45,555.35,2707,395,Pokarna Ltd.
31-May-2024,541.0,553.35,533.0,537.05,5969,664,Pokarna Ltd.
30-May-2024,554.5,555.0,530.5,550.3,8820,1036,Pokarna Ltd.
29-May-2024,545.1,557.15,545.0,554.5,2650,289,Pokarna Ltd.
28-May-2024,562.0,563.0,548.7,551.6,3135,315,Pokarna Ltd.
27-May-2024,553.0,565.95,542.85,558.35,7665,943,Pokarna Ltd.
24-May-2024,569.95,569.95,547.7,559.1,11801,981,Pokarna Ltd.
23-May-2024,573.65,580.05,552.95,563.8,21059,1675,Pokarna Ltd.
